Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,411863.2799999323,1,10,4990,blue,true,right,23,10,right,blue,2099,0
2,416520.9550000727,0,0,4990,blue,true,right,45,97,left,orange,1286,0
3,420365.809999872,0,0,4990,blue,true,right,54,62,left,orange,724,0
4,423649.1799999494,0,0,4990,blue,false,left,99,16,left,blue,2859,0
5,429090.1699999813,0,0,4990,blue,true,left,72,40,right,orange,1889,0
6,433535.1700000465,0,0,4990,blue,true,left,98,88,right,orange,1424,0
7,437513.5299998801,0,0,4990,blue,true,left,6,54,right,orange,994,0
8,441053.7849999964,0,0,4990,blue,true,left,64,55,right,orange,1122,0
9,444738.1199998781,0,0,4990,blue,false,right,96,45,right,blue,3968,0
10,451276.42999985255,0,0,4990,blue,true,left,28,19,right,orange,1031,0
11,454865.1649998501,1,26,4964,blue,true,right,95,26,right,blue,3601,0
12,461038.9350000769,0,0,4964,blue,true,left,90,29,right,orange,862,0
13,464460.465000011,0,0,4964,blue,true,right,20,53,left,orange,866,0
14,467876.5849999618,0,0,4964,blue,true,right,74,56,left,orange,977,0
15,471408.6899999529,0,0,4964,blue,true,left,18,42,right,orange,790,0
16,474760.5949998833,0,0,4964,blue,true,left,11,91,right,orange,630,0
17,477938.1450000219,1,32,4932,blue,false,left,32,31,right,orange,971,0
18,481498.1549999211,1,65,4867,blue,true,left,36,65,left,blue,1221,0
19,485282.92999998666,1,40,4827,blue,false,right,40,30,left,orange,1013,0
20,488859.7699999809,1,26,4801,blue,true,left,29,26,left,blue,1135,0
21,492556.8200000562,0,0,4801,blue,false,right,32,36,right,blue,674,0
22,495788.14000007696,1,81,4720,blue,true,right,72,81,right,blue,765,0
23,499133.2350000739,1,95,4625,blue,false,right,95,54,left,orange,543,0
24,502246.7849999666,0,0,4625,blue,false,left,40,59,left,blue,927,0
25,505732.4099999387,0,0,4625,blue,false,right,29,24,right,blue,806,0
26,509086.8349999655,0,0,4625,blue,false,right,60,51,right,blue,485,0
27,512136.829999974,0,0,4625,blue,false,left,83,65,left,blue,920,0
28,515614.1049999278,1,98,4527,blue,true,right,78,98,right,blue,444,0
29,518605.135000078,0,0,4527,blue,false,right,56,51,right,blue,567,0
30,521726.89999989234,0,0,4527,blue,false,left,5,20,left,blue,851,0
31,525143.5849999543,0,0,4527,blue,false,left,67,2,left,blue,910,0
32,528608.4549999796,0,0,4527,blue,false,left,85,84,left,blue,1980,0
33,533131.4699999057,0,0,4527,blue,true,right,7,49,left,orange,3027,0
34,538702.6400000323,1,37,4490,blue,false,left,37,47,right,orange,1002,0
35,542266.869999934,0,0,4490,blue,false,right,27,91,right,blue,710,0
36,545535.344999982,0,0,4490,blue,false,left,44,42,left,blue,870,0
37,548956.5500000026,1,55,4435,blue,true,right,31,55,right,blue,1801,0
38,553321.8399998732,0,0,4435,blue,false,right,97,70,right,blue,520,0
39,556387.3499999754,0,0,4435,blue,false,right,14,9,right,blue,812,0
40,559756.8250000477,1,51,4384,blue,true,right,23,51,right,blue,1779,0
41,564103.6000000313,1,79,4305,blue,true,left,89,79,left,blue,483,0
42,567148.0999998748,0,0,4305,blue,true,left,83,86,right,orange,1290,0
43,570990.4400000814,0,0,4305,blue,true,left,40,62,right,orange,688,0
44,574240.7499998808,0,0,4305,blue,true,right,36,23,left,orange,498,0
45,577293.880000012,0,0,4305,blue,true,left,65,61,right,orange,783,0
46,580624.2750000674,0,0,4305,blue,true,right,74,67,left,orange,1209,0
47,584388.5850000661,0,0,4305,blue,true,left,73,41,right,orange,807,0
48,591768.7049999367,0,0,4305,blue,false,left,96,54,left,blue,3876,0
49,598206.1900000554,1,88,4217,blue,true,left,86,88,left,blue,1196,0
50,601964.4299999345,1,66,4151,blue,true,right,43,66,right,blue,2986,0
51,607520.7299999893,0,0,4151,blue,true,right,72,79,left,orange,554,0
52,610620.760000078,1,71,4080,blue,false,right,71,13,left,orange,998,0
53,614186.1449999269,0,0,4080,blue,true,left,78,53,right,orange,485,0
54,617235.4049999267,0,0,4080,blue,true,right,57,90,left,orange,739,0
55,620535.6550000142,1,3,4077,blue,false,right,3,12,left,orange,1331,0
56,624433.0700000282,0,0,4077,blue,true,right,2,64,left,orange,979,0
57,627964.5149998832,0,0,4077,blue,true,left,99,9,right,orange,1450,0
58,631964.410000015,0,0,4077,blue,true,right,21,42,left,orange,685,0
59,635206.0050000437,0,0,4077,blue,true,left,83,72,right,orange,2780,0
60,640559.2399998568,0,0,4077,blue,true,right,37,11,left,orange,2733,0
