Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,221717.91500000108,1,10,4990,blue,true,left,23,10,left,blue,1374,0
2,225620.01500000042,0,0,4990,blue,true,left,45,97,right,orange,990,0
3,229131.37500000448,0,0,4990,blue,true,right,54,62,left,orange,994,0
4,232651.79500000522,0,0,4990,blue,false,left,99,16,left,blue,2159,0
5,237329.47000000422,0,0,4990,blue,true,right,72,40,left,orange,1526,0
6,241376.24000000505,0,0,4990,blue,true,left,98,88,right,orange,1990,0
7,245886.2550000049,0,0,4990,blue,true,left,6,54,right,orange,1429,0
8,249837.6750000025,1,55,4935,blue,true,right,64,55,right,blue,1778,0
9,254139.7450000004,0,0,4935,blue,false,right,96,45,right,blue,1508,0
10,258167.92500000156,0,0,4935,blue,true,right,28,19,left,orange,1341,0
11,262029.95000000374,0,0,4935,blue,true,left,95,26,right,orange,2299,0
12,266854.29500000464,1,29,4906,blue,true,right,90,29,right,blue,1549,0
13,270933.0700000064,0,0,4906,blue,true,right,20,53,left,orange,1175,0
14,274625.38000000495,0,0,4906,blue,true,right,74,56,left,orange,1314,0
15,278462.46000000247,0,0,4906,blue,true,left,18,42,right,orange,642,0
16,281625.2750000058,0,0,4906,blue,true,right,11,91,left,orange,838,0
17,284985.99500000273,1,32,4874,blue,false,right,32,31,left,orange,771,0
18,288284.83500000584,0,0,4874,blue,true,left,36,65,right,orange,771,0
19,291576.5950000059,1,40,4834,blue,false,left,40,30,right,orange,712,0
20,294820.3649999996,0,0,4834,blue,true,left,29,26,right,orange,1148,0
21,298489.15000000125,1,32,4802,blue,false,right,32,36,left,orange,879,0
22,301894.4050000064,0,0,4802,blue,true,left,72,81,right,orange,1207,0
23,305623.36499999947,0,0,4802,blue,false,right,95,54,right,blue,793,0
24,308940.085000002,1,40,4762,blue,false,right,40,59,left,orange,590,0
25,312054.52000000514,1,29,4733,blue,false,right,29,24,left,orange,604,0
26,315179.7450000013,0,0,4733,blue,false,right,60,51,right,blue,622,0
27,318323.04000000295,0,0,4733,blue,false,left,83,65,left,blue,776,0
