Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,760636.5800000003,1,37,4963,blue,true,left,44,37,left,blue,669,0
2,763862.8000000007,1,12,4951,blue,true,right,66,12,right,blue,1056,0
3,767494.2600000004,0,0,4951,blue,true,left,98,9,right,orange,1190,0
4,771234.1550000001,1,20,4931,blue,false,left,20,91,right,orange,990,0
5,774782.4850000007,0,0,4931,blue,true,right,28,8,left,orange,1864,0
6,779211.0350000003,0,0,4931,blue,true,left,30,33,right,orange,1508,0
7,783279.915,1,24,4907,blue,true,left,27,24,left,blue,2238,0
8,788076.6300000005,1,58,4849,blue,false,left,58,43,right,orange,1362,0
9,791995.9050000007,0,0,4849,blue,true,left,72,47,right,orange,832,0
10,795386.8600000006,1,44,4805,blue,false,left,44,44,right,orange,1002,0
11,798957.8300000003,0,0,4805,blue,true,right,69,26,left,orange,1715,0
12,803229.5900000008,0,0,4805,blue,true,left,6,41,right,orange,1447,0
13,807233.5800000001,0,0,4805,blue,true,left,88,34,right,orange,1393,0
14,811187.6900000006,1,73,4732,blue,false,right,73,18,left,orange,722,0
15,814466.9350000004,0,0,4732,blue,true,right,60,25,left,orange,1170,0
16,818196.425,0,0,4732,blue,true,right,68,6,left,orange,622,0
17,821383.3200000008,0,0,4732,blue,false,right,48,39,right,blue,772,0
18,824724.9700000002,0,0,4732,blue,true,left,35,76,right,orange,974,0
19,828248.1150000003,0,0,4732,blue,true,right,23,85,left,orange,616,0
20,831431.2200000004,1,22,4710,blue,true,left,54,22,left,blue,1170,0
21,835163.2650000001,1,66,4644,blue,false,right,66,58,left,orange,1461,0
22,839190.9550000001,0,0,4644,blue,true,left,98,41,right,orange,1892,0
23,843642.9350000008,0,0,4644,blue,true,right,58,80,left,orange,1126,0
24,847317.11,0,0,4644,blue,true,left,32,85,right,orange,1106,0
25,850975.7450000007,0,0,4644,blue,false,right,83,15,right,blue,2053,0
26,855597.0200000001,0,0,4644,blue,true,left,18,16,right,orange,840,0
27,858997.6050000004,0,0,4644,blue,true,right,56,99,left,orange,952,0
28,862496.8250000002,0,0,4644,blue,true,right,23,75,left,orange,1598,0
29,866656.7850000001,1,18,4626,blue,true,right,68,18,right,blue,2041,0
30,871265.3,0,0,4626,blue,true,right,30,16,left,orange,1256,0
31,875074.0400000004,0,0,4626,blue,true,right,86,37,left,orange,490,0
32,878115.6600000004,1,44,4582,blue,true,right,47,44,right,blue,1598,0
33,882272.0600000003,0,0,4582,blue,true,right,3,91,left,orange,554,0
34,885381.1500000001,1,60,4522,blue,false,right,60,14,left,orange,1819,0
35,889774.4550000007,0,0,4522,blue,true,right,54,84,left,orange,540,0
36,892872.84,0,0,4522,blue,true,right,34,23,left,orange,431,0
