Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,193782.52999996766,1,37,4963,blue,true,left,44,37,left,blue,1213,0
2,197570.9049999714,1,12,4951,blue,true,right,66,12,right,blue,1736,0
3,201874.25500014797,0,0,4951,blue,true,right,98,9,left,orange,2820,0
4,207256.1749999877,1,20,4931,blue,false,right,20,91,left,orange,1989,0
5,211798.4450000804,0,0,4931,blue,true,left,28,8,right,orange,1674,0
6,216023.76000001095,0,0,4931,blue,true,left,30,33,right,orange,1348,0
7,219933.74500004575,0,0,4931,blue,true,right,27,24,left,orange,1363,0
8,223851.42500000075,1,58,4873,blue,false,left,58,43,right,orange,962,0
9,227378.20499995723,1,47,4826,blue,true,left,72,47,left,blue,1669,0
10,231614.4449999556,1,44,4782,blue,false,left,44,44,right,orange,3251,0
11,237450.3000001423,1,26,4756,blue,true,left,69,26,left,blue,2123,0
12,242145.26000013575,0,0,4756,blue,true,right,6,41,left,orange,1841,0
13,246552.17000003904,0,0,4756,blue,true,right,88,34,left,orange,1214,0
14,250313.15000005998,0,0,4756,blue,false,right,73,18,right,blue,2238,0
15,255102.57999994792,1,25,4731,blue,true,right,60,25,right,blue,1206,0
16,258877.24000005983,1,6,4725,blue,true,right,68,6,right,blue,960,0
17,262405.15500004403,0,0,4725,blue,false,left,48,39,left,blue,1141,0
18,266097.34999993816,0,0,4725,blue,true,left,35,76,right,orange,1001,0
19,269644.4800000172,0,0,4725,blue,true,right,23,85,left,orange,1287,0
20,273484.6350001171,1,22,4703,blue,true,left,54,22,left,blue,1322,0
21,277389.8400000762,1,66,4637,blue,false,right,66,58,left,orange,2741,0
22,282687.57000006735,0,0,4637,blue,true,left,98,41,right,orange,1681,0
23,286912.6150000375,0,0,4637,blue,true,right,58,80,left,orange,2285,0
24,291754.33999998495,0,0,4637,blue,true,right,32,85,left,orange,1735,0
25,296048.51500014775,0,0,4637,blue,false,right,83,15,right,blue,1434,0
26,300033.44000014476,0,0,4637,blue,true,right,18,16,left,orange,2129,0
27,304720.055000158,0,0,4637,blue,true,right,56,99,left,orange,1292,0
28,308573.18500010297,0,0,4637,blue,true,left,23,75,right,orange,804,0
29,311932.59500013664,1,18,4619,blue,true,left,68,18,left,blue,1068,0
30,315561.18499999866,1,16,4603,blue,true,left,30,16,left,blue,1163,0
31,319282.93500002474,1,37,4566,blue,true,right,86,37,right,blue,948,0
32,322793.48500003107,0,0,4566,blue,true,right,47,44,left,orange,2503,0
33,327853.9849999361,0,0,4566,blue,true,left,3,91,right,orange,3435,0
34,333846.1200001184,0,0,4566,blue,false,left,60,14,left,blue,2040,0
35,338447.535000043,0,0,4566,blue,true,left,54,84,right,orange,1000,0
36,341992.7950000856,1,23,4543,blue,true,right,34,23,right,blue,1270,0
37,345828.4950000234,1,28,4515,blue,true,right,96,28,right,blue,880,0
38,349260.45499998145,1,83,4432,blue,false,left,83,94,right,orange,682,0
39,352503.77500010654,0,0,4432,blue,true,right,63,86,left,orange,1522,0
40,356573.09500011615,0,0,4432,blue,true,left,99,53,right,orange,1010,0
41,360127.88000004366,0,0,4432,blue,true,right,29,91,left,orange,1044,0
42,363719.6700000204,1,64,4368,blue,true,right,88,64,right,blue,741,0
43,367016.7799999472,1,70,4298,blue,true,left,84,70,left,blue,854,0
44,370445.9049999714,0,0,4298,blue,false,left,61,88,left,blue,939,0
45,373942.42500001565,0,0,4298,blue,true,right,61,43,left,orange,1565,0
46,378061.18499999866,0,0,4298,blue,true,left,87,54,right,orange,815,0
47,381434.1349999886,1,5,4293,blue,false,right,5,90,left,orange,649,0
48,388673.79999998957,1,44,4249,blue,true,right,71,44,right,blue,1899,0
49,393127.23500002176,1,52,4197,blue,true,left,42,52,left,blue,781,0
50,396481.6550000105,0,0,4197,blue,true,right,39,93,left,orange,1683,0
51,400723.66000013426,1,24,4173,blue,true,right,39,24,right,blue,675,0
52,403964.3900000956,0,0,4173,blue,false,left,20,10,left,blue,649,0
53,407161.79000004195,0,0,4173,blue,false,right,85,43,right,blue,860,0
54,410575.66999993287,0,0,4173,blue,false,right,77,7,right,blue,801,0
55,413933.71500005014,0,0,4173,blue,true,right,95,90,left,orange,1257,0
56,417750.10000006296,0,0,4173,blue,true,left,56,7,right,orange,3932,0
57,424235.37999996915,1,69,4104,blue,true,left,50,69,left,blue,1250,0
58,428045.6900000572,0,0,4104,blue,true,right,4,83,left,orange,909,0
59,431502.744999947,0,0,4104,blue,false,left,40,8,left,blue,1120,0
60,435176.80000001565,1,86,4018,blue,true,right,47,86,right,blue,2577,0
61,440315.6050001271,0,0,4018,blue,true,left,15,49,right,orange,946,0
62,443810.28500013053,0,0,4018,blue,true,right,17,39,left,orange,1725,0
63,448094.65999994427,1,76,3942,blue,false,left,76,97,right,orange,809,0
64,451463.1900000386,1,14,3928,blue,true,right,73,14,right,blue,1048,0
