Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,205911,1,10,4990,blue,true,right,23,10,right,blue,1264,0
2,209702,0,0,4990,blue,true,right,45,97,left,orange,600,0
3,212819.00000000003,0,0,4990,blue,true,right,54,62,left,orange,428,0
4,215763,0,0,4990,blue,false,right,99,16,right,blue,735,0
5,219014,0,0,4990,blue,true,left,72,40,right,orange,700,0
6,222229,0,0,4990,blue,true,left,98,88,right,orange,533,0
7,225278,1,54,4936,blue,true,left,6,54,left,blue,867,0
8,228664.00000000003,0,0,4936,blue,true,left,64,55,right,orange,677,0
9,231858,0,0,4936,blue,false,right,96,45,right,blue,1510,0
10,235882,0,0,4936,blue,true,left,28,19,right,orange,512,0
11,238911,0,0,4936,blue,true,left,95,26,right,orange,442,0
12,241870,0,0,4936,blue,true,left,90,29,right,orange,446,0
13,244832,0,0,4936,blue,true,left,20,53,right,orange,988,0
14,248337.00000000003,1,56,4880,blue,true,right,74,56,right,blue,1213,0
15,252070,0,0,4880,blue,true,left,18,42,right,orange,816,0
16,255400,0,0,4880,blue,true,right,11,91,left,orange,828,0
17,258744.00000000003,1,32,4848,blue,false,right,32,31,left,orange,756,0
18,262019.99999999997,0,0,4848,blue,true,right,36,65,left,orange,820,0
19,265355,1,40,4808,blue,false,left,40,30,right,orange,455,0
20,268329,0,0,4808,blue,true,left,29,26,right,orange,568,0
21,271413,1,32,4776,blue,false,left,32,36,right,orange,447,0
22,274380,0,0,4776,blue,true,left,72,81,right,orange,712,0
23,277610,0,0,4776,blue,false,right,95,54,right,blue,1132,0
24,281259,1,40,4736,blue,false,left,40,59,right,orange,473,0
25,284252,1,29,4707,blue,false,left,29,24,right,orange,1414,0
26,288188,0,0,4707,blue,false,left,60,51,left,blue,311,0
27,291014,0,0,4707,blue,false,right,83,65,right,blue,659,0
28,294189,1,98,4609,blue,true,left,78,98,left,blue,427,0
29,297141,1,56,4553,blue,false,right,56,51,left,orange,801,0
30,300462,1,5,4548,blue,false,left,5,20,right,orange,1037,0
31,304017,0,0,4548,blue,false,right,67,2,right,blue,787,0
32,307319,0,0,4548,blue,false,left,85,84,left,blue,517,0
33,310351,1,49,4499,blue,true,right,7,49,right,blue,580,0
34,313449,1,37,4462,blue,false,right,37,47,left,orange,985,0
35,316953.00000000006,0,0,4462,blue,false,left,27,91,left,blue,539,0
36,320004,0,0,4462,blue,false,left,44,42,left,blue,432,0
37,322951,0,0,4462,blue,true,left,31,55,right,orange,473,0
38,325944,0,0,4462,blue,false,right,97,70,right,blue,997,0
39,329457,0,0,4462,blue,false,right,14,9,right,blue,464,0
40,332436,0,0,4462,blue,true,right,23,51,left,orange,456,0
41,335407,1,79,4383,blue,true,right,89,79,right,blue,470,0
42,338396,1,86,4297,blue,true,right,83,86,right,blue,468,0
43,341382,0,0,4297,blue,true,left,40,62,right,orange,704,0
44,344602.00000000006,1,23,4274,blue,true,left,36,23,left,blue,523,0
45,347643,0,0,4274,blue,true,left,65,61,right,orange,1363,0
46,351522,0,0,4274,blue,true,left,74,67,right,orange,475,0
47,354519,1,41,4233,blue,true,left,73,41,left,blue,517,0
48,361560,1,96,4137,blue,false,left,96,54,right,orange,2552,0
49,366631,1,88,4049,blue,true,left,86,88,left,blue,450,0
50,369598,0,0,4049,blue,true,right,43,66,left,orange,203,0
51,372318,0,0,4049,blue,true,left,72,79,right,orange,388,0
52,375224,0,0,4049,blue,false,right,71,13,right,blue,1117,0
53,378857,1,53,3996,blue,true,right,78,53,right,blue,459,0
54,381834,1,90,3906,blue,true,left,57,90,left,blue,394,0
55,384748,1,3,3903,blue,false,right,3,12,left,orange,392,0
56,387658,0,0,3903,blue,true,right,2,64,left,orange,401,0
57,390574,0,0,3903,blue,true,left,99,9,right,orange,549,0
58,393637,0,0,3903,blue,true,right,21,42,left,orange,408,0
59,396561.00000000006,1,72,3831,blue,true,left,83,72,left,blue,662,0
60,399742,1,11,3820,blue,true,right,37,11,right,blue,1044,0
61,403308,0,0,3820,blue,false,left,67,81,left,blue,513,0
62,406336,1,14,3806,blue,true,right,12,14,right,blue,661,0
63,409515,1,78,3728,blue,false,right,78,90,left,orange,435,0
64,412475,0,0,3728,blue,false,right,46,53,right,blue,929,0
65,415920,0,0,3728,blue,false,left,30,42,left,blue,433,0
66,418867,0,0,3728,blue,false,left,36,65,left,blue,428,0
67,421809,1,49,3679,blue,false,left,49,49,right,orange,892,0
68,425221,0,0,3679,blue,false,left,44,10,left,blue,645,0
69,428387,0,0,3679,blue,false,left,70,64,left,blue,805,0
70,431713,1,68,3611,blue,false,left,68,95,right,orange,878,0
71,435110,1,38,3573,blue,false,left,38,46,right,orange,1408,0
72,439036,0,0,3573,blue,false,left,18,24,left,blue,437,0
73,441994,0,0,3573,blue,false,left,82,78,left,blue,801,0
74,445309,1,59,3514,blue,false,right,59,54,left,orange,1040,0
75,448867,0,0,3514,blue,false,left,36,33,left,blue,1244,0
76,452626.00000000006,0,0,3514,blue,true,left,49,56,right,orange,1436,0
77,456576,1,26,3488,blue,false,left,26,83,right,orange,837,0
78,459932,0,0,3488,blue,false,right,38,81,right,blue,523,0
79,462969,0,0,3488,blue,false,left,12,3,left,blue,1134,0
80,466618,0,0,3488,blue,false,right,62,38,right,blue,505,0
81,469639,0,0,3488,blue,false,left,43,50,left,blue,675,0
82,472829,0,0,3488,blue,false,left,50,47,left,blue,490,0
83,475838,1,35,3453,blue,true,right,41,35,right,blue,1385,0
84,479749,1,9,3444,blue,false,right,9,62,left,orange,368,0
85,482636,0,0,3444,blue,false,left,60,58,left,blue,452,0
86,485604,0,0,3444,blue,false,left,88,31,left,blue,433,0
87,488553,0,0,3444,blue,false,right,56,44,right,blue,458,0
88,491525.00000000006,1,15,3429,blue,true,left,31,15,left,blue,399,0
89,494443,0,0,3429,blue,false,left,90,31,left,blue,462,0
90,497421,0,0,3429,blue,false,right,80,76,right,blue,397,0
91,500334,0,0,3429,blue,false,right,78,4,right,blue,399,0
