Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,226238.85500000324,1,10,4990,blue,true,right,23,10,right,blue,3137,0
2,231906.00000001723,0,0,4990,blue,true,right,45,97,left,orange,978,0
3,235409.67000002274,0,0,4990,blue,true,right,54,62,left,orange,1169,0
4,239112.73500000243,0,0,4990,blue,false,left,99,16,left,blue,1643,0
5,243284.97500001686,1,40,4950,blue,true,left,72,40,left,blue,1270,0
6,247088.59500000835,1,88,4862,blue,true,right,98,88,right,blue,1419,0
7,251040.44500002055,0,0,4862,blue,true,right,6,54,left,orange,956,0
8,254521.63000000292,0,0,4862,blue,true,left,64,55,right,orange,861,0
9,257910.81000000122,0,0,4862,blue,false,right,96,45,right,blue,2822,0
10,263263.1350000156,1,19,4843,blue,true,right,28,19,right,blue,2282,0
11,268075.2800000191,0,0,4843,blue,true,right,95,26,left,orange,1250,0
12,271850.7100000279,0,0,4843,blue,true,right,90,29,left,orange,2985,0
13,277365.7350000285,0,0,4843,blue,true,right,20,53,left,orange,2119,0
14,282012.4450000003,1,56,4787,blue,true,right,74,56,right,blue,3367,0
15,287909.1850000259,0,0,4787,blue,true,right,18,42,left,orange,835,0
16,291276.0700000217,0,0,4787,blue,true,left,11,91,right,orange,750,0
17,294549.1150000016,1,32,4755,blue,false,right,32,31,left,orange,1695,0
18,298774.5800000266,0,0,4755,blue,true,right,36,65,left,orange,2057,0
19,303357.405000017,1,40,4715,blue,false,left,40,30,right,orange,813,0
20,306704.30000001215,1,26,4689,blue,true,left,29,26,left,blue,1903,0
21,311137.9350000061,1,32,4657,blue,false,left,32,36,right,orange,760,0
22,314431.2500000233,1,81,4576,blue,true,left,72,81,left,blue,1193,0
23,318154.7750000027,0,0,4576,blue,false,right,95,54,right,blue,926,0
24,321602.0300000091,0,0,4576,blue,false,left,40,59,left,blue,3591,0
25,327718.60500000184,0,0,4576,blue,false,left,29,24,left,blue,1072,0
26,331318.4900000051,0,0,4576,blue,false,left,60,51,left,blue,1105,0
27,334950.9600000165,0,0,4576,blue,false,left,83,65,left,blue,1555,0
28,339032.07500002463,1,98,4478,blue,true,left,78,98,left,blue,1196,0
29,342760.7100000023,0,0,4478,blue,false,right,56,51,right,blue,1404,0
30,346685.82000001334,0,0,4478,blue,false,left,5,20,left,blue,1347,0
31,350554.58000002545,0,0,4478,blue,false,left,67,2,left,blue,1259,0
32,354338.46000002814,0,0,4478,blue,false,right,85,84,right,blue,1075,0
33,357937.7600000007,1,49,4429,blue,true,left,7,49,left,blue,876,0
34,361344.8450000142,1,37,4392,blue,false,right,37,47,left,orange,1901,0
35,365781.1849999998,0,0,4392,blue,false,left,27,91,left,blue,1370,0
36,369677.6500000269,0,0,4392,blue,false,right,44,42,right,blue,787,0
37,372992.7800000005,1,55,4337,blue,true,right,31,55,right,blue,967,0
38,376490.3550000163,1,97,4240,blue,false,left,97,70,right,orange,960,0
39,379983.3150000195,0,0,4240,blue,false,right,14,9,right,blue,627,0
40,383134.630000015,1,51,4189,blue,true,left,23,51,left,blue,2160,0
41,387826.2200000172,1,79,4110,blue,true,right,89,79,right,blue,1437,0
42,391789.8050000076,0,0,4110,blue,true,left,83,86,right,orange,2186,0
43,396499.6750000282,0,0,4110,blue,true,left,40,62,right,orange,762,0
44,399785.3800000157,0,0,4110,blue,true,right,36,23,left,orange,703,0
45,403013.2900000026,0,0,4110,blue,true,right,65,61,left,orange,1005,0
46,406542.7850000269,0,0,4110,blue,true,left,74,67,right,orange,745,0
47,409813.15000000177,0,0,4110,blue,true,left,73,41,right,orange,759,0
48,417102.5850000151,0,0,4110,blue,false,right,96,54,right,blue,2065,0
49,421690.9550000273,1,88,4022,blue,true,left,86,88,left,blue,1169,0
50,425389.0850000025,0,0,4022,blue,true,left,43,66,right,orange,769,0
51,428683.9650000038,0,0,4022,blue,true,left,72,79,right,orange,913,0
52,432122.04500002554,1,71,3951,blue,false,left,71,13,right,orange,1039,0
53,435694.1200000001,1,53,3898,blue,true,right,78,53,right,blue,1923,0
54,440152.24500000477,0,0,3898,blue,true,right,57,90,left,orange,1004,0
55,443681.50000000605,1,3,3895,blue,false,left,3,12,right,orange,1657,0
56,447868.24999999953,0,0,3895,blue,true,right,2,64,left,orange,872,0
57,451262.74500001455,1,9,3886,blue,true,left,99,9,left,blue,815,0
58,454607.90500001167,0,0,3886,blue,true,right,21,42,left,orange,2968,0
59,460098.3150000102,1,72,3814,blue,true,left,83,72,left,blue,2163,0
60,464790.72500002803,0,0,3814,blue,true,right,37,11,left,orange,1904,0
61,469216.8450000172,1,67,3747,blue,false,left,67,81,right,orange,863,0
62,472606.7600000242,1,14,3733,blue,true,right,12,14,right,blue,1860,0
63,477003.35500002257,1,78,3655,blue,false,left,78,90,right,orange,1395,0
64,480932.19000002136,0,0,3655,blue,false,left,46,53,left,blue,793,0
65,484247.95000001905,0,0,3655,blue,false,left,30,42,left,blue,477,0
66,487255.2550000255,0,0,3655,blue,false,right,36,65,right,blue,1069,0
67,490853.1400000211,0,0,3655,blue,false,right,49,49,right,blue,617,0
68,493992.9600000032,0,0,3655,blue,false,left,44,10,left,blue,1019,0
69,497537.1950000117,1,70,3585,blue,false,left,70,64,right,orange,795,0
70,500861.3000000187,1,68,3517,blue,false,right,68,95,left,orange,1717,0
71,505107.7650000225,0,0,3517,blue,false,left,38,46,left,blue,2438,0
72,510077.0150000171,0,0,3517,blue,false,left,18,24,left,blue,430,0
73,513032.41000001435,0,0,3517,blue,false,left,82,78,left,blue,455,0
74,516014.9450000026,0,0,3517,blue,false,right,59,54,right,blue,425,0
75,518963.9300000272,0,0,3517,blue,false,right,36,33,right,blue,444,0
76,521935.6300000218,1,56,3461,blue,true,left,49,56,left,blue,632,0
77,525101.8900000199,0,0,3461,blue,false,left,26,83,left,blue,1151,0
78,528782.9600000114,0,0,3461,blue,false,right,38,81,right,blue,958,0
79,532266.0450000258,0,0,3461,blue,false,right,12,3,right,blue,717,0
80,535504.7500000219,0,0,3461,blue,false,right,62,38,right,blue,646,0
81,538677.955000021,0,0,3461,blue,false,left,43,50,left,blue,761,0
82,541965.9650000103,1,50,3411,blue,false,left,50,47,right,orange,853,0
83,545351.3850000163,1,35,3376,blue,true,right,41,35,right,blue,1975,0
84,549855.830000015,0,0,3376,blue,false,right,9,62,right,blue,877,0
85,553256.875000021,0,0,3376,blue,false,left,60,58,left,blue,1144,0
86,556929.1300000041,0,0,3376,blue,false,left,88,31,left,blue,722,0
87,560180.1750000159,0,0,3376,blue,false,right,56,44,right,blue,993,0
88,563700.445000024,1,15,3361,blue,true,right,31,15,right,blue,507,0
89,566735.1450000133,0,0,3361,blue,false,left,90,31,left,blue,624,0
90,569880.2300000098,0,0,3361,blue,false,left,80,76,left,blue,393,0
91,572799.0000000282,0,0,3361,blue,false,right,78,4,right,blue,564,0
92,575891.02000001,0,0,3361,blue,false,left,60,28,left,blue,693,0
93,579109.4800000137,1,99,3262,blue,true,right,56,99,right,blue,453,0
94,586098.4550000285,0,0,3262,blue,false,left,31,45,left,blue,1270,0
95,589891.5900000138,0,0,3262,blue,false,left,55,16,left,blue,591,0
96,593008.6250000168,0,0,3262,blue,true,right,12,89,left,orange,853,0
97,596381.630000018,0,0,3262,blue,false,left,49,4,left,blue,871,0
98,599780.780000001,0,0,3262,blue,false,left,69,12,left,blue,972,0
99,603279.4950000243,1,26,3236,blue,true,left,49,26,left,blue,2230,0
100,608042.0800000138,1,75,3161,blue,false,right,75,76,left,orange,2068,0
101,612635.9200000006,1,22,3139,blue,false,right,22,90,left,orange,856,0
102,616021.8950000126,1,23,3116,blue,true,left,26,23,left,blue,645,0
103,619198.3750000072,1,11,3105,blue,false,left,11,68,right,orange,800,0
104,622528.330000001,0,0,3105,blue,true,left,71,82,right,orange,3555,0
105,628608.585000009,1,86,3019,blue,false,left,86,95,right,orange,865,0
106,632002.0250000234,1,79,2940,blue,false,left,79,88,right,orange,2168,0
107,636700.1100000052,0,0,2940,blue,false,left,75,40,left,blue,571,0
108,639796.8150000088,0,0,2940,blue,false,right,11,94,right,blue,639,0
109,642960.4749999999,1,44,2896,blue,true,left,53,44,left,blue,830,0
110,646320.3100000101,0,0,2896,blue,false,left,85,17,left,blue,633,0
111,649480.2450000134,1,32,2864,blue,true,right,85,32,right,blue,687,0
112,652694.7750000108,1,38,2826,blue,false,left,38,68,right,orange,884,0
113,656109.5750000095,0,0,2826,blue,false,left,28,93,left,blue,782,0
114,659419.425,1,13,2813,blue,false,left,13,95,right,orange,1915,0
115,663867.4750000064,0,0,2813,blue,false,right,69,60,right,blue,872,0
116,667269.7700000135,1,95,2718,blue,true,left,56,95,left,blue,1334,0
117,671131.7650000274,1,2,2716,blue,false,right,2,41,left,orange,1821,0
