Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,234106.58499994315,1,37,4963,blue,true,right,44,37,right,blue,1024,0
2,237670.30999995768,0,0,4963,blue,true,left,66,12,right,orange,1064,0
3,241259.3450001441,0,0,4963,blue,true,left,98,9,right,orange,867,0
4,244647.40499993786,1,20,4943,blue,false,right,20,91,left,orange,674,0
5,247843.555000145,0,0,4943,blue,true,left,28,8,right,orange,941,0
6,251315.12000015937,1,33,4910,blue,true,right,30,33,right,blue,1488,0
7,255332.24499993958,0,0,4910,blue,true,right,27,24,left,orange,829,0
8,258685.72499998845,0,0,4910,blue,false,left,58,43,left,blue,1129,0
9,262339.7550000809,0,0,4910,blue,true,right,72,47,left,orange,1065,0
10,265922.65000008047,0,0,4910,blue,false,right,44,44,right,blue,566,0
11,269006.9099999964,1,26,4884,blue,true,right,69,26,right,blue,647,0
12,272184.72500005737,1,41,4843,blue,true,right,6,41,right,blue,641,0
13,275358.825000003,1,34,4809,blue,true,left,88,34,left,blue,650,0
14,278543.3450001292,1,73,4736,blue,false,left,73,18,right,orange,766,0
15,281831.01000008173,1,25,4711,blue,true,right,60,25,right,blue,754,0
16,285122.7750000544,1,6,4705,blue,true,left,68,6,left,blue,765,0
17,288424.6150001418,0,0,4705,blue,false,right,48,39,right,blue,1007,0
18,291947.43499998003,0,0,4705,blue,true,left,35,76,right,orange,529,0
19,294993.1749999523,1,85,4620,blue,true,right,23,85,right,blue,952,0
20,298479.8950001132,0,0,4620,blue,true,left,54,22,right,orange,1372,0
21,302369.23000006936,1,66,4554,blue,false,left,66,58,right,orange,580,0
22,305480.6150000077,0,0,4554,blue,true,right,98,41,left,orange,648,0
23,308653.0649999622,1,80,4474,blue,true,right,58,80,right,blue,211,0
24,311391.95500011556,0,0,4474,blue,true,right,32,85,left,orange,519,0
25,314428.40999993496,1,83,4391,blue,false,right,83,15,left,orange,619,0
26,317586.7149999831,1,16,4375,blue,true,right,18,16,right,blue,1291,0
27,321398.5999999568,1,99,4276,blue,true,left,56,99,left,blue,574,0
28,324513.16999993287,0,0,4276,blue,true,left,23,75,right,orange,681,0
29,327725.2200001385,0,0,4276,blue,true,left,68,18,right,orange,345,0
30,330591.6750000324,1,16,4260,blue,true,right,30,16,right,blue,457,0
31,333584.80000006966,1,37,4223,blue,true,left,86,37,left,blue,507,0
32,336629.74000000395,0,0,4223,blue,true,left,47,44,right,orange,342,0
33,339493.05000016466,1,91,4132,blue,true,right,3,91,right,blue,373,0
34,342389.68000002205,1,60,4072,blue,false,left,60,14,right,orange,441,0
35,345360.18000007607,1,84,3988,blue,true,right,54,84,right,blue,361,0
36,348249.0650000982,1,23,3965,blue,true,right,34,23,right,blue,339,0
37,351112.2300000861,1,28,3937,blue,true,left,96,28,left,blue,478,0
38,354116.42500013113,1,83,3854,blue,false,left,83,94,right,orange,386,0
39,357022.06000010483,1,86,3768,blue,true,right,63,86,right,blue,337,0
40,359880.0550000742,1,53,3715,blue,true,left,99,53,left,blue,392,0
41,362807.2500000708,0,0,3715,blue,true,right,29,91,left,orange,354,0
42,365684.2300000135,1,64,3651,blue,true,left,88,64,left,blue,351,0
43,368556.08500004746,1,70,3581,blue,true,left,84,70,left,blue,569,0
44,371652.0599999931,1,61,3520,blue,false,left,61,88,right,orange,396,0
45,374575.7900001481,1,43,3477,blue,true,left,61,43,left,blue,372,0
46,377468.6150001362,0,0,3477,blue,true,left,87,54,right,orange,483,0
47,380469.75499996915,0,0,3477,blue,false,right,5,90,right,blue,646,0
48,387650.6550000049,1,44,3433,blue,true,right,71,44,right,blue,3584,0
49,393755.72500005364,0,0,3433,blue,true,left,42,52,right,orange,395,0
50,396667.6499999594,0,0,3433,blue,true,left,39,93,right,orange,496,0
51,399693.4800001327,1,24,3409,blue,true,left,39,24,left,blue,565,0
52,402792.7999999374,1,20,3389,blue,false,left,20,10,right,orange,628,0
53,405941.3850000128,0,0,3389,blue,false,right,85,43,right,blue,430,0
54,408889.24000016414,0,0,3389,blue,false,right,77,7,right,blue,355,0
55,411768.06000014767,1,90,3299,blue,true,right,95,90,right,blue,306,0
56,414604.73000002094,1,7,3292,blue,true,right,56,7,right,blue,375,0
57,417511.2950000912,0,0,3292,blue,true,right,50,69,left,orange,293,0
58,420321.13000005484,1,83,3209,blue,true,right,4,83,right,blue,487,0
59,423342.549999943,0,0,3209,blue,false,left,40,8,left,blue,421,0
60,426284.84999993816,0,0,3209,blue,true,right,47,86,left,orange,443,0
61,429246.4050000999,0,0,3209,blue,true,right,15,49,left,orange,644,0
62,432409.93500011973,1,39,3170,blue,true,left,17,39,left,blue,800,0
63,435739.76000002585,1,76,3094,blue,false,left,76,97,right,orange,1113,0
