Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,377193.1499999482,1,37,4963,blue,true,right,44,37,right,blue,2007,0
2,381763.3050000295,1,12,4951,blue,true,right,66,12,right,blue,1745,0
3,386061.83000002056,1,9,4942,blue,true,right,98,9,right,blue,1748,0
4,390374.3100001011,1,20,4922,blue,false,left,20,91,right,orange,1749,0
5,394683.8749998715,1,8,4914,blue,true,right,28,8,right,blue,2323,0
6,399568.84000007994,0,0,4914,blue,true,left,30,33,right,orange,2141,0
7,404265.97000006586,0,0,4914,blue,true,right,27,24,left,orange,1772,0
8,408583.964999998,1,58,4856,blue,false,left,58,43,right,orange,1938,0
9,413094.95500009507,0,0,4856,blue,true,left,72,47,right,orange,3247,0
10,418903.004999971,1,44,4812,blue,false,right,44,44,left,orange,2229,0
11,423687.23500007764,1,26,4786,blue,true,right,69,26,right,blue,2449,0
12,428689.6699999925,0,0,4786,blue,true,left,6,41,right,orange,1100,0
13,432344.8649998754,0,0,4786,blue,true,left,88,34,right,orange,2662,0
14,437566.695000045,0,0,4786,blue,false,left,73,18,left,blue,1063,0
15,441177.51999991015,0,0,4786,blue,true,right,60,25,left,orange,1053,0
16,444785.3550000582,0,0,4786,blue,true,right,68,6,left,orange,860,0
17,448190.7699999865,1,48,4738,blue,false,left,48,39,right,orange,2011,0
18,452760.48499997705,0,0,4738,blue,true,right,35,76,left,orange,1553,0
19,456870.76499988325,0,0,4738,blue,true,right,23,85,left,orange,1108,0
20,460534.19000003487,1,22,4716,blue,true,left,54,22,left,blue,2654,0
21,465758.54499987327,1,66,4650,blue,false,right,66,58,left,orange,3863,0
22,472169.1199999768,1,41,4609,blue,true,right,98,41,right,blue,1704,0
23,476426.5799999703,0,0,4609,blue,true,left,58,80,right,orange,3884,0
24,482861.6949999705,0,0,4609,blue,true,left,32,85,right,orange,1747,0
25,487162.66499995254,0,0,4609,blue,false,left,83,15,left,blue,1104,0
26,490821.3649999816,0,0,4609,blue,true,left,18,16,right,orange,3529,0
27,496898.36500003,1,99,4510,blue,true,left,56,99,left,blue,2846,0
28,502309.51500008814,0,0,4510,blue,true,left,23,75,right,orange,1445,0
29,506308.10000002384,0,0,4510,blue,true,right,68,18,left,orange,2310,0
30,511160.33000010066,1,16,4494,blue,true,left,30,16,left,blue,2752,0
31,516469.3199999165,1,37,4457,blue,true,right,86,37,right,blue,3726,0
32,522754.95500001125,1,44,4413,blue,true,right,47,44,right,blue,1812,0
33,527120.1949999668,0,0,4413,blue,true,left,3,91,right,orange,1276,0
34,530950.6099999417,1,60,4353,blue,false,right,60,14,left,orange,2890,0
35,536398.9249998704,0,0,4353,blue,true,left,54,84,right,orange,1560,0
36,540513.724999968,0,0,4353,blue,true,left,34,23,right,orange,2794,0
37,545863.1249999162,1,28,4325,blue,true,right,96,28,right,blue,2124,0
38,550534.9850000348,1,83,4242,blue,false,right,83,94,left,orange,1801,0
39,554888.3599999826,1,86,4156,blue,true,left,63,86,left,blue,1607,0
40,559056.8200000562,1,53,4103,blue,true,right,99,53,right,blue,2673,0
41,564293.4499999974,0,0,4103,blue,true,left,29,91,right,orange,2012,0
42,568853.3149999566,0,0,4103,blue,true,right,88,64,left,orange,3035,0
43,574422.0700000878,0,0,4103,blue,true,left,84,70,right,orange,2579,0
44,579552.9000000097,1,61,4042,blue,false,left,61,88,right,orange,1949,0
45,584047.6649999619,0,0,4042,blue,true,right,61,43,left,orange,2027,0
46,588621.904999949,0,0,4042,blue,true,left,87,54,right,orange,1265,0
47,592429.0000000037,0,0,4042,blue,false,left,5,90,left,blue,901,0
48,605420.6449999474,1,44,3998,blue,true,left,71,44,left,blue,2536,1
49,610516.2700000219,0,0,3998,blue,true,right,42,52,left,orange,2003,0
50,615070.9949999582,1,93,3905,blue,true,left,39,93,left,blue,1640,0
51,619280.594999902,0,0,3905,blue,true,right,39,24,left,orange,1890,0
52,623719.7199999355,0,0,3905,blue,false,left,20,10,left,blue,1588,0
53,627864.1099999659,0,0,3905,blue,false,left,85,43,left,blue,2555,0
54,632978.8599999156,1,77,3828,blue,false,right,77,7,left,orange,1692,0
55,642768.3399999514,0,0,3828,blue,true,left,95,90,right,orange,845,1
56,646185.7900000177,1,7,3821,blue,true,right,56,7,right,blue,1183,0
57,655436.0549999401,1,69,3752,blue,true,right,50,69,right,blue,835,1
58,658835.8000000007,0,0,3752,blue,true,left,4,83,right,orange,2679,0
59,664061.3700000104,0,0,3752,blue,false,right,40,8,right,blue,1132,0
60,667740.4350000434,0,0,3752,blue,true,left,47,86,right,orange,1376,0
61,671654.2400000617,0,0,3752,blue,true,left,15,49,right,orange,1087,0
62,675288.9350000769,1,39,3713,blue,true,left,17,39,left,blue,664,0
63,678513.5999999475,0,0,3713,blue,false,left,76,97,left,blue,2320,0
64,683362.4549999367,1,14,3699,blue,true,right,73,14,right,blue,1620,0
65,687542.0399999712,0,0,3699,blue,true,left,67,29,right,orange,1737,0
66,691831.6599999089,0,0,3699,blue,true,left,48,39,right,orange,1953,0
67,696348.4000000171,1,99,3600,blue,true,left,30,99,left,blue,1333,0
68,700234.2149999458,1,13,3587,blue,false,right,13,20,left,orange,1495,0
69,704284.500000067,0,0,3587,blue,true,right,66,59,left,orange,1523,0
70,708358.2850000821,0,0,3587,blue,true,left,20,60,right,orange,1311,0
71,712210.0899999496,0,0,3587,blue,true,left,41,25,right,orange,1046,0
72,715813.450000016,0,0,3587,blue,false,left,76,70,left,blue,1177,0
73,719539.0099999495,1,73,3514,blue,false,right,73,18,left,orange,599,0
74,722701.2100000866,1,41,3473,blue,false,left,41,80,right,orange,1884,0
75,727148.4499999788,0,0,3473,blue,true,left,25,76,right,orange,2347,0
76,732038.5650000535,1,34,3439,blue,false,left,34,52,right,orange,1243,0
77,735841.8149999343,1,30,3409,blue,false,right,30,60,left,orange,2236,0
78,740637.9100000486,0,0,3409,blue,false,left,91,36,left,blue,3999,0
79,747195.6249999348,1,70,3339,blue,false,right,70,59,left,orange,1210,0
80,756495.3300000634,1,47,3292,blue,true,right,64,47,right,blue,726,1
81,759794.1699998919,1,28,3264,blue,false,right,28,44,left,orange,866,0
82,763212.2049999889,1,2,3262,blue,false,right,2,80,left,orange,1237,0
83,767012.5199998729,0,0,3262,blue,false,left,20,39,left,blue,2206,0
84,771782.5249999296,0,0,3262,blue,false,left,32,61,left,blue,1557,0
85,775884.0649998747,0,0,3262,blue,false,left,90,61,left,blue,644,0
86,779080.5899999104,1,70,3192,blue,true,right,62,70,right,blue,698,0
87,782340.899999952,1,17,3175,blue,false,right,17,33,left,orange,2423,0
88,787320.5399999861,1,74,3101,blue,false,right,74,17,left,orange,1111,0
89,790983.86999988,1,2,3099,blue,false,left,2,85,right,orange,1063,0
90,794605.7100000326,0,0,3099,blue,false,right,39,76,right,blue,2063,0
91,799221.3699999265,0,0,3099,blue,false,right,70,20,right,blue,1150,0
92,802920.6699999049,1,69,3030,blue,true,left,24,69,left,blue,1268,0
93,806755.4450000171,1,52,2978,blue,true,left,59,52,left,blue,876,0
94,814174.2100000847,1,15,2963,blue,false,right,15,43,left,orange,1687,0
95,818407.0850000717,0,0,2963,blue,true,right,50,34,left,orange,698,0
96,821650.0399999786,1,43,2920,blue,false,left,43,48,right,orange,1028,0
97,825227.3099999875,1,35,2885,blue,true,right,14,35,right,blue,2939,0
98,830720.0650000013,0,0,2885,blue,true,right,12,42,left,orange,629,0
99,833901.6400000546,0,0,2885,blue,true,right,40,44,left,orange,1589,0
100,838048.9749999251,1,50,2835,blue,true,right,88,50,right,blue,1081,0
101,841671.6799999122,1,19,2816,blue,true,right,51,19,right,blue,1298,0
102,845532.2650000453,0,0,2816,blue,true,left,44,59,right,orange,1629,0
103,849707.7099999879,1,9,2807,blue,true,left,23,9,left,blue,2313,0
104,854576.0500000324,1,76,2731,blue,true,left,23,76,left,blue,3426,0
105,860568.4549999423,1,47,2684,blue,true,right,94,47,right,blue,1323,0
106,864458.6249999702,0,0,2684,blue,false,left,67,56,left,blue,2024,0
107,869040.7300000079,1,16,2668,blue,true,left,50,16,left,blue,743,0
108,872332.8199998941,1,7,2661,blue,true,left,83,7,left,blue,1682,0
109,876574.435000075,1,41,2620,blue,true,right,86,41,right,blue,1087,0
110,880222.989999922,0,0,2620,blue,true,right,61,37,left,orange,754,0
111,883528.9449999109,1,82,2538,blue,false,left,82,57,right,orange,1087,0
112,887175.9500000626,1,68,2470,blue,false,right,68,28,left,orange,1911,0
113,891645.7950000186,0,0,2470,blue,false,right,65,76,right,blue,934,0
114,895122.8650000412,0,0,2470,blue,false,left,25,19,left,blue,1888,0
115,899563.6899999809,0,0,2470,blue,false,right,67,68,right,blue,594,0
116,902705.5949999485,1,82,2388,blue,false,left,82,68,right,orange,1460,0
117,906721.9000000041,0,0,2388,blue,false,left,88,19,left,blue,1061,0
118,910328.6399999633,1,11,2377,blue,true,left,55,11,left,blue,938,0
119,913818.6200000346,1,36,2341,blue,true,right,74,36,right,blue,1337,0
120,917702.1099999547,0,0,2341,blue,false,right,18,64,right,blue,678,0
121,920932.9099999741,0,0,2341,blue,false,right,15,3,right,blue,1076,0
122,924570.8550000563,0,0,2341,blue,false,left,91,76,left,blue,831,0
123,927952.1599998698,1,66,2275,blue,false,left,66,92,right,orange,814,0
124,931320.4699999187,1,67,2208,blue,false,right,67,14,left,orange,1466,0
125,935340.90499999,0,0,2208,blue,true,left,11,77,right,orange,2553,0
126,940427.2799999453,1,36,2172,blue,false,right,36,20,left,orange,1443,0
127,944418.4850000311,0,0,2172,blue,false,left,44,61,left,blue,1658,0
128,948624.4099999312,1,4,2168,blue,false,right,4,34,left,orange,1375,0
129,952571.3049999904,0,0,2168,blue,false,left,86,63,left,blue,2614,0
130,957733.6500000674,0,0,2168,blue,false,left,99,43,left,blue,1007,0
131,961288.5350000579,0,0,2168,blue,true,left,95,56,right,orange,1535,0
132,965360.3050000966,1,89,2079,blue,false,left,89,63,right,orange,2137,0
133,970056.510000024,1,80,1999,blue,true,right,88,80,right,blue,984,0
134,973593.3850000147,0,0,1999,blue,false,left,5,10,left,blue,1105,0
135,977258.4700000007,0,0,1999,blue,true,right,35,80,left,orange,997,0
136,980813.850000035,0,0,1999,blue,true,right,8,57,left,orange,1090,0
137,984465.2249999344,1,47,1952,blue,true,left,78,47,left,blue,697,0
138,987722.8149999864,0,0,1952,blue,true,left,5,99,right,orange,973,0
139,991233.5900000762,0,0,1952,blue,true,left,62,67,right,orange,1580,0
140,995349.634999875,1,95,1857,blue,false,right,95,27,left,orange,2307,0
