Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,393620.89999997616,1,37,4963,blue,true,right,44,37,right,blue,2105,0
2,398282.60000002384,1,12,4951,blue,true,right,66,12,right,blue,1138,0
3,401991.7000000477,1,9,4942,blue,true,left,98,9,left,blue,3186,0
4,407723.2000000477,1,20,4922,blue,false,left,20,91,right,orange,1646,0
5,411923.39999997616,1,8,4914,blue,true,left,28,8,left,blue,1241,0
6,415712.3000000715,0,0,4914,blue,true,right,30,33,left,orange,2514,0
7,420774.8000000715,0,0,4914,blue,true,left,27,24,right,orange,1329,0
8,424657.2000000477,1,58,4856,blue,false,right,58,43,left,orange,1531,0
9,428765.8000000715,1,47,4809,blue,true,right,72,47,right,blue,1470,0
10,432798.2000000477,1,44,4765,blue,false,left,44,44,right,orange,2114,0
11,437476.10000002384,1,26,4739,blue,true,left,69,26,left,blue,1030,0
12,441058.5,0,0,4739,blue,true,left,6,41,right,orange,829,0
13,444415.2000000477,1,34,4705,blue,true,right,88,34,right,blue,2706,0
14,449662.10000002384,1,73,4632,blue,false,left,73,18,right,orange,641,0
15,452857.60000002384,0,0,4632,blue,true,left,60,25,right,orange,1032,0
16,456431.10000002384,1,6,4626,blue,true,left,68,6,left,blue,805,0
17,459806.89999997616,1,48,4578,blue,false,left,48,39,right,orange,1762,0
18,464132.5,0,0,4578,blue,true,right,35,76,left,orange,1026,0
19,467701.2000000477,0,0,4578,blue,true,left,23,85,right,orange,874,0
20,471111.60000002384,1,22,4556,blue,true,right,54,22,right,blue,1453,0
21,475116.89999997616,1,66,4490,blue,false,left,66,58,right,orange,920,0
22,478589.39999997616,1,41,4449,blue,true,left,98,41,left,blue,962,0
23,482104.2000000477,0,0,4449,blue,true,left,58,80,right,orange,918,0
24,485560.39999997616,0,0,4449,blue,true,left,32,85,right,orange,734,0
25,488861.3000000715,0,0,4449,blue,false,left,83,15,left,blue,1436,0
26,492836.89999997616,0,0,4449,blue,true,left,18,16,right,orange,1872,0
27,497256.2000000477,0,0,4449,blue,true,left,56,99,right,orange,1061,0
28,500853.10000002384,0,0,4449,blue,true,right,23,75,left,orange,1679,0
29,505067.5,1,18,4431,blue,true,right,68,18,right,blue,1014,0
30,508634.7000000477,0,0,4431,blue,true,left,30,16,right,orange,858,0
31,512026.10000002384,1,37,4394,blue,true,right,86,37,right,blue,957,0
32,515561.3000000715,0,0,4394,blue,true,left,47,44,right,orange,829,0
33,518953.60000002384,0,0,4394,blue,true,left,3,91,right,orange,547,0
34,522043.39999997616,0,0,4394,blue,false,right,60,14,right,blue,2057,0
35,526653.6000000238,0,0,4394,blue,true,left,54,84,right,orange,908,0
36,530100.2000000477,0,0,4394,blue,true,left,34,23,right,orange,628,0
37,533275.8999999762,1,28,4366,blue,true,left,96,28,left,blue,1019,0
38,536849.8000000715,1,83,4283,blue,false,right,83,94,left,orange,995,0
39,540395,0,0,4283,blue,true,left,63,86,right,orange,657,0
40,543580.3999999762,1,53,4230,blue,true,right,99,53,right,blue,1046,0
41,547191.2000000477,0,0,4230,blue,true,right,29,91,left,orange,1138,0
42,550879.2000000477,0,0,4230,blue,true,right,88,64,left,orange,1069,0
43,554488.6000000238,0,0,4230,blue,true,left,84,70,right,orange,623,0
44,557661.1000000238,1,61,4169,blue,false,left,61,88,right,orange,854,0
45,561096,0,0,4169,blue,true,right,61,43,left,orange,790,0
46,564420.2000000477,0,0,4169,blue,true,left,87,54,right,orange,978,0
47,567932,1,5,4164,blue,false,right,5,90,left,orange,851,0
48,586446.3000000715,1,44,4120,blue,true,right,71,44,right,blue,3459,2
49,592468.1000000238,1,52,4068,blue,true,left,42,52,left,blue,1563,0
50,596575.8999999762,0,0,4068,blue,true,right,39,93,left,orange,1313,0
