Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,250349.90000000596,1,37,4963,blue,true,left,44,37,left,blue,1261,0
2,254145.40000000596,1,12,4951,blue,true,right,66,12,right,blue,873,0
3,257559.90000000596,1,9,4942,blue,true,right,98,9,right,blue,823,0
4,260916.40000000596,1,20,4922,blue,false,right,20,91,left,orange,968,0
5,264431.200000003,1,8,4914,blue,true,right,28,8,right,blue,907,0
6,267876.60000000894,0,0,4914,blue,true,left,30,33,right,orange,1302,0
7,271710.8000000119,0,0,4914,blue,true,left,27,24,right,orange,1263,0
8,275500.700000003,0,0,4914,blue,false,left,58,43,left,blue,1251,0
9,279289.700000003,1,47,4867,blue,true,left,72,47,left,blue,1395,0
10,283237,1,44,4823,blue,false,right,44,44,left,orange,2561,0
11,288345.3000000119,1,26,4797,blue,true,right,69,26,right,blue,983,0
12,291865.8000000119,0,0,4797,blue,true,right,6,41,left,orange,911,0
13,295314.200000003,1,34,4763,blue,true,right,88,34,right,blue,1455,0
14,299310.90000000596,0,0,4763,blue,false,right,73,18,right,blue,1120,0
15,302970.5,1,25,4738,blue,true,right,60,25,right,blue,1537,0
16,307051,1,6,4732,blue,true,right,68,6,right,blue,2009,0
17,311603.90000000596,0,0,4732,blue,false,left,48,39,left,blue,1192,0
18,315327.60000000894,0,0,4732,blue,true,left,35,76,right,orange,1468,0
19,319349.200000003,0,0,4732,blue,true,left,23,85,right,orange,901,0
20,322783.3000000119,1,22,4710,blue,true,right,54,22,right,blue,1063,0
21,326390.700000003,0,0,4710,blue,false,right,66,58,right,blue,3757,0
22,332684.10000000894,1,41,4669,blue,true,left,98,41,left,blue,1335,0
23,336566.5,0,0,4669,blue,true,left,58,80,right,orange,1251,0
24,340356.90000000596,0,0,4669,blue,true,right,32,85,left,orange,1017,0
25,343906.8000000119,0,0,4669,blue,false,right,83,15,right,blue,1143,0
26,347580.8000000119,0,0,4669,blue,true,right,18,16,left,orange,1785,0
27,351897.8000000119,0,0,4669,blue,true,left,56,99,right,orange,1229,0
28,355667.200000003,0,0,4669,blue,true,left,23,75,right,orange,1000,0
29,359212.90000000596,1,18,4651,blue,true,left,68,18,left,blue,3423,0
30,365191.10000000894,1,16,4635,blue,true,left,30,16,left,blue,2128,0
31,369855,1,37,4598,blue,true,left,86,37,left,blue,1158,0
32,373551,0,0,4598,blue,true,left,47,44,right,orange,1150,0
33,377238.5,0,0,4598,blue,true,left,3,91,right,orange,969,0
34,380751.5,0,0,4598,blue,false,left,60,14,left,blue,2086,0
35,385365.700000003,0,0,4598,blue,true,right,54,84,left,orange,1075,0
