Quiz_round,2,RESULT:,NumberGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,487069.87500000105,1,10,4990,blue,true,right,23,10,right,blue,3537,0
2,493186.0799999995,0,0,4990,blue,true,right,45,97,left,orange,1479,0
3,497235.99499999546,0,0,4990,blue,true,left,54,62,right,orange,1486,0
4,501285.98000000056,0,0,4990,blue,false,right,99,16,right,blue,1450,0
5,505318.6500000011,1,40,4950,blue,true,left,72,40,left,blue,2474,0
6,510382.81499998993,1,88,4862,blue,true,right,98,88,right,blue,2730,0
7,515705.455000003,0,0,4862,blue,true,right,6,54,left,orange,1178,0
8,519435.7299999974,0,0,4862,blue,true,right,64,55,left,orange,2684,0
9,524698.6599999946,1,96,4766,blue,false,left,96,45,right,orange,2213,0
10,529507.7900000033,0,0,4766,blue,true,left,28,19,right,orange,1511,0
11,533606.1649999901,1,26,4740,blue,true,left,95,26,left,blue,1450,0
12,537631.6349999979,0,0,4740,blue,true,right,90,29,left,orange,3279,0
13,543480.469999995,0,0,4740,blue,true,left,20,53,right,orange,1232,0
14,547288.8499999972,0,0,4740,blue,true,right,74,56,left,orange,2819,0
15,552673.8150000019,0,0,4740,blue,true,right,18,42,left,orange,1753,0
16,557001.8899999995,0,0,4740,blue,true,left,11,91,right,orange,1371,0
17,560947.8799999924,1,32,4708,blue,false,left,32,31,right,orange,1152,0
18,564668.7799999927,0,0,4708,blue,true,left,36,65,right,orange,2295,0
19,569507.4749999912,1,40,4668,blue,false,right,40,30,left,orange,2340,0
20,574418.6049999989,0,0,4668,blue,true,right,29,26,left,orange,1683,0
21,578659.1150000022,1,32,4636,blue,false,right,32,36,left,orange,1958,0
22,583196.1099999899,1,81,4555,blue,true,right,72,81,right,blue,2318,0
23,588108.6349999969,1,95,4460,blue,false,left,95,54,right,orange,3191,0
24,593886.5450000012,1,40,4420,blue,false,left,40,59,right,orange,1587,0
25,598053.3649999998,1,29,4391,blue,false,right,29,24,left,orange,1506,0
26,602151.3549999945,1,60,4331,blue,false,left,60,51,right,orange,3093,0
27,607812.1249999967,0,0,4331,blue,false,right,83,65,right,blue,1708,0
28,612075.5499999941,1,98,4233,blue,true,right,78,98,right,blue,1592,0
29,616251.1899999954,0,0,4233,blue,false,right,56,51,right,blue,1093,0
30,619906.8849999894,0,0,4233,blue,false,right,5,20,right,blue,1002,0
31,623470.684999993,0,0,4233,blue,false,right,67,2,right,blue,1631,0
32,627673.5550000012,0,0,4233,blue,false,left,85,84,left,blue,1985,0
33,632216.9449999928,1,49,4184,blue,true,left,7,49,left,blue,1673,0
34,636454.2050000018,0,0,4184,blue,false,left,37,47,left,blue,1749,0
35,640783.454999997,0,0,4184,blue,false,left,27,91,left,blue,1697,0
36,645047.9699999996,0,0,4184,blue,false,left,44,42,left,blue,1573,0
