Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,236238.9100000728,1,10,4990,blue,true,right,23,10,right,blue,2718,0
2,241503.50499991328,0,0,4990,blue,true,right,45,97,left,orange,3255,0
3,247299.8999999836,0,0,4990,blue,true,right,54,62,left,orange,979,0
4,250820.8399999421,0,0,4990,blue,false,right,99,16,right,blue,893,0
5,254246.7399998568,1,40,4950,blue,true,left,72,40,left,blue,1563,0
6,258352.0599999465,1,88,4862,blue,true,left,98,88,left,blue,1058,0
7,261951.58999995328,0,0,4862,blue,true,left,6,54,right,orange,607,0
8,265087.12500007823,0,0,4862,blue,true,right,64,55,left,orange,1772,0
9,269397.6050000638,0,0,4862,blue,false,right,96,45,right,blue,1045,0
10,272977.0150000695,1,19,4843,blue,true,right,28,19,right,blue,1268,0
11,276791.2550000474,1,26,4817,blue,true,left,95,26,left,blue,1584,0
12,280919.95999985375,0,0,4817,blue,true,left,90,29,right,orange,757,0
13,284210.58499999344,0,0,4817,blue,true,right,20,53,left,orange,628,0
14,287367.81500000507,0,0,4817,blue,true,left,74,56,right,orange,1151,0
15,291051.5699998941,0,0,4817,blue,true,right,18,42,left,orange,891,0
16,294485.22499995306,0,0,4817,blue,true,left,11,91,right,orange,910,0
17,297927.32000001706,1,32,4785,blue,false,left,32,31,right,orange,2319,0
18,302796.7049998697,0,0,4785,blue,true,right,36,65,left,orange,901,0
19,306241.96999985725,0,0,4785,blue,false,right,40,30,right,blue,1643,0
20,310421.474999981,0,0,4785,blue,true,right,29,26,left,orange,2387,0
21,315348.1300000567,1,32,4753,blue,false,left,32,36,right,orange,1347,0
22,319236.0149999149,1,81,4672,blue,true,left,72,81,left,blue,1869,0
23,323647.00499991886,0,0,4672,blue,false,left,95,54,left,blue,998,0
24,327179.1399999056,1,40,4632,blue,false,left,40,59,right,orange,815,0
25,330538.38500007987,0,0,4632,blue,false,left,29,24,left,blue,939,0
26,334004.2999999132,0,0,4632,blue,false,right,60,51,right,blue,1101,0
27,337639.36999998987,0,0,4632,blue,false,left,83,65,left,blue,1261,0
28,341436.4400000777,0,0,4632,blue,true,right,78,98,left,orange,1207,0
29,345171.8599998858,1,56,4576,blue,false,right,56,51,left,orange,1862,0
30,349566.9549999293,0,0,4576,blue,false,right,5,20,right,blue,3047,0
31,355144.65999999084,0,0,4576,blue,false,left,67,2,left,blue,1092,0
32,358773.32999999635,0,0,4576,blue,false,left,85,84,left,blue,1803,0
33,363100.34499992616,1,49,4527,blue,true,left,7,49,left,blue,2538,0
34,368184.36999991536,1,37,4490,blue,false,right,37,47,left,orange,1375,0
35,372090.61999991536,1,27,4463,blue,false,left,27,91,right,orange,1079,0
36,375717.9550000001,0,0,4463,blue,false,left,44,42,left,blue,1459,0
37,379704.9849999603,1,55,4408,blue,true,right,31,55,right,blue,1347,0
38,383612.1399998665,0,0,4408,blue,false,right,97,70,right,blue,959,0
39,387103.08500006795,0,0,4408,blue,false,right,14,9,right,blue,671,0
40,390304.27500000224,0,0,4408,blue,true,left,23,51,right,orange,1108,0
41,393944.6000000462,1,79,4329,blue,true,left,89,79,left,blue,1101,0
42,397588.65499985404,0,0,4329,blue,true,left,83,86,right,orange,4006,0
43,404123.755000066,0,0,4329,blue,true,left,40,62,right,orange,1889,0
44,408540.15500005335,0,0,4329,blue,true,right,36,23,left,orange,613,0
45,411680.0299999304,0,0,4329,blue,true,right,65,61,left,orange,1184,0
46,415408.5699999705,1,67,4262,blue,true,right,74,67,right,blue,890,0
47,418845.900000073,0,0,4262,blue,true,left,73,41,right,orange,1439,0
48,426850.9750000667,1,96,4166,blue,false,left,96,54,right,orange,2951,0
49,432347.43000008166,1,88,4078,blue,true,left,86,88,left,blue,1622,0
50,436519.5999999996,0,0,4078,blue,true,left,43,66,right,orange,799,0
51,439851.8149999436,0,0,4078,blue,true,left,72,79,right,orange,1168,0
52,443554.9250000622,0,0,4078,blue,false,right,71,13,right,blue,1160,0
53,447245.5599999521,1,53,4025,blue,true,right,78,53,right,blue,852,0
54,450638.7950000353,0,0,4025,blue,true,right,57,90,left,orange,803,0
55,453976.09999985434,0,0,4025,blue,false,left,3,12,left,blue,1570,0
56,458087.1449999977,1,64,3961,blue,true,right,2,64,right,blue,1248,0
57,461879.1499999352,1,9,3952,blue,true,right,99,9,right,blue,1525,0
58,465939.989999868,0,0,3952,blue,true,right,21,42,left,orange,902,0
59,469384.30500007235,1,72,3880,blue,true,right,83,72,right,blue,1364,0
60,473287.6099999994,0,0,3880,blue,true,right,37,11,left,orange,641,0
61,476455.9649999719,1,67,3813,blue,false,left,67,81,right,orange,604,0
62,479595.96999990754,1,14,3799,blue,true,left,12,14,left,blue,864,0
63,483010.4650000576,1,78,3721,blue,false,right,78,90,left,orange,1003,0
64,486561.99000007473,0,0,3721,blue,false,right,46,53,right,blue,729,0
65,489821.8999998644,0,0,3721,blue,false,right,30,42,right,blue,358,0
66,492721.7299998738,0,0,3721,blue,false,right,36,65,right,blue,332,0
67,495595.53499985486,0,0,3721,blue,false,left,49,49,left,blue,1995,0
68,500131.46000006236,0,0,3721,blue,false,left,44,10,left,blue,1401,0
69,504073.26500001363,0,0,3721,blue,false,left,70,64,left,blue,2074,0
70,508689.76500001736,1,68,3653,blue,false,left,68,95,right,orange,959,0
71,512192.6750000566,0,0,3653,blue,false,right,38,46,right,blue,1254,0
72,515985.4800000321,0,0,3653,blue,false,left,18,24,left,blue,987,0
73,519510.58500004,0,0,3653,blue,false,left,82,78,left,blue,735,0
74,522790.335000027,0,0,3653,blue,false,right,59,54,right,blue,1545,0
75,526879.2349998839,0,0,3653,blue,false,left,36,33,left,blue,1928,0
76,531350.284999935,1,56,3597,blue,true,left,49,56,left,blue,826,0
77,534719.1299998667,1,26,3571,blue,false,left,26,83,right,orange,758,0
78,538016.3399998564,1,38,3533,blue,false,left,38,81,right,orange,1155,0
79,541711.5350000095,0,0,3533,blue,false,right,12,3,right,blue,646,0
80,544895.1499999966,0,0,3533,blue,false,right,62,38,right,blue,490,0
81,547924.764999887,0,0,3533,blue,false,left,43,50,left,blue,490,0
82,550955.8449999895,0,0,3533,blue,false,left,50,47,left,blue,422,0
83,553913.2000000682,1,35,3498,blue,true,left,41,35,left,blue,831,0
84,557289.6149998996,1,9,3489,blue,false,left,9,62,right,orange,336,0
85,560164.9750000797,0,0,3489,blue,false,left,60,58,left,blue,666,0
