Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,453590.00000000006,1,37,4963,blue,true,right,44,37,right,blue,1308,0
2,457430,1,12,4951,blue,true,left,66,12,left,blue,2840,0
3,462792.00000000006,1,9,4942,blue,true,right,98,9,right,blue,1210,0
4,466521,1,20,4922,blue,false,left,20,91,right,orange,2232,0
5,471278,0,0,4922,blue,true,right,28,8,left,orange,1850,0
6,475644,0,0,4922,blue,true,right,30,33,left,orange,1455,0
7,479614.00000000006,1,24,4898,blue,true,left,27,24,left,blue,3266,0
8,485400.00000000006,1,58,4840,blue,false,right,58,43,left,orange,1982,0
9,489904,1,47,4793,blue,true,left,72,47,left,blue,1368,0
10,493792.00000000006,1,44,4749,blue,false,right,44,44,left,orange,2697,0
11,499009,1,26,4723,blue,true,right,69,26,right,blue,1038,0
12,502569,0,0,4723,blue,true,right,6,41,left,orange,1011,0
13,506096,0,0,4723,blue,true,right,88,34,left,orange,1171,0
14,509782,1,73,4650,blue,false,left,73,18,right,orange,1960,0
15,514264,0,0,4650,blue,true,left,60,25,right,orange,1271,0
16,518051.00000000006,0,0,4650,blue,true,right,68,6,left,orange,1721,0
17,522287.00000000006,1,48,4602,blue,false,left,48,39,right,orange,1178,0
18,525987,0,0,4602,blue,true,right,35,76,left,orange,2010,0
19,530513,1,85,4517,blue,true,left,23,85,left,blue,2038,0
20,535071,0,0,4517,blue,true,right,54,22,left,orange,1141,0
21,538727,1,66,4451,blue,false,right,66,58,left,orange,1257,0
22,542505,1,41,4410,blue,true,right,98,41,right,blue,1591,0
23,546617,1,80,4330,blue,true,left,58,80,left,blue,1318,0
24,550453,0,0,4330,blue,true,right,32,85,left,orange,1455,0
25,554422,1,83,4247,blue,false,left,83,15,right,orange,974,0
26,557916,0,0,4247,blue,true,right,18,16,left,orange,2407,0
27,562840,0,0,4247,blue,true,right,56,99,left,orange,1561,0
28,566916,0,0,4247,blue,true,left,23,75,right,orange,1357,0
29,570790,0,0,4247,blue,true,right,68,18,left,orange,1017,0
30,574324,0,0,4247,blue,true,right,30,16,left,orange,1725,0
31,578571,1,37,4210,blue,true,right,86,37,right,blue,1388,0
32,582476,0,0,4210,blue,true,right,47,44,left,orange,1308,0
33,586302,0,0,4210,blue,true,right,3,91,left,orange,2036,0
34,590855,1,60,4150,blue,false,left,60,14,right,orange,1059,0
35,594433,0,0,4150,blue,true,right,54,84,left,orange,1343,0
36,598292,0,0,4150,blue,true,right,34,23,left,orange,1390,0
37,602198,0,0,4150,blue,true,left,96,28,right,orange,1814,0
38,606526.0000000001,1,83,4067,blue,false,left,83,94,right,orange,1684,0
39,610730,0,0,4067,blue,true,right,63,86,left,orange,2350,0
40,615599,1,53,4014,blue,true,left,99,53,left,blue,1499,0
41,619617,0,0,4014,blue,true,left,29,91,right,orange,1326,0
42,623459.0000000001,0,0,4014,blue,true,left,88,64,right,orange,1949,0
43,627923,0,0,4014,blue,true,right,84,70,left,orange,2050,0
44,632490,1,61,3953,blue,false,right,61,88,left,orange,2955,0
45,637966,1,43,3910,blue,true,right,61,43,right,blue,1247,0
46,641735,0,0,3910,blue,true,left,87,54,right,orange,2098,0
47,646347,1,5,3905,blue,false,left,5,90,right,orange,785,0
48,653654,0,0,3905,blue,true,left,71,44,right,orange,3644,0
49,659816,1,52,3853,blue,true,right,42,52,right,blue,1104,0
50,663440,1,93,3760,blue,true,right,39,93,right,blue,1554,0
51,667514,0,0,3760,blue,true,left,39,24,right,orange,922,0
52,670951,1,20,3740,blue,false,left,20,10,right,orange,914,0
53,674383,1,85,3655,blue,false,right,85,43,left,orange,1353,0
54,678254,1,77,3578,blue,false,left,77,7,right,orange,1435,0
55,682208,1,90,3488,blue,true,left,95,90,left,blue,1076,0
56,685802,0,0,3488,blue,true,right,56,7,left,orange,1384,0
57,689701,0,0,3488,blue,true,right,50,69,left,orange,1025,0
58,693241,1,83,3405,blue,true,right,4,83,right,blue,854,0
59,696614,1,40,3365,blue,false,right,40,8,left,orange,1546,0
60,700681,0,0,3365,blue,true,left,47,86,right,orange,807,0
61,704007.0000000001,0,0,3365,blue,true,left,15,49,right,orange,783,0
62,707306,0,0,3365,blue,true,right,17,39,left,orange,1400,0
63,711221,0,0,3365,blue,false,right,76,97,right,blue,836,0
64,714572,0,0,3365,blue,true,right,73,14,left,orange,1189,0
65,718277,0,0,3365,blue,true,left,67,29,right,orange,1102,0
66,721895,0,0,3365,blue,true,left,48,39,right,orange,1051,0
67,725461,1,99,3266,blue,true,right,30,99,right,blue,1726,0
68,729706,1,13,3253,blue,false,left,13,20,right,orange,965,0
69,733190,0,0,3253,blue,true,right,66,59,left,orange,1354,0
70,737059,0,0,3253,blue,true,left,20,60,right,orange,959,0
71,740535,0,0,3253,blue,true,right,41,25,left,orange,724,0
72,743774,0,0,3253,blue,false,left,76,70,left,blue,635,0
73,746923,1,73,3180,blue,false,left,73,18,right,orange,763,0
74,750203,1,41,3139,blue,false,right,41,80,left,orange,1148,0
75,753870,1,76,3063,blue,true,left,25,76,left,blue,682,0
76,757071,1,34,3029,blue,false,right,34,52,left,orange,810,0
77,760402,1,30,2999,blue,false,right,30,60,left,orange,1004,0
78,763925.0000000001,1,91,2908,blue,false,left,91,36,right,orange,1030,0
