Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,220648,1,37,4963,blue,true,left,44,37,left,blue,2080,0
2,225244.60000000894,0,0,4963,blue,true,right,66,12,left,orange,785,0
3,228549.70000000298,0,0,4963,blue,true,right,98,9,left,orange,771,0
4,231841.10000000894,1,20,4943,blue,false,right,20,91,left,orange,1024,0
5,235387.40000000596,1,8,4935,blue,true,left,28,8,left,blue,1589,0
6,239499.40000000596,0,0,4935,blue,true,left,30,33,right,orange,1023,0
7,243045.10000000894,0,0,4935,blue,true,left,27,24,right,orange,758,0
8,246315.40000000596,1,58,4877,blue,false,right,58,43,left,orange,489,0
9,249329,0,0,4877,blue,true,right,72,47,left,orange,363,0
10,252206.20000000298,1,44,4833,blue,false,right,44,44,left,orange,2216,0
11,256945.80000001192,1,26,4807,blue,true,right,69,26,right,blue,934,0
12,260399.80000001192,0,0,4807,blue,true,left,6,41,right,orange,667,0
13,263580.10000000894,1,34,4773,blue,true,left,88,34,left,blue,792,0
14,266893.10000000894,1,73,4700,blue,false,right,73,18,left,orange,744,0
15,270156.10000000894,0,0,4700,blue,true,left,60,25,right,orange,394,0
16,273068.5,0,0,4700,blue,true,right,68,6,left,orange,488,0
17,276074.3000000119,1,48,4652,blue,false,left,48,39,right,orange,453,0
18,279048.700000003,0,0,4652,blue,true,right,35,76,left,orange,399,0
19,281964.90000000596,0,0,4652,blue,true,right,23,85,left,orange,1161,0
20,285644,0,0,4652,blue,true,right,54,22,left,orange,754,0
21,288914.8000000119,1,66,4586,blue,false,right,66,58,left,orange,748,0
22,292190,0,0,4586,blue,true,right,98,41,left,orange,877,0
23,295582.200000003,0,0,4586,blue,true,right,58,80,left,orange,595,0
24,298695.700000003,1,85,4501,blue,true,right,32,85,right,blue,460,0
25,301676.200000003,0,0,4501,blue,false,right,83,15,right,blue,368,0
26,304558.60000000894,1,16,4485,blue,true,left,18,16,left,blue,575,0
27,307657.8000000119,0,0,4485,blue,true,right,56,99,left,orange,449,0
28,310617.90000000596,0,0,4485,blue,true,right,23,75,left,orange,569,0
29,313701.3000000119,0,0,4485,blue,true,left,68,18,right,orange,784,0
30,317002.40000000596,1,16,4469,blue,true,left,30,16,left,blue,417,0
31,319941,0,0,4469,blue,true,right,86,37,left,orange,1197,0
32,323658.8000000119,0,0,4469,blue,true,right,47,44,left,orange,517,0
33,326696.3000000119,0,0,4469,blue,true,right,3,91,left,orange,627,0
34,329839.90000000596,0,0,4469,blue,false,left,60,14,left,blue,617,0
35,332973.700000003,1,84,4385,blue,true,left,54,84,left,blue,598,0
36,336090.60000000894,0,0,4385,blue,true,right,34,23,left,orange,402,0
37,339005.5,1,28,4357,blue,true,left,96,28,left,blue,538,0
38,342066.8000000119,1,83,4274,blue,false,right,83,94,left,orange,293,0
39,344880,0,0,4274,blue,true,right,63,86,left,orange,331,0
40,347727.700000003,0,0,4274,blue,true,right,99,53,left,orange,420,0
41,350663.200000003,0,0,4274,blue,true,right,29,91,left,orange,388,0
42,353570.700000003,1,64,4210,blue,true,right,88,64,right,blue,412,0
43,356506.200000003,0,0,4210,blue,true,right,84,70,left,orange,519,0
44,359540.90000000596,0,0,4210,blue,false,left,61,88,left,blue,727,0
45,362783.3000000119,0,0,4210,blue,true,left,61,43,right,orange,431,0
46,365726.10000000894,0,0,4210,blue,true,right,87,54,left,orange,421,0
47,368664.8000000119,1,5,4205,blue,false,right,5,90,left,orange,358,0
48,375551.700000003,0,0,4205,blue,true,right,71,44,left,orange,1224,0
49,379295.8000000119,0,0,4205,blue,true,right,42,52,left,orange,480,0
50,382290.60000000894,1,93,4112,blue,true,right,39,93,right,blue,512,0
51,385321.90000000596,1,24,4088,blue,true,left,39,24,left,blue,406,0
52,388248.5,1,20,4068,blue,false,left,20,10,right,orange,500,0
53,391270,1,85,3983,blue,false,right,85,43,left,orange,818,0
54,394605.5,1,77,3906,blue,false,right,77,7,left,orange,1028,0
55,398155.700000003,0,0,3906,blue,true,right,95,90,left,orange,312,0
56,400984.700000003,1,7,3899,blue,true,left,56,7,left,blue,417,0
57,403928.10000000894,1,69,3830,blue,true,left,50,69,left,blue,698,0
58,407146.5,0,0,3830,blue,true,left,4,83,right,orange,471,0
59,410135.200000003,1,40,3790,blue,false,left,40,8,right,orange,393,0
60,413046.200000003,0,0,3790,blue,true,left,47,86,right,orange,402,0
61,415964.10000000894,0,0,3790,blue,true,right,15,49,left,orange,334,0
62,418822.200000003,0,0,3790,blue,true,right,17,39,left,orange,332,0
63,421668.8000000119,1,76,3714,blue,false,left,76,97,right,orange,376,0
64,424565.200000003,0,0,3714,blue,true,right,73,14,left,orange,444,0
65,427525.40000000596,0,0,3714,blue,true,right,67,29,left,orange,611,0
66,430651.5,0,0,3714,blue,true,left,48,39,right,orange,758,0
67,433927.10000000894,1,99,3615,blue,true,left,30,99,left,blue,612,0
68,437059.5,1,13,3602,blue,false,left,13,20,right,orange,441,0
69,440022.700000003,0,0,3602,blue,true,right,66,59,left,orange,774,0
70,443321,0,0,3602,blue,true,right,20,60,left,orange,330,0
71,446175.700000003,1,25,3577,blue,true,right,41,25,right,blue,940,0
72,449638.40000000596,1,76,3501,blue,false,right,76,70,left,orange,466,0
73,452626.10000000894,1,73,3428,blue,false,left,73,18,right,orange,325,0
74,455473.200000003,1,41,3387,blue,false,right,41,80,left,orange,326,0
75,458322,0,0,3387,blue,true,left,25,76,right,orange,325,0
76,461161.700000003,1,34,3353,blue,false,right,34,52,left,orange,416,0
77,464106.10000000894,0,0,3353,blue,false,left,30,60,left,blue,481,0
78,467105.40000000596,0,0,3353,blue,false,left,91,36,left,blue,571,0
79,470193.8000000119,0,0,3353,blue,false,left,70,59,left,blue,409,0
80,473124.60000000894,1,47,3306,blue,true,left,64,47,left,blue,419,0
81,476062.700000003,0,0,3306,blue,false,right,28,44,right,blue,364,0
82,478944.5,0,0,3306,blue,false,right,2,80,right,blue,732,0
83,482195.5,0,0,3306,blue,false,left,20,39,left,blue,732,0
84,485442.40000000596,0,0,3306,blue,false,right,32,61,right,blue,541,0
85,488496.8000000119,1,90,3216,blue,false,right,90,61,left,orange,465,0
86,491480.90000000596,1,70,3146,blue,true,left,62,70,left,blue,493,0
87,494497.40000000596,0,0,3146,blue,false,left,17,33,left,blue,371,0
88,497386.200000003,0,0,3146,blue,false,right,74,17,right,blue,769,0
89,500671.10000000894,0,0,3146,blue,false,right,2,85,right,blue,422,0
90,503614.3000000119,1,39,3107,blue,false,right,39,76,left,orange,399,0
91,506533,1,70,3037,blue,false,right,70,20,left,orange,345,0
92,509397.3000000119,0,0,3037,blue,true,left,24,69,right,orange,615,0
93,512531.3000000119,1,52,2985,blue,true,right,59,52,right,blue,417,0
94,519462.5,1,15,2970,blue,false,right,15,43,left,orange,819,0
95,522803.8000000119,1,34,2936,blue,true,left,50,34,left,blue,645,0
96,525965.900000006,1,43,2893,blue,false,right,43,48,left,orange,432,0
97,528920.1000000089,1,35,2858,blue,true,right,14,35,right,blue,431,0
98,531872.1000000089,1,42,2816,blue,true,left,12,42,left,blue,415,0
99,534808.700000003,0,0,2816,blue,true,right,40,44,left,orange,421,0
100,537746.8000000119,0,0,2816,blue,true,right,88,50,left,orange,405,0
101,540670.5,0,0,2816,blue,true,right,51,19,left,orange,379,0
102,543568.3000000119,0,0,2816,blue,true,left,44,59,right,orange,442,0
103,546521.3000000119,1,9,2807,blue,true,left,23,9,left,blue,748,0
104,549793.700000003,1,76,2731,blue,true,right,23,76,right,blue,376,0
105,552688.8000000119,1,47,2684,blue,true,left,94,47,left,blue,371,0
106,555584,0,0,2684,blue,false,left,67,56,left,blue,311,0
107,558415.400000006,0,0,2684,blue,true,left,50,16,right,orange,421,0
108,561350.1000000089,0,0,2684,blue,true,left,83,7,right,orange,344,0
109,564213.8000000119,0,0,2684,blue,true,left,86,41,right,orange,322,0
110,567048.1000000089,0,0,2684,blue,true,left,61,37,right,orange,325,0
111,569886.1000000089,0,0,2684,blue,false,right,82,57,right,blue,746,0
112,573152.5,1,68,2616,blue,false,left,68,28,right,orange,396,0
113,576068.900000006,1,65,2551,blue,false,left,65,76,right,orange,335,0
114,578928.1000000089,1,25,2526,blue,false,right,25,19,left,orange,506,0
115,581952.900000006,1,67,2459,blue,false,right,67,68,left,orange,114,0
116,584588.3000000119,1,82,2377,blue,false,right,82,68,left,orange,313,0
117,587425.3000000119,1,88,2289,blue,false,right,88,19,left,orange,379,0
118,590326.200000003,1,11,2278,blue,true,right,55,11,right,blue,522,0
119,593369.200000003,1,36,2242,blue,true,right,74,36,right,blue,381,0
120,596270.3000000119,1,18,2224,blue,false,left,18,64,right,orange,371,0
121,599159.5,0,0,2224,blue,false,right,15,3,right,blue,896,0
122,602573.700000003,0,0,2224,blue,false,left,91,76,left,blue,384,0
123,605474.8000000119,0,0,2224,blue,false,left,66,92,left,blue,388,0
124,608383.1000000089,0,0,2224,blue,false,right,67,14,right,blue,433,0
125,611333.5,1,77,2147,blue,true,left,11,77,left,blue,403,0
126,614258.3000000119,1,36,2111,blue,false,left,36,20,right,orange,313,0
127,617091,0,0,2111,blue,false,right,44,61,right,blue,22,0
128,619635,1,4,2107,blue,false,right,4,34,left,orange,751,0
129,622907.200000003,0,0,2107,blue,false,left,86,63,left,blue,553,0
130,625976.900000006,0,0,2107,blue,false,left,99,43,left,blue,60,0
131,628552.3000000119,0,0,2107,blue,true,left,95,56,right,orange,362,0
132,631430.400000006,0,0,2107,blue,false,left,89,63,left,blue,581,0
133,634526.900000006,0,0,2107,blue,true,right,88,80,left,orange,397,0
134,637439.5,0,0,2107,blue,false,left,5,10,left,blue,374,0
135,640332.3000000119,1,80,2027,blue,true,left,35,80,left,blue,319,0
136,643173.200000003,1,57,1970,blue,true,right,8,57,right,blue,335,0
137,646026.3000000119,1,47,1923,blue,true,right,78,47,right,blue,389,0
138,648936.3000000119,0,0,1923,blue,true,left,5,99,right,orange,387,0
139,651843.700000003,0,0,1923,blue,true,left,62,67,right,orange,391,0
140,654750.6000000089,1,95,1828,blue,false,left,95,27,right,orange,455,0
