Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,297261,1,37,4963,blue,true,right,44,37,right,blue,3782,0
2,303568,1,12,4951,blue,true,right,66,12,right,blue,2586,0
3,308682,1,9,4942,blue,true,right,98,9,right,blue,1415,0
4,312621,1,20,4922,blue,false,left,20,91,right,orange,3630,0
5,318781,1,8,4914,blue,true,right,28,8,right,blue,3542,0
6,335886,0,0,4914,blue,true,right,30,33,left,orange,2075,2
7,340483,0,0,4914,blue,true,left,27,24,right,orange,1246,0
8,344247,1,58,4856,blue,false,left,58,43,right,orange,1374,0
9,348151,1,47,4809,blue,true,left,72,47,left,blue,1333,0
10,352010,1,44,4765,blue,false,right,44,44,left,orange,2101,0
11,356635,1,26,4739,blue,true,right,69,26,right,blue,1481,0
12,360638,0,0,4739,blue,true,left,6,41,right,orange,1420,0
13,364584,1,34,4705,blue,true,left,88,34,left,blue,3504,0
14,370617,0,0,4705,blue,false,right,73,18,right,blue,1586,0
15,374723,1,25,4680,blue,true,left,60,25,left,blue,2116,0
16,379369,1,6,4674,blue,true,right,68,6,right,blue,1429,0
17,383323,1,48,4626,blue,false,right,48,39,left,orange,1785,0
18,387633,0,0,4626,blue,true,right,35,76,left,orange,2966,0
19,393119,0,0,4626,blue,true,right,23,85,left,orange,1919,0
20,397560,0,0,4626,blue,true,right,54,22,left,orange,818,0
21,400900,1,66,4560,blue,false,left,66,58,right,orange,2621,0
22,406050,1,41,4519,blue,true,right,98,41,right,blue,1231,0
23,409809,0,0,4519,blue,true,right,58,80,left,orange,922,0
24,413250,0,0,4519,blue,true,left,32,85,right,orange,1355,0
25,417122,1,83,4436,blue,false,left,83,15,right,orange,1759,0
26,421400,1,16,4420,blue,true,left,18,16,left,blue,1286,0
27,425210,0,0,4420,blue,true,left,56,99,right,orange,1743,0
28,429469,0,0,4420,blue,true,left,23,75,right,orange,799,0
29,432785,0,0,4420,blue,true,right,68,18,left,orange,900,0
30,436202,0,0,4420,blue,true,left,30,16,right,orange,713,0
31,439436,0,0,4420,blue,true,right,86,37,left,orange,1056,0
32,443008,0,0,4420,blue,true,left,47,44,right,orange,778,0
33,446319,0,0,4420,blue,true,left,3,91,right,orange,889,0
34,449729,1,60,4360,blue,false,right,60,14,left,orange,714,0
35,452967,1,84,4276,blue,true,right,54,84,right,blue,1830,0
36,457327,0,0,4276,blue,true,right,34,23,left,orange,855,0
37,460698,0,0,4276,blue,true,right,96,28,left,orange,1587,0
38,464806,1,83,4193,blue,false,left,83,94,right,orange,1259,0
39,468593,0,0,4193,blue,true,left,63,86,right,orange,825,0
40,471935,0,0,4193,blue,true,left,99,53,right,orange,1355,0
41,475807,0,0,4193,blue,true,right,29,91,left,orange,1072,0
42,479397,0,0,4193,blue,true,left,88,64,right,orange,1144,0
43,483063,0,0,4193,blue,true,right,84,70,left,orange,719,0
44,486301,1,61,4132,blue,false,right,61,88,left,orange,804,0
45,489630,0,0,4132,blue,true,left,61,43,right,orange,1387,0
46,493532,0,0,4132,blue,true,left,87,54,right,orange,844,0
47,496896,1,5,4127,blue,false,left,5,90,right,orange,836,0
48,504267,0,0,4127,blue,true,right,71,44,left,orange,2468,0
49,509259,0,0,4127,blue,true,right,42,52,left,orange,703,0
50,512486,0,0,4127,blue,true,left,39,93,right,orange,1111,0
