Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,236441.98000000324,1,37,4963,blue,true,left,44,37,left,blue,1191,0
2,240171.89499997767,1,12,4951,blue,true,right,66,12,right,blue,1182,0
3,243884.88999998663,1,9,4942,blue,true,right,98,9,right,blue,941,0
4,247352.62499999953,0,0,4942,blue,false,right,20,91,right,blue,1506,0
5,251376.0149999871,1,8,4934,blue,true,right,28,8,right,blue,939,0
6,254852.5549999904,1,33,4901,blue,true,right,30,33,right,blue,1408,0
7,258797.20999998972,1,24,4877,blue,true,left,27,24,left,blue,973,0
8,262310.7149999705,1,58,4819,blue,false,left,58,43,right,orange,1522,0
9,266367.2399999923,0,0,4819,blue,true,right,72,47,left,orange,1084,0
10,269980.7049999945,1,44,4775,blue,false,right,44,44,left,orange,1326,0
11,273841.2499999977,1,26,4749,blue,true,right,69,26,right,blue,786,0
12,277163.88000000734,0,0,4749,blue,true,right,6,41,left,orange,903,0
13,280601.57999995863,1,34,4715,blue,true,left,88,34,left,blue,1817,0
14,284965.5649999622,1,73,4642,blue,false,right,73,18,left,orange,949,0
15,288447.01499998337,0,0,4642,blue,true,left,60,25,right,orange,1068,0
16,292059.8749999772,0,0,4642,blue,true,left,68,6,right,orange,806,0
17,295391.5299999644,1,48,4594,blue,false,left,48,39,right,orange,835,0
18,298770.3249999904,1,76,4518,blue,true,left,35,76,left,blue,1009,0
19,302317.3250000109,0,0,4518,blue,true,left,23,85,right,orange,925,0
20,305779.9449999584,0,0,4518,blue,true,left,54,22,right,orange,1238,0
21,309560.91499998,1,66,4452,blue,false,left,66,58,right,orange,1209,0
22,313312.15499999234,1,41,4411,blue,true,left,98,41,left,blue,787,0
23,316638.74500000384,0,0,4411,blue,true,left,58,80,right,orange,820,0
24,319986.68999999063,1,85,4326,blue,true,right,32,85,right,blue,1488,0
25,324015.9149999963,0,0,4326,blue,false,left,83,15,left,blue,763,0
26,327304.83999999706,1,16,4310,blue,true,left,18,16,left,blue,794,0
27,330625.2150000073,1,99,4211,blue,true,right,56,99,right,blue,969,0
28,334124.7849999927,1,75,4136,blue,true,left,23,75,left,blue,1006,0
29,337671.3349999627,1,18,4118,blue,true,left,68,18,left,blue,315,0
30,340519.6649999707,1,16,4102,blue,true,left,30,16,left,blue,171,0
31,343233.5949999979,1,37,4065,blue,true,left,86,37,left,blue,577,0
32,346349.02500000317,1,44,4021,blue,true,left,47,44,left,blue,438,0
33,349329.0149999666,0,0,4021,blue,true,left,3,91,right,orange,594,0
34,352461.9550000061,1,60,3961,blue,false,right,60,14,left,orange,501,0
35,355507.44499999564,0,0,3961,blue,true,left,54,84,right,orange,464,0
36,358504.5149999787,1,23,3938,blue,true,right,34,23,right,blue,1051,0
37,362085.62999998685,0,0,3938,blue,true,right,96,28,left,orange,765,0
38,365381.5900000045,1,83,3855,blue,false,right,83,94,left,orange,550,0
39,368462.13499997975,1,86,3769,blue,true,right,63,86,right,blue,478,0
40,371476.0750000132,0,0,3769,blue,true,right,99,53,left,orange,648,0
41,374658.28500001226,0,0,3769,blue,true,left,29,91,right,orange,417,0
42,377597.4799999967,0,0,3769,blue,true,right,88,64,left,orange,966,0
43,381104.35499995947,0,0,3769,blue,true,left,84,70,right,orange,851,0
44,384499.9349999707,1,61,3708,blue,false,left,61,88,right,orange,359,0
45,387396.8749999767,0,0,3708,blue,true,left,61,43,right,orange,238,0
46,390177.6700000046,1,54,3654,blue,true,right,87,54,right,blue,264,0
47,392976.5250000055,0,0,3654,blue,false,right,5,90,right,blue,276,0
48,399796.9949999824,0,0,3654,blue,true,left,71,44,right,orange,3728,0
49,406065.5549999792,1,52,3602,blue,true,left,42,52,left,blue,281,0
