Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,264966.2100000005,1,37,4963,blue,true,right,44,37,right,blue,2684,0
2,270213.5449999987,0,0,4963,blue,true,right,66,12,left,orange,1864,0
3,274638.8449999995,1,9,4954,blue,true,right,98,9,right,blue,2731,0
4,279947.15499999985,1,20,4934,blue,false,right,20,91,left,orange,2444,0
5,284950.95000000036,0,0,4934,blue,true,left,28,8,right,orange,1324,0
6,288829.6649999993,0,0,4934,blue,true,right,30,33,left,orange,1198,0
7,292582.29500000016,0,0,4934,blue,true,left,27,24,right,orange,2117,0
8,297243.54999999923,1,58,4876,blue,false,left,58,43,right,orange,2175,0
9,301998.08999999915,0,0,4876,blue,true,right,72,47,left,orange,1759,0
10,306303.36499999976,1,44,4832,blue,false,left,44,44,right,orange,1814,0
11,310673.53,0,0,4832,blue,true,right,69,26,left,orange,2349,0
12,315574.3499999989,0,0,4832,blue,true,right,6,41,left,orange,2488,0
13,320621.0200000005,0,0,4832,blue,true,right,88,34,left,orange,2115,0
14,325275.67499999894,0,0,4832,blue,false,left,73,18,left,blue,3102,0
15,336463.35,1,25,4807,blue,true,left,60,25,left,blue,1761,1
16,340767.9150000004,1,6,4801,blue,true,left,68,6,left,blue,1535,0
17,344876.1049999994,1,48,4753,blue,false,right,48,39,left,orange,761,0
18,348212.4000000004,0,0,4753,blue,true,left,35,76,right,orange,1973,0
19,352734.7049999989,0,0,4753,blue,true,right,23,85,left,orange,1603,0
20,356879.26499999955,0,0,4753,blue,true,left,54,22,right,orange,1678,0
21,361100.58500000014,1,66,4687,blue,false,right,66,58,left,orange,1571,0
22,365239.2949999994,0,0,4687,blue,true,right,98,41,left,orange,1926,0
23,369714.07499999984,0,0,4687,blue,true,left,58,80,right,orange,1932,0
24,379727.7300000005,1,85,4602,blue,true,right,32,85,right,blue,1629,1
25,383913.81,1,83,4519,blue,false,right,83,15,left,orange,1240,0
26,387715.7100000004,0,0,4519,blue,true,right,18,16,left,orange,889,0
27,391157.3049999988,0,0,4519,blue,true,right,56,99,left,orange,1406,0
28,395113.54000000027,0,0,4519,blue,true,right,23,75,left,orange,876,0
29,398534.4449999993,0,0,4519,blue,true,left,68,18,right,orange,1393,0
30,402459.64499999897,0,0,4519,blue,true,left,30,16,right,orange,1624,0
31,406626.53499999945,1,37,4482,blue,true,left,86,37,left,blue,1517,0
32,410701.3599999991,0,0,4482,blue,true,left,47,44,right,orange,3546,0
33,416801.6950000001,0,0,4482,blue,true,left,3,91,right,orange,1568,0
34,420905.9550000002,1,60,4422,blue,false,right,60,14,left,orange,1540,0
35,424996.8549999994,0,0,4422,blue,true,right,54,84,left,orange,656,0
36,428202.1449999993,0,0,4422,blue,true,right,34,23,left,orange,1162,0
37,431911.9549999996,0,0,4422,blue,true,right,96,28,left,orange,1674,0
38,436145.6849999995,1,83,4339,blue,false,right,83,94,left,orange,2590,0
39,441311.23499999923,1,86,4253,blue,true,left,63,86,left,blue,2017,0
40,445885.31499999954,0,0,4253,blue,true,left,99,53,right,orange,1229,0
41,449665.7899999991,0,0,4253,blue,true,left,29,91,right,orange,1727,0
42,453940.3199999997,0,0,4253,blue,true,left,88,64,right,orange,1349,0
43,457845.4499999989,0,0,4253,blue,true,right,84,70,left,orange,1273,0
44,461670.4950000003,1,61,4192,blue,false,right,61,88,left,orange,1361,0
45,465592.38000000006,0,0,4192,blue,true,right,61,43,left,orange,2273,0
46,470413.4799999993,0,0,4192,blue,true,right,87,54,left,orange,1302,0
47,474273.82000000036,1,5,4187,blue,false,right,5,90,left,orange,1239,0
48,482073.03999999934,0,0,4187,blue,true,right,71,44,left,orange,3621,0
49,488242.58499999996,0,0,4187,blue,true,left,42,52,right,orange,1716,0
50,492514.55499999976,0,0,4187,blue,true,right,39,93,left,orange,987,0
51,496044.41000000044,0,0,4187,blue,true,right,39,24,left,orange,1215,0
52,499814.62499999907,1,20,4167,blue,false,right,20,10,left,orange,1478,0
