Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,542515,1,37,4963,blue,true,right,44,37,right,blue,1869,0
2,546905,1,12,4951,blue,true,left,66,12,left,blue,1664,0
3,551086,1,9,4942,blue,true,left,98,9,left,blue,1447,0
4,555050.0000000001,1,20,4922,blue,false,left,20,91,right,orange,2174,0
5,559741,1,8,4914,blue,true,right,28,8,right,blue,1366,0
6,563624,0,0,4914,blue,true,right,30,33,left,orange,2409,0
7,568546,0,0,4914,blue,true,left,27,24,right,orange,2668,0
8,573729,1,58,4856,blue,false,left,58,43,right,orange,2242,0
9,578487,1,47,4809,blue,true,right,72,47,right,blue,1969,0
10,582975,1,44,4765,blue,false,right,44,44,left,orange,2734,0
11,588225,1,26,4739,blue,true,left,69,26,left,blue,2045,0
12,592786,0,0,4739,blue,true,left,6,41,right,orange,1703,0
13,597002.0000000001,1,34,4705,blue,true,left,88,34,left,blue,1236,0
14,600755,0,0,4705,blue,false,left,73,18,left,blue,1467,0
15,604735,1,25,4680,blue,true,left,60,25,left,blue,2411,0
16,609664,1,6,4674,blue,true,left,68,6,left,blue,1054,0
17,613233.0000000001,1,48,4626,blue,false,right,48,39,left,orange,3213,0
18,618962,0,0,4626,blue,true,left,35,76,right,orange,1485,0
19,622961,0,0,4626,blue,true,left,23,85,right,orange,1011,0
20,626484,1,22,4604,blue,true,right,54,22,right,blue,1710,0
21,636221,1,66,4538,blue,false,left,66,58,right,orange,1862,1
22,640603.0000000001,1,41,4497,blue,true,right,98,41,right,blue,1013,0
23,644132.0000000001,0,0,4497,blue,true,left,58,80,right,orange,2291,0
24,648934,0,0,4497,blue,true,right,32,85,left,orange,963,0
25,652411,0,0,4497,blue,false,left,83,15,left,blue,1174,0
26,656098.0000000001,0,0,4497,blue,true,right,18,16,left,orange,962,0
27,659571,0,0,4497,blue,true,right,56,99,left,orange,1837,0
28,663922,0,0,4497,blue,true,left,23,75,right,orange,896,0
29,667331,1,18,4479,blue,true,left,68,18,left,blue,1083,0
30,670930.0000000001,1,16,4463,blue,true,right,30,16,right,blue,1769,0
31,675215,1,37,4426,blue,true,left,86,37,left,blue,867,0
32,678598.0000000001,0,0,4426,blue,true,left,47,44,right,orange,2862,0
33,683975,0,0,4426,blue,true,right,3,91,left,orange,844,0
34,687331,1,60,4366,blue,false,left,60,14,right,orange,1401,0
35,691247.0000000001,0,0,4366,blue,true,right,54,84,left,orange,2007,0
36,695765,1,23,4343,blue,true,left,34,23,left,blue,1426,0
37,699707,1,28,4315,blue,true,left,96,28,left,blue,1303,0
38,703523,1,83,4232,blue,false,left,83,94,right,orange,2760,0
39,708798,0,0,4232,blue,true,right,63,86,left,orange,1876,0
40,713185.0000000001,1,53,4179,blue,true,right,99,53,right,blue,1500,0
41,717201,0,0,4179,blue,true,left,29,91,right,orange,1054,0
42,720767,1,64,4115,blue,true,right,88,64,right,blue,2011,0
43,725293,0,0,4115,blue,true,left,84,70,right,orange,2245,0
44,730051,1,61,4054,blue,false,right,61,88,left,orange,1449,0
45,734015,0,0,4054,blue,true,right,61,43,left,orange,1338,0
46,737866,0,0,4054,blue,true,left,87,54,right,orange,1392,0
47,741768,1,5,4049,blue,false,left,5,90,right,orange,800,0
48,749084.0000000001,0,0,4049,blue,true,left,71,44,right,orange,1736,0
49,753332,0,0,4049,blue,true,right,42,52,left,orange,1106,0
50,756950,1,93,3956,blue,true,left,39,93,left,blue,1604,0
51,761067,0,0,3956,blue,true,left,39,24,right,orange,1436,0
52,765017,0,0,3956,blue,false,right,20,10,right,blue,2510,0
53,770039,1,85,3871,blue,false,right,85,43,left,orange,1479,0
54,774034,0,0,3871,blue,false,left,77,7,left,blue,1147,0
55,777694,0,0,3871,blue,true,right,95,90,left,orange,2057,0
56,782263,1,7,3864,blue,true,right,56,7,right,blue,1097,0
57,785875,0,0,3864,blue,true,right,50,69,left,orange,1462,0
58,789850,0,0,3864,blue,true,left,4,83,right,orange,831,0
59,793193,0,0,3864,blue,false,left,40,8,left,blue,1030,0
60,796736,0,0,3864,blue,true,left,47,86,right,orange,1935,0
61,801185.0000000001,0,0,3864,blue,true,left,15,49,right,orange,971,0
62,804668,0,0,3864,blue,true,left,17,39,right,orange,1231,0
63,808412,0,0,3864,blue,false,right,76,97,right,blue,2406,0
64,813331,1,14,3850,blue,true,right,73,14,right,blue,18,0
65,815867,0,0,3850,blue,true,left,67,29,right,orange,3,0
66,818384,0,0,3850,blue,true,left,48,39,right,orange,1185,0
67,822082,0,0,3850,blue,true,left,30,99,right,orange,790,0
68,825385,1,13,3837,blue,false,right,13,20,left,orange,765,0
69,828666,0,0,3837,blue,true,left,66,59,right,orange,587,0
70,831765,0,0,3837,blue,true,right,20,60,left,orange,812,0
71,835091,0,0,3837,blue,true,left,41,25,right,orange,851,0
72,838454.0000000001,1,76,3761,blue,false,left,76,70,right,orange,1187,0
73,842157,0,0,3761,blue,false,right,73,18,right,blue,1145,0
74,845815,1,41,3720,blue,false,right,41,80,left,orange,1585,0
75,849915,0,0,3720,blue,true,right,25,76,left,orange,1790,0
76,854218.0000000001,0,0,3720,blue,false,left,34,52,left,blue,1764,0
77,858494,0,0,3720,blue,false,right,30,60,right,blue,1134,0
78,862140,1,91,3629,blue,false,right,91,36,left,orange,2510,0
79,867165,0,0,3629,blue,false,left,70,59,left,blue,1978,0
80,871656.0000000001,1,47,3582,blue,true,left,64,47,left,blue,1211,0
81,875382.0000000001,1,28,3554,blue,false,left,28,44,right,orange,683,0
82,878579.0000000001,1,2,3552,blue,false,right,2,80,left,orange,1122,0
83,882217,1,20,3532,blue,false,left,20,39,right,orange,1158,0
84,891401.0000000001,1,32,3500,blue,false,right,32,61,left,orange,1183,1
85,895102,0,0,3500,blue,false,right,90,61,right,blue,1930,0
86,899543,0,0,3500,blue,true,right,62,70,left,orange,1390,0
87,903445,1,17,3483,blue,false,left,17,33,right,orange,838,0
88,906797,0,0,3483,blue,false,left,74,17,left,blue,1203,0
89,910512,1,2,3481,blue,false,left,2,85,right,orange,802,0
90,913830,1,39,3442,blue,false,right,39,76,left,orange,1523,0
91,917868,0,0,3442,blue,false,left,70,20,left,blue,1317,0
92,921697,0,0,3442,blue,true,left,24,69,right,orange,1156,0
93,925367.0000000001,1,52,3390,blue,true,right,59,52,right,blue,1257,0
94,933143,1,15,3375,blue,false,right,15,43,left,orange,1048,0
95,936706,1,34,3341,blue,true,left,50,34,left,blue,1569,0
96,940790,1,43,3298,blue,false,right,43,48,left,orange,1780,0
97,945086,0,0,3298,blue,true,right,14,35,left,orange,644,0
98,948243,0,0,3298,blue,true,left,12,42,right,orange,623,0
99,951377.0000000001,0,0,3298,blue,true,left,40,44,right,orange,1056,0
100,954944.0000000001,1,50,3248,blue,true,right,88,50,right,blue,1028,0
101,958486,1,19,3229,blue,true,right,51,19,right,blue,1265,0
102,962266.0000000001,0,0,3229,blue,true,right,44,59,left,orange,1873,0
103,966650,1,9,3220,blue,true,right,23,9,right,blue,1500,0
104,970666,0,0,3220,blue,true,left,23,76,right,orange,1131,0
105,974309,0,0,3220,blue,true,left,94,47,right,orange,3770,0
106,980593.0000000001,1,67,3153,blue,false,left,67,56,right,orange,1279,0
107,984386,1,16,3137,blue,true,left,50,16,left,blue,1099,0
108,988000,1,7,3130,blue,true,right,83,7,right,blue,951,0
109,991466,0,0,3130,blue,true,right,86,41,left,orange,1693,0
110,1006693,0,0,3130,blue,true,right,61,37,left,orange,950,2
111,1010157,0,0,3130,blue,false,right,82,57,right,blue,2114,0
112,1014784,0,0,3130,blue,false,left,68,28,left,blue,999,0
113,1018295.0000000001,1,65,3065,blue,false,left,65,76,right,orange,1618,0
114,1022427,1,25,3040,blue,false,right,25,19,left,orange,1269,0
115,1026211,0,0,3040,blue,false,left,67,68,left,blue,1030,0
116,1029752,0,0,3040,blue,false,right,82,68,right,blue,763,0
117,1033027,0,0,3040,blue,false,left,88,19,left,blue,837,0
118,1036376,1,11,3029,blue,true,right,55,11,right,blue,1073,0
119,1039963,1,36,2993,blue,true,left,74,36,left,blue,1747,0
120,1044226.0000000001,1,18,2975,blue,false,right,18,64,left,orange,1948,0
121,1048687.0000000002,0,0,2975,blue,false,left,15,3,left,blue,707,0
122,1051907,0,0,2975,blue,false,left,91,76,left,blue,1340,0
123,1055759,0,0,2975,blue,false,right,66,92,right,blue,624,0
124,1058896,0,0,2975,blue,false,right,67,14,right,blue,678,0
125,1067596,0,0,2975,blue,true,left,11,77,right,orange,1304,1
126,1071417,0,0,2975,blue,false,left,36,20,left,blue,2802,0
127,1076730,0,0,2975,blue,false,right,44,61,right,blue,697,0
128,1079938,1,4,2971,blue,false,right,4,34,left,orange,1418,0
129,1083872,0,0,2971,blue,false,right,86,63,right,blue,1904,0
130,1088286,0,0,2971,blue,false,left,99,43,left,blue,938,0
131,1091736,1,56,2915,blue,true,right,95,56,right,blue,1046,0
