Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,292141.2550000241,1,37,4963,blue,true,right,44,37,right,blue,2601,0
2,297263.03500001086,0,0,4963,blue,true,left,66,12,right,orange,1619,0
3,301398.125000007,1,9,4954,blue,true,right,98,9,right,blue,1569,0
4,305489.029999997,1,20,4934,blue,false,left,20,91,right,orange,976,0
5,308984.9150000373,1,8,4926,blue,true,right,28,8,right,blue,2644,0
6,314152.9900000314,0,0,4926,blue,true,right,30,33,left,orange,1134,0
7,317805.3700000164,0,0,4926,blue,true,left,27,24,right,orange,945,0
8,321265.3600000194,0,0,4926,blue,false,right,58,43,right,blue,1446,0
9,325230.88000004645,1,47,4879,blue,true,left,72,47,left,blue,1047,0
10,328800.1750000403,0,0,4879,blue,false,right,44,44,right,blue,1595,0
11,332916.9750000001,1,26,4853,blue,true,right,69,26,right,blue,852,0
12,336292.84000000916,1,41,4812,blue,true,left,6,41,left,blue,1348,0
13,340162.6600000309,1,34,4778,blue,true,left,88,34,left,blue,3373,0
14,346052.36500001047,1,73,4705,blue,false,right,73,18,left,orange,1140,0
15,349712.3450000072,1,25,4680,blue,true,left,60,25,left,blue,1338,0
16,353564.7300000419,1,6,4674,blue,true,right,68,6,right,blue,2718,0
17,358805.4800000391,1,48,4626,blue,false,left,48,39,right,orange,1730,0
18,363056.6749999998,0,0,4626,blue,true,left,35,76,right,orange,899,0
19,366474.84000003897,0,0,4626,blue,true,left,23,85,right,orange,1272,0
20,370264.82000004034,0,0,4626,blue,true,left,54,22,right,orange,2083,0
21,374865.56000000564,0,0,4626,blue,false,left,66,58,left,blue,1521,0
22,378906.8800000241,1,41,4585,blue,true,left,98,41,left,blue,1350,0
23,382777.75500004645,0,0,4585,blue,true,left,58,80,right,orange,653,0
24,385948.395000014,0,0,4585,blue,true,right,32,85,left,orange,1971,0
25,390435.8850000426,1,83,4502,blue,false,right,83,15,left,orange,1714,0
26,394667.7750000381,1,16,4486,blue,true,left,18,16,left,blue,2330,0
27,399517.0550000039,0,0,4486,blue,true,left,56,99,right,orange,936,0
28,402969.2150000483,0,0,4486,blue,true,left,23,75,right,orange,757,0
29,406244.8800000129,1,18,4468,blue,true,left,68,18,left,blue,3692,0
30,412458.05000001565,0,0,4468,blue,true,right,30,16,left,orange,506,0
31,415479.5800000429,0,0,4468,blue,true,right,86,37,left,orange,824,0
32,418820.4300000216,0,0,4468,blue,true,right,47,44,left,orange,735,0
33,422072.08000001265,0,0,4468,blue,true,left,3,91,right,orange,2884,0
34,432993.86500002583,1,60,4408,blue,false,left,60,14,right,orange,1130,1
35,436643.9100000425,1,84,4324,blue,true,right,54,84,right,blue,475,0
36,439642.58500002325,1,23,4301,blue,true,right,34,23,right,blue,524,0
37,442688.3600000292,0,0,4301,blue,true,right,96,28,left,orange,572,0
38,445778.5600000061,1,83,4218,blue,false,right,83,94,left,orange,397,0
39,448695.4250000417,0,0,4218,blue,true,right,63,86,left,orange,506,0
40,451719.77500000503,1,53,4165,blue,true,right,99,53,right,blue,1172,0
41,455409.9350000033,0,0,4165,blue,true,left,29,91,right,orange,1070,0
42,458996.1600000388,0,0,4165,blue,true,right,88,64,left,orange,1962,0
43,463474.5850000181,0,0,4165,blue,true,right,84,70,left,orange,462,0
44,466455.4150000331,1,61,4104,blue,false,right,61,88,left,orange,1084,0
45,470060.0750000449,1,43,4061,blue,true,left,61,43,left,blue,968,0
46,473546.3650000165,1,54,4007,blue,true,right,87,54,right,blue,901,0
47,476965.8899999922,1,5,4002,blue,false,right,5,90,left,orange,642,0
48,484135.53000002867,1,44,3958,blue,true,left,71,44,left,blue,1090,0
49,487747.00000003213,0,0,3958,blue,true,right,42,52,left,orange,381,0
50,490642.0550000039,0,0,3958,blue,true,right,39,93,left,orange,445,0
51,493600.065000006,0,0,3958,blue,true,left,39,24,right,orange,693,0
52,496812.2900000308,1,20,3938,blue,false,left,20,10,right,orange,677,0
53,500010.1049999939,1,85,3853,blue,false,left,85,43,right,orange,415,0
54,502943.1200000108,0,0,3853,blue,false,right,77,7,right,blue,733,0
55,506193.6449999921,1,90,3763,blue,true,right,95,90,right,blue,519,0
56,509231.91000003135,0,0,3763,blue,true,right,56,7,left,orange,341,0
57,512087.92000001995,0,0,3763,blue,true,right,50,69,left,orange,409,0
58,515016.7600000277,0,0,3763,blue,true,right,4,83,left,orange,506,0
59,518041.49000003235,1,40,3723,blue,false,right,40,8,left,orange,497,0
60,521057.8500000411,0,0,3723,blue,true,right,47,86,left,orange,406,0
61,523982.1750000119,0,0,3723,blue,true,left,15,49,right,orange,440,0
62,526938.1550000398,0,0,3723,blue,true,right,17,39,left,orange,1894,0
63,531352.5450000307,0,0,3723,blue,false,left,76,97,left,blue,1182,0
64,535052.3900000262,1,14,3709,blue,true,right,73,14,right,blue,1340,0
65,538914.3299999996,0,0,3709,blue,true,left,67,29,right,orange,663,0
66,542094.0699999919,0,0,3709,blue,true,right,48,39,left,orange,656,0
67,545265.2950000484,0,0,3709,blue,true,right,30,99,left,orange,578,0
68,548360.6600000057,0,0,3709,blue,false,left,13,20,left,blue,1184,0
69,552063.3650000091,0,0,3709,blue,true,right,66,59,left,orange,1813,0
70,556398.8600000157,0,0,3709,blue,true,right,20,60,left,orange,572,0
71,559486.4250000101,0,0,3709,blue,true,right,41,25,left,orange,768,0
72,562774.4300000486,0,0,3709,blue,false,left,76,70,left,blue,1104,0
73,566395.5900000292,0,0,3709,blue,false,right,73,18,right,blue,745,0
74,569658.8200000115,1,41,3668,blue,false,left,41,80,right,orange,980,0
75,573154.6700000181,1,76,3592,blue,true,left,25,76,left,blue,1210,0
76,576885.4000000283,0,0,3592,blue,false,right,34,52,right,blue,549,0
77,579952.8400000418,0,0,3592,blue,false,left,30,60,left,blue,374,0
78,582839.97000003,0,0,3592,blue,false,left,91,36,left,blue,783,0
79,586136.5150000202,1,70,3522,blue,false,right,70,59,left,orange,603,0
80,589257.8050000011,1,47,3475,blue,true,right,64,47,right,blue,845,0
81,592619.5300000254,0,0,3475,blue,false,right,28,44,right,blue,498,0
82,595636.3600000041,0,0,3475,blue,false,left,2,80,left,blue,317,0
83,598473.245000001,0,0,3475,blue,false,left,20,39,left,blue,529,0
84,601518.1999999913,1,32,3443,blue,false,left,32,61,right,orange,1050,0
85,605089.8800000432,0,0,3443,blue,false,right,90,61,right,blue,854,0
86,608459.440000006,1,70,3373,blue,true,right,62,70,right,blue,443,0
87,611424.1550000152,0,0,3373,blue,false,left,17,33,left,blue,416,0
88,614357.4650000082,0,0,3373,blue,false,right,74,17,right,blue,340,0
89,617215.130000026,1,2,3371,blue,false,right,2,85,left,orange,913,0
90,620649.2300000391,0,0,3371,blue,false,left,39,76,left,blue,640,0
91,623807.845000003,0,0,3371,blue,false,left,70,20,left,blue,847,0
92,627172.0250000362,0,0,3371,blue,true,left,24,69,right,orange,452,0
93,630144.7200000403,1,52,3319,blue,true,left,59,52,left,blue,888,0
94,637555.9450000292,0,0,3319,blue,false,right,15,43,right,blue,205,0
95,640278.645000013,1,34,3285,blue,true,right,50,34,right,blue,631,0
96,643430.0800000201,1,43,3242,blue,false,right,43,48,left,orange,1517,0
97,647469.635000045,1,35,3207,blue,true,left,14,35,left,blue,833,0
98,650823.4500000253,1,42,3165,blue,true,left,12,42,left,blue,426,0
99,653772.7550000418,1,44,3121,blue,true,left,40,44,left,blue,1032,0
100,657326.1850000126,0,0,3121,blue,true,right,88,50,left,orange,979,0
101,660823.1900000246,1,19,3102,blue,true,right,51,19,right,blue,1419,0
