Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,384106,1,37,4963,blue,true,right,44,37,right,blue,2468,0
2,389103,1,12,4951,blue,true,left,66,12,left,blue,610,0
3,392236,1,9,4942,blue,true,left,98,9,left,blue,1438,0
4,396198.00000000006,1,20,4922,blue,false,left,20,91,right,orange,435,0
5,399155.00000000006,0,0,4922,blue,true,left,28,8,right,orange,470,0
6,402143,0,0,4922,blue,true,right,30,33,left,orange,470,0
7,405130,0,0,4922,blue,true,left,27,24,right,orange,730,0
8,408377,1,58,4864,blue,false,left,58,43,right,orange,528,0
9,411426,0,0,4864,blue,true,left,72,47,right,orange,378,0
10,414321,1,44,4820,blue,false,right,44,44,left,orange,635,0
11,417477.00000000006,0,0,4820,blue,true,right,69,26,left,orange,1126,0
12,421121,0,0,4820,blue,true,right,6,41,left,orange,1154,0
13,424794,0,0,4820,blue,true,right,88,34,left,orange,562,0
14,427873,1,73,4747,blue,false,left,73,18,right,orange,658,0
15,431051,0,0,4747,blue,true,right,60,25,left,orange,676,0
16,434245,0,0,4747,blue,true,left,68,6,right,orange,2630,0
17,439391,1,48,4699,blue,false,left,48,39,right,orange,956,0
18,442868,0,0,4699,blue,true,left,35,76,right,orange,654,0
19,446039,0,0,4699,blue,true,right,23,85,left,orange,947,0
20,449504,0,0,4699,blue,true,left,54,22,right,orange,1490,0
21,453513.00000000006,1,66,4633,blue,false,left,66,58,right,orange,561,0
22,456595,0,0,4633,blue,true,right,98,41,left,orange,398,0
23,459513.00000000006,0,0,4633,blue,true,left,58,80,right,orange,748,0
24,462778,0,0,4633,blue,true,left,32,85,right,orange,431,0
25,465728,1,83,4550,blue,false,right,83,15,left,orange,1153,0
26,469402,0,0,4550,blue,true,right,18,16,left,orange,983,0
27,472902,0,0,4550,blue,true,left,56,99,right,orange,674,0
28,476095,0,0,4550,blue,true,left,23,75,right,orange,413,0
29,479025.00000000006,0,0,4550,blue,true,right,68,18,left,orange,747,0
30,482290,0,0,4550,blue,true,right,30,16,left,orange,535,0
31,485342,0,0,4550,blue,true,right,86,37,left,orange,799,0
32,488659,0,0,4550,blue,true,left,47,44,right,orange,937,0
33,492116,0,0,4550,blue,true,right,3,91,left,orange,440,0
34,495074,1,60,4490,blue,false,left,60,14,right,orange,677,0
35,498274,0,0,4490,blue,true,right,54,84,left,orange,412,0
36,501202,0,0,4490,blue,true,right,34,23,left,orange,434,0
37,504155.00000000006,0,0,4490,blue,true,left,96,28,right,orange,959,0
38,507635,1,83,4407,blue,false,right,83,94,left,orange,768,0
39,510926,0,0,4407,blue,true,left,63,86,right,orange,564,0
40,514013.00000000006,0,0,4407,blue,true,left,99,53,right,orange,506,0
41,517039.99999999994,0,0,4407,blue,true,right,29,91,left,orange,591,0
42,520147.00000000006,0,0,4407,blue,true,right,88,64,left,orange,1196,0
43,523856,0,0,4407,blue,true,right,84,70,left,orange,477,0
44,526844,1,61,4346,blue,false,left,61,88,right,orange,631,0
45,529995,0,0,4346,blue,true,right,61,43,left,orange,349,0
46,532862,0,0,4346,blue,true,left,87,54,right,orange,464,0
47,535845,1,5,4341,blue,false,right,5,90,left,orange,465,0
48,542839,0,0,4341,blue,true,right,71,44,left,orange,1224,0
49,546581,0,0,4341,blue,true,right,42,52,left,orange,558,0
50,549655,0,0,4341,blue,true,right,39,93,left,orange,365,0
51,552537,0,0,4341,blue,true,left,39,24,right,orange,511,0
52,555565,1,20,4321,blue,false,right,20,10,left,orange,424,0
53,558510,1,85,4236,blue,false,left,85,43,right,orange,402,0
54,561434,1,77,4159,blue,false,right,77,7,left,orange,339,0
55,564295,1,90,4069,blue,true,right,95,90,right,blue,429,0
56,567250,1,7,4062,blue,true,right,56,7,right,blue,409,0
57,570185.0000000001,1,69,3993,blue,true,left,50,69,left,blue,447,0
58,573151.0000000001,1,83,3910,blue,true,left,4,83,left,blue,593,0
59,576265,1,40,3870,blue,false,right,40,8,left,orange,837,0
60,579627.0000000001,0,0,3870,blue,true,right,47,86,left,orange,460,0
61,582608.0000000001,0,0,3870,blue,true,left,15,49,right,orange,670,0
62,585796,0,0,3870,blue,true,right,17,39,left,orange,410,0
63,588723,1,76,3794,blue,false,left,76,97,right,orange,731,0
64,591979,0,0,3794,blue,true,left,73,14,right,orange,420,0
65,594915,0,0,3794,blue,true,left,67,29,right,orange,463,0
66,597894,0,0,3794,blue,true,right,48,39,left,orange,456,0
67,600866,0,0,3794,blue,true,left,30,99,right,orange,424,0
68,603813,1,13,3781,blue,false,right,13,20,left,orange,505,0
69,606842,0,0,3781,blue,true,left,66,59,right,orange,464,0
70,609824.0000000001,0,0,3781,blue,true,left,20,60,right,orange,878,0
71,613218,0,0,3781,blue,true,right,41,25,left,orange,512,0
72,616246,1,76,3705,blue,false,left,76,70,right,orange,498,0
73,619268,1,73,3632,blue,false,right,73,18,left,orange,400,0
74,622192,1,41,3591,blue,false,right,41,80,left,orange,489,0
75,625202,0,0,3591,blue,true,left,25,76,right,orange,439,0
76,628158,1,34,3557,blue,false,right,34,52,left,orange,434,0
77,631113,1,30,3527,blue,false,left,30,60,right,orange,535,0
78,634171,0,0,3527,blue,false,right,91,36,right,blue,413,0
79,637102,0,0,3527,blue,false,right,70,59,right,blue,394,0
80,640015,0,0,3527,blue,true,left,64,47,right,orange,646,0
81,643178,0,0,3527,blue,false,left,28,44,left,blue,634,0
82,646327,0,0,3527,blue,false,left,2,80,left,blue,852,0
83,649697,0,0,3527,blue,false,right,20,39,right,blue,423,0
84,652637,0,0,3527,blue,false,left,32,61,left,blue,447,0
85,655600,0,0,3527,blue,false,left,90,61,left,blue,466,0
86,658583,1,70,3457,blue,true,right,62,70,right,blue,631,0
87,661739,0,0,3457,blue,false,left,17,33,left,blue,796,0
88,665056,0,0,3457,blue,false,right,74,17,right,blue,430,0
89,668004,0,0,3457,blue,false,left,2,85,left,blue,418,0
90,670937,0,0,3457,blue,false,right,39,76,right,blue,461,0
91,673915,0,0,3457,blue,false,left,70,20,left,blue,601,0
92,677033,1,69,3388,blue,true,right,24,69,right,blue,945,0
93,680502.0000000001,1,52,3336,blue,true,left,59,52,left,blue,508,0
94,687539,0,0,3336,blue,false,right,15,43,right,blue,997,0
95,691054,1,34,3302,blue,true,left,50,34,left,blue,627,0
96,694202,0,0,3302,blue,false,left,43,48,left,blue,447,0
97,697166,1,35,3267,blue,true,left,14,35,left,blue,524,0
98,700216,1,42,3225,blue,true,right,12,42,right,blue,613,0
99,703353.0000000001,1,44,3181,blue,true,left,40,44,left,blue,935,0
100,706812,0,0,3181,blue,true,left,88,50,right,orange,413,0
101,709741,0,0,3181,blue,true,right,51,19,left,orange,411,0
102,712672,0,0,3181,blue,true,left,44,59,right,orange,457,0
103,715649,0,0,3181,blue,true,right,23,9,left,orange,594,0
104,718759,0,0,3181,blue,true,left,23,76,right,orange,496,0
105,721772,0,0,3181,blue,true,right,94,47,left,orange,843,0
106,725132.0000000001,1,67,3114,blue,false,left,67,56,right,orange,1079,0
107,728733.0000000001,0,0,3114,blue,true,right,50,16,left,orange,542,0
108,731794,0,0,3114,blue,true,left,83,7,right,orange,577,0
