Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,356224.8699999909,1,10,4990,blue,true,left,23,10,left,blue,3012,0
2,361765.46999999846,1,97,4893,blue,true,left,45,97,left,blue,3833,0
3,368127.3099999962,0,0,4893,blue,true,left,54,62,right,orange,2857,0
4,373509.309999994,1,99,4794,blue,false,left,99,16,right,orange,1961,0
5,383513.9999999956,1,40,4754,blue,true,left,72,40,left,blue,1548,1
6,387589.06499999284,0,0,4754,blue,true,right,98,88,left,orange,1577,0
7,391689.40999999177,1,54,4700,blue,true,right,6,54,right,blue,2856,0
8,397082.5799999875,0,0,4700,blue,true,right,64,55,left,orange,1315,0
9,400921.9849999936,1,96,4604,blue,false,left,96,45,right,orange,1106,0
10,404560.0349999877,1,19,4585,blue,true,left,28,19,left,blue,1095,0
11,408186.6749999899,0,0,4585,blue,true,right,95,26,left,orange,2106,0
12,412815.68999998854,0,0,4585,blue,true,right,90,29,left,orange,2602,0
13,417943.40499999817,1,53,4532,blue,true,right,20,53,right,blue,1080,0
14,421546.3799999998,1,56,4476,blue,true,left,74,56,left,blue,2651,0
15,426730.49999999057,0,0,4476,blue,true,left,18,42,right,orange,1909,0
16,431163.06999999506,0,0,4476,blue,true,left,11,91,right,orange,2292,0
17,435978.3399999869,0,0,4476,blue,false,left,32,31,left,blue,1866,0
18,440367.63999999675,0,0,4476,blue,true,right,36,65,left,orange,3814,0
19,446710.54000000004,1,40,4436,blue,false,left,40,30,right,orange,3450,0
20,452687.579999998,0,0,4436,blue,true,right,29,26,left,orange,2625,0
21,457833.9699999924,0,0,4436,blue,false,right,32,36,right,blue,2991,0
22,463343.47499998694,0,0,4436,blue,true,left,72,81,right,orange,1545,0
23,467411.64999999455,0,0,4436,blue,false,right,95,54,right,blue,1784,0
24,471719.379999995,0,0,4436,blue,false,left,40,59,left,blue,1142,0
25,475380.71499999205,1,29,4407,blue,false,right,29,24,left,orange,2186,0
26,480095.4700000002,0,0,4407,blue,false,right,60,51,right,blue,2548,0
27,485166.9699999911,1,83,4324,blue,false,right,83,65,left,orange,1105,0
28,488798.3499999973,0,0,4324,blue,true,right,78,98,left,orange,2556,0
29,493876.734999998,0,0,4324,blue,false,right,56,51,right,blue,2481,0
30,498885.2799999877,1,5,4319,blue,false,right,5,20,left,orange,1604,0
31,503018.0149999942,0,0,4319,blue,false,right,67,2,right,blue,2045,0
32,507587.00999998837,0,0,4319,blue,false,right,85,84,right,blue,2677,0
33,512783.6699999898,0,0,4319,blue,true,right,7,49,left,orange,1594,0
34,516901.03499998804,1,37,4282,blue,false,left,37,47,right,orange,2140,0
35,521567.4999999901,1,27,4255,blue,false,left,27,91,right,orange,1848,0
36,525940.5499999993,0,0,4255,blue,false,right,44,42,right,blue,1729,0
37,530193.1199999963,1,55,4200,blue,true,left,31,55,left,blue,2157,0
38,534874.054999993,0,0,4200,blue,false,right,97,70,right,blue,2602,0
39,539999.6600000013,0,0,4200,blue,false,left,14,9,left,blue,2344,0
40,544863.0899999989,1,51,4149,blue,true,right,23,51,right,blue,2178,0
41,549567.4499999877,1,79,4070,blue,true,right,89,79,right,blue,1791,0
42,553886.0299999942,0,0,4070,blue,true,left,83,86,right,orange,1008,0
43,557418.009999994,0,0,4070,blue,true,left,40,62,right,orange,1349,0
44,561290.0249999948,1,23,4047,blue,true,right,36,23,right,blue,1249,0
45,565066.0199999984,1,61,3986,blue,true,left,65,61,left,blue,1554,0
46,569146.0249999946,0,0,3986,blue,true,right,74,67,left,orange,1677,0
47,573342.9949999991,0,0,3986,blue,true,left,73,41,right,orange,2749,0
48,582628.2399999909,0,0,3986,blue,false,right,96,54,right,blue,3707,0
49,588858.4849999897,1,88,3898,blue,true,left,86,88,left,blue,3092,0
50,594479.5349999913,0,0,3898,blue,true,right,43,66,left,orange,1174,0
51,598175.4099999962,1,79,3819,blue,true,right,72,79,right,blue,1695,0
