Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,196137.31000002008,1,10,4990,blue,true,left,23,10,left,blue,818,0
2,199486.93000001367,0,0,4990,blue,true,left,45,97,right,orange,1563,0
3,203588.51500006858,0,0,4990,blue,true,left,54,62,right,orange,706,0
4,206823.0250000488,1,99,4891,blue,false,left,99,16,right,orange,800,0
5,210153.20000005886,0,0,4891,blue,true,right,72,40,left,orange,1985,0
6,214663.440000033,1,88,4803,blue,true,left,98,88,left,blue,599,0
7,217796.19500006083,1,54,4749,blue,true,right,6,54,right,blue,766,0
8,221097.7750000311,0,0,4749,blue,true,right,64,55,left,orange,540,0
9,224171.41000006814,0,0,4749,blue,false,left,96,45,left,blue,520,0
10,227231.9350000471,0,0,4749,blue,true,right,28,19,left,orange,882,0
11,230629.80500003323,0,0,4749,blue,true,left,95,26,right,orange,500,0
12,233669.98999996576,0,0,4749,blue,true,left,90,29,right,orange,496,0
13,236703.1399999978,0,0,4749,blue,true,left,20,53,right,orange,795,0
14,240028.18500006106,0,0,4749,blue,true,left,74,56,right,orange,1190,0
15,243751.18000002112,0,0,4749,blue,true,right,18,42,left,orange,920,0
16,247196.6099999845,0,0,4749,blue,true,left,11,91,right,orange,570,0
17,250299.29500003345,1,32,4717,blue,false,left,32,31,right,orange,559,0
18,253381.18000002578,0,0,4717,blue,true,left,36,65,right,orange,1008,0
19,256925.595000037,1,40,4677,blue,false,left,40,30,right,orange,817,0
20,260283.15000003204,0,0,4677,blue,true,right,29,26,left,orange,647,0
21,263461.17999998387,1,32,4645,blue,false,right,32,36,left,orange,717,0
22,266707.35499996226,1,81,4564,blue,true,right,72,81,right,blue,1153,0
23,270396.79500006605,0,0,4564,blue,false,right,95,54,right,blue,492,0
24,273404.98500003014,1,40,4524,blue,false,left,40,59,right,orange,1093,0
25,277023.9350000629,1,29,4495,blue,false,left,29,24,right,orange,390,0
26,279942.2150000464,1,60,4435,blue,false,right,60,51,left,orange,700,0
27,283173.7199999625,1,83,4352,blue,false,left,83,65,right,orange,93,0
