Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,412823.5,1,37,4963,blue,true,right,44,37,right,blue,1917,0
2,417303.2000000477,1,12,4951,blue,true,right,66,12,right,blue,1107,0
3,420962.3000000119,1,9,4942,blue,true,right,98,9,right,blue,2357,0
4,425875,1,20,4922,blue,false,right,20,91,left,orange,739,0
5,429166.60000002384,1,8,4914,blue,true,left,28,8,left,blue,929,0
6,432652.3000000119,0,0,4914,blue,true,right,30,33,left,orange,1181,0
7,436389.2000000477,0,0,4914,blue,true,left,27,24,right,orange,1938,0
8,440885.8000000119,1,58,4856,blue,false,right,58,43,left,orange,1603,0
9,445049.7000000477,0,0,4856,blue,true,right,72,47,left,orange,3101,0
10,450715.60000002384,1,44,4812,blue,false,left,44,44,right,orange,3328,0
11,456584,0,0,4812,blue,true,left,69,26,right,orange,1968,0
12,461090.40000003576,0,0,4812,blue,true,left,6,41,right,orange,1464,0
13,470651.8000000119,0,0,4812,blue,true,left,88,34,right,orange,909,1
14,474125.10000002384,0,0,4812,blue,false,left,73,18,left,blue,1036,0
15,477726.10000002384,1,25,4787,blue,true,left,60,25,left,blue,1065,0
16,481373.10000002384,1,6,4781,blue,true,right,68,6,right,blue,925,0
17,484861,1,48,4733,blue,false,left,48,39,right,orange,1324,0
18,488755.40000003576,0,0,4733,blue,true,left,35,76,right,orange,2019,0
19,493334.8000000119,0,0,4733,blue,true,right,23,85,left,orange,744,0
20,496646.2000000477,1,22,4711,blue,true,right,54,22,right,blue,653,0
21,499868.3000000119,1,66,4645,blue,false,right,66,58,left,orange,676,0
22,503104.40000003576,0,0,4645,blue,true,right,98,41,left,orange,1259,0
23,506908.3000000119,1,80,4565,blue,true,right,58,80,right,blue,1332,0
24,510785.10000002384,0,0,4565,blue,true,left,32,85,right,orange,1167,0
25,514505,1,83,4482,blue,false,right,83,15,left,orange,796,0
26,517843.10000002384,0,0,4482,blue,true,right,18,16,left,orange,751,0
27,521136.60000002384,0,0,4482,blue,true,right,56,99,left,orange,1380,0
28,525064.3000000119,0,0,4482,blue,true,left,23,75,right,orange,1173,0
29,528798.3000000119,0,0,4482,blue,true,right,68,18,left,orange,692,0
30,532033.8000000119,0,0,4482,blue,true,right,30,16,left,orange,614,0
31,535173.1000000238,0,0,4482,blue,true,right,86,37,left,orange,815,0
32,538516.8000000119,0,0,4482,blue,true,right,47,44,left,orange,707,0
33,541761.3000000119,0,0,4482,blue,true,right,3,91,left,orange,542,0
34,544840.5,1,60,4422,blue,false,left,60,14,right,orange,702,0
35,548084.5,0,0,4422,blue,true,left,54,84,right,orange,864,0
36,551480.2000000477,0,0,4422,blue,true,right,34,23,left,orange,630,0
37,554639.4000000358,0,0,4422,blue,true,left,96,28,right,orange,434,0
38,557618.1000000238,1,83,4339,blue,false,right,83,94,left,orange,442,0
39,560598.8000000119,0,0,4339,blue,true,left,63,86,right,orange,764,0
40,563919.2000000477,0,0,4339,blue,true,right,99,53,left,orange,396,0
41,566893,0,0,4339,blue,true,left,29,91,right,orange,428,0
42,569871.6000000238,0,0,4339,blue,true,left,88,64,right,orange,456,0
43,572886.3000000119,0,0,4339,blue,true,left,84,70,right,orange,370,0
44,575817.3000000119,1,61,4278,blue,false,left,61,88,right,orange,707,0
45,579091.9000000358,0,0,4278,blue,true,right,61,43,left,orange,878,0
46,582520.9000000358,0,0,4278,blue,true,left,87,54,right,orange,399,0
47,585481.5,1,5,4273,blue,false,right,5,90,left,orange,618,0
48,592681.3000000119,0,0,4273,blue,true,right,71,44,left,orange,768,0
49,596001.2000000477,0,0,4273,blue,true,left,42,52,right,orange,366,0
50,598925.9000000358,0,0,4273,blue,true,left,39,93,right,orange,527,0
51,602005.3000000119,0,0,4273,blue,true,left,39,24,right,orange,634,0
52,605202.5,1,20,4253,blue,false,left,20,10,right,orange,387,0
53,608162.7000000477,1,85,4168,blue,false,left,85,43,right,orange,413,0
54,611141.7000000477,0,0,4168,blue,false,left,77,7,left,blue,565,0
55,614253.8000000119,1,90,4078,blue,true,right,95,90,right,blue,1047,0
56,617863.8000000119,1,7,4071,blue,true,left,56,7,left,blue,771,0
57,621184.1000000238,1,69,4002,blue,true,left,50,69,left,blue,710,0
58,624440.2000000477,0,0,4002,blue,true,left,4,83,right,orange,1086,0
59,628050.8000000119,0,0,4002,blue,false,right,40,8,right,blue,1312,0
60,631899.2000000477,0,0,4002,blue,true,left,47,86,right,orange,1196,0
61,635628.1000000238,0,0,4002,blue,true,left,15,49,right,orange,906,0
62,639072.1000000238,0,0,4002,blue,true,left,17,39,right,orange,1001,0
