Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,222551.7999997139,0,0,5000,blue,true,right,23,10,left,orange,2409,0
2,227487.39999961853,0,0,5000,blue,true,right,45,97,left,orange,1289,0
3,231307.69999980927,1,62,4938,blue,true,left,54,62,left,blue,1716,0
4,235561.7999997139,0,0,4938,blue,false,left,99,16,left,blue,1319,0
5,239413.39999961853,1,40,4898,blue,true,right,72,40,right,blue,1147,0
6,243101.39999961853,0,0,4898,blue,true,right,98,88,left,orange,756,0
7,246411.19999980927,0,0,4898,blue,true,left,6,54,right,orange,1069,0
8,250012.69999980927,0,0,4898,blue,true,right,64,55,left,orange,899,0
9,253454.7999997139,1,96,4802,blue,false,left,96,45,right,orange,722,0
10,256722.09999990463,0,0,4802,blue,true,right,28,19,left,orange,1182,0
11,260444.09999990463,1,26,4776,blue,true,right,95,26,right,blue,1620,0
12,264614.39999961853,0,0,4776,blue,true,left,90,29,right,orange,875,0
13,268029.19999980927,0,0,4776,blue,true,left,20,53,right,orange,883,0
14,271444.19999980927,0,0,4776,blue,true,left,74,56,right,orange,748,0
15,274723.69999980927,0,0,4776,blue,true,left,18,42,right,orange,1006,0
16,278261.2999997139,0,0,4776,blue,true,left,11,91,right,orange,667,0
17,281474,1,32,4744,blue,false,left,32,31,right,orange,774,0
18,284800.2999997139,0,0,4744,blue,true,right,36,65,left,orange,1489,0
19,288809.89999961853,1,40,4704,blue,false,left,40,30,right,orange,950,0
20,292297.2999997139,1,26,4678,blue,true,left,29,26,left,blue,1127,0
21,295952.7999997139,1,32,4646,blue,false,left,32,36,right,orange,1481,0
22,299971.39999961853,0,0,4646,blue,true,right,72,81,left,orange,1821,0
23,304333.7999997139,1,95,4551,blue,false,right,95,54,left,orange,922,0
24,307794.39999961853,1,40,4511,blue,false,right,40,59,left,orange,1366,0
25,311699.09999990463,0,0,4511,blue,false,right,29,24,right,blue,1660,0
26,315905.7999997139,1,60,4451,blue,false,left,60,51,right,orange,2102,0
