Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,441320,1,10,4990,blue,true,left,23,10,left,blue,2193,0
2,446110,0,0,4990,blue,true,left,45,97,right,orange,2303,0
3,450981,0,0,4990,blue,true,left,54,62,right,orange,1111,0
4,454636,0,0,4990,blue,false,right,99,16,right,blue,1475,0
5,458671,1,40,4950,blue,true,left,72,40,left,blue,1131,0
6,462385,1,88,4862,blue,true,right,98,88,right,blue,2382,0
7,467362,0,0,4862,blue,true,right,6,54,left,orange,1261,0
8,471185,0,0,4862,blue,true,left,64,55,right,orange,2126,0
9,475873,0,0,4862,blue,false,left,96,45,left,blue,970,0
10,479419,1,19,4843,blue,true,left,28,19,left,blue,816,0
11,482824,1,26,4817,blue,true,left,95,26,left,blue,1378,0
12,486758,0,0,4817,blue,true,left,90,29,right,orange,1503,0
13,490812,0,0,4817,blue,true,right,20,53,left,orange,1148,0
14,494519,0,0,4817,blue,true,left,74,56,right,orange,798,0
15,497878,0,0,4817,blue,true,left,18,42,right,orange,910,0
16,501350,0,0,4817,blue,true,left,11,91,right,orange,991,0
17,504881,1,32,4785,blue,false,right,32,31,left,orange,1103,0
18,508560,0,0,4785,blue,true,right,36,65,left,orange,1076,0
19,512191,1,40,4745,blue,false,right,40,30,left,orange,1330,0
20,516079,0,0,4745,blue,true,right,29,26,left,orange,850,0
21,519485,1,32,4713,blue,false,left,32,36,right,orange,938,0
22,523007,0,0,4713,blue,true,right,72,81,left,orange,1114,0
23,526668,0,0,4713,blue,false,left,95,54,left,blue,1527,0
24,530758,1,40,4673,blue,false,left,40,59,right,orange,1066,0
25,534405,0,0,4673,blue,false,right,29,24,right,blue,987,0
26,537928,0,0,4673,blue,false,right,60,51,right,blue,948,0
27,541450,0,0,4673,blue,false,right,83,65,right,blue,1683,0
28,545711,0,0,4673,blue,true,left,78,98,right,orange,1286,0
29,549547,0,0,4673,blue,false,left,56,51,left,blue,835,0
30,552938,0,0,4673,blue,false,left,5,20,left,blue,1452,0
31,556945,0,0,4673,blue,false,right,67,2,right,blue,1472,0
32,560962,0,0,4673,blue,false,right,85,84,right,blue,1428,0
33,564953,1,49,4624,blue,true,left,7,49,left,blue,1742,0
34,569264,0,0,4624,blue,false,right,37,47,right,blue,1959,0
35,573787,1,27,4597,blue,false,right,27,91,left,orange,993,0
36,577334,0,0,4597,blue,false,right,44,42,right,blue,953,0
37,580842,1,55,4542,blue,true,left,31,55,left,blue,1432,0
38,584822,0,0,4542,blue,false,right,97,70,right,blue,901,0
39,588289,0,0,4542,blue,false,left,14,9,left,blue,853,0
40,591696,0,0,4542,blue,true,left,23,51,right,orange,1116,0
41,595357,1,79,4463,blue,true,right,89,79,right,blue,1454,0
