Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,290725,1,10,4990,blue,true,left,23,10,left,blue,2376,0
2,295638,0,0,4990,blue,true,right,45,97,left,orange,2206,0
3,300386,0,0,4990,blue,true,left,54,62,right,orange,2323,0
4,305236,0,0,4990,blue,false,left,99,16,left,blue,2353,0
5,310136,1,40,4950,blue,true,right,72,40,right,blue,2835,0
6,321054,0,0,4950,blue,true,left,98,88,right,orange,1123,1
7,324714,0,0,4950,blue,true,right,6,54,left,orange,948,0
8,328198,1,55,4895,blue,true,left,64,55,left,blue,1139,0
9,331897,1,96,4799,blue,false,right,96,45,left,orange,1438,0
10,335883,0,0,4799,blue,true,left,28,19,right,orange,916,0
11,339349,1,26,4773,blue,true,left,95,26,left,blue,1315,0
12,343213,1,29,4744,blue,true,left,90,29,left,blue,1248,0
13,347014,0,0,4744,blue,true,right,20,53,left,orange,639,0
14,350196,0,0,4744,blue,true,left,74,56,right,orange,794,0
15,353524,0,0,4744,blue,true,right,18,42,left,orange,1331,0
16,357389,0,0,4744,blue,true,right,11,91,left,orange,1207,0
17,361136,1,32,4712,blue,false,right,32,31,left,orange,2051,0
18,365718,0,0,4712,blue,true,right,36,65,left,orange,1132,0
19,369398,1,40,4672,blue,false,right,40,30,left,orange,1681,0
20,373611,1,26,4646,blue,true,right,29,26,right,blue,2058,0
21,378199,1,32,4614,blue,false,left,32,36,right,orange,592,0
22,381322,1,81,4533,blue,true,right,72,81,right,blue,1869,0
23,385735,0,0,4533,blue,false,right,95,54,right,blue,1254,0
24,389530,1,40,4493,blue,false,left,40,59,right,orange,1294,0
25,393367,0,0,4493,blue,false,left,29,24,left,blue,709,0
26,396630,0,0,4493,blue,false,right,60,51,right,blue,809,0
27,399993,0,0,4493,blue,false,left,83,65,left,blue,1028,0
28,403567,0,0,4493,blue,true,left,78,98,right,orange,1593,0
29,407705,0,0,4493,blue,false,right,56,51,right,blue,1463,0
30,411711,1,5,4488,blue,false,right,5,20,left,orange,1746,0
31,416006,0,0,4488,blue,false,left,67,2,left,blue,811,0
32,419364,0,0,4488,blue,false,right,85,84,right,blue,889,0
33,422795,0,0,4488,blue,true,left,7,49,right,orange,1263,0
34,426593,0,0,4488,blue,false,right,37,47,right,blue,1210,0
35,430338,1,27,4461,blue,false,left,27,91,right,orange,1606,0
36,434495,0,0,4461,blue,false,left,44,42,left,blue,958,0
37,437991,1,55,4406,blue,true,left,31,55,left,blue,1263,0
38,441791,0,0,4406,blue,false,right,97,70,right,blue,1033,0
39,445367,0,0,4406,blue,false,right,14,9,right,blue,1656,0
40,449561,0,0,4406,blue,true,left,23,51,right,orange,1419,0
41,453503,1,79,4327,blue,true,left,89,79,left,blue,1054,0
42,457105,0,0,4327,blue,true,right,83,86,left,orange,1672,0
43,461318,0,0,4327,blue,true,left,40,62,right,orange,916,0
44,464773,0,0,4327,blue,true,left,36,23,right,orange,1100,0
45,468421,0,0,4327,blue,true,left,65,61,right,orange,564,0
46,471526,1,67,4260,blue,true,right,74,67,right,blue,2245,0
47,476301,0,0,4260,blue,true,right,73,41,left,orange,2441,0
48,485274,0,0,4260,blue,false,right,96,54,right,blue,1803,0
49,489596,1,88,4172,blue,true,left,86,88,left,blue,2249,0
50,494391,0,0,4172,blue,true,left,43,66,right,orange,748,0
51,497677,0,0,4172,blue,true,left,72,79,right,orange,1587,0
52,501796,0,0,4172,blue,false,left,71,13,left,blue,1491,0
53,505834,0,0,4172,blue,true,left,78,53,right,orange,1438,0
54,509807,0,0,4172,blue,true,left,57,90,right,orange,1634,0
55,513978,1,3,4169,blue,false,right,3,12,left,orange,2085,0
56,518613,0,0,4169,blue,true,right,2,64,left,orange,1418,0
57,522558,1,9,4160,blue,true,left,99,9,left,blue,1397,0
58,526509,0,0,4160,blue,true,left,21,42,right,orange,1087,0
59,530138,0,0,4160,blue,true,right,83,72,left,orange,2722,0
60,535381,0,0,4160,blue,true,right,37,11,left,orange,2223,0
61,540144,1,67,4093,blue,false,right,67,81,left,orange,2390,0
62,545073,0,0,4093,blue,true,right,12,14,left,orange,836,0
63,548441,1,78,4015,blue,false,right,78,90,left,orange,851,0
64,551817,1,46,3969,blue,false,left,46,53,right,orange,917,0
65,555285,0,0,3969,blue,false,left,30,42,left,blue,904,0
66,558716,1,36,3933,blue,false,right,36,65,left,orange,1352,0
67,562621,0,0,3933,blue,false,right,49,49,right,blue,667,0
68,565834,1,44,3889,blue,false,right,44,10,left,orange,1338,0
69,569721,0,0,3889,blue,false,left,70,64,left,blue,764,0
70,573009,0,0,3889,blue,false,right,68,95,right,blue,1505,0
71,577052,0,0,3889,blue,false,right,38,46,right,blue,946,0
72,580542,0,0,3889,blue,false,left,18,24,left,blue,999,0
73,584084,0,0,3889,blue,false,right,82,78,right,blue,940,0
74,587565,0,0,3889,blue,false,right,59,54,right,blue,989,0
75,591094,0,0,3889,blue,false,left,36,33,left,blue,1704,0
76,595346,1,56,3833,blue,true,right,49,56,right,blue,871,0
77,598757,1,26,3807,blue,false,right,26,83,left,orange,1914,0
78,603212,0,0,3807,blue,false,left,38,81,left,blue,2453,0
79,608206,0,0,3807,blue,false,left,12,3,left,blue,1566,0
80,612317,0,0,3807,blue,false,right,62,38,right,blue,1377,0
81,616218,1,43,3764,blue,false,left,43,50,right,orange,2772,0
82,621538,0,0,3764,blue,false,right,50,47,right,blue,1032,0
83,625106,1,35,3729,blue,true,left,41,35,left,blue,854,0
84,628501,1,9,3720,blue,false,left,9,62,right,orange,1133,0
85,632178,0,0,3720,blue,false,right,60,58,right,blue,1239,0
86,635966,0,0,3720,blue,false,left,88,31,left,blue,1874,0
87,640355,0,0,3720,blue,false,left,56,44,left,blue,1483,0
88,644378,1,15,3705,blue,true,right,31,15,right,blue,1497,0
89,648419,0,0,3705,blue,false,left,90,31,left,blue,1664,0
90,652618,0,0,3705,blue,false,right,80,76,right,blue,736,0
91,655888,0,0,3705,blue,false,right,78,4,right,blue,1015,0
92,659440,0,0,3705,blue,false,left,60,28,left,blue,745,0
93,662708,1,99,3606,blue,true,left,56,99,left,blue,2431,0
94,671676,0,0,3606,blue,false,right,31,45,right,blue,1476,0
95,675697,0,0,3606,blue,false,right,55,16,right,blue,713,0
96,678949,1,89,3517,blue,true,right,12,89,right,blue,538,0
97,682031,0,0,3517,blue,false,left,49,4,left,blue,611,0
98,685185,0,0,3517,blue,false,left,69,12,left,blue,684,0
99,688398,1,26,3491,blue,true,left,49,26,left,blue,729,0
100,691662,1,75,3416,blue,false,left,75,76,right,orange,1943,0
101,696126,0,0,3416,blue,false,right,22,90,right,blue,1123,0
102,699803,1,23,3393,blue,true,right,26,23,right,blue,862,0
103,703206,1,11,3382,blue,false,right,11,68,left,orange,1396,0
104,707152,1,82,3300,blue,true,right,71,82,right,blue,2583,0
105,712278,1,86,3214,blue,false,left,86,95,right,orange,1376,0
106,716191,1,79,3135,blue,false,right,79,88,left,orange,1459,0
107,720197,0,0,3135,blue,false,left,75,40,left,blue,1182,0
108,723907,1,11,3124,blue,false,right,11,94,left,orange,983,0
109,727432,1,44,3080,blue,true,right,53,44,right,blue,966,0
110,730946,0,0,3080,blue,false,right,85,17,right,blue,1027,0
111,734519,1,32,3048,blue,true,left,85,32,left,blue,1038,0
112,738102,1,38,3010,blue,false,left,38,68,right,orange,1171,0
113,741816,1,28,2982,blue,false,right,28,93,left,orange,2260,0
114,746611,1,13,2969,blue,false,left,13,95,right,orange,708,0
115,749862,0,0,2969,blue,false,left,69,60,left,blue,1221,0
116,753615,1,95,2874,blue,true,right,56,95,right,blue,3328,0
117,759493,1,2,2872,blue,false,right,2,41,left,orange,1229,0
118,763263,0,0,2872,blue,false,left,42,5,left,blue,578,0
119,766383,0,0,2872,blue,false,right,44,30,right,blue,751,0
120,769678,0,0,2872,blue,false,right,79,4,right,blue,647,0
121,772850,0,0,2872,blue,false,right,83,87,right,blue,949,0
122,776324,0,0,2872,blue,false,right,59,44,right,blue,889,0
123,779740,1,10,2862,blue,true,left,15,10,left,blue,953,0
124,783241,0,0,2862,blue,false,right,60,15,right,blue,1233,0
125,787023,0,0,2862,blue,false,right,73,25,right,blue,866,0
126,790409,0,0,2862,blue,false,right,43,23,right,blue,753,0
127,793707,1,22,2840,blue,false,right,22,87,left,orange,1330,0
128,797574,1,77,2763,blue,true,right,27,77,right,blue,861,0
129,800967,0,0,2763,blue,false,right,99,35,right,blue,715,0
130,804227,1,39,2724,blue,true,left,49,39,left,blue,652,0
131,807414,0,0,2724,blue,false,left,83,60,left,blue,587,0
132,810530,1,54,2670,blue,true,left,61,54,left,blue,860,0
133,813934,0,0,2670,blue,false,left,82,34,left,blue,753,0
134,817227,0,0,2670,blue,false,right,96,86,right,blue,950,0
135,820717,0,0,2670,blue,false,right,65,27,right,blue,858,0
136,824114,1,63,2607,blue,false,left,63,93,right,orange,1962,0
137,828604,0,0,2607,blue,false,right,65,40,right,blue,659,0
138,831792,1,7,2600,blue,false,right,7,69,left,orange,1258,0
