Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,232122,1,37,4963,blue,true,right,44,37,right,blue,1838,0
2,236530.29999995232,0,0,4963,blue,true,left,66,12,right,orange,1322,0
3,240399.79999995232,1,9,4954,blue,true,left,98,9,left,blue,1531,0
4,244489.79999995232,1,20,4934,blue,false,right,20,91,left,orange,985,0
5,248013.10000002384,0,0,4934,blue,true,right,28,8,left,orange,2454,0
6,253000.5,0,0,4934,blue,true,right,30,33,left,orange,1086,0
7,256629.5,0,0,4934,blue,true,right,27,24,left,orange,1039,0
8,260200.19999992847,0,0,4934,blue,false,right,58,43,right,blue,2171,0
9,264914.89999997616,0,0,4934,blue,true,left,72,47,right,orange,1760,0
10,269217.5,1,44,4890,blue,false,right,44,44,left,orange,755,0
11,272529.89999997616,1,26,4864,blue,true,right,69,26,right,blue,1199,0
12,276280,0,0,4864,blue,true,right,6,41,left,orange,679,0
13,279501.6999999285,0,0,4864,blue,true,right,88,34,left,orange,1216,0
14,283256.6999999285,1,73,4791,blue,false,left,73,18,right,orange,1083,0
15,286887.10000002384,0,0,4791,blue,true,left,60,25,right,orange,2326,0
16,291756.2999999523,0,0,4791,blue,true,right,68,6,left,orange,854,0
17,295159.89999997616,1,48,4743,blue,false,left,48,39,right,orange,1511,0
18,299217.39999997616,0,0,4743,blue,true,left,35,76,right,orange,939,0
19,302678.89999997616,0,0,4743,blue,true,right,23,85,left,orange,803,0
20,306021.2999999523,0,0,4743,blue,true,right,54,22,left,orange,1255,0
21,309818.5,1,66,4677,blue,false,right,66,58,left,orange,1142,0
22,313510.39999997616,1,41,4636,blue,true,left,98,41,left,blue,2060,0
23,318128.89999997616,0,0,4636,blue,true,right,58,80,left,orange,939,0
24,321615.1999999285,0,0,4636,blue,true,right,32,85,left,orange,880,0
25,325038,0,0,4636,blue,false,left,83,15,left,blue,2208,0
26,329792.7999999523,0,0,4636,blue,true,left,18,16,right,orange,1322,0
