Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,177165.48999998486,1,37,4963,blue,true,left,44,37,left,blue,1340,0
2,181057.8300000052,1,12,4951,blue,true,right,66,12,right,blue,638,0
3,184233.1299999787,1,9,4942,blue,true,right,98,9,right,blue,934,0
4,187707.23499997985,1,20,4922,blue,false,right,20,91,left,orange,628,0
5,190887.06499998807,0,0,4922,blue,true,left,28,8,right,orange,721,0
6,194149.13999999408,0,0,4922,blue,true,right,30,33,left,orange,628,0
7,197314.46999998298,0,0,4922,blue,true,right,27,24,left,orange,519,0
8,200367.5649999932,1,58,4864,blue,false,right,58,43,left,orange,897,0
9,203800.09000000427,0,0,4864,blue,true,left,72,47,right,orange,640,0
10,206982.4999999837,1,44,4820,blue,false,right,44,44,left,orange,762,0
11,210302.3450000037,1,26,4794,blue,true,left,69,26,left,blue,810,0
12,213650.01499999198,0,0,4794,blue,true,right,6,41,left,orange,526,0
13,216710.91999998316,1,34,4760,blue,true,left,88,34,left,blue,923,0
14,220169.42500000005,0,0,4760,blue,false,left,73,18,left,blue,793,0
15,223513.0000000063,1,25,4735,blue,true,right,60,25,right,blue,935,0
16,226990.8599999908,1,6,4729,blue,true,right,68,6,right,blue,698,0
17,230230.98999998183,1,48,4681,blue,false,left,48,39,right,orange,731,0
18,233493.69499998284,0,0,4681,blue,true,right,35,76,left,orange,667,0
19,236684.38500000047,0,0,4681,blue,true,right,23,85,left,orange,606,0
20,239827.14999999735,0,0,4681,blue,true,right,54,22,left,orange,559,0
21,242921.9349999912,1,66,4615,blue,false,right,66,58,left,orange,599,0
22,246047.40999999922,1,41,4574,blue,true,right,98,41,right,blue,850,0
23,249423.38500000187,0,0,4574,blue,true,right,58,80,left,orange,707,0
24,252669.03999997885,0,0,4574,blue,true,right,32,85,left,orange,596,0
25,255792.4800000037,0,0,4574,blue,false,left,83,15,left,blue,731,0
26,259058.17000000388,0,0,4574,blue,true,right,18,16,left,orange,584,0
27,262168.4449999884,0,0,4574,blue,true,right,56,99,left,orange,609,0
28,265315.8049999911,0,0,4574,blue,true,left,23,75,right,orange,670,0
29,268513.0099999951,1,18,4556,blue,true,left,68,18,left,blue,792,0
30,271839.51499999966,0,0,4556,blue,true,left,30,16,right,orange,1026,0
31,275387.44999998016,0,0,4556,blue,true,left,86,37,right,orange,744,0
32,278649.9049999984,0,0,4556,blue,true,right,47,44,left,orange,696,0
33,281880.6549999863,0,0,4556,blue,true,left,3,91,right,orange,753,0
34,285154.8499999917,1,60,4496,blue,false,right,60,14,left,orange,808,0
35,288511.2599999993,0,0,4496,blue,true,left,54,84,right,orange,844,0
36,291893.4099999897,0,0,4496,blue,true,right,34,23,left,orange,717,0
37,295151.24999999534,1,28,4468,blue,true,right,96,28,right,blue,829,0
38,298506.3800000062,1,83,4385,blue,false,left,83,94,right,orange,649,0
39,301686.6399999999,0,0,4385,blue,true,right,63,86,left,orange,772,0
40,304995.974999998,0,0,4385,blue,true,left,99,53,right,orange,1328,0
41,308867.9450000054,0,0,4385,blue,true,left,29,91,right,orange,718,0
42,312118.8549999788,0,0,4385,blue,true,right,88,64,left,orange,637,0
43,315290.8400000015,0,0,4385,blue,true,left,84,70,right,orange,609,0
44,318437.1499999834,1,61,4324,blue,false,right,61,88,left,orange,703,0
45,321679.37999998685,1,43,4281,blue,true,right,61,43,right,blue,1108,0
46,325318.9199999906,0,0,4281,blue,true,left,87,54,right,orange,582,0
47,328430.4450000054,1,5,4276,blue,false,left,5,90,right,orange,909,0
48,335887.1400000062,0,0,4276,blue,true,right,71,44,left,orange,1149,0
49,339572.2999999998,0,0,4276,blue,true,right,42,52,left,orange,842,0
50,342957.779999997,0,0,4276,blue,true,right,39,93,left,orange,605,0
51,346117.40499999723,0,0,4276,blue,true,left,39,24,right,orange,870,0
52,349527.21499998006,1,20,4256,blue,false,left,20,10,right,orange,1077,0
53,353137.67999998527,1,85,4171,blue,false,left,85,43,right,orange,892,0
54,356558.0299999856,0,0,4171,blue,false,left,77,7,left,blue,767,0
55,359853.88499998953,1,90,4081,blue,true,left,95,90,left,blue,894,0
56,363304.2299999797,1,7,4074,blue,true,right,56,7,right,blue,909,0
57,366756.35499999044,0,0,4074,blue,true,right,50,69,left,orange,569,0
58,369868.35499998415,0,0,4074,blue,true,left,4,83,right,orange,576,0
59,372971.9899999909,0,0,4074,blue,false,left,40,8,left,blue,635,0
60,376132.094999979,0,0,4074,blue,true,left,47,86,right,orange,761,0
61,379428.19499998586,0,0,4074,blue,true,left,15,49,right,orange,784,0
62,382752.40500000655,0,0,4074,blue,true,left,17,39,right,orange,734,0
63,386028.9749999938,1,76,3998,blue,false,left,76,97,right,orange,721,0
64,389301.2199999939,1,14,3984,blue,true,right,73,14,right,blue,672,0
65,392511.4799999865,0,0,3984,blue,true,right,67,29,left,orange,1006,0
66,396056.19499998284,0,0,3984,blue,true,left,48,39,right,orange,1095,0
67,399695.3700000013,0,0,3984,blue,true,right,30,99,left,orange,663,0
68,402909.41999998176,0,0,3984,blue,false,left,13,20,left,blue,880,0
69,406315.5299999926,0,0,3984,blue,true,left,66,59,right,orange,731,0
70,409584.87500000047,0,0,3984,blue,true,left,20,60,right,orange,750,0
71,412864.2950000067,1,25,3959,blue,true,right,41,25,right,blue,624,0
72,416024.39000000595,1,76,3883,blue,false,right,76,70,left,orange,1159,0
73,419721.0849999974,1,73,3810,blue,false,left,73,18,right,orange,902,0
74,423148.9549999824,0,0,3810,blue,false,right,41,80,right,blue,771,0
75,426457.67999999225,1,76,3734,blue,true,right,25,76,right,blue,524,0
76,429536.37499999604,1,34,3700,blue,false,left,34,52,right,orange,525,0
77,432587.20999999787,1,30,3670,blue,false,left,30,60,right,orange,459,0
78,435582.80499998364,1,91,3579,blue,false,left,91,36,right,orange,544,0
79,438658.25499998755,0,0,3579,blue,false,right,70,59,right,blue,629,0
80,441830.8149999939,1,47,3532,blue,true,left,64,47,left,blue,536,0
81,444912.1299999824,0,0,3532,blue,false,right,28,44,right,blue,591,0
82,448033.4299999813,0,0,3532,blue,false,right,2,80,right,blue,670,0
83,451240.73999997927,0,0,3532,blue,false,right,20,39,right,blue,807,0
84,454583.18499999586,0,0,3532,blue,false,left,32,61,left,blue,1402,0
85,458532.6899999927,0,0,3532,blue,false,right,90,61,right,blue,554,0
86,461642.0849999995,1,70,3462,blue,true,right,62,70,right,blue,781,0
87,464968.7050000066,0,0,3462,blue,false,right,17,33,right,blue,670,0
88,468177.9899999965,0,0,3462,blue,false,right,74,17,right,blue,830,0
89,471555.2949999983,1,2,3460,blue,false,right,2,85,left,orange,1253,0
90,475344.6899999981,0,0,3460,blue,false,left,39,76,left,blue,1375,0
91,479247.0949999988,0,0,3460,blue,false,left,70,20,left,blue,696,0
92,482462.78000000166,1,69,3391,blue,true,right,24,69,right,blue,834,0
93,485829.16500000283,1,52,3339,blue,true,right,59,52,right,blue,731,0
94,493110.67500000354,1,15,3324,blue,false,right,15,43,left,orange,1554,0
95,497221.89499999513,1,34,3290,blue,true,right,50,34,right,blue,611,0
96,500372.9100000055,0,0,3290,blue,false,right,43,48,right,blue,781,0
97,503684.0699999884,1,35,3255,blue,true,left,14,35,left,blue,941,0
98,507166.39499997837,0,0,3255,blue,true,right,12,42,left,orange,786,0
99,510488.40499998187,0,0,3255,blue,true,right,40,44,left,orange,834,0
100,513866.7649999843,0,0,3255,blue,true,left,88,50,right,orange,551,0
101,516953.6349999835,0,0,3255,blue,true,left,51,19,right,orange,537,0
102,520017.59999999194,0,0,3255,blue,true,right,44,59,left,orange,777,0
103,523328.4299999941,0,0,3255,blue,true,right,23,9,left,orange,504,0
104,526376.2299999944,0,0,3255,blue,true,right,23,76,left,orange,528,0
105,529435.4599999788,0,0,3255,blue,true,left,94,47,right,orange,862,0
106,532825.7149999845,1,67,3188,blue,false,right,67,56,left,orange,520,0
107,535886.7049999826,0,0,3188,blue,true,left,50,16,right,orange,699,0
108,539106.689999986,1,7,3181,blue,true,left,83,7,left,blue,832,0
109,542473.5299999884,0,0,3181,blue,true,left,86,41,right,orange,721,0
110,545731.0699999798,0,0,3181,blue,true,right,61,37,left,orange,511,0
111,548787.7349999908,1,82,3099,blue,false,right,82,57,left,orange,463,0
112,551798.849999992,1,68,3031,blue,false,right,68,28,left,orange,667,0
113,555022.0449999906,1,65,2966,blue,false,right,65,76,left,orange,1140,0
114,558697.9649999994,0,0,2966,blue,false,right,25,19,right,blue,442,0
115,561662.2199999983,0,0,2966,blue,false,right,67,68,right,blue,1084,0
116,565272.329999978,0,0,2966,blue,false,right,82,68,right,blue,507,0
117,568314.4349999784,0,0,2966,blue,false,right,88,19,right,blue,497,0
118,571338.064999989,1,11,2955,blue,true,right,55,11,right,blue,426,0
119,574309.2449999822,1,36,2919,blue,true,right,74,36,right,blue,437,0
120,577274.6999999799,0,0,2919,blue,false,right,18,64,right,blue,488,0
121,580305.5900000036,0,0,2919,blue,false,left,15,3,left,blue,681,0
122,583528.0449999846,0,0,2919,blue,false,left,91,76,left,blue,941,0
123,587008.9449999796,0,0,2919,blue,false,left,66,92,left,blue,515,0
124,590049.8150000058,0,0,2919,blue,false,left,67,14,left,blue,562,0
125,593144.9799999828,1,77,2842,blue,true,right,11,77,right,blue,962,0
126,596643.9299999911,0,0,2842,blue,false,right,36,20,right,blue,865,0
127,600050.2850000048,0,0,2842,blue,false,right,44,61,right,blue,521,0
128,603122.7800000052,1,4,2838,blue,false,left,4,34,right,orange,889,0
129,606551.2499999895,0,0,2838,blue,false,right,86,63,right,blue,788,0
130,609863.9899999835,0,0,2838,blue,false,left,99,43,left,blue,853,0
131,613245.0599999866,1,56,2782,blue,true,left,95,56,left,blue,895,0
132,616667.6049999951,0,0,2782,blue,false,left,89,63,left,blue,569,0
133,619762.8299999924,1,80,2702,blue,true,right,88,80,right,blue,897,0
134,623190.579999995,0,0,2702,blue,false,left,5,10,left,blue,399,0
135,626115.844999993,1,80,2622,blue,true,right,35,80,right,blue,472,0
136,629149.6599999955,1,57,2565,blue,true,right,8,57,right,blue,454,0
137,632129.8799999931,1,47,2518,blue,true,left,78,47,left,blue,691,0
138,635363.7100000051,0,0,2518,blue,true,left,5,99,right,orange,618,0
139,638505.2549999964,0,0,2518,blue,true,left,62,67,right,orange,483,0
140,641527.8799999796,1,95,2423,blue,false,right,95,27,left,orange,733,0
