Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,134033.19999999925,1,37,4963,blue,true,left,44,37,left,blue,3104,0
2,139715,1,12,4951,blue,true,right,66,12,right,blue,3301,0
3,145588.69999999925,1,9,4942,blue,true,right,98,9,right,blue,1655,0
4,149812.1000000015,1,20,4922,blue,false,right,20,91,left,orange,1916,0
5,154290,1,8,4914,blue,true,left,28,8,left,blue,1554,0
6,158413.5,0,0,4914,blue,true,left,30,33,right,orange,3100,0
7,164064.6000000015,1,24,4890,blue,true,right,27,24,right,blue,1574,0
8,168217.40000000224,0,0,4890,blue,false,left,58,43,left,blue,1273,0
9,172053.30000000075,1,47,4843,blue,true,right,72,47,right,blue,1040,0
10,175659.90000000224,0,0,4843,blue,false,right,44,44,right,blue,3166,0
11,181410.6000000015,1,26,4817,blue,true,left,69,26,left,blue,1427,0
12,185409.90000000224,0,0,4817,blue,true,left,6,41,right,orange,1832,0
13,189811.6000000015,1,34,4783,blue,true,right,88,34,right,blue,1685,0
14,194052.6000000015,0,0,4783,blue,false,right,73,18,right,blue,1148,0
15,197760.1000000015,1,25,4758,blue,true,right,60,25,right,blue,1574,0
16,201936.80000000075,1,6,4752,blue,true,left,68,6,left,blue,1536,0
17,206045,0,0,4752,blue,false,left,48,39,left,blue,3453,0
18,212057.40000000224,0,0,4752,blue,true,left,35,76,right,orange,1863,0
19,216479,0,0,4752,blue,true,left,23,85,right,orange,773,0
20,219820.6000000015,1,22,4730,blue,true,right,54,22,right,blue,1564,0
21,223961.6000000015,1,66,4664,blue,false,right,66,58,left,orange,3031,0
22,229566.5,1,41,4623,blue,true,left,98,41,left,blue,1425,0
23,233566.80000000075,0,0,4623,blue,true,left,58,80,right,orange,984,0
24,237099.6000000015,0,0,4623,blue,true,left,32,85,right,orange,1023,0
25,240669.5,0,0,4623,blue,false,right,83,15,right,blue,1313,0
26,244542.1000000015,1,16,4607,blue,true,right,18,16,right,blue,1495,0
27,248593.6000000015,0,0,4607,blue,true,left,56,99,right,orange,1084,0
28,252226.6000000015,0,0,4607,blue,true,right,23,75,left,orange,2506,0
29,257269,1,18,4589,blue,true,left,68,18,left,blue,3122,0
30,262966.1000000015,0,0,4589,blue,true,left,30,16,right,orange,3914,0
31,269445.40000000224,0,0,4589,blue,true,left,86,37,right,orange,3147,0
32,275158.40000000224,1,44,4545,blue,true,right,47,44,right,blue,3581,0
33,281288.1000000015,1,91,4454,blue,true,right,3,91,right,blue,2754,0
34,286623,1,60,4394,blue,false,right,60,14,left,orange,2097,0
35,291293.6000000015,0,0,4394,blue,true,right,54,84,left,orange,1192,0
36,295049.80000000075,1,23,4371,blue,true,right,34,23,right,blue,1413,0
37,299019.30000000075,1,28,4343,blue,true,right,96,28,right,blue,815,0
38,302397.1000000015,1,83,4260,blue,false,left,83,94,right,orange,991,0
39,305965.6000000015,0,0,4260,blue,true,right,63,86,left,orange,2247,0
40,310759.5,1,53,4207,blue,true,right,99,53,right,blue,1384,0
41,314708.1000000015,0,0,4207,blue,true,left,29,91,right,orange,1108,0
42,318379,1,64,4143,blue,true,right,88,64,right,blue,876,0
43,321802.80000000075,0,0,4143,blue,true,left,84,70,right,orange,1963,0
44,326311.19999999925,1,61,4082,blue,false,right,61,88,left,orange,1865,0
45,330757.40000000224,1,43,4039,blue,true,left,61,43,left,blue,1254,0
46,334585.69999999925,1,54,3985,blue,true,left,87,54,left,blue,1081,0
47,338232.69999999925,1,5,3980,blue,false,right,5,90,left,orange,1877,0
48,346708.80000000075,1,44,3936,blue,true,right,71,44,right,blue,2809,0
49,352097.80000000075,0,0,3936,blue,true,right,42,52,left,orange,2235,0
50,356889.19999999925,0,0,3936,blue,true,right,39,93,left,orange,908,0
51,360359.40000000224,1,24,3912,blue,true,left,39,24,left,blue,1268,0
52,364203.19999999925,0,0,3912,blue,false,right,20,10,right,blue,1149,0
53,367890.1000000015,0,0,3912,blue,false,left,85,43,left,blue,1220,0
54,371668.19999999925,0,0,3912,blue,false,left,77,7,left,blue,2542,0
55,376747.6000000015,1,90,3822,blue,true,right,95,90,right,blue,1945,0
56,381241.1000000015,0,0,3822,blue,true,right,56,7,left,orange,1104,0
57,384896,0,0,3822,blue,true,right,50,69,left,orange,1480,0
58,388934,0,0,3822,blue,true,left,4,83,right,orange,1356,0
59,392842.30000000075,0,0,3822,blue,false,right,40,8,right,blue,2800,0
60,398205.19999999925,0,0,3822,blue,true,right,47,86,left,orange,1199,0
61,401959.19999999925,0,0,3822,blue,true,left,15,49,right,orange,1769,0
62,406292.6000000015,0,0,3822,blue,true,left,17,39,right,orange,1928,0
63,410803.69999999925,1,76,3746,blue,false,left,76,97,right,orange,1308,0
64,414689.40000000224,1,14,3732,blue,true,left,73,14,left,blue,947,0
65,418196.40000000224,1,29,3703,blue,true,left,67,29,left,blue,907,0
66,421676.80000000075,1,39,3664,blue,true,right,48,39,right,blue,1535,0
67,425782.6000000015,0,0,3664,blue,true,left,30,99,right,orange,1058,0
68,429408.30000000075,1,13,3651,blue,false,right,13,20,left,orange,1314,0
69,433296.90000000224,1,59,3592,blue,true,left,66,59,left,blue,1681,0
70,437536.90000000224,0,0,3592,blue,true,left,20,60,right,orange,1183,0
71,441282,1,25,3567,blue,true,right,41,25,right,blue,1381,0
72,445235.40000000224,0,0,3567,blue,false,left,76,70,left,blue,2047,0
73,449844.40000000224,1,73,3494,blue,false,right,73,18,left,orange,1131,0
