Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,351051,1,37,4963,blue,true,right,44,37,right,blue,1795,0
2,355366,1,12,4951,blue,true,right,66,12,right,blue,1482,0
3,359366,1,9,4942,blue,true,left,98,9,left,blue,1865,0
4,363750,1,20,4922,blue,false,right,20,91,left,orange,1928,0
5,368196,1,8,4914,blue,true,left,28,8,left,blue,1203,0
6,371914,0,0,4914,blue,true,right,30,33,left,orange,2444,0
7,376874,0,0,4914,blue,true,right,27,24,left,orange,2069,0
8,381454,0,0,4914,blue,false,right,58,43,right,blue,2217,0
9,386183,1,47,4867,blue,true,right,72,47,right,blue,1255,0
10,389950,0,0,4867,blue,false,left,44,44,left,blue,3617,0
11,396075,1,26,4841,blue,true,right,69,26,right,blue,1667,0
12,400257,0,0,4841,blue,true,left,6,41,right,orange,1334,0
13,404106,1,34,4807,blue,true,right,88,34,right,blue,1454,0
14,408069,0,0,4807,blue,false,right,73,18,right,blue,1218,0
15,411797,1,25,4782,blue,true,left,60,25,left,blue,1690,0
16,415999,1,6,4776,blue,true,right,68,6,right,blue,1248,0
17,419758,1,48,4728,blue,false,left,48,39,right,orange,2360,0
18,424628,0,0,4728,blue,true,right,35,76,left,orange,2587,0
19,429736,0,0,4728,blue,true,left,23,85,right,orange,1022,0
20,433273,1,22,4706,blue,true,left,54,22,left,blue,1470,0
21,437258,1,66,4640,blue,false,right,66,58,left,orange,1678,0
22,441452,1,41,4599,blue,true,left,98,41,left,blue,1531,0
23,445498,0,0,4599,blue,true,left,58,80,right,orange,1333,0
24,449341,0,0,4599,blue,true,left,32,85,right,orange,1138,0
25,452994,0,0,4599,blue,false,left,83,15,left,blue,1069,0
26,456574,1,16,4583,blue,true,left,18,16,left,blue,849,0
27,459934,0,0,4583,blue,true,left,56,99,right,orange,944,0
28,463392,0,0,4583,blue,true,left,23,75,right,orange,991,0
29,466893,0,0,4583,blue,true,right,68,18,left,orange,2442,0
30,471845,1,16,4567,blue,true,right,30,16,right,blue,1883,0
31,476244,1,37,4530,blue,true,left,86,37,left,blue,1211,0
32,479970,0,0,4530,blue,true,right,47,44,left,orange,1093,0
33,483581,0,0,4530,blue,true,left,3,91,right,orange,754,0
34,486853,0,0,4530,blue,false,right,60,14,right,blue,1626,0
