Quiz_round,2,RESULT:,Steal2Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,138740.39999997616,1,10,4990,blue,true,left,23,10,left,blue,1755,0
2,143049.30000001192,1,97,4893,blue,true,left,45,97,left,blue,864,0
3,146463.5,1,62,4831,blue,true,left,54,62,left,blue,544,0
4,149548.39999997616,1,99,4732,blue,false,right,99,16,left,orange,744,0
5,152831.60000002384,0,0,4732,blue,true,left,72,40,right,orange,591,0
6,155959,0,0,4732,blue,true,left,98,88,right,orange,455,0
7,158956.89999997616,1,54,4678,blue,true,left,6,54,left,blue,433,0
8,161948.39999997616,0,0,4678,blue,true,left,64,55,right,orange,435,0
9,164906.30000001192,0,0,4678,blue,false,right,96,45,right,blue,412,0
10,167862.60000002384,0,0,4678,blue,true,right,28,19,left,orange,397,0
11,170806.5,0,0,4678,blue,true,right,95,26,left,orange,631,0
12,173974.89999997616,0,0,4678,blue,true,right,90,29,left,orange,482,0
13,176983.89999997616,1,53,4625,blue,true,left,20,53,left,blue,965,0
14,180508.69999998808,0,0,4625,blue,true,right,74,56,left,orange,721,0
15,183765.19999998808,1,42,4583,blue,true,right,18,42,right,blue,1010,0
16,187330.80000001192,1,91,4492,blue,true,left,11,91,left,blue,670,0
17,190568.39999997616,1,32,4460,blue,false,right,32,31,left,orange,270,0
18,193391.5,1,65,4395,blue,true,right,36,65,right,blue,601,0
19,196540.69999998808,0,0,4395,blue,false,left,40,30,left,blue,341,0
20,199422.10000002384,0,0,4395,blue,true,right,29,26,left,orange,712,0
21,202668,1,32,4363,blue,false,right,32,36,left,orange,482,0
22,205692.69999998808,0,0,4363,blue,true,right,72,81,left,orange,1097,0
23,209327.5,0,0,4363,blue,false,right,95,54,right,blue,909,0
24,212770.19999998808,0,0,4363,blue,false,left,40,59,left,blue,717,0
25,216030,1,29,4334,blue,false,right,29,24,left,orange,621,0
26,219184.19999998808,1,60,4274,blue,false,right,60,51,left,orange,881,0
27,222625.80000001192,0,0,4274,blue,false,right,83,65,right,blue,568,0
28,225728.10000002384,1,98,4176,blue,true,right,78,98,right,blue,491,0
29,228796.60000002384,1,56,4120,blue,false,right,56,51,left,orange,541,0
30,231897.60000002384,1,5,4115,blue,false,right,5,20,left,orange,585,0
31,235021.10000002384,0,0,4115,blue,false,left,67,2,left,blue,474,0
32,238030.80000001192,1,85,4030,blue,false,left,85,84,right,orange,1101,0
33,241711.89999997616,0,0,4030,blue,true,right,7,49,left,orange,475,0
34,244722.80000001192,1,37,3993,blue,false,right,37,47,left,orange,672,0
35,247948.19999998808,1,27,3966,blue,false,right,27,91,left,orange,573,0
36,251062.19999998808,0,0,3966,blue,false,right,44,42,right,blue,550,0
37,254158.39999997616,0,0,3966,blue,true,left,31,55,right,orange,520,0
38,257212.19999998808,1,97,3869,blue,false,left,97,70,right,orange,383,0
