Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,204048.00000000978,1,37,4963,blue,true,right,44,37,right,blue,1493,0
2,208078.86000000872,1,12,4951,blue,true,right,66,12,right,blue,918,0
3,211533.34999998333,0,0,4951,blue,true,left,98,9,right,orange,1319,0
4,226444.69999999274,1,20,4931,blue,false,left,20,91,right,orange,3956,2
5,232935.64999999944,1,8,4923,blue,true,left,28,8,left,blue,654,0
6,236136.044999992,0,0,4923,blue,true,left,30,33,right,orange,1052,0
7,239724.77999998955,0,0,4923,blue,true,right,27,24,left,orange,919,0
8,243180.67000000156,1,58,4865,blue,false,right,58,43,left,orange,1304,0
9,247019.1300000006,1,47,4818,blue,true,left,72,47,left,blue,2121,0
10,251667.8200000024,1,44,4774,blue,false,left,44,44,right,orange,1185,0
11,255389.77000000887,1,26,4748,blue,true,right,69,26,right,blue,839,0
12,258763.74500000384,0,0,4748,blue,true,left,6,41,right,orange,761,0
13,262067.3700000043,1,34,4714,blue,true,right,88,34,right,blue,1555,0
14,266170.6600000034,0,0,4714,blue,false,right,73,18,right,blue,1066,0
15,269756.0100000119,0,0,4714,blue,true,right,60,25,left,orange,2889,0
16,275176.6500000085,1,6,4708,blue,true,left,68,6,left,blue,909,0
17,278632.70499999635,1,48,4660,blue,false,right,48,39,left,orange,2508,0
18,283684.8250000039,0,0,4660,blue,true,right,35,76,left,orange,1232,0
19,287463.35000000545,0,0,4660,blue,true,right,23,85,left,orange,653,0
20,290644.18500001193,0,0,4660,blue,true,left,54,22,right,orange,1425,0
21,294614.8450000037,1,66,4594,blue,false,left,66,58,right,orange,1759,0
22,298919.8299999989,1,41,4553,blue,true,right,98,41,right,blue,1070,0
23,302540.2799999865,0,0,4553,blue,true,right,58,80,left,orange,1033,0
24,306109.2800000042,0,0,4553,blue,true,right,32,85,left,orange,727,0
25,309378.6749999854,0,0,4553,blue,false,left,83,15,left,blue,1939,0
26,313852.0300000091,0,0,4553,blue,true,left,18,16,right,orange,1752,0
27,318134.59500001045,0,0,4553,blue,true,left,56,99,right,orange,1085,0
28,321760.4350000038,0,0,4553,blue,true,right,23,75,left,orange,804,0
29,325104.49500000686,1,18,4535,blue,true,left,68,18,left,blue,1503,0
30,329147.41000000504,1,16,4519,blue,true,left,30,16,left,blue,2362,0
31,334034.85500000534,1,37,4482,blue,true,left,86,37,left,blue,2194,0
32,338776.4249999891,1,44,4438,blue,true,right,47,44,right,blue,1067,0
33,342380.05000000703,0,0,4438,blue,true,right,3,91,left,orange,1113,0
34,346034.66499998467,0,0,4438,blue,false,right,60,14,right,blue,2579,0
35,351156.0799999861,0,0,4438,blue,true,left,54,84,right,orange,2016,0
36,355707.934999984,0,0,4438,blue,true,right,34,23,left,orange,1737,0
37,359980.4550000117,1,28,4410,blue,true,right,96,28,right,blue,2217,0
38,364736.2800000119,1,83,4327,blue,false,left,83,94,right,orange,1349,0
39,368623.5549999983,1,86,4241,blue,true,right,63,86,right,blue,1157,0
40,372306.92999999155,1,53,4188,blue,true,left,99,53,left,blue,1026,0
41,375863.8900000078,0,0,4188,blue,true,right,29,91,left,orange,829,0
42,379234.87499999464,0,0,4188,blue,true,right,88,64,left,orange,1282,0
43,383054.3400000024,0,0,4188,blue,true,right,84,70,left,orange,1222,0
44,386805.46999999206,0,0,4188,blue,false,left,61,88,left,blue,1391,0
