Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,241260.69999980927,1,10,4990,blue,true,left,23,10,left,blue,1787,0
2,245580.19999980927,0,0,4990,blue,true,left,45,97,right,orange,1076,0
3,249182.19999980927,0,0,4990,blue,true,left,54,62,right,orange,921,0
4,252637.80000019073,1,99,4891,blue,false,right,99,16,left,orange,655,0
5,255815.39999961853,1,40,4851,blue,true,right,72,40,right,blue,1211,0
6,259560.89999961853,1,88,4763,blue,true,right,98,88,right,blue,1273,0
7,263366.80000019073,0,0,4763,blue,true,left,6,54,right,orange,653,0
8,266548.39999961853,0,0,4763,blue,true,left,64,55,right,orange,898,0
9,269983.60000038147,1,96,4667,blue,false,left,96,45,right,orange,1930,0
10,274455.60000038147,1,19,4648,blue,true,left,28,19,left,blue,1090,0
11,278074.30000019073,1,26,4622,blue,true,right,95,26,right,blue,2374,0
12,282989.80000019073,0,0,4622,blue,true,left,90,29,right,orange,692,0
13,286221.89999961853,0,0,4622,blue,true,right,20,53,left,orange,645,0
14,289396.10000038147,0,0,4622,blue,true,right,74,56,left,orange,1059,0
15,292982.30000019073,0,0,4622,blue,true,right,18,42,left,orange,617,0
16,296120.39999961853,0,0,4622,blue,true,right,11,91,left,orange,451,0
17,299101.19999980927,1,32,4590,blue,false,right,32,31,left,orange,495,0
18,302127.69999980927,0,0,4590,blue,true,right,36,65,left,orange,689,0
19,305346,1,40,4550,blue,false,right,40,30,left,orange,867,0
20,308746.80000019073,0,0,4550,blue,true,left,29,26,right,orange,989,0
21,312271.10000038147,1,32,4518,blue,false,right,32,36,left,orange,704,0
22,315515.89999961853,0,0,4518,blue,true,left,72,81,right,orange,993,0
23,319053.80000019073,0,0,4518,blue,false,right,95,54,right,blue,2642,0
24,324223.89999961853,1,40,4478,blue,false,left,40,59,right,orange,761,0
25,327504,1,29,4449,blue,false,right,29,24,left,orange,575,0
26,330606.19999980927,0,0,4449,blue,false,right,60,51,right,blue,526,0
27,333667.5,0,0,4449,blue,false,right,83,65,right,blue,516,0
28,336718.30000019073,1,98,4351,blue,true,right,78,98,right,blue,546,0
29,339798.10000038147,0,0,4351,blue,false,right,56,51,right,blue,1003,0
30,343329.10000038147,1,5,4346,blue,false,left,5,20,right,orange,1327,0
31,347193.60000038147,0,0,4346,blue,false,right,67,2,right,blue,1150,0
32,350884.5,0,0,4346,blue,false,left,85,84,left,blue,1714,0
33,355125.39999961853,0,0,4346,blue,true,right,7,49,left,orange,805,0
34,358462.30000019073,0,0,4346,blue,false,right,37,47,right,blue,1812,0
35,362804.10000038147,1,27,4319,blue,false,right,27,91,left,orange,755,0
36,366105.69999980927,0,0,4319,blue,false,right,44,42,right,blue,1235,0
37,369881.39999961853,1,55,4264,blue,true,right,31,55,right,blue,2536,0
38,374946.5,0,0,4264,blue,false,left,97,70,left,blue,2563,0
39,380032.60000038147,0,0,4264,blue,false,right,14,9,right,blue,904,0
40,383468.80000019073,1,51,4213,blue,true,left,23,51,left,blue,1385,0
41,387386.19999980927,1,79,4134,blue,true,right,89,79,right,blue,1151,0
42,391071.89999961853,0,0,4134,blue,true,right,83,86,left,orange,479,0
43,394079.10000038147,0,0,4134,blue,true,right,40,62,left,orange,427,0
44,397025.10000038147,0,0,4134,blue,true,left,36,23,right,orange,1141,0
45,400699.39999961853,0,0,4134,blue,true,left,65,61,right,orange,547,0
46,403774.10000038147,0,0,4134,blue,true,left,74,67,right,orange,811,0
47,407106.30000019073,0,0,4134,blue,true,left,73,41,right,orange,769,0
48,414419.19999980927,0,0,4134,blue,false,right,96,54,right,blue,1844,0
49,418802.10000038147,1,88,4046,blue,true,right,86,88,right,blue,941,0
50,422263.5,1,66,3980,blue,true,left,43,66,left,blue,1898,0
51,426683.19999980927,0,0,3980,blue,true,left,72,79,right,orange,476,0
52,429689.80000019073,1,71,3909,blue,false,left,71,13,right,orange,481,0
53,432695.30000019073,0,0,3909,blue,true,right,78,53,left,orange,1912,0
54,437147.60000038147,0,0,3909,blue,true,left,57,90,right,orange,387,0
55,440064.10000038147,1,3,3906,blue,false,right,3,12,left,orange,672,0
56,443262.10000038147,0,0,3906,blue,true,left,2,64,right,orange,583,0
57,446385.60000038147,1,9,3897,blue,true,left,99,9,left,blue,744,0
58,449672.69999980927,0,0,3897,blue,true,right,21,42,left,orange,901,0
59,453119.39999961853,0,0,3897,blue,true,left,83,72,right,orange,524,0
60,456175,1,11,3886,blue,true,right,37,11,right,blue,1080,0
61,459783.19999980927,1,67,3819,blue,false,right,67,81,left,orange,864,0
62,463176.10000038147,0,0,3819,blue,true,right,12,14,left,orange,884,0
63,466583.19999980927,1,78,3741,blue,false,left,78,90,right,orange,766,0
64,469896.10000038147,1,46,3695,blue,false,left,46,53,right,orange,947,0
65,473386.39999961853,1,30,3665,blue,false,right,30,42,left,orange,579,0
66,476496.69999980927,1,36,3629,blue,false,left,36,65,right,orange,888,0
67,479918.19999980927,0,0,3629,blue,false,right,49,49,right,blue,530,0
68,482984.19999980927,0,0,3629,blue,false,right,44,10,right,blue,489,0
69,485999.89999961853,0,0,3629,blue,false,left,70,64,left,blue,598,0
70,489142.89999961853,0,0,3629,blue,false,right,68,95,right,blue,437,0
71,492098.69999980927,0,0,3629,blue,false,right,38,46,right,blue,443,0
72,495062.39999961853,0,0,3629,blue,false,right,18,24,right,blue,511,0
73,498097.80000019073,0,0,3629,blue,false,left,82,78,left,blue,1615,0
74,502241.39999961853,0,0,3629,blue,false,left,59,54,left,blue,524,0
75,505302.5,0,0,3629,blue,false,left,36,33,left,blue,610,0
76,508454.5,1,56,3573,blue,true,right,49,56,right,blue,755,0
77,511742.30000019073,1,26,3547,blue,false,left,26,83,right,orange,1030,0
78,515299,0,0,3547,blue,false,left,38,81,left,blue,723,0
79,518547.30000019073,0,0,3547,blue,false,left,12,3,left,blue,696,0
80,521771.5,0,0,3547,blue,false,right,62,38,right,blue,1441,0
81,525734.8000001907,0,0,3547,blue,false,left,43,50,left,blue,579,0
82,528854,0,0,3547,blue,false,right,50,47,right,blue,546,0
83,531925.5,1,35,3512,blue,true,left,41,35,left,blue,722,0
84,535178.5,1,9,3503,blue,false,left,9,62,right,orange,982,0
85,538690.1000003815,0,0,3503,blue,false,left,60,58,left,blue,530,0
86,541737.1000003815,0,0,3503,blue,false,left,88,31,left,blue,849,0
87,545116.3000001907,0,0,3503,blue,false,left,56,44,left,blue,718,0
88,548354.1000003815,1,15,3488,blue,true,left,31,15,left,blue,614,0
89,551498.1999998093,0,0,3488,blue,false,left,90,31,left,blue,766,0
90,554784.8000001907,0,0,3488,blue,false,left,80,76,left,blue,582,0
91,557900.3000001907,0,0,3488,blue,false,left,78,4,left,blue,591,0
92,561015.5,0,0,3488,blue,false,right,60,28,right,blue,853,0
93,564400.3999996185,1,99,3389,blue,true,left,56,99,left,blue,946,0
94,571873,1,31,3358,blue,false,left,31,45,right,orange,1117,0
95,575523.6000003815,0,0,3358,blue,false,right,55,16,right,blue,551,0
96,578604.6000003815,1,89,3269,blue,true,left,12,89,left,blue,553,0
97,581692.8000001907,0,0,3269,blue,false,right,49,4,right,blue,809,0
98,585041.6999998093,0,0,3269,blue,false,left,69,12,left,blue,1040,0
99,588607.8000001907,1,26,3243,blue,true,right,49,26,right,blue,726,0
100,591866.6999998093,1,75,3168,blue,false,right,75,76,left,orange,1406,0
101,595802.6999998093,1,22,3146,blue,false,right,22,90,left,orange,1543,0
102,599885.3999996185,1,23,3123,blue,true,left,26,23,left,blue,2290,0
103,604709.3999996185,1,11,3112,blue,false,left,11,68,right,orange,718,0
104,607957.5,0,0,3112,blue,true,right,71,82,left,orange,1363,0
105,611842.8000001907,1,86,3026,blue,false,right,86,95,left,orange,950,0
106,615318.1999998093,1,79,2947,blue,false,left,79,88,right,orange,840,0
107,618680.3999996185,0,0,2947,blue,false,right,75,40,right,blue,509,0
108,621724,0,0,2947,blue,false,right,11,94,right,blue,453,0
109,624694.6999998093,1,44,2903,blue,true,right,53,44,right,blue,537,0
110,627776.8999996185,0,0,2903,blue,false,left,85,17,left,blue,1029,0
111,631323.5,1,32,2871,blue,true,left,85,32,left,blue,820,0
112,634682.5,1,38,2833,blue,false,left,38,68,right,orange,1034,0
113,638251.3999996185,1,28,2805,blue,false,right,28,93,left,orange,1285,0
114,642071.6999998093,1,13,2792,blue,false,right,13,95,left,orange,793,0
115,645386,0,0,2792,blue,false,left,69,60,left,blue,654,0
116,648570.6999998093,1,95,2697,blue,true,left,56,95,left,blue,694,0
117,651783.5,1,2,2695,blue,false,left,2,41,right,orange,759,0
118,655074.6999998093,0,0,2695,blue,false,right,42,5,right,blue,683,0
119,658275,0,0,2695,blue,false,left,44,30,left,blue,492,0
120,661309.5,0,0,2695,blue,false,left,79,4,left,blue,419,0
121,664267.3000001907,0,0,2695,blue,false,left,83,87,left,blue,394,0
122,667177.6999998093,0,0,2695,blue,false,left,59,44,left,blue,471,0
123,670189.8000001907,1,10,2685,blue,true,left,15,10,left,blue,392,0
124,673138,0,0,2685,blue,false,left,60,15,left,blue,440,0
125,676127.1999998093,0,0,2685,blue,false,left,73,25,left,blue,341,0
126,678998.1999998093,0,0,2685,blue,false,right,43,23,right,blue,643,0
127,682161.3999996185,0,0,2685,blue,false,right,22,87,right,blue,638,0
128,685334.1000003815,1,77,2608,blue,true,left,27,77,left,blue,511,0
129,688378.3000001907,0,0,2608,blue,false,left,99,35,left,blue,611,0
130,691505.5,1,39,2569,blue,true,right,49,39,right,blue,660,0
131,694698.1000003815,0,0,2569,blue,false,left,83,60,left,blue,883,0
132,698128.1999998093,1,54,2515,blue,true,left,61,54,left,blue,580,0
133,701231.8999996185,0,0,2515,blue,false,left,82,34,left,blue,1021,0
134,704784.8000001907,0,0,2515,blue,false,right,96,86,right,blue,947,0
135,708263.6000003815,0,0,2515,blue,false,right,65,27,right,blue,1171,0
136,711964.3000001907,0,0,2515,blue,false,left,63,93,left,blue,1891,0
137,716378.5,0,0,2515,blue,false,right,65,40,right,blue,693,0
138,719594.1000003815,1,7,2508,blue,false,right,7,69,left,orange,713,0
139,722849.1000003815,1,28,2480,blue,true,left,94,28,left,blue,1062,0
140,726435.8999996185,0,0,2480,blue,false,right,90,4,right,blue,556,0
