Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,314579,1,10,4990,blue,true,right,23,10,right,blue,1361,0
2,318464,0,0,4990,blue,true,right,45,97,left,orange,894,0
3,321873,0,0,4990,blue,true,right,54,62,left,orange,974,0
4,325361,0,0,4990,blue,false,right,99,16,right,blue,975,0
5,328849,1,40,4950,blue,true,right,72,40,right,blue,1071,0
6,332436,1,88,4862,blue,true,left,98,88,left,blue,1189,0
7,336141,0,0,4862,blue,true,left,6,54,right,orange,1086,0
8,339739.00000000006,1,55,4807,blue,true,left,64,55,left,blue,1205,0
9,343459,1,96,4711,blue,false,right,96,45,left,orange,2170,0
10,348144,0,0,4711,blue,true,left,28,19,right,orange,1664,0
11,352320,1,26,4685,blue,true,right,95,26,right,blue,1215,0
12,356053,0,0,4685,blue,true,left,90,29,right,orange,1648,0
13,360215.00000000006,0,0,4685,blue,true,right,20,53,left,orange,1125,0
14,363853,1,56,4629,blue,true,left,74,56,left,blue,1419,0
15,367788,0,0,4629,blue,true,left,18,42,right,orange,1318,0
16,371621,0,0,4629,blue,true,left,11,91,right,orange,858,0
17,374993,1,32,4597,blue,false,right,32,31,left,orange,1864,0
18,379373,0,0,4597,blue,true,right,36,65,left,orange,1216,0
19,383101,1,40,4557,blue,false,right,40,30,left,orange,1716,0
20,387333,1,26,4531,blue,true,left,29,26,left,blue,1660,0
21,391509,0,0,4531,blue,false,right,32,36,right,blue,1933,0
22,395955,0,0,4531,blue,true,right,72,81,left,orange,1668,0
23,400138.00000000006,1,95,4436,blue,false,right,95,54,left,orange,1674,0
24,404329,1,40,4396,blue,false,left,40,59,right,orange,1893,0
25,408739.00000000006,0,0,4396,blue,false,left,29,24,left,blue,1212,0
26,412466,0,0,4396,blue,false,right,60,51,right,blue,1017,0
27,415997,0,0,4396,blue,false,right,83,65,right,blue,1490,0
28,420002,1,98,4298,blue,true,left,78,98,left,blue,1845,0
29,424364.00000000006,0,0,4298,blue,false,right,56,51,right,blue,1799,0
30,428677,1,5,4293,blue,false,right,5,20,left,orange,1481,0
31,432674.00000000006,0,0,4293,blue,false,right,67,2,right,blue,1280,0
32,436467,0,0,4293,blue,false,right,85,84,right,blue,1892,0
33,440870,1,49,4244,blue,true,left,7,49,left,blue,2235,0
34,445620,1,37,4207,blue,false,right,37,47,left,orange,1888,0
35,450023,1,27,4180,blue,false,right,27,91,left,orange,1098,0
36,453637,0,0,4180,blue,false,left,44,42,left,blue,1854,0
37,458003,1,55,4125,blue,true,right,31,55,right,blue,1036,0
38,461554.00000000006,0,0,4125,blue,false,right,97,70,right,blue,1742,0
39,465812,0,0,4125,blue,false,right,14,9,right,blue,1013,0
40,469340.00000000006,0,0,4125,blue,true,left,23,51,right,orange,902,0
41,472755,1,79,4046,blue,true,right,89,79,right,blue,1425,0
42,476696,0,0,4046,blue,true,left,83,86,right,orange,1481,0
43,480690,0,0,4046,blue,true,right,40,62,left,orange,996,0
44,484202,1,23,4023,blue,true,left,36,23,left,blue,885,0
45,487603,0,0,4023,blue,true,left,65,61,right,orange,924,0
46,491040,0,0,4023,blue,true,left,74,67,right,orange,1656,0
47,495212,0,0,4023,blue,true,right,73,41,left,orange,1547,0
48,503278,1,96,3927,blue,false,left,96,54,right,orange,1600,0
49,507394,1,88,3839,blue,true,right,86,88,right,blue,1043,0
50,510955,0,0,3839,blue,true,right,43,66,left,orange,1747,0
51,515215.00000000006,0,0,3839,blue,true,right,72,79,left,orange,1580,0
52,519308.99999999994,1,71,3768,blue,false,left,71,13,right,orange,1504,0
53,523328,1,53,3715,blue,true,left,78,53,left,blue,2249,0
54,528094,0,0,3715,blue,true,left,57,90,right,orange,1199,0
55,531805.0000000001,1,3,3712,blue,false,left,3,12,right,orange,889,0
56,535212,0,0,3712,blue,true,left,2,64,right,orange,990,0
57,538717,1,9,3703,blue,true,left,99,9,left,blue,1567,0
58,542800,0,0,3703,blue,true,left,21,42,right,orange,1455,0
59,546771,0,0,3703,blue,true,left,83,72,right,orange,1334,0
60,550620,0,0,3703,blue,true,left,37,11,right,orange,1593,0
61,554727,1,67,3636,blue,false,right,67,81,left,orange,2724,0
62,559968,0,0,3636,blue,true,right,12,14,left,orange,2357,0
63,564837,1,78,3558,blue,false,right,78,90,left,orange,2510,0
64,569864,1,46,3512,blue,false,right,46,53,left,orange,1965,0
65,574345,1,30,3482,blue,false,left,30,42,right,orange,1154,0
66,578018,0,0,3482,blue,false,left,36,65,left,blue,868,0
67,581400,0,0,3482,blue,false,left,49,49,left,blue,889,0
68,584801,0,0,3482,blue,false,right,44,10,right,blue,1292,0
69,588605,0,0,3482,blue,false,right,70,64,right,blue,1380,0
70,592498,0,0,3482,blue,false,left,68,95,left,blue,1884,0
71,596895,0,0,3482,blue,false,left,38,46,left,blue,1250,0
72,600659,0,0,3482,blue,false,left,18,24,left,blue,839,0
73,604010,0,0,3482,blue,false,left,82,78,left,blue,1020,0
74,607543,0,0,3482,blue,false,right,59,54,right,blue,1179,0
