Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,226264.1949999961,1,10,4990,blue,true,left,23,10,left,blue,1655,0
2,230447.71999999648,0,0,4990,blue,true,right,45,97,left,orange,1096,0
3,234066.69000000693,0,0,4990,blue,true,left,54,62,right,orange,708,0
4,237297.05500000273,0,0,4990,blue,false,right,99,16,right,blue,1630,0
5,241451.62999999593,1,40,4950,blue,true,right,72,40,right,blue,639,0
6,244622.0350000076,0,0,4950,blue,true,left,98,88,right,orange,1521,0
7,248670.14500001096,0,0,4950,blue,true,left,6,54,right,orange,673,0
8,251870.19499999587,0,0,4950,blue,true,left,64,55,right,orange,967,0
9,255368.9149999991,0,0,4950,blue,false,right,96,45,right,blue,1180,0
10,259073.1800000067,1,19,4931,blue,true,left,28,19,left,blue,748,0
11,262353.6900000181,1,26,4905,blue,true,right,95,26,right,blue,944,0
12,265828.6950000038,1,29,4876,blue,true,left,90,29,left,blue,898,0
13,269254.78499999736,0,0,4876,blue,true,right,20,53,left,orange,787,0
14,272560.3800000099,0,0,4876,blue,true,right,74,56,left,orange,1034,0
15,276120.2250000206,0,0,4876,blue,true,right,18,42,left,orange,618,0
16,279261.61000001593,0,0,4876,blue,true,right,11,91,left,orange,565,0
17,282354.3700000155,1,32,4844,blue,false,right,32,31,left,orange,568,0
18,285450.5900000222,1,65,4779,blue,true,left,36,65,left,blue,1303,0
19,289287.91000001365,0,0,4779,blue,false,left,40,30,left,blue,1276,0
20,293088.5700000217,1,26,4753,blue,true,left,29,26,left,blue,841,0
21,296456.91000000807,1,32,4721,blue,false,right,32,36,left,orange,1490,0
22,300474.95000000345,1,81,4640,blue,true,left,72,81,left,blue,1373,0
23,304377.83500002115,0,0,4640,blue,false,right,95,54,right,blue,852,0
24,307754.42000001203,0,0,4640,blue,false,right,40,59,right,blue,1042,0
25,311322.3450000223,0,0,4640,blue,false,left,29,24,left,blue,713,0
26,314562.57000000915,0,0,4640,blue,false,left,60,51,left,blue,693,0
27,317781.5750000009,0,0,4640,blue,false,left,83,65,left,blue,929,0
28,321236.2350000185,1,98,4542,blue,true,right,78,98,right,blue,566,0
29,324336.4650000003,1,56,4486,blue,false,right,56,51,left,orange,530,0
30,327396.31999999983,1,5,4481,blue,false,right,5,20,left,orange,600,0
31,330520.90500001214,0,0,4481,blue,false,right,67,2,right,blue,471,0
32,333513.99000000674,0,0,4481,blue,false,left,85,84,left,blue,808,0
33,336847.41499999654,1,49,4432,blue,true,right,7,49,right,blue,648,0
34,340030.8650000079,0,0,4432,blue,false,left,37,47,left,blue,1109,0
35,343661.87999999966,1,27,4405,blue,false,left,27,91,right,orange,958,0
36,347152.48000001884,0,0,4405,blue,false,left,44,42,left,blue,824,0
37,350499.5850000123,1,55,4350,blue,true,left,31,55,left,blue,1146,0
38,354176.69000002206,1,97,4253,blue,false,left,97,70,right,orange,854,0
39,357561.00499999593,0,0,4253,blue,false,left,14,9,left,blue,541,0
40,360626.91500000074,1,51,4202,blue,true,left,23,51,left,blue,429,0
41,363586.9150000217,0,0,4202,blue,true,right,89,79,left,orange,852,0
42,366965.5400000047,0,0,4202,blue,true,right,83,86,left,orange,504,0
43,369999.4949999964,0,0,4202,blue,true,right,40,62,left,orange,583,0
44,373104.77500001434,0,0,4202,blue,true,right,36,23,left,orange,556,0
45,376184.425000014,0,0,4202,blue,true,right,65,61,left,orange,670,0
46,379379.92500001565,0,0,4202,blue,true,right,74,67,left,orange,387,0
47,382288.15500001656,0,0,4202,blue,true,right,73,41,left,orange,568,0
48,389399.7500000114,0,0,4202,blue,false,left,96,54,left,blue,1189,0
49,393109.3600000022,1,88,4114,blue,true,left,86,88,left,blue,731,0
50,396366.2999999942,0,0,4114,blue,true,right,43,66,left,orange,790,0
51,399680.2750000206,0,0,4114,blue,true,right,72,79,left,orange,959,0
52,403165.17000002204,1,71,4043,blue,false,right,71,13,left,orange,405,0
53,406102.7250000043,1,53,3990,blue,true,right,78,53,right,blue,749,0
54,409377.8000000166,0,0,3990,blue,true,right,57,90,left,orange,893,0
55,412795.2349999978,1,3,3987,blue,false,left,3,12,right,orange,775,0
56,416102.99000001396,0,0,3987,blue,true,left,2,64,right,orange,780,0
57,419405.3300000087,0,0,3987,blue,true,left,99,9,right,orange,522,0
58,422448.4250000096,0,0,3987,blue,true,left,21,42,right,orange,776,0
59,425746.49000001955,0,0,3987,blue,true,right,83,72,left,orange,1602,0
60,429869.6550000168,0,0,3987,blue,true,left,37,11,right,orange,1249,0
61,433644.95000001625,0,0,3987,blue,false,left,67,81,left,blue,1008,0
62,437178.2349999994,1,14,3973,blue,true,right,12,14,right,blue,1004,0
63,440711.3300000201,1,78,3895,blue,false,right,78,90,left,orange,845,0
64,444083.180000016,0,0,3895,blue,false,left,46,53,left,blue,915,0
65,447524.83500001836,1,30,3865,blue,false,right,30,42,left,orange,672,0
66,450724.0500000189,0,0,3865,blue,false,left,36,65,left,blue,1082,0
67,454327.33500000904,0,0,3865,blue,false,right,49,49,right,blue,447,0
68,457301.8250000023,0,0,3865,blue,false,left,44,10,left,blue,560,0
69,460388.8600000064,0,0,3865,blue,false,right,70,64,right,blue,712,0
70,463627.6700000162,0,0,3865,blue,false,right,68,95,right,blue,748,0
71,466903.12500001164,0,0,3865,blue,false,left,38,46,left,blue,877,0
72,470304.07000001287,0,0,3865,blue,false,left,18,24,left,blue,452,0
73,473283.4900000016,0,0,3865,blue,false,right,82,78,right,blue,828,0
74,476637.91499999934,0,0,3865,blue,false,left,59,54,left,blue,498,0
75,479661.31500000483,0,0,3865,blue,false,right,36,33,right,blue,674,0
76,482856.9450000068,1,56,3809,blue,true,left,49,56,left,blue,603,0
77,485985.5399999942,1,26,3783,blue,false,left,26,83,right,orange,759,0
78,489273.36000002106,1,38,3745,blue,false,right,38,81,left,orange,942,0
79,492746.524999995,0,0,3745,blue,false,right,12,3,right,blue,576,0
80,495846.9000000041,0,0,3745,blue,false,right,62,38,right,blue,711,0
81,499080.43500001077,0,0,3745,blue,false,right,43,50,right,blue,590,0
82,502194.86499999766,0,0,3745,blue,false,right,50,47,right,blue,534,0
83,505251.8900000141,1,35,3710,blue,true,right,41,35,right,blue,773,0
84,508552.0550000074,1,9,3701,blue,false,right,9,62,left,orange,447,0
85,511527.28000000934,0,0,3701,blue,false,left,60,58,left,blue,1100,0
86,515150.86500000325,0,0,3701,blue,false,right,88,31,right,blue,572,0
87,518246.9149999961,0,0,3701,blue,false,right,56,44,right,blue,532,0
88,521301.1450000049,1,15,3686,blue,true,right,31,15,right,blue,693,0
89,524521.470000007,0,0,3686,blue,false,left,90,31,left,blue,824,0
90,527874.685000017,0,0,3686,blue,false,left,80,76,left,blue,1635,0
91,532035.2500000154,0,0,3686,blue,false,right,78,4,right,blue,630,0
92,535187.585000007,0,0,3686,blue,false,right,60,28,right,blue,718,0
93,538431.0600000026,0,0,3686,blue,true,left,56,99,right,orange,944,0
94,545901.589999994,0,0,3686,blue,false,right,31,45,right,blue,817,0
95,549242.7200000093,0,0,3686,blue,false,right,55,16,right,blue,742,0
96,552512.5700000208,0,0,3686,blue,true,left,12,89,right,orange,933,0
97,555970.4700000002,0,0,3686,blue,false,left,49,4,left,blue,616,0
98,559112.4399999972,0,0,3686,blue,false,left,69,12,left,blue,600,0
99,562236.9900000049,1,26,3660,blue,true,left,49,26,left,blue,544,0
