Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,498083,0,0,5000,blue,true,right,44,37,left,orange,1514,0
2,502118,0,0,5000,blue,true,right,66,12,left,orange,633,0
3,505273,0,0,5000,blue,true,left,98,9,right,orange,1350,0
4,509145,1,20,4980,blue,false,left,20,91,right,orange,1247,0
5,512922,0,0,4980,blue,true,left,28,8,right,orange,980,0
6,516421,0,0,4980,blue,true,left,30,33,right,orange,1258,0
7,520204,0,0,4980,blue,true,right,27,24,left,orange,1161,0
8,523880,1,58,4922,blue,false,left,58,43,right,orange,1148,0
9,527554,1,47,4875,blue,true,left,72,47,left,blue,1520,0
10,531600,1,44,4831,blue,false,left,44,44,right,orange,1170,0
11,535299,1,26,4805,blue,true,left,69,26,left,blue,1055,0
12,538872,0,0,4805,blue,true,left,6,41,right,orange,905,0
13,542301,0,0,4805,blue,true,right,88,34,left,orange,1898,0
14,546720,0,0,4805,blue,false,right,73,18,right,blue,1457,0
15,550698,1,25,4780,blue,true,right,60,25,right,blue,1729,0
16,554952,1,6,4774,blue,true,left,68,6,left,blue,1713,0
17,559192,1,48,4726,blue,false,right,48,39,left,orange,1480,0
18,563201,0,0,4726,blue,true,left,35,76,right,orange,987,0
19,566710,0,0,4726,blue,true,left,23,85,right,orange,795,0
20,570024,0,0,4726,blue,true,right,54,22,left,orange,1117,0
21,573661,1,66,4660,blue,false,left,66,58,right,orange,993,0
22,577179,1,41,4619,blue,true,right,98,41,right,blue,1730,0
23,581430,0,0,4619,blue,true,right,58,80,left,orange,1453,0
24,585405,0,0,4619,blue,true,left,32,85,right,orange,950,0
25,588873,0,0,4619,blue,false,left,83,15,left,blue,1103,0
26,592500,0,0,4619,blue,true,left,18,16,right,orange,862,0
27,595880,0,0,4619,blue,true,right,56,99,left,orange,1147,0
28,599546,0,0,4619,blue,true,left,23,75,right,orange,832,0
29,602895,0,0,4619,blue,true,right,68,18,left,orange,962,0
30,606381,1,16,4603,blue,true,left,30,16,left,blue,1496,0
31,610400,1,37,4566,blue,true,right,86,37,right,blue,1306,0
32,614227,0,0,4566,blue,true,right,47,44,left,orange,1054,0
33,617805,0,0,4566,blue,true,left,3,91,right,orange,902,0
34,621227,1,60,4506,blue,false,left,60,14,right,orange,1145,0
35,624895,0,0,4506,blue,true,right,54,84,left,orange,1422,0
36,628833,0,0,4506,blue,true,right,34,23,left,orange,1085,0
37,632440,1,28,4478,blue,true,left,96,28,left,blue,1653,0
38,636617,1,83,4395,blue,false,left,83,94,right,orange,1475,0
39,640619,0,0,4395,blue,true,left,63,86,right,orange,1013,0
40,644150,0,0,4395,blue,true,left,99,53,right,orange,1335,0
41,648006,0,0,4395,blue,true,right,29,91,left,orange,1006,0
42,651532,0,0,4395,blue,true,left,88,64,right,orange,1081,0
43,655135,0,0,4395,blue,true,right,84,70,left,orange,1342,0
44,658998,1,61,4334,blue,false,right,61,88,left,orange,1011,0
45,662533,0,0,4334,blue,true,left,61,43,right,orange,920,0
46,665976,0,0,4334,blue,true,right,87,54,left,orange,1020,0
47,669518,1,5,4329,blue,false,left,5,90,right,orange,999,0
48,677043,0,0,4329,blue,true,left,71,44,right,orange,2356,0
49,681922,0,0,4329,blue,true,left,42,52,right,orange,984,0
50,685428,0,0,4329,blue,true,right,39,93,left,orange,927,0
51,688873,0,0,4329,blue,true,right,39,24,left,orange,1084,0
52,692476,1,20,4309,blue,false,right,20,10,left,orange,798,0
53,695799,0,0,4309,blue,false,left,85,43,left,blue,1493,0
54,699808,0,0,4309,blue,false,left,77,7,left,blue,1107,0
55,703438,1,90,4219,blue,true,right,95,90,right,blue,1352,0
56,707313,1,7,4212,blue,true,right,56,7,right,blue,992,0
57,710832,0,0,4212,blue,true,left,50,69,right,orange,1517,0
58,714872,0,0,4212,blue,true,left,4,83,right,orange,849,0
59,718240,1,40,4172,blue,false,right,40,8,left,orange,1354,0
60,722117,0,0,4172,blue,true,right,47,86,left,orange,1231,0
61,725872,0,0,4172,blue,true,left,15,49,right,orange,851,0
62,729244,0,0,4172,blue,true,left,17,39,right,orange,890,0
63,732652,1,76,4096,blue,false,left,76,97,right,orange,1159,0
64,736337,1,14,4082,blue,true,left,73,14,left,blue,1074,0
65,739931,1,29,4053,blue,true,right,67,29,right,blue,1571,0
66,744025,0,0,4053,blue,true,right,48,39,left,orange,1069,0
67,747617,0,0,4053,blue,true,right,30,99,left,orange,926,0
68,751061,1,13,4040,blue,false,left,13,20,right,orange,783,0
69,754368,0,0,4040,blue,true,left,66,59,right,orange,1184,0
70,758076,0,0,4040,blue,true,left,20,60,right,orange,1499,0
71,762094,0,0,4040,blue,true,right,41,25,left,orange,816,0
72,765431,1,76,3964,blue,false,right,76,70,left,orange,924,0
73,768878,1,73,3891,blue,false,left,73,18,right,orange,1324,0
74,772725,1,41,3850,blue,false,left,41,80,right,orange,839,0
75,776083,0,0,3850,blue,true,left,25,76,right,orange,694,0
76,779297,1,34,3816,blue,false,left,34,52,right,orange,877,0
77,782696,0,0,3816,blue,false,left,30,60,left,blue,587,0
78,785803,0,0,3816,blue,false,left,91,36,left,blue,706,0
79,789029,0,0,3816,blue,false,right,70,59,right,blue,925,0
80,792479,1,47,3769,blue,true,left,64,47,left,blue,1044,0
81,796045,0,0,3769,blue,false,left,28,44,left,blue,832,0
82,799398,1,2,3767,blue,false,right,2,80,left,orange,1548,0
83,803467,0,0,3767,blue,false,right,20,39,right,blue,2055,0
84,808040,0,0,3767,blue,false,right,32,61,right,blue,1070,0
85,811628,0,0,3767,blue,false,right,90,61,right,blue,837,0
86,814989,1,70,3697,blue,true,right,62,70,right,blue,1070,0
87,818583,0,0,3697,blue,false,right,17,33,right,blue,1327,0
88,822425,0,0,3697,blue,false,left,74,17,left,blue,972,0
89,825916,1,2,3695,blue,false,left,2,85,right,orange,1129,0
90,829573,0,0,3695,blue,false,left,39,76,left,blue,1746,0
91,833840,0,0,3695,blue,false,left,70,20,left,blue,1009,0
92,837372,0,0,3695,blue,true,left,24,69,right,orange,1451,0
93,841347,1,52,3643,blue,true,left,59,52,left,blue,1124,0
94,848995,0,0,3643,blue,false,right,15,43,right,blue,1423,0
95,852940,1,34,3609,blue,true,left,50,34,left,blue,823,0
96,856287,0,0,3609,blue,false,left,43,48,left,blue,565,0
97,859373,1,35,3574,blue,true,right,14,35,right,blue,1517,0
98,863411,0,0,3574,blue,true,right,12,42,left,orange,966,0
99,866901,0,0,3574,blue,true,left,40,44,right,orange,1140,0
100,870561,0,0,3574,blue,true,right,88,50,left,orange,1745,0
101,874827,0,0,3574,blue,true,left,51,19,right,orange,880,0
102,878226,0,0,3574,blue,true,left,44,59,right,orange,1464,0
103,882213,0,0,3574,blue,true,right,23,9,left,orange,1250,0
104,885983,0,0,3574,blue,true,left,23,76,right,orange,887,0
105,889391,1,47,3527,blue,true,left,94,47,left,blue,1466,0
106,893379,1,67,3460,blue,false,right,67,56,left,orange,1278,0
107,897182,1,16,3444,blue,true,right,50,16,right,blue,1187,0
108,900890,1,7,3437,blue,true,right,83,7,right,blue,1305,0
109,904719,0,0,3437,blue,true,right,86,41,left,orange,1564,0
110,908803,0,0,3437,blue,true,left,61,37,right,orange,1113,0
111,912430,1,82,3355,blue,false,left,82,57,right,orange,1340,0
112,916296,0,0,3355,blue,false,right,68,28,right,blue,1225,0
113,920039,1,65,3290,blue,false,left,65,76,right,orange,1596,0
114,924158,0,0,3290,blue,false,right,25,19,right,blue,890,0
115,927572,0,0,3290,blue,false,right,67,68,right,blue,1356,0
116,931448,0,0,3290,blue,false,left,82,68,left,blue,1358,0
117,935327,0,0,3290,blue,false,right,88,19,right,blue,862,0
118,938709,1,11,3279,blue,true,left,55,11,left,blue,801,0
119,942036,1,36,3243,blue,true,left,74,36,left,blue,1076,0
120,945634,1,18,3225,blue,false,left,18,64,right,orange,1092,0
121,949251,0,0,3225,blue,false,left,15,3,left,blue,691,0
122,952457,0,0,3225,blue,false,right,91,76,right,blue,1285,0
123,956260,1,66,3159,blue,false,right,66,92,left,orange,947,0
124,959731,0,0,3159,blue,false,left,67,14,left,blue,909,0
125,963159,0,0,3159,blue,true,right,11,77,left,orange,952,0
126,966633,0,0,3159,blue,false,right,36,20,right,blue,1268,0
127,970424,1,44,3115,blue,false,right,44,61,left,orange,1510,0
128,974458,1,4,3111,blue,false,right,4,34,left,orange,1013,0
129,977994,1,86,3025,blue,false,left,86,63,right,orange,1470,0
130,981991,0,0,3025,blue,false,right,99,43,right,blue,1525,0
131,986033,1,56,2969,blue,true,left,95,56,left,blue,1378,0
132,989933,0,0,2969,blue,false,left,89,63,left,blue,1016,0
133,993468,1,80,2889,blue,true,right,88,80,right,blue,1311,0
134,997303,0,0,2889,blue,false,right,5,10,right,blue,1792,0
135,1001612,1,80,2809,blue,true,left,35,80,left,blue,2024,0
136,1006157,0,0,2809,blue,true,left,8,57,right,orange,974,0
137,1009652,1,47,2762,blue,true,right,78,47,right,blue,1303,0
138,1013475,0,0,2762,blue,true,left,5,99,right,orange,1021,0
139,1017016,0,0,2762,blue,true,right,62,67,left,orange,918,0
140,1020457,1,95,2667,blue,false,right,95,27,left,orange,921,0
