Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,219765.45500000066,1,10,4990,blue,true,left,23,10,left,blue,1433,0
2,223730.44500000105,0,0,4990,blue,true,right,45,97,left,orange,1606,0
3,227859.42000000068,0,0,4990,blue,true,right,54,62,left,orange,752,0
4,231140.3350000037,0,0,4990,blue,false,left,99,16,left,blue,919,0
5,234586.5350000022,0,0,4990,blue,true,left,72,40,right,orange,1111,0
6,238221.48000000016,0,0,4990,blue,true,left,98,88,right,orange,1206,0
7,241950.65500000055,0,0,4990,blue,true,left,6,54,right,orange,791,0
8,245267.0300000027,0,0,4990,blue,true,right,64,55,left,orange,1167,0
9,248962.20000000176,0,0,4990,blue,false,left,96,45,left,blue,829,0
10,252315.86000000243,1,19,4971,blue,true,left,28,19,left,blue,1651,0
11,256499.31500000093,1,26,4945,blue,true,left,95,26,left,blue,1390,0
12,260416.29000000103,1,29,4916,blue,true,right,90,29,right,blue,959,0
13,263905.16000000207,0,0,4916,blue,true,right,20,53,left,orange,666,0
14,267099.2049999986,0,0,4916,blue,true,left,74,56,right,orange,512,0
15,270135.82500000484,0,0,4916,blue,true,right,18,42,left,orange,601,0
16,273264.58500000444,0,0,4916,blue,true,right,11,91,left,orange,627,0
17,276413.87000000395,1,32,4884,blue,false,left,32,31,right,orange,843,0
18,279786.6500000018,0,0,4884,blue,true,right,36,65,left,orange,495,0
19,282803.5600000003,1,40,4844,blue,false,left,40,30,right,orange,677,0
20,286006.9150000054,0,0,4844,blue,true,left,29,26,right,orange,1042,0
21,289579.2900000015,1,32,4812,blue,false,left,32,36,right,orange,793,0
22,292902.00000000186,0,0,4812,blue,true,left,72,81,right,orange,891,0
23,296317.670000004,0,0,4812,blue,false,right,95,54,right,blue,1044,0
24,299885.29500000004,1,40,4772,blue,false,right,40,59,left,orange,957,0
25,303372.0450000037,0,0,4772,blue,false,right,29,24,right,blue,630,0
26,306529.30000000197,0,0,4772,blue,false,right,60,51,right,blue,648,0
27,309702.4750000055,0,0,4772,blue,false,right,83,65,right,blue,467,0
28,312694.56000000355,1,98,4674,blue,true,right,78,98,right,blue,1062,0
29,316286.9350000037,0,0,4674,blue,false,left,56,51,left,blue,1193,0
30,320002.8999999995,0,0,4674,blue,false,right,5,20,right,blue,752,0
31,323281.08500000235,0,0,4674,blue,false,left,67,2,left,blue,860,0
32,326665.1899999997,0,0,4674,blue,false,right,85,84,right,blue,1023,0
33,330216.3150000051,0,0,4674,blue,true,left,7,49,right,orange,1071,0
34,333814.67500000144,0,0,4674,blue,false,right,37,47,right,blue,1025,0
