Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,128018.59999990463,1,37,4963,blue,true,right,44,37,right,blue,916,0
2,131472.19999980927,1,12,4951,blue,true,left,66,12,left,blue,1202,0
3,135231.19999980927,0,0,4951,blue,true,left,98,9,right,orange,359,0
4,138122,1,20,4931,blue,false,right,20,91,left,orange,347,0
5,141003,1,8,4923,blue,true,left,28,8,left,blue,514,0
6,144050.40000009537,0,0,4923,blue,true,right,30,33,left,orange,343,0
7,146931.7999997139,0,0,4923,blue,true,left,27,24,right,orange,433,0
8,149905.59999990463,1,58,4865,blue,false,right,58,43,left,orange,346,0
9,152805.19999980927,0,0,4865,blue,true,right,72,47,left,orange,732,0
10,156073.90000009537,1,44,4821,blue,false,left,44,44,right,orange,489,0
11,159100.5,0,0,4821,blue,true,left,69,26,right,orange,407,0
12,162026.09999990463,0,0,4821,blue,true,left,6,41,right,orange,438,0
13,165000.2999997139,0,0,4821,blue,true,right,88,34,left,orange,323,0
14,167871.2999997139,1,73,4748,blue,false,left,73,18,right,orange,426,0
15,170852.40000009537,0,0,4748,blue,true,right,60,25,left,orange,318,0
16,173709.59999990463,0,0,4748,blue,true,right,68,6,left,orange,385,0
17,176624.19999980927,1,48,4700,blue,false,right,48,39,left,orange,408,0
18,179585.19999980927,0,0,4700,blue,true,right,35,76,left,orange,390,0
19,182508.5,0,0,4700,blue,true,left,23,85,right,orange,517,0
20,185545.7999997139,0,0,4700,blue,true,right,54,22,left,orange,405,0
21,188519.40000009537,1,66,4634,blue,false,left,66,58,right,orange,425,0
22,191499.09999990463,0,0,4634,blue,true,right,98,41,left,orange,342,0
23,194384.59999990463,0,0,4634,blue,true,left,58,80,right,orange,378,0
24,197300.2999997139,0,0,4634,blue,true,right,32,85,left,orange,373,0
25,200220.09999990463,1,83,4551,blue,false,right,83,15,left,orange,310,0
26,203070,0,0,4551,blue,true,left,18,16,right,orange,349,0
27,205949,0,0,4551,blue,true,left,56,99,right,orange,509,0
28,208995.90000009537,0,0,4551,blue,true,left,23,75,right,orange,354,0
29,211890.40000009537,0,0,4551,blue,true,left,68,18,right,orange,352,0
30,214809.90000009537,0,0,4551,blue,true,left,30,16,right,orange,511,0
31,217859.40000009537,0,0,4551,blue,true,left,86,37,right,orange,511,0
32,220918.90000009537,0,0,4551,blue,true,left,47,44,right,orange,322,0
33,223774.69999980927,0,0,4551,blue,true,left,3,91,right,orange,358,0
34,226677.09999990463,1,60,4491,blue,false,left,60,14,right,orange,366,0
35,229593.09999990463,0,0,4491,blue,true,right,54,84,left,orange,312,0
36,232436.5,0,0,4491,blue,true,right,34,23,left,orange,308,0
37,235292.69999980927,0,0,4491,blue,true,right,96,28,left,orange,285,0
38,238118.19999980927,1,83,4408,blue,false,right,83,94,left,orange,329,0
39,240993.2999997139,0,0,4408,blue,true,left,63,86,right,orange,384,0
40,243903.2999997139,0,0,4408,blue,true,left,99,53,right,orange,325,0
41,246766.59999990463,0,0,4408,blue,true,right,29,91,left,orange,315,0
42,249622.90000009537,0,0,4408,blue,true,right,88,64,left,orange,315,0
43,252475.5,0,0,4408,blue,true,right,84,70,left,orange,340,0
44,255342.59999990463,1,61,4347,blue,false,right,61,88,left,orange,330,0
45,258212.5,0,0,4347,blue,true,left,61,43,right,orange,487,0
46,261243,0,0,4347,blue,true,right,87,54,left,orange,442,0
47,264206.5,1,5,4342,blue,false,left,5,90,right,orange,351,0
48,271115.59999990463,0,0,4342,blue,true,right,71,44,left,orange,892,0
49,274546.19999980927,0,0,4342,blue,true,left,42,52,right,orange,345,0
50,277423.69999980927,0,0,4342,blue,true,left,39,93,right,orange,374,0
51,280335.69999980927,0,0,4342,blue,true,right,39,24,left,orange,357,0
52,283224.09999990463,1,20,4322,blue,false,left,20,10,right,orange,334,0
53,286105,1,85,4237,blue,false,left,85,43,right,orange,332,0
54,288979.19999980927,0,0,4237,blue,false,right,77,7,right,blue,437,0
55,291961.40000009537,1,90,4147,blue,true,right,95,90,right,blue,364,0
56,294865.5,1,7,4140,blue,true,left,56,7,left,blue,389,0
57,297790.40000009537,0,0,4140,blue,true,right,50,69,left,orange,399,0
58,300714.40000009537,0,0,4140,blue,true,left,4,83,right,orange,494,0
59,303751.2999997139,1,40,4100,blue,false,left,40,8,right,orange,396,0
60,306695.19999980927,0,0,4100,blue,true,left,47,86,right,orange,673,0
61,309917.90000009537,0,0,4100,blue,true,right,15,49,left,orange,518,0
62,312982.69999980927,0,0,4100,blue,true,right,17,39,left,orange,368,0
63,315888.2999997139,1,76,4024,blue,false,right,76,97,left,orange,319,0
64,318746.7999997139,0,0,4024,blue,true,right,73,14,left,orange,435,0
65,321718.2999997139,0,0,4024,blue,true,right,67,29,left,orange,386,0
66,324635.2999997139,0,0,4024,blue,true,right,48,39,left,orange,320,0
67,327484.7999997139,0,0,4024,blue,true,right,30,99,left,orange,327,0
68,330356.09999990463,1,13,4011,blue,false,left,13,20,right,orange,402,0
69,333298,0,0,4011,blue,true,right,66,59,left,orange,335,0
70,336164.19999980927,0,0,4011,blue,true,right,20,60,left,orange,458,0
71,339153.7999997139,0,0,4011,blue,true,right,41,25,left,orange,335,0
72,342023.59999990463,1,76,3935,blue,false,left,76,70,right,orange,976,0
73,345545.5,1,73,3862,blue,false,right,73,18,left,orange,503,0
74,348602.59999990463,0,0,3862,blue,false,left,41,80,left,blue,395,0
75,351525.59999990463,1,76,3786,blue,true,right,25,76,right,blue,320,0
76,354384.59999990463,0,0,3786,blue,false,left,34,52,left,blue,412,0
77,357336.7999997139,0,0,3786,blue,false,right,30,60,right,blue,442,0
78,360306.90000009537,0,0,3786,blue,false,right,91,36,right,blue,365,0
