Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,510665.54,1,10,4990,blue,true,left,23,10,left,blue,1062,0
2,514270.6249999992,0,0,4990,blue,true,right,45,97,left,orange,1737,0
3,518530.4049999995,0,0,4990,blue,true,right,54,62,left,orange,1116,0
4,522172.30500000005,1,99,4891,blue,false,right,99,16,left,orange,578,0
5,525289.7950000006,0,0,4891,blue,true,right,72,40,left,orange,1435,0
6,529259.1950000005,0,0,4891,blue,true,right,98,88,left,orange,1501,0
7,533278.225,0,0,4891,blue,true,right,6,54,left,orange,1418,0
8,537221.3699999993,0,0,4891,blue,true,right,64,55,left,orange,1337,0
9,541090.3350000008,0,0,4891,blue,false,left,96,45,left,blue,1964,0
10,545594.4149999996,0,0,4891,blue,true,left,28,19,right,orange,1572,0
11,549715.1049999993,1,26,4865,blue,true,left,95,26,left,blue,1507,0
12,553752.2699999991,0,0,4865,blue,true,right,90,29,left,orange,2022,0
13,558291.3449999996,0,0,4865,blue,true,left,20,53,right,orange,749,0
14,561577.2199999993,0,0,4865,blue,true,left,74,56,right,orange,1838,0
15,565947.2299999997,0,0,4865,blue,true,left,18,42,right,orange,1341,0
16,569836.1199999999,0,0,4865,blue,true,left,11,91,right,orange,676,0
17,573043.169999999,1,32,4833,blue,false,right,32,31,left,orange,827,0
18,576425.5950000007,0,0,4833,blue,true,right,36,65,left,orange,525,0
19,579496.0649999994,1,40,4793,blue,false,left,40,30,right,orange,1640,0
20,583684.0599999996,0,0,4793,blue,true,right,29,26,left,orange,1464,0
21,587679.1350000004,1,32,4761,blue,false,right,32,36,left,orange,879,0
22,591084.0349999999,0,0,4761,blue,true,right,72,81,left,orange,1468,0
23,595095.045,0,0,4761,blue,false,left,95,54,left,blue,1201,0
24,598833.0249999999,1,40,4721,blue,false,left,40,59,right,orange,1166,0
25,602527.9950000003,1,29,4692,blue,false,left,29,24,right,orange,792,0
26,605856.1499999997,1,60,4632,blue,false,right,60,51,left,orange,783,0
27,609176.0699999995,0,0,4632,blue,false,left,83,65,left,blue,1815,0
28,613514.9399999991,0,0,4632,blue,true,left,78,98,right,orange,981,0
29,617020.1249999991,0,0,4632,blue,false,left,56,51,left,blue,1586,0
30,621139.0100000008,1,5,4627,blue,false,right,5,20,left,orange,923,0
31,624609.9599999997,0,0,4627,blue,false,left,67,2,left,blue,1333,0
32,628464.0999999993,0,0,4627,blue,false,right,85,84,right,blue,1368,0
33,632359.1400000005,1,49,4578,blue,true,left,7,49,left,blue,736,0
34,635638.0250000001,1,37,4541,blue,false,left,37,47,right,orange,993,0
35,639158.9600000007,1,27,4514,blue,false,right,27,91,left,orange,1232,0
36,642933.9749999999,1,44,4470,blue,false,right,44,42,left,orange,759,0
37,646232.0400000007,0,0,4470,blue,true,right,31,55,left,orange,768,0
