Quiz_round,2,RESULT:,Steal2Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,145369,1,10,4990,blue,true,left,23,10,left,blue,1176,0
2,149058,0,0,4990,blue,true,left,45,97,right,orange,917,0
3,152482,1,62,4928,blue,true,left,54,62,left,blue,1160,0
4,156152,0,0,4928,blue,false,left,99,16,left,blue,756,0
5,159416,1,40,4888,blue,true,left,72,40,left,blue,799,0
6,162724,0,0,4888,blue,true,right,98,88,left,orange,1345,0
7,166576,0,0,4888,blue,true,right,6,54,left,orange,726,0
8,169808,0,0,4888,blue,true,left,64,55,right,orange,795,0
9,173112,0,0,4888,blue,false,right,96,45,right,blue,1316,0
10,176936,1,19,4869,blue,true,right,28,19,right,blue,1095,0
11,180542,0,0,4869,blue,true,right,95,26,left,orange,1221,0
12,184271,0,0,4869,blue,true,right,90,29,left,orange,1109,0
13,187887,0,0,4869,blue,true,left,20,53,right,orange,546,0
14,190940,0,0,4869,blue,true,left,74,56,right,orange,680,0
15,194125,0,0,4869,blue,true,right,18,42,left,orange,513,0
16,197147,0,0,4869,blue,true,left,11,91,right,orange,444,0
17,200100,1,32,4837,blue,false,left,32,31,right,orange,490,0
18,203098,1,65,4772,blue,true,right,36,65,right,blue,565,0
19,206176,1,40,4732,blue,false,right,40,30,left,orange,518,0
20,209204,1,26,4706,blue,true,left,29,26,left,blue,746,0
21,212459,1,32,4674,blue,false,left,32,36,right,orange,540,0
22,215508,1,81,4593,blue,true,left,72,81,left,blue,1113,0
23,219128,0,0,4593,blue,false,right,95,54,right,blue,851,0
24,222486,1,40,4553,blue,false,left,40,59,right,orange,872,0
25,225867,0,0,4553,blue,false,right,29,24,right,blue,699,0
26,229073,0,0,4553,blue,false,left,60,51,left,blue,746,0
27,232326,0,0,4553,blue,false,right,83,65,right,blue,560,0
28,235393,0,0,4553,blue,true,right,78,98,left,orange,1405,0
29,239306,1,56,4497,blue,false,left,56,51,right,orange,2328,0
30,244144,1,5,4492,blue,false,right,5,20,left,orange,820,0
31,247472,0,0,4492,blue,false,left,67,2,left,blue,2675,0
32,252652,0,0,4492,blue,false,left,85,84,left,blue,1704,0
33,256864,0,0,4492,blue,true,left,7,49,right,orange,954,0
34,260324,1,37,4455,blue,false,right,37,47,left,orange,955,0
35,263787,1,27,4428,blue,false,right,27,91,left,orange,1027,0
36,267320,0,0,4428,blue,false,right,44,42,right,blue,1203,0
37,271030,0,0,4428,blue,true,left,31,55,right,orange,1065,0
38,274607,0,0,4428,blue,false,left,97,70,left,blue,1195,0
39,278312,1,14,4414,blue,false,right,14,9,left,orange,1679,0
40,282505,0,0,4414,blue,true,left,23,51,right,orange,911,0
41,285925,1,79,4335,blue,true,right,89,79,right,blue,760,0
42,289194,1,86,4249,blue,true,left,83,86,left,blue,1119,0
43,292825,1,62,4187,blue,true,right,40,62,right,blue,617,0
44,295952,1,23,4164,blue,true,right,36,23,right,blue,816,0
45,299281,1,61,4103,blue,true,left,65,61,left,blue,846,0
46,302638,1,67,4036,blue,true,right,74,67,right,blue,688,0
47,305837,1,41,3995,blue,true,right,73,41,right,blue,1002,0
48,313353,0,0,3995,blue,false,left,96,54,left,blue,168,0
49,316033,0,0,3995,blue,true,left,86,88,right,orange,1400,0
50,319945,0,0,3995,blue,true,left,43,66,right,orange,540,0
51,322996,0,0,3995,blue,true,right,72,79,left,orange,926,0
52,326429,0,0,3995,blue,false,right,71,13,right,blue,933,0
53,329874,1,53,3942,blue,true,left,78,53,left,blue,828,0
54,333209,1,90,3852,blue,true,right,57,90,right,blue,593,0
55,336313,1,3,3849,blue,false,right,3,12,left,orange,682,0
56,339505,0,0,3849,blue,true,left,2,64,right,orange,632,0
57,342644,1,9,3840,blue,true,left,99,9,left,blue,613,0
58,345765,0,0,3840,blue,true,right,21,42,left,orange,833,0
59,349105,1,72,3768,blue,true,left,83,72,left,blue,1032,0
60,352647,1,11,3757,blue,true,left,37,11,left,blue,761,0
