Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,260587.3500937075,1,37,4963,blue,true,right,44,37,right,blue,2698,0
2,265917.6496676962,0,0,4963,blue,true,right,66,12,left,orange,534,0
3,269050.8500109006,1,9,4954,blue,true,left,98,9,left,blue,2362,0
4,274023.44980262004,1,20,4934,blue,false,right,20,91,left,orange,1978,0
5,278627.849704936,1,8,4926,blue,true,right,28,8,right,blue,456,0
6,281707.6493963514,1,33,4893,blue,true,left,30,33,left,blue,1634,0
7,285960.6493935444,0,0,4893,blue,true,right,27,24,left,orange,1805,0
8,290348.3496155793,1,58,4835,blue,false,left,58,43,right,orange,2152,0
9,295116.5500663859,1,47,4788,blue,true,right,72,47,right,blue,994,0
10,298722.04938287776,1,44,4744,blue,false,right,44,44,left,orange,1106,0
11,302482.04960743896,1,26,4718,blue,true,right,69,26,right,blue,467,0
12,305584.24927789543,1,41,4677,blue,true,left,6,41,left,blue,1353,0
13,309556.8500052866,0,0,4677,blue,true,left,88,34,right,orange,619,0
14,312769.54968931025,1,73,4604,blue,false,right,73,18,left,orange,1706,0
15,317093.04973749735,1,25,4579,blue,true,left,60,25,left,blue,1232,0
16,320944.1497598599,1,6,4573,blue,true,right,68,6,right,blue,1591,0
17,325148.9495682343,1,48,4525,blue,false,right,48,39,left,orange,1754,0
18,329501.0493557433,1,76,4449,blue,true,left,35,76,left,blue,1122,0
19,333232.6500747134,0,0,4449,blue,true,left,23,85,right,orange,1546,0
20,337383.8499332398,1,22,4427,blue,true,left,54,22,left,blue,1639,0
21,341651.4501506899,0,0,4427,blue,false,left,66,58,left,blue,1311,0
22,345540.24931906495,1,41,4386,blue,true,right,98,41,right,blue,1193,0
23,349358.74960584833,1,80,4306,blue,true,left,58,80,left,blue,1238,0
24,353227.05007995315,0,0,4306,blue,true,right,32,85,left,orange,1173,0
25,356985.3492534744,0,0,4306,blue,false,left,83,15,left,blue,1210,0
26,360791.8495514858,0,0,4306,blue,true,right,18,16,left,orange,2621,0
27,366024.6493336614,0,0,4306,blue,true,right,56,99,left,orange,1358,0
28,369980.8496085618,0,0,4306,blue,true,right,23,75,left,orange,1069,0
29,373637.9493446088,1,18,4288,blue,true,right,68,18,right,blue,999,0
30,377278.94991443283,1,16,4272,blue,true,right,30,16,right,blue,1124,0
31,381026.05003410525,1,37,4235,blue,true,left,86,37,left,blue,1121,0
32,384787.3499065732,0,0,4235,blue,true,left,47,44,right,orange,2694,0
33,390077.9498685849,0,0,4235,blue,true,right,3,91,left,orange,921,0
34,393595.35008622217,0,0,4235,blue,false,right,60,14,right,blue,938,0
35,397146.04992182465,0,0,4235,blue,true,left,54,84,right,orange,1105,0
36,400848.24996654974,1,23,4212,blue,true,left,34,23,left,blue,1288,0
37,404767.1496915558,1,28,4184,blue,true,right,96,28,right,blue,1028,0
38,408419.4494320941,0,0,4184,blue,false,left,83,94,left,blue,1812,0
39,412821.6497575207,0,0,4184,blue,true,left,63,86,right,orange,1069,0
40,416501.3497063395,1,53,4131,blue,true,right,99,53,right,blue,878,0
41,419982.3494901993,0,0,4131,blue,true,right,29,91,left,orange,1064,0
42,423659.1497926084,1,64,4067,blue,true,left,88,64,left,blue,1239,0
43,427511.4493460123,1,70,3997,blue,true,right,84,70,right,blue,1065,0
44,431191.74999602336,1,61,3936,blue,false,left,61,88,right,orange,864,0
45,434688.8498817779,1,43,3893,blue,true,left,61,43,left,blue,1110,0
46,438415.9500201637,1,54,3839,blue,true,right,87,54,right,blue,818,0
47,441848.8497320704,1,5,3834,blue,false,left,5,90,right,orange,779,0
48,449282.1499114387,1,44,3790,blue,true,right,71,44,right,blue,1521,0
49,453436.85011756717,1,52,3738,blue,true,right,42,52,right,blue,870,0
50,456939.5499980819,0,0,3738,blue,true,left,39,93,right,orange,837,0
51,460373.5500598362,1,24,3714,blue,true,right,39,24,right,blue,1150,0
52,464141.1498094505,0,0,3714,blue,false,right,20,10,right,blue,923,0
53,467676.95000987133,1,85,3629,blue,false,right,85,43,left,orange,1240,0
54,471532.0500284912,0,0,3629,blue,false,left,77,7,left,blue,685,0
55,474796.8497807254,0,0,3629,blue,true,left,95,90,right,orange,2210,0
56,479600.3493797901,1,7,3622,blue,true,right,56,7,right,blue,935,0
57,483151.8501503157,0,0,3622,blue,true,left,50,69,right,orange,1219,0
58,486969.3492684451,0,0,3622,blue,true,right,4,83,left,orange,849,0
59,490422.04966357926,0,0,3622,blue,false,left,40,8,left,blue,957,0
60,493988.24983555573,0,0,3622,blue,true,right,47,86,left,orange,1153,0
61,497726.54996346205,0,0,3622,blue,true,right,15,49,left,orange,791,0
62,501126.54958919336,0,0,3622,blue,true,right,17,39,left,orange,883,0
63,504609.6499558831,1,76,3546,blue,false,right,76,97,left,orange,1193,0
64,508412.5497894271,1,14,3532,blue,true,right,73,14,right,blue,760,0
65,511799.9496608658,1,29,3503,blue,true,left,67,29,left,blue,1201,0
66,515634.5500495438,0,0,3503,blue,true,left,48,39,right,orange,1698,0
67,519936.4501179414,0,0,3503,blue,true,right,30,99,left,orange,1700,0
68,524221.1497345967,1,13,3490,blue,false,left,13,20,right,orange,1275,0
69,528132.249700819,0,0,3490,blue,true,right,66,59,left,orange,1674,0
70,532390.350044117,0,0,3490,blue,true,right,20,60,left,orange,1501,0
71,536478.8496104331,1,25,3465,blue,true,left,41,25,left,blue,1074,0
72,540187.4496491699,1,76,3389,blue,false,right,76,70,left,orange,1841,0
73,544636.2501649121,0,0,3389,blue,false,right,73,18,right,blue,913,0
74,548141.1498094505,1,41,3348,blue,false,right,41,80,left,orange,1193,0
