Quiz_round,2,RESULT:,Steal2Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,324855,1,10,4990,blue,true,left,23,10,left,blue,1544,0
2,328940,0,0,4990,blue,true,right,45,97,left,orange,1748,0
3,333216,0,0,4990,blue,true,left,54,62,right,orange,1018,0
4,336771,1,99,4891,blue,false,right,99,16,left,orange,824,0
5,340136,1,40,4851,blue,true,right,72,40,right,blue,2668,0
6,345343,1,88,4763,blue,true,right,98,88,right,blue,1604,0
7,349480,0,0,4763,blue,true,left,6,54,right,orange,782,0
8,352798,0,0,4763,blue,true,left,64,55,right,orange,852,0
9,356186,1,96,4667,blue,false,left,96,45,right,orange,1502,0
10,360219,0,0,4667,blue,true,left,28,19,right,orange,1882,0
11,364625,1,26,4641,blue,true,left,95,26,left,blue,1122,0
12,368289,1,29,4612,blue,true,left,90,29,left,blue,1364,0
13,372183,0,0,4612,blue,true,left,20,53,right,orange,1197,0
14,375907,0,0,4612,blue,true,right,74,56,left,orange,943,0
15,379377,0,0,4612,blue,true,left,18,42,right,orange,874,0
16,382777,0,0,4612,blue,true,left,11,91,right,orange,1030,0
17,386333,1,32,4580,blue,false,right,32,31,left,orange,1326,0
18,390192,0,0,4580,blue,true,right,36,65,left,orange,1034,0
19,393754,0,0,4580,blue,false,right,40,30,right,blue,1758,0
20,398037,0,0,4580,blue,true,right,29,26,left,orange,981,0
21,401545,1,32,4548,blue,false,left,32,36,right,orange,947,0
22,405030,0,0,4548,blue,true,right,72,81,left,orange,1338,0
23,408896,0,0,4548,blue,false,right,95,54,right,blue,1304,0
24,412728,1,40,4508,blue,false,left,40,59,right,orange,1477,0
25,416742,0,0,4508,blue,false,left,29,24,left,blue,1390,0
26,420656,0,0,4508,blue,false,right,60,51,right,blue,1099,0
27,424283,0,0,4508,blue,false,left,83,65,left,blue,1307,0
28,428116,0,0,4508,blue,true,right,78,98,left,orange,1272,0
29,431913,0,0,4508,blue,false,right,56,51,right,blue,1388,0
30,435828,1,5,4503,blue,false,right,5,20,left,orange,1506,0
31,439873,0,0,4503,blue,false,left,67,2,left,blue,1055,0
32,443453,1,85,4418,blue,false,left,85,84,right,orange,2656,0
33,448643,1,49,4369,blue,true,left,7,49,left,blue,1831,0
34,453006,1,37,4332,blue,false,left,37,47,right,orange,1366,0
35,456910,0,0,4332,blue,false,right,27,91,right,blue,1327,0
36,460763,0,0,4332,blue,false,right,44,42,right,blue,1325,0
37,464621,0,0,4332,blue,true,right,31,55,left,orange,1411,0
38,468555,1,97,4235,blue,false,left,97,70,right,orange,2049,0
39,473136,0,0,4235,blue,false,right,14,9,right,blue,632,0
40,476295,1,51,4184,blue,true,left,23,51,left,blue,911,0
41,479751,1,79,4105,blue,true,left,89,79,left,blue,1305,0
42,483589,0,0,4105,blue,true,left,83,86,right,orange,497,0
43,486609,0,0,4105,blue,true,right,40,62,left,orange,1121,0
44,490253,1,23,4082,blue,true,right,36,23,right,blue,1294,0
45,494078,0,0,4082,blue,true,left,65,61,right,orange,1072,0
46,497674,1,67,4015,blue,true,right,74,67,right,blue,1763,0
47,501973,0,0,4015,blue,true,right,73,41,left,orange,1233,0
48,509777,1,96,3919,blue,false,left,96,54,right,orange,1127,0
49,513437,1,88,3831,blue,true,right,86,88,right,blue,1836,0
50,517803,0,0,3831,blue,true,left,43,66,right,orange,728,0
51,521056,0,0,3831,blue,true,left,72,79,right,orange,1303,0
52,524884,1,71,3760,blue,false,left,71,13,right,orange,2153,0
