Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,289079.90000001155,1,10,4990,blue,true,left,23,10,left,blue,1587,0
2,293247.599999886,0,0,4990,blue,true,right,45,97,left,orange,1375,0
3,297168.74999995343,0,0,4990,blue,true,left,54,62,right,orange,1229,0
4,300937.0099999942,0,0,4990,blue,false,right,99,16,right,blue,962,0
5,304440.1699998416,1,40,4950,blue,true,left,72,40,left,blue,1127,0
6,308131.9750000257,1,88,4862,blue,true,left,98,88,left,blue,1160,0
7,311843.26500003226,0,0,4862,blue,true,right,6,54,left,orange,988,0
8,315385.9949999023,1,55,4807,blue,true,right,64,55,right,blue,1905,0
9,319846.7099999543,0,0,4807,blue,false,right,96,45,right,blue,1672,0
10,324065.3849998489,0,0,4807,blue,true,left,28,19,right,orange,2376,0
11,328979.8449999653,0,0,4807,blue,true,left,95,26,right,orange,2053,0
12,333574.2549998686,1,29,4778,blue,true,right,90,29,right,blue,2600,0
13,338747.46999982744,0,0,4778,blue,true,right,20,53,left,orange,1053,0
14,342368.9149999991,0,0,4778,blue,true,right,74,56,left,orange,1248,0
15,346163.2550000213,0,0,4778,blue,true,left,18,42,right,orange,2066,0
16,350783.21000002325,0,0,4778,blue,true,right,11,91,left,orange,1567,0
17,354921.6299999971,1,32,4746,blue,false,left,32,31,right,orange,1898,0
18,359396.11499989405,0,0,4746,blue,true,left,36,65,right,orange,1631,0
19,363579.4749998022,1,40,4706,blue,false,left,40,30,right,orange,1309,0
20,367444.37499996275,1,26,4680,blue,true,right,29,26,right,blue,1921,0
21,371936.3899999298,1,32,4648,blue,false,right,32,36,left,orange,1118,0
22,375598.4949998092,0,0,4648,blue,true,right,72,81,left,orange,1560,0
23,379705.54500003345,1,95,4553,blue,false,right,95,54,left,orange,542,0
24,382807.20999999903,1,40,4513,blue,false,left,40,59,right,orange,2172,0
25,387542.324999813,0,0,4513,blue,false,left,29,24,left,blue,740,0
26,390844.01999996044,0,0,4513,blue,false,left,60,51,left,blue,694,0
27,394082.2250000201,0,0,4513,blue,false,right,83,65,right,blue,1571,0
28,398218.7850000337,1,98,4415,blue,true,right,78,98,right,blue,1458,0
29,402234.2949998565,0,0,4415,blue,false,right,56,51,right,blue,743,0
30,405520.5749999732,0,0,4415,blue,false,left,5,20,left,blue,1506,0
31,409576.6949998215,0,0,4415,blue,false,left,67,2,left,blue,738,0
32,412863.5650000069,1,85,4330,blue,false,right,85,84,left,orange,1646,0
33,417075.5600000266,1,49,4281,blue,true,right,7,49,right,blue,1099,0
34,420727.8249999508,0,0,4281,blue,false,right,37,47,right,blue,1811,0
35,425089.6149999462,1,27,4254,blue,false,right,27,91,left,orange,1015,0
36,428675.91999983415,0,0,4254,blue,false,left,44,42,left,blue,1711,0
37,432936.8900000118,1,55,4199,blue,true,right,31,55,right,blue,1302,0
38,436804.1699999012,0,0,4199,blue,false,right,97,70,right,blue,1936,0
39,441290.8949998673,0,0,4199,blue,false,left,14,9,left,blue,888,0
40,444738.9350000303,0,0,4199,blue,true,left,23,51,right,orange,1059,0
41,448338.9699999243,1,79,4120,blue,true,left,89,79,left,blue,975,0
42,451878.63499997184,0,0,4120,blue,true,right,83,86,left,orange,2506,0
43,456935.4250000324,0,0,4120,blue,true,left,40,62,right,orange,1203,0
44,460708.7499999907,1,23,4097,blue,true,left,36,23,left,blue,1279,0
45,464531.57999995165,1,61,4036,blue,true,left,65,61,left,blue,1221,0
46,468318.6800000258,1,67,3969,blue,true,left,74,67,left,blue,1087,0
47,471964.93000001647,1,41,3928,blue,true,right,73,41,right,blue,2520,0
48,481074.2799998261,0,0,3928,blue,false,left,96,54,left,blue,1281,0
49,484888.2599999197,0,0,3928,blue,true,left,86,88,right,orange,1286,0
50,488725.1450000331,0,0,3928,blue,true,right,43,66,left,orange,1059,0
51,492331.1999998987,0,0,3928,blue,true,left,72,79,right,orange,1157,0
52,496032.40999998525,0,0,3928,blue,false,left,71,13,left,blue,1247,0
53,499820.18499984406,0,0,3928,blue,true,right,78,53,left,orange,1073,0
54,503445.11500000954,0,0,3928,blue,true,left,57,90,right,orange,1205,0
55,507200.57999994606,1,3,3925,blue,false,left,3,12,right,orange,803,0
56,510561.29499990493,0,0,3925,blue,true,right,2,64,left,orange,765,0
57,513881.3399998471,1,9,3916,blue,true,right,99,9,right,blue,1146,0
58,517589.9900000077,0,0,3916,blue,true,left,21,42,right,orange,1458,0
59,521599.534999812,1,72,3844,blue,true,left,83,72,left,blue,1038,0
60,525197.7699999698,1,11,3833,blue,true,right,37,11,right,blue,899,0
61,528645.959999878,1,67,3766,blue,false,right,67,81,left,orange,1993,0
62,533207.5049998239,0,0,3766,blue,true,left,12,14,right,orange,1331,0
