Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,281166,0,0,5000,blue,true,right,44,37,left,orange,2402,1
2,286087,0,0,5000,blue,true,left,66,12,right,orange,572,0
3,289179.00000000006,1,9,4991,blue,true,right,98,9,right,blue,592,0
4,292289,1,20,4971,blue,false,right,20,91,left,orange,348,0
5,295159,0,0,4971,blue,true,right,28,8,left,orange,408,0
6,298084,0,0,4971,blue,true,left,30,33,right,orange,442,0
7,301042.00000000006,0,0,4971,blue,true,right,27,24,left,orange,838,0
8,304398,0,0,4971,blue,false,left,58,43,left,blue,422,0
9,307339,0,0,4971,blue,true,right,72,47,left,orange,398,0
10,310254,1,44,4927,blue,false,left,44,44,right,orange,381,0
11,313189,0,0,4927,blue,true,right,69,26,left,orange,348,0
12,316059,0,0,4927,blue,true,right,6,41,left,orange,353,0
13,318932,1,34,4893,blue,true,right,88,34,right,blue,426,0
14,321882,1,73,4820,blue,false,right,73,18,left,orange,374,0
15,324778,1,25,4795,blue,true,left,60,25,left,blue,2008,0
16,329306,1,6,4789,blue,true,right,68,6,right,blue,833,0
17,332660,1,48,4741,blue,false,left,48,39,right,orange,648,0
18,335828.00000000006,0,0,4741,blue,true,right,35,76,left,orange,324,0
19,338672,0,0,4741,blue,true,left,23,85,right,orange,707,0
20,341900.00000000006,1,22,4719,blue,true,right,54,22,right,blue,1238,0
21,345661,1,66,4653,blue,false,left,66,58,right,orange,664,0
22,348847,0,0,4653,blue,true,right,98,41,left,orange,1065,0
23,352429.00000000006,0,0,4653,blue,true,right,58,80,left,orange,395,0
24,355342,0,0,4653,blue,true,right,32,85,left,orange,324,0
25,358184,0,0,4653,blue,false,left,83,15,left,blue,412,0
26,361117,0,0,4653,blue,true,right,18,16,left,orange,757,0
27,364390,0,0,4653,blue,true,left,56,99,right,orange,515,0
28,367423,1,75,4578,blue,true,left,23,75,left,blue,385,0
29,370331,0,0,4578,blue,true,right,68,18,left,orange,2126,0
30,374975,0,0,4578,blue,true,left,30,16,right,orange,638,0
31,378130,0,0,4578,blue,true,left,86,37,right,orange,369,0
32,381014,1,44,4534,blue,true,left,47,44,left,blue,536,0
33,384074,0,0,4534,blue,true,right,3,91,left,orange,552,0
34,387144,1,60,4474,blue,false,right,60,14,left,orange,437,0
35,390103,1,84,4390,blue,true,left,54,84,left,blue,450,0
36,393079,0,0,4390,blue,true,left,34,23,right,orange,541,0
37,396137,0,0,4390,blue,true,right,96,28,left,orange,549,0
38,399203.00000000006,1,83,4307,blue,false,right,83,94,left,orange,371,0
39,402095,0,0,4307,blue,true,right,63,86,left,orange,515,0
40,405127,1,53,4254,blue,true,left,99,53,left,blue,400,0
41,408048,0,0,4254,blue,true,right,29,91,left,orange,550,0
42,411114.00000000006,0,0,4254,blue,true,right,88,64,left,orange,690,0
43,414321,1,70,4184,blue,true,right,84,70,right,blue,1070,0
44,417912.00000000006,1,61,4123,blue,false,right,61,88,left,orange,579,0
45,421014,1,43,4080,blue,true,left,61,43,left,blue,814,0
46,424351,0,0,4080,blue,true,right,87,54,left,orange,356,0
47,427223,1,5,4075,blue,false,right,5,90,left,orange,354,0
48,434104,0,0,4075,blue,true,right,71,44,left,orange,1697,0
49,438322,0,0,4075,blue,true,left,42,52,right,orange,1597,0
50,442442,0,0,4075,blue,true,right,39,93,left,orange,358,0
51,445317,0,0,4075,blue,true,right,39,24,left,orange,322,0
52,448157,0,0,4075,blue,false,right,20,10,right,blue,352,0
53,451026,1,85,3990,blue,false,left,85,43,right,orange,565,0
54,454113,1,77,3913,blue,false,left,77,7,right,orange,630,0
55,457265,1,90,3823,blue,true,left,95,90,left,blue,432,0
56,460220,0,0,3823,blue,true,left,56,7,right,orange,462,0
57,463200,0,0,3823,blue,true,left,50,69,right,orange,315,0
