Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,195780.51999979652,1,37,4963,blue,true,left,44,37,left,blue,2031,0
2,200334.6400000155,0,0,4963,blue,true,right,66,12,left,orange,1554,0
3,204404.3149999343,1,9,4954,blue,true,left,98,9,left,blue,2122,0
4,209050.65499991179,1,20,4934,blue,false,right,20,91,left,orange,992,0
5,212558.87499987148,1,8,4926,blue,true,left,28,8,left,blue,785,0
6,215866.93499982357,0,0,4926,blue,true,left,30,33,right,orange,1684,0
7,220073.08000000194,0,0,4926,blue,true,right,27,24,left,orange,2127,0
8,224716.04999992996,0,0,4926,blue,false,right,58,43,right,blue,1113,0
9,228342.70999999717,1,47,4879,blue,true,right,72,47,right,blue,1858,0
10,232727.14499989524,1,44,4835,blue,false,right,44,44,left,orange,2021,0
11,237277.40000002086,1,26,4809,blue,true,right,69,26,right,blue,1062,0
12,240861.47499992512,0,0,4809,blue,true,left,6,41,right,orange,787,0
13,244169.2899998743,1,34,4775,blue,true,right,88,34,right,blue,3148,0
14,249849.0149998106,1,73,4702,blue,false,right,73,18,left,orange,1553,0
15,253925.5899998825,1,25,4677,blue,true,left,60,25,left,blue,1720,0
16,258173.5299997963,0,0,4677,blue,true,right,68,6,left,orange,3247,0
17,263933.4299999755,0,0,4677,blue,false,right,48,39,right,blue,907,0
18,267352.93999989517,1,76,4601,blue,true,left,35,76,left,blue,596,0
19,270464.1199999023,0,0,4601,blue,true,left,23,85,right,orange,720,0
20,273702.3549999576,0,0,4601,blue,true,left,54,22,right,orange,1986,0
21,278205.28499991633,0,0,4601,blue,false,left,66,58,left,blue,884,0
22,281608.3599999547,1,41,4560,blue,true,left,98,41,left,blue,1376,0
23,285505.04499999806,0,0,4560,blue,true,left,58,80,right,orange,1421,0
24,289444.43499995396,0,0,4560,blue,true,left,32,85,right,orange,1108,0
25,293073.62999999896,1,83,4477,blue,false,right,83,15,left,orange,2516,0
26,298109.64499996044,1,16,4461,blue,true,left,18,16,left,blue,2763,0
27,303398.95499986596,0,0,4461,blue,true,left,56,99,right,orange,774,0
28,306686.96999992244,0,0,4461,blue,true,left,23,75,right,orange,617,0
29,309821.70999981463,1,18,4443,blue,true,right,68,18,right,blue,1802,0
30,314147.8249998763,1,16,4427,blue,true,left,30,16,left,blue,2550,0
31,319222.1249998547,1,37,4390,blue,true,right,86,37,right,blue,1323,0
32,323069.9649997987,0,0,4390,blue,true,left,47,44,right,orange,1520,0
33,327115.90999993496,0,0,4390,blue,true,left,3,91,right,orange,723,0
34,330357.8999999445,1,60,4330,blue,false,right,60,14,left,orange,690,0
35,333573.8199998159,1,84,4246,blue,true,right,54,84,right,blue,490,0
36,336587.1849998366,1,23,4223,blue,true,right,34,23,right,blue,957,0
37,340066.82499987073,0,0,4223,blue,true,left,96,28,right,orange,626,0
38,343215.91499983333,1,83,4140,blue,false,right,83,94,left,orange,508,0
39,346247.7199998684,0,0,4140,blue,true,left,63,86,right,orange,1134,0
40,349899.6599998791,1,53,4087,blue,true,left,99,53,left,blue,2309,0
41,354723.4199999366,0,0,4087,blue,true,right,29,91,left,orange,1283,0
42,358519.48499982245,0,0,4087,blue,true,right,88,64,left,orange,801,0
43,361837.5299999025,0,0,4087,blue,true,right,84,70,left,orange,930,0
44,365281.2899998389,1,61,4026,blue,false,left,61,88,right,orange,871,0
45,368675.564999925,0,0,4026,blue,true,right,61,43,left,orange,413,0
46,371606.5799999051,0,0,4026,blue,true,right,87,54,left,orange,447,0
