Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,174047.7050000045,1,37,4963,blue,true,left,44,37,left,blue,1132,0
2,177754.74999999278,1,12,4951,blue,true,left,66,12,left,blue,732,0
3,181072.8850000014,1,9,4942,blue,true,left,98,9,left,blue,881,0
4,184518.0349999864,1,20,4922,blue,false,right,20,91,left,orange,867,0
5,187993.15999998362,1,8,4914,blue,true,right,28,8,right,blue,529,0
6,191099.7249999782,0,0,4914,blue,true,right,30,33,left,orange,937,0
7,194604.5499999891,1,24,4890,blue,true,left,27,24,left,blue,972,0
8,198151.0549999948,0,0,4890,blue,false,left,58,43,left,blue,617,0
9,201326.30499999505,0,0,4890,blue,true,left,72,47,right,orange,614,0
10,204493.7449999852,1,44,4846,blue,false,right,44,44,left,orange,699,0
11,207768.26499999152,1,26,4820,blue,true,right,69,26,right,blue,924,0
12,211262.61000000522,1,41,4779,blue,true,right,6,41,right,blue,554,0
13,214396.83499999228,0,0,4779,blue,true,right,88,34,left,orange,310,0
14,217290.559999994,1,73,4706,blue,false,right,73,18,left,orange,1764,0
15,221652.86000000197,0,0,4706,blue,true,right,60,25,left,orange,327,0
16,224537.3499999987,1,6,4700,blue,true,right,68,6,right,blue,387,0
17,227554.06999998377,0,0,4700,blue,false,left,48,39,left,blue,940,0
18,231074.12000000477,0,0,4700,blue,true,left,35,76,right,orange,1267,0
19,234900.94500000123,1,85,4615,blue,true,right,23,85,right,blue,829,0
20,238313.61499999184,0,0,4615,blue,true,left,54,22,right,orange,579,0
21,241474.25499997917,0,0,4615,blue,false,left,66,58,left,blue,957,0
22,244996.5749999974,1,41,4574,blue,true,left,98,41,left,blue,1052,0
23,248640.63499998883,0,0,4574,blue,true,right,58,80,left,orange,845,0
24,252039.73499999847,0,0,4574,blue,true,left,32,85,right,orange,499,0
25,255108.86499998742,1,83,4491,blue,false,right,83,15,left,orange,560,0
26,258249.27499998012,1,16,4475,blue,true,left,18,16,left,blue,346,0
27,261181.09999998705,0,0,4475,blue,true,left,56,99,right,orange,256,0
28,264013.54499999434,0,0,4475,blue,true,left,23,75,right,orange,604,0
29,267186.4899999928,1,18,4457,blue,true,left,68,18,left,blue,700,0
30,270484.77999999886,1,16,4441,blue,true,right,30,16,right,blue,804,0
31,273857.4199999857,1,37,4404,blue,true,right,86,37,right,blue,724,0
32,277165.0699999882,1,44,4360,blue,true,left,47,44,left,blue,662,0
33,280433.8599999901,0,0,4360,blue,true,right,3,91,left,orange,431,0
34,283448.58499997645,0,0,4360,blue,false,right,60,14,right,blue,681,0
35,286686.7649999913,0,0,4360,blue,true,right,54,84,left,orange,992,0
36,290226.4449999784,1,23,4337,blue,true,left,34,23,left,blue,955,0
37,293765.4999999795,0,0,4337,blue,true,right,96,28,left,orange,566,0
38,296891.75499998964,0,0,4337,blue,false,right,83,94,right,blue,1313,0
39,300752.8149999853,0,0,4337,blue,true,left,63,86,right,orange,926,0
40,304242.7800000005,1,53,4284,blue,true,left,99,53,left,blue,698,0
41,307523.3350000053,0,0,4284,blue,true,right,29,91,left,orange,483,0
42,310555.709999986,1,64,4220,blue,true,left,88,64,left,blue,968,0
43,314119.94999999297,0,0,4220,blue,true,right,84,70,left,orange,561,0
44,317234.79499999667,1,61,4159,blue,false,left,61,88,right,orange,633,0
45,320450.82499997807,0,0,4159,blue,true,left,61,43,right,orange,647,0
46,323675.8499999996,1,54,4105,blue,true,left,87,54,left,blue,753,0
47,327019.9449999782,1,5,4100,blue,false,right,5,90,left,orange,419,0
48,334059.95500000427,1,44,4056,blue,true,right,71,44,right,blue,2366,0
49,338995.42999998084,0,0,4056,blue,true,left,42,52,right,orange,780,0
50,342333.43499997864,0,0,4056,blue,true,left,39,93,right,orange,748,0
51,345653.1749999849,1,24,4032,blue,true,right,39,24,right,blue,903,0
52,349138.94499998423,0,0,4032,blue,false,left,20,10,left,blue,521,0
53,352240.57500000345,0,0,4032,blue,false,right,85,43,right,blue,1019,0
54,355826.42499997746,0,0,4032,blue,false,right,77,7,right,blue,807,0
55,359201.6149999981,0,0,4032,blue,true,left,95,90,right,orange,1318,0
56,363088.69000000414,1,7,4025,blue,true,left,56,7,left,blue,723,0
57,366383.8499999838,0,0,4025,blue,true,left,50,69,right,orange,795,0
58,369767.5750000053,1,83,3942,blue,true,right,4,83,right,blue,2034,0
59,374372.65499998466,0,0,3942,blue,false,left,40,8,left,blue,464,0
60,377376.4599999995,0,0,3942,blue,true,right,47,86,left,orange,775,0
61,380730.9200000018,0,0,3942,blue,true,left,15,49,right,orange,514,0
62,383834.0699999826,0,0,3942,blue,true,right,17,39,left,orange,928,0
63,387327.1449999884,1,76,3866,blue,false,right,76,97,left,orange,806,0
64,390725.139999995,1,14,3852,blue,true,right,73,14,right,blue,584,0
65,393881.3450000016,1,29,3823,blue,true,left,67,29,left,blue,917,0
66,397382.19499998377,1,39,3784,blue,true,left,48,39,left,blue,600,0
67,400548.81999999634,1,99,3685,blue,true,right,30,99,right,blue,667,0
68,403789.58499999135,1,13,3672,blue,false,right,13,20,left,orange,502,0
69,406902.0549999841,1,59,3613,blue,true,right,66,59,right,blue,692,0
70,410173.7499999872,1,60,3553,blue,true,right,20,60,right,blue,733,0
71,413484.6499999985,0,0,3553,blue,true,right,41,25,left,orange,692,0
72,416734.9299999769,0,0,3553,blue,false,left,76,70,left,blue,888,0
73,420193.43499999377,1,73,3480,blue,false,right,73,18,left,orange,721,0
74,423497.99499998335,1,41,3439,blue,false,right,41,80,left,orange,752,0
75,426830.87000000523,0,0,3439,blue,true,left,25,76,right,orange,423,0
76,429828.54499999667,0,0,3439,blue,false,right,34,52,right,blue,795,0
77,433194.54499997664,0,0,3439,blue,false,left,30,60,left,blue,1296,0
