Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,248195.68499999878,1,37,4963,blue,true,left,44,37,left,blue,1621,0
2,252331.69500000076,0,0,4963,blue,true,right,66,12,left,orange,1675,0
3,256518.63000000594,0,0,4963,blue,true,left,98,9,right,orange,1204,0
4,260235.62500000116,1,20,4943,blue,false,right,20,91,left,orange,1636,0
5,264386.07500000217,1,8,4935,blue,true,right,28,8,right,blue,1943,0
6,268846.8350000039,0,0,4935,blue,true,left,30,33,right,orange,1225,0
7,272601.31500000716,0,0,4935,blue,true,left,27,24,right,orange,873,0
8,276008.050000004,1,58,4877,blue,false,left,58,43,right,orange,744,0
9,279293.5600000055,0,0,4877,blue,true,left,72,47,right,orange,2554,0
10,284388.9049999998,1,44,4833,blue,false,right,44,44,left,orange,2842,0
11,289778.73499999987,1,26,4807,blue,true,left,69,26,left,blue,1100,0
12,293426.01000001014,0,0,4807,blue,true,right,6,41,left,orange,1909,0
13,297870.9600000002,0,0,4807,blue,true,right,88,34,left,orange,654,0
14,301060.36000000313,1,73,4734,blue,false,left,73,18,right,orange,1045,0
15,304642.46000000276,0,0,4734,blue,true,right,60,25,left,orange,853,0
16,308029.38500000164,0,0,4734,blue,true,left,68,6,right,orange,1408,0
17,311970.9750000038,1,48,4686,blue,false,left,48,39,right,orange,851,0
18,315367.4400000018,0,0,4686,blue,true,left,35,76,right,orange,905,0
19,318807.6250000013,0,0,4686,blue,true,left,23,85,right,orange,965,0
20,322306.25500000315,1,22,4664,blue,true,left,54,22,left,blue,1726,0
21,326571.2449999992,1,66,4598,blue,false,right,66,58,left,orange,896,0
22,330013.5250000021,0,0,4598,blue,true,left,98,41,right,orange,1113,0
23,333656.2350000022,0,0,4598,blue,true,right,58,80,left,orange,1037,0
24,337224.4100000098,0,0,4598,blue,true,right,32,85,left,orange,652,0
25,340412.65500000736,0,0,4598,blue,false,right,83,15,right,blue,2053,0
26,344998.9900000073,0,0,4598,blue,true,left,18,16,right,orange,945,0
27,348481.1200000113,0,0,4598,blue,true,right,56,99,left,orange,763,0
28,351778.70000000985,0,0,4598,blue,true,right,23,75,left,orange,806,0
29,355116.22999999963,1,18,4580,blue,true,left,68,18,left,blue,1219,0
30,358876.00000000384,0,0,4580,blue,true,left,30,16,right,orange,1058,0
31,362465.16500000143,0,0,4580,blue,true,left,86,37,right,orange,650,0
32,365646.43000000797,0,0,4580,blue,true,right,47,44,left,orange,676,0
33,368857.9400000017,0,0,4580,blue,true,right,3,91,left,orange,493,0
34,371877.39500000316,1,60,4520,blue,false,left,60,14,right,orange,676,0
35,375092.1950000047,0,0,4520,blue,true,right,54,84,left,orange,587,0
36,378211.26500000537,0,0,4520,blue,true,right,34,23,left,orange,573,0
37,381311.17000000086,0,0,4520,blue,true,left,96,28,right,orange,637,0
38,384479.7499999986,1,83,4437,blue,false,right,83,94,left,orange,706,0
39,387727.85500000464,0,0,4437,blue,true,right,63,86,left,orange,595,0
40,390861.1450000026,0,0,4437,blue,true,right,99,53,left,orange,848,0
41,394237.6199999999,0,0,4437,blue,true,left,29,91,right,orange,1159,0
42,397926.1050000059,0,0,4437,blue,true,left,88,64,right,orange,1003,0
43,401460.4099999997,0,0,4437,blue,true,left,84,70,right,orange,608,0
44,404602.80000000785,1,61,4376,blue,false,left,61,88,right,orange,520,0
45,407658.2150000031,0,0,4376,blue,true,left,61,43,right,orange,506,0
46,410697.3100000032,0,0,4376,blue,true,left,87,54,right,orange,546,0
47,413767.39000000816,1,5,4371,blue,false,right,5,90,left,orange,504,0
48,420842.2150000115,0,0,4371,blue,true,left,71,44,right,orange,1322,0
49,424689.56500000786,0,0,4371,blue,true,left,42,52,right,orange,582,0
50,427803.1800000026,0,0,4371,blue,true,left,39,93,right,orange,479,0
51,430805.2200000093,0,0,4371,blue,true,left,39,24,right,orange,483,0
52,433821.58000000345,1,20,4351,blue,false,left,20,10,right,orange,488,0
53,436847.0950000046,1,85,4266,blue,false,left,85,43,right,orange,623,0
54,440013.68000000366,1,77,4189,blue,false,right,77,7,left,orange,608,0
55,443161.7899999983,1,90,4099,blue,true,right,95,90,right,blue,583,0
56,446291.17500000575,1,7,4092,blue,true,right,56,7,right,blue,623,0
57,449451.3850000076,0,0,4092,blue,true,right,50,69,left,orange,457,0
58,452445.59500001196,0,0,4092,blue,true,right,4,83,left,orange,529,0
59,455508.3850000083,1,40,4052,blue,false,right,40,8,left,orange,404,0
60,458446.04999999865,0,0,4052,blue,true,right,47,86,left,orange,427,0
61,461406.7800000048,0,0,4052,blue,true,right,15,49,left,orange,570,0
62,464509.4300000055,0,0,4052,blue,true,right,17,39,left,orange,641,0
63,467675.5600000033,1,76,3976,blue,false,left,76,97,right,orange,770,0
64,470982.39000000467,0,0,3976,blue,true,left,73,14,right,orange,1207,0
65,474721.3300000003,0,0,3976,blue,true,left,67,29,right,orange,723,0
66,477973.7950000126,0,0,3976,blue,true,right,48,39,left,orange,555,0
67,481056.9200000027,0,0,3976,blue,true,left,30,99,right,orange,485,0
68,484069.7250000085,1,13,3963,blue,false,right,13,20,left,orange,504,0
69,487112.1899999998,0,0,3963,blue,true,right,66,59,left,orange,514,0
70,490144.50000000943,0,0,3963,blue,true,left,20,60,right,orange,930,0
71,493604.61500000383,0,0,3963,blue,true,left,41,25,right,orange,705,0
72,496840.240000005,1,76,3887,blue,false,right,76,70,left,orange,464,0
73,499851.11000000325,1,73,3814,blue,false,left,73,18,right,orange,484,0
74,502873.30000000657,0,0,3814,blue,false,right,41,80,right,blue,1009,0
75,506411.64500000014,1,76,3738,blue,true,left,25,76,left,blue,548,0
76,509502.4550000089,1,34,3704,blue,false,right,34,52,left,orange,548,0
77,512587.0500000019,1,30,3674,blue,false,left,30,60,right,orange,989,0
78,516112.39500000374,1,91,3583,blue,false,left,91,36,right,orange,1025,0
79,519669.42500000005,1,70,3513,blue,false,left,70,59,right,orange,446,0
80,522652.820000003,1,47,3466,blue,true,left,64,47,left,blue,370,0
81,525567.7399999986,0,0,3466,blue,false,left,28,44,left,blue,406,0
82,528507.5849999994,1,2,3464,blue,false,left,2,80,right,orange,1437,0
83,532480.5350000097,0,0,3464,blue,false,left,20,39,left,blue,1823,0
84,536835.1950000069,0,0,3464,blue,false,left,32,61,left,blue,769,0
85,540136.48500001,0,0,3464,blue,false,left,90,61,left,blue,656,0
86,543323.7850000005,1,70,3394,blue,true,left,62,70,left,blue,465,0
87,546330.4400000052,0,0,3394,blue,false,right,17,33,right,blue,705,0
88,549573.8200000051,0,0,3394,blue,false,right,74,17,right,blue,558,0
89,552659.3100000027,0,0,3394,blue,false,right,2,85,right,blue,497,0
90,555681.620000003,0,0,3394,blue,false,right,39,76,right,blue,1166,0
91,559370.5550000013,0,0,3394,blue,false,left,70,20,left,blue,615,0
92,562521.2900000042,1,69,3325,blue,true,right,24,69,right,blue,453,0
93,565518.860000011,1,52,3273,blue,true,left,59,52,left,blue,632,0
94,572691.2650000013,1,15,3258,blue,false,left,15,43,right,orange,1116,0
95,576350.70000001,1,34,3224,blue,true,left,50,34,left,blue,709,0
96,579596.9650000043,0,0,3224,blue,false,right,43,48,right,blue,602,0
97,582732.2249999997,1,35,3189,blue,true,right,14,35,right,blue,444,0
98,585715.5550000025,1,42,3147,blue,true,right,12,42,right,blue,1072,0
99,589322.1950000006,0,0,3147,blue,true,right,40,44,left,orange,1159,0
100,593021.9050000014,0,0,3147,blue,true,right,88,50,left,orange,560,0
101,596112.9650000075,0,0,3147,blue,true,right,51,19,left,orange,803,0
102,599447.0850000071,0,0,3147,blue,true,left,44,59,right,orange,1425,0
103,603403.9400000038,0,0,3147,blue,true,right,23,9,left,orange,425,0
104,606364.1100000095,0,0,3147,blue,true,left,23,76,right,orange,603,0
105,609502.1050000068,0,0,3147,blue,true,left,94,47,right,orange,585,0
106,612620.1550000114,1,67,3080,blue,false,right,67,56,left,orange,506,0
107,615665.7400000113,0,0,3080,blue,true,right,50,16,left,orange,724,0
108,618915.9199999995,1,7,3073,blue,true,left,83,7,left,blue,1211,0
109,622662.4100000045,0,0,3073,blue,true,left,86,41,right,orange,1099,0
110,626294.8250000045,0,0,3073,blue,true,right,61,37,left,orange,1111,0
111,629938.5600000096,1,82,2991,blue,false,left,82,57,right,orange,552,0
112,633032.4600000022,0,0,2991,blue,false,left,68,28,left,blue,536,0
113,636096.8500000017,0,0,2991,blue,false,right,65,76,right,blue,1723,0
114,640354.090000008,0,0,2991,blue,false,right,25,19,right,blue,1105,0
115,643984.4700000103,0,0,2991,blue,false,left,67,68,left,blue,1544,0
