Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,206393.84000000064,1,37,4963,blue,true,left,44,37,left,blue,1463,0
2,210834.6250000004,1,12,4951,blue,true,left,66,12,left,blue,1728,0
3,215119.65000000055,1,9,4942,blue,true,left,98,9,left,blue,1079,0
4,218735.46000000078,1,20,4922,blue,false,left,20,91,right,orange,1161,0
5,222426.39000000054,1,8,4914,blue,true,right,28,8,right,blue,882,0
6,225844.50000000015,0,0,4914,blue,true,right,30,33,left,orange,1707,0
7,230071.27500000026,0,0,4914,blue,true,right,27,24,left,orange,1234,0
8,233828.96000000072,1,58,4856,blue,false,right,58,43,left,orange,1172,0
9,237544.3750000004,1,47,4809,blue,true,right,72,47,right,blue,1105,0
10,241181.44500000018,1,44,4765,blue,false,right,44,44,left,orange,3204,0
11,246910.65000000072,1,26,4739,blue,true,right,69,26,right,blue,888,0
12,250334.89499999996,0,0,4739,blue,true,right,6,41,left,orange,954,0
13,253812.3650000007,1,34,4705,blue,true,right,88,34,right,blue,2030,0
14,258369.28000000078,1,73,4632,blue,false,left,73,18,right,orange,1330,0
15,262225.3150000006,1,25,4607,blue,true,left,60,25,left,blue,828,0
16,265588.3550000008,1,6,4601,blue,true,right,68,6,right,blue,740,0
17,268860.08500000025,1,48,4553,blue,false,right,48,39,left,orange,1204,0
18,272590.5650000004,0,0,4553,blue,true,left,35,76,right,orange,2406,0
19,277518.2000000004,0,0,4553,blue,true,right,23,85,left,orange,810,0
20,280846.0450000002,0,0,4553,blue,true,left,54,22,right,orange,2185,0
21,285553.58500000054,1,66,4487,blue,false,left,66,58,right,orange,1008,0
22,289090.58500000084,1,41,4446,blue,true,left,98,41,left,blue,1133,0
23,292756.8250000004,0,0,4446,blue,true,right,58,80,left,orange,611,0
24,295888.05500000034,0,0,4446,blue,true,left,32,85,right,orange,635,0
25,299042.09000000084,1,83,4363,blue,false,left,83,15,right,orange,678,0
26,302247.6850000003,0,0,4363,blue,true,right,18,16,left,orange,1827,0
27,306595.5300000005,0,0,4363,blue,true,right,56,99,left,orange,1120,0
28,310231.6900000005,0,0,4363,blue,true,left,23,75,right,orange,773,0
29,313525.67,1,18,4345,blue,true,left,68,18,left,blue,1092,0
30,317144.0750000002,1,16,4329,blue,true,left,30,16,left,blue,2268,0
31,321937.61000000086,1,37,4292,blue,true,left,86,37,left,blue,1180,0
32,325640.6000000006,0,0,4292,blue,true,right,47,44,left,orange,932,0
33,329097.7750000002,0,0,4292,blue,true,left,3,91,right,orange,1062,0
34,332678.8550000001,1,60,4232,blue,false,left,60,14,right,orange,2195,0
35,337399.4150000008,0,0,4232,blue,true,left,54,84,right,orange,1016,0
36,340937.3600000008,0,0,4232,blue,true,right,34,23,left,orange,979,0
37,344445.18000000063,1,28,4204,blue,true,right,96,28,right,blue,1147,0
38,348126.3050000007,1,83,4121,blue,false,left,83,94,right,orange,720,0
39,351373.1600000001,0,0,4121,blue,true,left,63,86,right,orange,1436,0
40,355352.8450000003,1,53,4068,blue,true,right,99,53,right,blue,1000,0
41,358878.29500000045,0,0,4068,blue,true,left,29,91,right,orange,919,0
42,362328.44000000024,0,0,4068,blue,true,left,88,64,right,orange,1143,0
