Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,347368.01500001457,1,10,4990,blue,true,left,23,10,left,blue,939,0
2,350879.5750000281,0,0,4990,blue,true,right,45,97,left,orange,2077,0
3,355508.36500001606,0,0,4990,blue,true,right,54,62,left,orange,1518,0
4,359583.3150000544,0,0,4990,blue,false,right,99,16,right,blue,1179,0
5,363311.7649999913,1,40,4950,blue,true,left,72,40,left,blue,1084,0
6,366957.570000086,0,0,4950,blue,true,left,98,88,right,orange,1666,0
7,371162.00500004925,0,0,4950,blue,true,right,6,54,left,orange,1433,0
8,375145.3600000823,1,55,4895,blue,true,right,64,55,right,blue,1759,0
9,379465.830000001,0,0,4895,blue,false,left,96,45,left,blue,2039,0
10,384051.9600000698,0,0,4895,blue,true,left,28,19,right,orange,1954,0
11,388565.3600000078,1,26,4869,blue,true,left,95,26,left,blue,1516,0
12,392657.6600000262,0,0,4869,blue,true,right,90,29,left,orange,2201,0
13,397423.1800000416,0,0,4869,blue,true,left,20,53,right,orange,1007,0
14,401000.21000008564,0,0,4869,blue,true,left,74,56,right,orange,1435,0
15,404989.18000003323,0,0,4869,blue,true,right,18,42,left,orange,805,0
16,408341.4750000229,0,0,4869,blue,true,left,11,91,right,orange,793,0
17,411668.3750000084,1,32,4837,blue,false,left,32,31,right,orange,1551,0
18,415792.6200000802,0,0,4837,blue,true,left,36,65,right,orange,1780,0
19,420114.520000061,1,40,4797,blue,false,left,40,30,right,orange,1351,0
20,424014.19000001624,1,26,4771,blue,true,right,29,26,right,blue,1437,0
21,428018.3800000232,1,32,4739,blue,false,right,32,36,left,orange,1423,0
22,432009.44000005256,0,0,4739,blue,true,left,72,81,right,orange,1444,0
23,436001.8300000811,0,0,4739,blue,false,left,95,54,left,blue,1496,0
24,440049.65000005905,0,0,4739,blue,false,left,40,59,left,blue,1362,0
25,443972.70500008017,1,29,4710,blue,false,left,29,24,right,orange,1561,0
26,448093.72500004247,0,0,4710,blue,false,left,60,51,left,blue,1669,0
27,452301.76499998197,0,0,4710,blue,false,right,83,65,right,blue,2072,0
28,456928.78000007477,1,98,4612,blue,true,left,78,98,left,blue,1076,0
29,460572.0000000438,1,56,4556,blue,false,right,56,51,left,orange,2288,0
30,465416.8250000803,1,5,4551,blue,false,right,5,20,left,orange,1340,0
31,469310.40499999654,0,0,4551,blue,false,right,67,2,right,blue,538,0
32,472402.7650000062,0,0,4551,blue,false,right,85,84,right,blue,2205,0
33,477147.9400000535,0,0,4551,blue,true,right,7,49,left,orange,1456,0
34,481143.78000004217,0,0,4551,blue,false,left,37,47,left,blue,1980,0
35,485673.59000002034,1,27,4524,blue,false,left,27,91,right,orange,1440,0
36,489689.7149999859,0,0,4524,blue,false,right,44,42,right,blue,1659,0
37,493895.25499998126,1,55,4469,blue,true,right,31,55,right,blue,1510,0
38,497968.3850000147,0,0,4469,blue,false,right,97,70,right,blue,2007,0
39,502534.5100000268,0,0,4469,blue,false,right,14,9,right,blue,1462,0
40,506560.2750000544,0,0,4469,blue,true,left,23,51,right,orange,1361,0
41,510482.07999998704,1,79,4390,blue,true,right,89,79,right,blue,1722,0
42,514746.2400000077,1,86,4304,blue,true,right,83,86,right,blue,2220,0
43,519505.86500007194,0,0,4304,blue,true,left,40,62,right,orange,1156,0
44,523203.3250000095,0,0,4304,blue,true,left,36,23,right,orange,1319,0
45,527066.5049999952,0,0,4304,blue,true,right,65,61,left,orange,1382,0
46,530983.8900000323,0,0,4304,blue,true,left,74,67,right,orange,1010,0
47,534571.2850000709,0,0,4304,blue,true,right,73,41,left,orange,926,0
48,542082.3050000472,0,0,4304,blue,false,right,96,54,right,blue,1592,0
49,546222.1400000853,1,88,4216,blue,true,right,86,88,right,blue,1145,0
50,549923.219999997,0,0,4216,blue,true,right,43,66,left,orange,1273,0
51,553742.6899999846,0,0,4216,blue,true,right,72,79,left,orange,921,0
52,557224.5700000785,0,0,4216,blue,false,right,71,13,right,blue,1087,0
53,560848.3700000215,0,0,4216,blue,true,left,78,53,right,orange,953,0
54,564360.2350000292,0,0,4216,blue,true,left,57,90,right,orange,1046,0
55,567964.7250000853,1,3,4213,blue,false,right,3,12,left,orange,722,0
56,571240.7450000755,0,0,4213,blue,true,right,2,64,left,orange,2040,0
57,575821.6200000606,1,9,4204,blue,true,right,99,9,right,blue,1079,0
58,579469.950000057,0,0,4204,blue,true,left,21,42,right,orange,1470,0
59,583491.6600000579,0,0,4204,blue,true,right,83,72,left,orange,1446,0
60,587483.9250000659,1,11,4193,blue,true,left,37,11,left,blue,1994,0
61,592044.6399999782,1,67,4126,blue,false,right,67,81,left,orange,1773,0
62,596362.4500000151,1,14,4112,blue,true,right,12,14,right,blue,788,0
63,599722.5999999791,1,78,4034,blue,false,right,78,90,left,orange,1377,0
64,603647.2800000338,0,0,4034,blue,false,left,46,53,left,blue,832,0
65,607033.6600000737,0,0,4034,blue,false,left,30,42,left,blue,1440,0
66,611020.4900000244,0,0,4034,blue,false,left,36,65,left,blue,2192,0
67,615766.2300000666,0,0,4034,blue,false,left,49,49,left,blue,1199,0
68,619509.1150000226,0,0,4034,blue,false,right,44,10,right,blue,764,0
69,622815.6600000802,0,0,4034,blue,false,left,70,64,left,blue,1194,0
70,626556.0449999757,0,0,4034,blue,false,left,68,95,left,blue,953,0
71,630054.0800000308,0,0,4034,blue,false,right,38,46,right,blue,1215,0
72,633836.1199999927,0,0,4034,blue,false,left,18,24,left,blue,1110,0
73,637508.2500000717,0,0,4034,blue,false,left,82,78,left,blue,1014,0
74,641068.5550000053,0,0,4034,blue,false,left,59,54,left,blue,1104,0
75,644731.0300000245,0,0,4034,blue,false,left,36,33,left,blue,878,0
76,648167.7449999843,1,56,3978,blue,true,left,49,56,left,blue,1194,0
77,651929.8000000417,1,26,3952,blue,false,left,26,83,right,orange,818,0
78,655319.6350000799,0,0,3952,blue,false,left,38,81,left,blue,775,0
79,658642.3450000584,0,0,3952,blue,false,left,12,3,left,blue,522,0
80,661718.7850000337,0,0,3952,blue,false,left,62,38,left,blue,938,0
81,665213.0899999756,0,0,3952,blue,false,right,43,50,right,blue,853,0
82,668632.5000000652,0,0,3952,blue,false,left,50,47,left,blue,677,0
83,671859.3950000359,1,35,3917,blue,true,left,41,35,left,blue,925,0
84,675334.615000058,1,9,3908,blue,false,left,9,62,right,orange,759,0
85,678650.9250000818,0,0,3908,blue,false,right,60,58,right,blue,1246,0
86,682443.7949999701,0,0,3908,blue,false,right,88,31,right,blue,941,0
87,685940.4450000729,0,0,3908,blue,false,right,56,44,right,blue,1311,0
88,689809.0749999974,1,15,3893,blue,true,left,31,15,left,blue,1128,0
