Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,297607.0699999109,1,10,4990,blue,true,right,23,10,right,blue,2790,0
2,302935.7149999123,0,0,4990,blue,true,right,45,97,left,orange,908,0
3,306375.17499993555,0,0,4990,blue,true,left,54,62,right,orange,1289,0
4,310195.6449999707,1,99,4891,blue,false,left,99,16,right,orange,1176,0
5,313911.4849999314,0,0,4891,blue,true,left,72,40,right,orange,987,0
6,317428.59499994665,0,0,4891,blue,true,left,98,88,right,orange,771,0
7,320730.40499992203,0,0,4891,blue,true,right,6,54,left,orange,1435,0
8,324697.22999993246,0,0,4891,blue,true,right,64,55,left,orange,1109,0
9,328340.26999992784,1,96,4795,blue,false,left,96,45,right,orange,1356,0
10,332234.7899999004,0,0,4795,blue,true,left,28,19,right,orange,1114,0
11,335880.3149999585,0,0,4795,blue,true,left,95,26,right,orange,1106,0
12,339516.39999996405,0,0,4795,blue,true,left,90,29,right,orange,1179,0
13,343226.57499997877,1,53,4742,blue,true,left,20,53,left,blue,1240,0
14,347011.8249999359,0,0,4742,blue,true,right,74,56,left,orange,1512,0
15,351054.8299999209,0,0,4742,blue,true,left,18,42,right,orange,1399,0
16,354984.02999993414,0,0,4742,blue,true,right,11,91,left,orange,808,0
17,358322.27999996394,1,32,4710,blue,false,left,32,31,right,orange,662,0
18,361524.5199999772,0,0,4710,blue,true,right,36,65,left,orange,1144,0
19,365196.1449999362,1,40,4670,blue,false,right,40,30,left,orange,643,0
20,368375.84999995306,0,0,4670,blue,true,left,29,26,right,orange,885,0
21,371791.2199998973,1,32,4638,blue,false,left,32,36,right,orange,658,0
22,374986.28499999177,0,0,4638,blue,true,right,72,81,left,orange,1134,0
23,378650.98499995656,1,95,4543,blue,false,right,95,54,left,orange,838,0
24,382030.1699999254,0,0,4543,blue,false,left,40,59,left,blue,1637,0
25,386194.1050000023,1,29,4514,blue,false,left,29,24,right,orange,1399,0
26,390131.97999994736,0,0,4514,blue,false,right,60,51,right,blue,1555,0
27,394216.26999997534,0,0,4514,blue,false,right,83,65,right,blue,1686,0
28,398431.3399998937,1,98,4416,blue,true,left,78,98,left,blue,1041,0
29,402012.53999990877,1,56,4360,blue,false,right,56,51,left,orange,1217,0
30,405767.2199999215,0,0,4360,blue,false,right,5,20,right,blue,1097,0
31,409398.5499999253,0,0,4360,blue,false,right,67,2,right,blue,720,0
32,412648.9949999377,0,0,4360,blue,false,left,85,84,left,blue,960,0
33,416140.0049999356,1,49,4311,blue,true,right,7,49,right,blue,654,0
34,419332.9199999571,0,0,4311,blue,false,right,37,47,right,blue,675,0
35,422537.6999999862,0,0,4311,blue,false,left,27,91,left,blue,864,0
36,425932.8899999382,0,0,4311,blue,false,left,44,42,left,blue,808,0
37,429274.56999989226,1,55,4256,blue,true,left,31,55,left,blue,815,0
38,432630.6949999416,0,0,4256,blue,false,left,97,70,left,blue,646,0
39,435806.39499996323,0,0,4256,blue,false,left,14,9,left,blue,567,0
40,438904.174999916,1,51,4205,blue,true,left,23,51,left,blue,836,0
41,442280.82499990705,1,79,4126,blue,true,right,89,79,right,blue,758,0
42,445580.26499999687,0,0,4126,blue,true,left,83,86,right,orange,667,0
43,448775.67999996245,0,0,4126,blue,true,left,40,62,right,orange,716,0
44,452022.784999921,0,0,4126,blue,true,left,36,23,right,orange,611,0
45,455162.76999993715,0,0,4126,blue,true,right,65,61,left,orange,557,0
46,458250.1999998931,0,0,4126,blue,true,left,74,67,right,orange,740,0
47,461522.6749998983,0,0,4126,blue,true,right,73,41,left,orange,658,0
48,468731.42999992706,1,96,4030,blue,false,right,96,54,left,orange,1888,0
49,473162.9949999042,1,88,3942,blue,true,right,86,88,right,blue,1072,0
50,476772.934999899,0,0,3942,blue,true,right,43,66,left,orange,684,0
51,479988.46999998204,0,0,3942,blue,true,left,72,79,right,orange,990,0
52,483514.1299999086,1,71,3871,blue,false,right,71,13,left,orange,1378,0
53,487430.91499991715,1,53,3818,blue,true,right,78,53,right,blue,1174,0
54,491156.1399999773,0,0,3818,blue,true,right,57,90,left,orange,744,0
55,494442.09999998566,1,3,3815,blue,false,right,3,12,left,orange,568,0
56,497549.3799999822,0,0,3815,blue,true,left,2,64,right,orange,798,0
