Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,217367.20499995863,0,0,5000,blue,true,right,44,37,left,orange,1490,0
2,221393.3449999895,0,0,5000,blue,true,left,66,12,right,orange,411,0
3,224350.15999997267,0,0,5000,blue,true,right,98,9,left,orange,571,0
4,227481.35499999626,1,20,4980,blue,false,right,20,91,left,orange,700,0
5,230724.2349999724,0,0,4980,blue,true,right,28,8,left,orange,492,0
6,233752.77500000084,0,0,4980,blue,true,left,30,33,right,orange,501,0
7,236794.3249999662,0,0,4980,blue,true,right,27,24,left,orange,455,0
8,239800.7449999568,1,58,4922,blue,false,left,58,43,right,orange,569,0
9,242923.61499997787,0,0,4922,blue,true,left,72,47,right,orange,446,0
10,245914.82000000542,1,44,4878,blue,false,left,44,44,right,orange,398,0
11,248869.42000000272,0,0,4878,blue,true,left,69,26,right,orange,625,0
12,252037.78499999316,0,0,4878,blue,true,left,6,41,right,orange,502,0
13,255061.53999996604,0,0,4878,blue,true,right,88,34,left,orange,569,0
14,258194.92499995977,0,0,4878,blue,false,right,73,18,right,blue,1171,0
15,261910.3349999641,0,0,4878,blue,true,right,60,25,left,orange,871,0
16,265322.89499999024,1,6,4872,blue,true,right,68,6,right,blue,1221,0
17,269107.27499995846,1,48,4824,blue,false,left,48,39,right,orange,928,0
18,272577.5450000074,0,0,4824,blue,true,left,35,76,right,orange,581,0
19,275712.1150000021,0,0,4824,blue,true,left,23,85,right,orange,1978,0
20,280242.89499997394,0,0,4824,blue,true,left,54,22,right,orange,510,0
21,283283.78999995766,1,66,4758,blue,false,right,66,58,left,orange,747,0
22,286568.7199999811,0,0,4758,blue,true,left,98,41,right,orange,936,0
23,290041.9750000001,0,0,4758,blue,true,left,58,80,right,orange,602,0
24,293199.97999997577,0,0,4758,blue,true,right,32,85,left,orange,807,0
25,296552.74999997346,1,83,4675,blue,false,right,83,15,left,orange,748,0
26,299868.18499997025,0,0,4675,blue,true,left,18,16,right,orange,633,0
27,303038.55499997735,0,0,4675,blue,true,right,56,99,left,orange,716,0
28,306295.1049999683,0,0,4675,blue,true,left,23,75,right,orange,638,0
29,309472.4699999788,0,0,4675,blue,true,right,68,18,left,orange,626,0
30,312645.82499995595,1,16,4659,blue,true,right,30,16,right,blue,1410,0
31,316595.27499997057,1,37,4622,blue,true,left,86,37,left,blue,1253,0
