Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,1370050.4000000358,0,0,5000,blue,true,right,23,10,left,orange,1995,0
2,1374558.9000000358,0,0,5000,blue,true,right,45,97,left,orange,640,0
3,1377720.800000012,1,62,4938,blue,true,left,54,62,left,blue,901,0
4,1381147.5,1,99,4839,blue,false,right,99,16,left,orange,607,0
5,1384269.1000000238,0,0,4839,blue,true,right,72,40,left,orange,456,0
6,1387235.6000000238,0,0,4839,blue,true,left,98,88,right,orange,468,0
7,1390221.800000012,0,0,4839,blue,true,left,6,54,right,orange,1233,0
8,1393968.9000000358,0,0,4839,blue,true,right,64,55,left,orange,404,0
9,1396892.300000012,1,96,4743,blue,false,left,96,45,right,orange,733,0
10,1400145.7000000477,0,0,4743,blue,true,right,28,19,left,orange,1213,0
11,1403873.5,0,0,4743,blue,true,left,95,26,right,orange,548,0
12,1406932.4000000358,0,0,4743,blue,true,right,90,29,left,orange,465,0
13,1409915.5,0,0,4743,blue,true,left,20,53,right,orange,624,0
14,1413056.7000000477,1,56,4687,blue,true,left,74,56,left,blue,1325,0
15,1416903.5,0,0,4687,blue,true,right,18,42,left,orange,446,0
16,1419866.1000000238,0,0,4687,blue,true,left,11,91,right,orange,481,0
17,1422868.6000000238,1,32,4655,blue,false,right,32,31,left,orange,998,0
18,1426390.7000000477,0,0,4655,blue,true,right,36,65,left,orange,519,0
19,1429424,1,40,4615,blue,false,right,40,30,left,orange,566,0
20,1432509.800000012,0,0,4615,blue,true,right,29,26,left,orange,567,0
21,1435588.800000012,1,32,4583,blue,false,left,32,36,right,orange,665,0
22,1438770.4000000358,0,0,4583,blue,true,right,72,81,left,orange,485,0
23,1441775.7000000477,1,95,4488,blue,false,right,95,54,left,orange,597,0
24,1444893.800000012,0,0,4488,blue,false,left,40,59,left,blue,1541,0
25,1448948.5,1,29,4459,blue,false,right,29,24,left,orange,529,0
26,1452000,1,60,4399,blue,false,left,60,51,right,orange,565,0
27,1455083.300000012,1,83,4316,blue,false,right,83,65,left,orange,522,0
28,1458123.2000000477,1,98,4218,blue,true,left,78,98,left,blue,459,0
29,1461101.6000000238,1,56,4162,blue,false,right,56,51,left,orange,376,0
30,1463995.9000000358,1,5,4157,blue,false,left,5,20,right,orange,1090,0
31,1467602.2000000477,0,0,4157,blue,false,left,67,2,left,blue,388,0
32,1470504.4000000358,1,85,4072,blue,false,right,85,84,left,orange,1255,0
33,1474278.5,1,49,4023,blue,true,right,7,49,right,blue,495,0
34,1477294.5,0,0,4023,blue,false,left,37,47,left,blue,879,0
35,1480687.5,0,0,4023,blue,false,right,27,91,right,blue,571,0
36,1483773.300000012,0,0,4023,blue,false,right,44,42,right,blue,1727,0
37,1488014.2000000477,1,55,3968,blue,true,right,31,55,right,blue,854,0
38,1491387.800000012,0,0,3968,blue,false,right,97,70,right,blue,1425,0
39,1495328.5,0,0,3968,blue,false,right,14,9,right,blue,2180,0
40,1500021.2000000477,1,51,3917,blue,true,left,23,51,left,blue,623,0
41,1503159.6000000238,1,79,3838,blue,true,left,89,79,left,blue,949,0
42,1506629.2000000477,1,86,3752,blue,true,right,83,86,right,blue,473,0
43,1509628.6000000238,1,62,3690,blue,true,left,40,62,left,blue,1213,0
44,1513362.7000000477,0,0,3690,blue,true,left,36,23,right,orange,338,0
45,1516213.4000000358,0,0,3690,blue,true,left,65,61,right,orange,472,0
46,1519198.800000012,0,0,3690,blue,true,right,74,67,left,orange,592,0
47,1522305.6000000238,0,0,3690,blue,true,right,73,41,left,orange,723,0
48,1529553,1,96,3594,blue,false,right,96,54,left,orange,1389,0
49,1533465.800000012,1,88,3506,blue,true,left,86,88,left,blue,1043,0
50,1537036.300000012,0,0,3506,blue,true,left,43,66,right,orange,582,0
