Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,314322.1599999815,1,10,4990,blue,true,right,23,10,right,blue,3226,0
2,320135.7100000023,0,0,4990,blue,true,right,45,97,left,orange,1890,0
3,324591.31499996874,0,0,4990,blue,true,right,54,62,left,orange,1264,0
4,328420.08499999065,0,0,4990,blue,false,right,99,16,right,blue,1933,0
5,332915.94999999506,1,40,4950,blue,true,right,72,40,right,blue,1501,0
6,336984.10499998135,1,88,4862,blue,true,right,98,88,right,blue,1101,0
7,340661.20500001125,0,0,4862,blue,true,left,6,54,right,orange,1334,0
8,344548.85000002105,1,55,4807,blue,true,left,64,55,left,blue,1329,0
9,348458.0449999776,0,0,4807,blue,false,left,96,45,left,blue,1117,0
10,352134.2799999984,1,19,4788,blue,true,right,28,19,right,blue,1492,0
11,356206.8749999744,1,26,4762,blue,true,right,95,26,right,blue,971,0
12,359772.20499998657,1,29,4733,blue,true,left,90,29,left,blue,2134,0
13,364466.65499999654,0,0,4733,blue,true,left,20,53,right,orange,1070,0
14,368094.15499999886,1,56,4677,blue,true,right,74,56,right,blue,934,0
15,371600.6749999942,0,0,4677,blue,true,left,18,42,right,orange,917,0
16,375065.21500000963,0,0,4677,blue,true,right,11,91,left,orange,1291,0
17,378933.3500000066,0,0,4677,blue,false,left,32,31,left,blue,1765,0
18,383261.8650000077,0,0,4677,blue,true,left,36,65,right,orange,1314,0
19,387145.354999986,0,0,4677,blue,false,right,40,30,right,blue,1110,0
20,390821.1949999677,1,26,4651,blue,true,right,29,26,right,blue,1256,0
21,394632.024999999,1,32,4619,blue,false,left,32,36,right,orange,2017,0
22,399235.18000001786,0,0,4619,blue,true,left,72,81,right,orange,2123,0
23,403922.4449999747,0,0,4619,blue,false,left,95,54,left,blue,1337,0
24,407820.5999999773,1,40,4579,blue,false,right,40,59,left,orange,1697,0
25,412093.77500001574,0,0,4579,blue,false,right,29,24,right,blue,1384,0
26,416031.40999999596,0,0,4579,blue,false,right,60,51,right,blue,1647,0
27,420226.4950000099,0,0,4579,blue,false,right,83,65,right,blue,1871,0
28,424671.14499997115,0,0,4579,blue,true,left,78,98,right,orange,1278,0
29,428503.45000001835,0,0,4579,blue,false,right,56,51,right,blue,1503,0
30,432575.34999999916,1,5,4574,blue,false,right,5,20,left,orange,1553,0
31,436715.0000000256,0,0,4574,blue,false,left,67,2,left,blue,1573,0
32,440851.6650000238,0,0,4574,blue,false,left,85,84,left,blue,1998,0
33,445410.87999998126,0,0,4574,blue,true,right,7,49,left,orange,997,0
34,448963.56499998365,1,37,4537,blue,false,left,37,47,right,orange,1034,0
35,452571.20499998564,1,27,4510,blue,false,right,27,91,left,orange,948,0
36,456090.0000000256,0,0,4510,blue,false,left,44,42,left,blue,1509,0
37,460156.0649999883,0,0,4510,blue,true,right,31,55,left,orange,1344,0
38,464048.8899999764,0,0,4510,blue,false,left,97,70,left,blue,1172,0
39,467785.280000011,0,0,4510,blue,false,right,14,9,right,blue,1044,0
40,471392.8249999881,0,0,4510,blue,true,right,23,51,left,orange,807,0
41,474770.3849999816,1,79,4431,blue,true,left,89,79,left,blue,1190,0
42,478530.0249999855,0,0,4431,blue,true,right,83,86,left,orange,1660,0
43,482759.05499997316,0,0,4431,blue,true,right,40,62,left,orange,1210,0
44,486541.44499998074,1,23,4408,blue,true,right,36,23,right,blue,819,0
45,489917.8800000227,1,61,4347,blue,true,left,65,61,left,blue,1373,0
46,493865.74500001734,1,67,4280,blue,true,right,74,67,right,blue,993,0
47,497433.80499997875,1,41,4239,blue,true,left,73,41,left,blue,986,0
48,505009.56500001485,0,0,4239,blue,false,left,96,54,left,blue,1211,0
49,508783.3349999855,0,0,4239,blue,true,right,86,88,left,orange,1008,0
50,512346.78500000155,0,0,4239,blue,true,left,43,66,right,orange,1083,0
51,515989.43499999586,0,0,4239,blue,true,right,72,79,left,orange,1071,0
52,519614.72999997204,0,0,4239,blue,false,right,71,13,right,blue,1047,0
53,523241.2999999942,1,53,4186,blue,true,right,78,53,right,blue,891,0
54,526704.2200000142,0,0,4186,blue,true,left,57,90,right,orange,847,0
55,530118.0799999856,1,3,4183,blue,false,right,3,12,left,orange,755,0
56,533438.1799999974,0,0,4183,blue,true,right,2,64,left,orange,764,0
57,536752.210000006,1,9,4174,blue,true,left,99,9,left,blue,700,0
58,540017.3199999845,0,0,4174,blue,true,right,21,42,left,orange,1105,0
59,543690.01999998,1,72,4102,blue,true,right,83,72,right,blue,1047,0
60,547317.0350000146,1,11,4091,blue,true,right,37,11,right,blue,796,0
61,550689.4399999874,1,67,4024,blue,false,right,67,81,left,orange,943,0
62,554195.5650000018,0,0,4024,blue,true,right,12,14,left,orange,748,0
63,557495.7500000019,1,78,3946,blue,false,right,78,90,left,orange,1166,0
64,561252.434999973,1,46,3900,blue,false,left,46,53,right,orange,1010,0
65,564829.8199999845,1,30,3870,blue,false,left,30,42,right,orange,1075,0
66,568475.4550000071,1,36,3834,blue,false,left,36,65,right,orange,1077,0
67,572137.1999999974,1,49,3785,blue,false,right,49,49,left,orange,1847,0
68,576548.5900000203,0,0,3785,blue,false,right,44,10,right,blue,885,0
69,579979.2799999705,1,70,3715,blue,false,left,70,64,right,orange,852,0
70,583399.9600000097,1,68,3647,blue,false,right,68,95,left,orange,1021,0
71,586985.2299999911,1,38,3609,blue,false,left,38,46,right,orange,1117,0
72,590666.8749999953,1,18,3591,blue,false,left,18,24,right,orange,1257,0
73,594496.1500000209,0,0,3591,blue,false,left,82,78,left,blue,869,0
74,597923.6500000115,0,0,3591,blue,false,left,59,54,left,blue,1221,0
75,601695.950000023,0,0,3591,blue,false,right,36,33,right,blue,2359,0
76,606637.9099999904,0,0,3591,blue,true,right,49,56,left,orange,1214,0
77,610421.325000003,1,26,3565,blue,false,right,26,83,left,orange,1553,0
78,614543.5849999776,1,38,3527,blue,false,left,38,81,right,orange,1981,0
79,619090.4250000021,0,0,3527,blue,false,right,12,3,right,blue,1445,0
80,623087.7249999903,0,0,3527,blue,false,left,62,38,left,blue,1098,0
81,626744.5050000097,1,43,3484,blue,false,left,43,50,right,orange,3800,0
82,633105.4349999758,0,0,3484,blue,false,left,50,47,left,blue,1519,0
83,637183.3600000245,1,35,3449,blue,true,left,41,35,left,blue,862,0
84,640626.884999976,1,9,3440,blue,false,left,9,62,right,orange,1920,0
85,645105.1299999817,0,0,3440,blue,false,left,60,58,left,blue,3240,0
86,650915.0800000061,0,0,3440,blue,false,right,88,31,right,blue,1380,0
87,654858.9250000077,0,0,3440,blue,false,left,56,44,left,blue,1805,0
88,659224.3049999815,1,15,3425,blue,true,left,31,15,left,blue,980,0
89,662781.8700000062,0,0,3425,blue,false,right,90,31,right,blue,792,0
90,666149.8049999936,0,0,3425,blue,false,right,80,76,right,blue,735,0
91,669464.2749999766,0,0,3425,blue,false,left,78,4,left,blue,613,0
92,672664.2950000241,0,0,3425,blue,false,left,60,28,left,blue,697,0
93,675941.9399999897,0,0,3425,blue,true,left,56,99,right,orange,972,0
94,683492.6899999846,0,0,3425,blue,false,left,31,45,left,blue,812,0
95,686875.9549999959,0,0,3425,blue,false,left,55,16,left,blue,687,0
96,690138.9000000199,0,0,3425,blue,true,right,12,89,left,orange,957,0
97,693663.3249999722,0,0,3425,blue,false,right,49,4,right,blue,632,0
98,696854.1950000217,0,0,3425,blue,false,left,69,12,left,blue,984,0
99,700403.2700000098,1,26,3399,blue,true,right,49,26,right,blue,1014,0
100,703977.5599999703,1,75,3324,blue,false,right,75,76,left,orange,1549,0
101,708090.915000008,1,22,3302,blue,false,left,22,90,right,orange,1118,0
102,711780.0600000191,1,23,3279,blue,true,right,26,23,right,blue,1958,0
103,716318.9899999998,1,11,3268,blue,false,left,11,68,right,orange,1287,0
104,720165.5550000141,0,0,3268,blue,true,left,71,82,right,orange,971,0
105,723695.6149999751,1,86,3182,blue,false,right,86,95,left,orange,1192,0
106,727461.7549999966,1,79,3103,blue,false,right,79,88,left,orange,2016,0
107,732055.87500002,0,0,3103,blue,false,left,75,40,left,blue,2062,0
108,736674.7900000191,1,11,3092,blue,false,left,11,94,right,orange,1143,0
109,740371.4299999992,1,44,3048,blue,true,left,53,44,left,blue,956,0
110,743912.5149999745,0,0,3048,blue,false,left,85,17,left,blue,1617,0
111,748093.4000000125,1,32,3016,blue,true,right,85,32,right,blue,973,0
112,751643.4000000008,0,0,3016,blue,false,right,38,68,right,blue,1722,0
113,755921.314999985,1,28,2988,blue,false,left,28,93,right,orange,1127,0
114,759626.5700000222,1,13,2975,blue,false,left,13,95,right,orange,792,0
115,762975.7400000235,1,69,2906,blue,false,right,69,60,left,orange,1480,0
116,767019.9099999736,0,0,2906,blue,true,left,56,95,right,orange,1810,0
117,771387.9799999995,1,2,2904,blue,false,left,2,41,right,orange,1380,0
118,775347.5500000059,0,0,2904,blue,false,left,42,5,left,blue,1122,0
119,779032.8299999819,0,0,2904,blue,false,right,44,30,right,blue,1077,0
120,782690.3049999964,0,0,2904,blue,false,right,79,4,right,blue,1557,0
121,786822.0899999724,1,83,2821,blue,false,left,83,87,right,orange,1625,0
122,791044.9149999768,0,0,2821,blue,false,right,59,44,right,blue,1384,0
123,794997.8400000255,1,10,2811,blue,true,left,15,10,left,blue,960,0
124,798539.13499997,0,0,2811,blue,false,right,60,15,right,blue,1001,0
125,802111.0849999823,0,0,2811,blue,false,left,73,25,left,blue,1230,0
126,805900.3299999749,0,0,2811,blue,false,right,43,23,right,blue,1079,0
127,809534.8249999806,1,22,2789,blue,false,left,22,87,right,orange,1404,0
128,813512.0549999992,0,0,2789,blue,true,left,27,77,right,orange,1088,0
129,817155.3500000155,0,0,2789,blue,false,right,99,35,right,blue,1165,0
130,820875.2700000186,1,39,2750,blue,true,right,49,39,right,blue,2304,0
131,825752.0149999764,0,0,2750,blue,false,left,83,60,left,blue,1529,0
132,829848.3799999813,1,54,2696,blue,true,left,61,54,left,blue,1390,0
133,833831.0850000125,0,0,2696,blue,false,left,82,34,left,blue,892,0
134,837300.2149999957,0,0,2696,blue,false,left,96,86,left,blue,1093,0
135,840963.1400000071,0,0,2696,blue,false,right,65,27,right,blue,876,0
136,844412.5249999925,1,63,2633,blue,false,left,63,93,right,orange,847,0
137,847829.3249999988,0,0,2633,blue,false,right,65,40,right,blue,912,0
138,851316.7249999824,1,7,2626,blue,false,left,7,69,right,orange,685,0
139,854572.285000002,1,28,2598,blue,true,left,94,28,left,blue,745,0
140,857885.5900000199,0,0,2598,blue,false,right,90,4,right,blue,664,0
