Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,182848,1,37,4963,blue,true,right,44,37,right,blue,1464,0
2,186852,0,0,4963,blue,true,right,66,12,left,orange,707,0
3,190086,0,0,4963,blue,true,right,98,9,left,orange,923,0
4,193551,1,20,4943,blue,false,right,20,91,left,orange,619,0
5,196699,0,0,4943,blue,true,right,28,8,left,orange,700,0
6,199926,1,33,4910,blue,true,left,30,33,left,blue,886,0
7,203350,0,0,4910,blue,true,left,27,24,right,orange,406,0
8,206287,1,58,4852,blue,false,left,58,43,right,orange,443,0
9,209261,1,47,4805,blue,true,left,72,47,left,blue,242,0
10,212030,0,0,4805,blue,false,left,44,44,left,blue,388,0
11,214941,0,0,4805,blue,true,right,69,26,left,orange,422,0
12,217913,1,41,4764,blue,true,left,6,41,left,blue,263,0
13,220706,0,0,4764,blue,true,right,88,34,left,orange,356,0
14,223589,1,73,4691,blue,false,right,73,18,left,orange,379,0
15,226509,1,25,4666,blue,true,right,60,25,right,blue,305,0
16,229345,1,6,4660,blue,true,right,68,6,right,blue,761,0
17,232634,1,48,4612,blue,false,right,48,39,left,orange,358,0
18,235527,1,76,4536,blue,true,right,35,76,right,blue,316,0
19,238372,0,0,4536,blue,true,left,23,85,right,orange,918,0
20,241831,1,22,4514,blue,true,right,54,22,right,blue,951,0
21,245320,0,0,4514,blue,false,left,66,58,left,blue,391,0
22,248241,1,41,4473,blue,true,left,98,41,left,blue,632,0
23,251408,0,0,4473,blue,true,right,58,80,left,orange,2499,0
24,256434,0,0,4473,blue,true,right,32,85,left,orange,1624,0
25,260586,0,0,4473,blue,false,right,83,15,right,blue,1201,0
26,264324,1,16,4457,blue,true,left,18,16,left,blue,746,0
27,267596,1,99,4358,blue,true,right,56,99,right,blue,1912,0
28,272042,0,0,4358,blue,true,left,23,75,right,orange,1070,0
29,275640,0,0,4358,blue,true,left,68,18,right,orange,1509,0
30,279676,1,16,4342,blue,true,left,30,16,left,blue,761,0
31,282966,1,37,4305,blue,true,left,86,37,left,blue,1278,0
32,286794,1,44,4261,blue,true,right,47,44,right,blue,692,0
33,290022,0,0,4261,blue,true,left,3,91,right,orange,729,0
34,293289,0,0,4261,blue,false,left,60,14,left,blue,1443,0
35,297275,0,0,4261,blue,true,right,54,84,left,orange,1570,0
36,301389,1,23,4238,blue,true,right,34,23,right,blue,1135,0
37,305068,1,28,4210,blue,true,left,96,28,left,blue,1014,0
38,308614,1,83,4127,blue,false,right,83,94,left,orange,1500,0
39,312644,0,0,4127,blue,true,left,63,86,right,orange,2414,0
40,317592,0,0,4127,blue,true,right,99,53,left,orange,982,0
41,321112,0,0,4127,blue,true,right,29,91,left,orange,668,0
42,324302,0,0,4127,blue,true,left,88,64,right,orange,1030,0
43,327858,0,0,4127,blue,true,right,84,70,left,orange,906,0
44,331300,1,61,4066,blue,false,left,61,88,right,orange,1114,0
45,334941,1,43,4023,blue,true,left,61,43,left,blue,646,0
46,338120,0,0,4023,blue,true,right,87,54,left,orange,542,0
47,341195,1,5,4018,blue,false,left,5,90,right,orange,610,0
48,348336,0,0,4018,blue,true,left,71,44,right,orange,2381,0
49,353248,0,0,4018,blue,true,right,42,52,left,orange,1021,0
50,356798,0,0,4018,blue,true,right,39,93,left,orange,666,0
51,359991,0,0,4018,blue,true,right,39,24,left,orange,975,0
52,363494,1,20,3998,blue,false,left,20,10,right,orange,645,0
53,366681,1,85,3913,blue,false,right,85,43,left,orange,534,0
54,369738,0,0,3913,blue,false,left,77,7,left,blue,440,0
55,372717,1,90,3823,blue,true,right,95,90,right,blue,517,0
56,375787,0,0,3823,blue,true,left,56,7,right,orange,646,0
57,378970,0,0,3823,blue,true,right,50,69,left,orange,527,0
58,382022,0,0,3823,blue,true,left,4,83,right,orange,438,0
59,385001,1,40,3783,blue,false,left,40,8,right,orange,535,0
60,388069,0,0,3783,blue,true,right,47,86,left,orange,464,0
61,391056,0,0,3783,blue,true,left,15,49,right,orange,460,0
62,394054,0,0,3783,blue,true,left,17,39,right,orange,669,0
63,397251,1,76,3707,blue,false,right,76,97,left,orange,533,0
64,400328,0,0,3707,blue,true,left,73,14,right,orange,1097,0
65,403965,0,0,3707,blue,true,left,67,29,right,orange,459,0
66,406953,0,0,3707,blue,true,left,48,39,right,orange,473,0
67,409952,0,0,3707,blue,true,right,30,99,left,orange,491,0
68,412974,1,13,3694,blue,false,left,13,20,right,orange,690,0
69,416200,0,0,3694,blue,true,left,66,59,right,orange,562,0
70,419298,0,0,3694,blue,true,right,20,60,left,orange,471,0
71,422292,0,0,3694,blue,true,right,41,25,left,orange,434,0
72,425266,1,76,3618,blue,false,left,76,70,right,orange,435,0
73,428254,1,73,3545,blue,false,right,73,18,left,orange,540,0
74,431328,1,41,3504,blue,false,right,41,80,left,orange,457,0
75,434323,1,76,3428,blue,true,left,25,76,left,blue,606,0
76,437458,1,34,3394,blue,false,right,34,52,left,orange,610,0
77,440607,0,0,3394,blue,false,right,30,60,right,blue,322,0
78,443460,0,0,3394,blue,false,right,91,36,right,blue,465,0
79,446467,0,0,3394,blue,false,left,70,59,left,blue,574,0
80,449568,0,0,3394,blue,true,right,64,47,left,orange,499,0
81,458100,1,28,3366,blue,false,right,28,44,left,orange,1624,1
82,462264,1,2,3364,blue,false,left,2,80,right,orange,321,0
83,465118,0,0,3364,blue,false,right,20,39,right,blue,586,0
84,468230,0,0,3364,blue,false,right,32,61,right,blue,475,0
85,471242,0,0,3364,blue,false,left,90,61,left,blue,476,0
86,474262,1,70,3294,blue,true,left,62,70,left,blue,460,0
87,477262,1,17,3277,blue,false,left,17,33,right,orange,775,0
88,480566,0,0,3277,blue,false,right,74,17,right,blue,479,0
89,483572,0,0,3277,blue,false,left,2,85,left,blue,515,0
90,486614,0,0,3277,blue,false,right,39,76,right,blue,468,0
91,489610,0,0,3277,blue,false,left,70,20,left,blue,407,0
92,492543,1,69,3208,blue,true,right,24,69,right,blue,390,0
93,495460,0,0,3208,blue,true,right,59,52,left,orange,580,0
94,502592,1,15,3193,blue,false,right,15,43,left,orange,1992,0
95,507128,0,0,3193,blue,true,right,50,34,left,orange,822,0
96,510477,1,43,3150,blue,false,left,43,48,right,orange,980,0
97,513998,1,35,3115,blue,true,right,14,35,right,blue,1013,0
98,517543,1,42,3073,blue,true,left,12,42,left,blue,436,0
99,520517,0,0,3073,blue,true,right,40,44,left,orange,443,0
100,523494,0,0,3073,blue,true,right,88,50,left,orange,471,0
101,526500,0,0,3073,blue,true,right,51,19,left,orange,385,0
102,529416,0,0,3073,blue,true,right,44,59,left,orange,410,0
103,532367,0,0,3073,blue,true,right,23,9,left,orange,365,0
104,535254,0,0,3073,blue,true,right,23,76,left,orange,326,0
105,538111,0,0,3073,blue,true,right,94,47,left,orange,402,0
106,541046,1,67,3006,blue,false,right,67,56,left,orange,376,0
107,543947,0,0,3006,blue,true,left,50,16,right,orange,744,0
108,547221,0,0,3006,blue,true,right,83,7,left,orange,572,0
109,550330,0,0,3006,blue,true,left,86,41,right,orange,454,0
110,553306,0,0,3006,blue,true,left,61,37,right,orange,397,0
111,556244,1,82,2924,blue,false,right,82,57,left,orange,879,0
112,559659,1,68,2856,blue,false,right,68,28,left,orange,581,0
113,562770,0,0,2856,blue,false,right,65,76,right,blue,552,0
114,565855,0,0,2856,blue,false,left,25,19,left,blue,505,0
115,568899,0,0,2856,blue,false,left,67,68,left,blue,465,0
116,571898,0,0,2856,blue,false,left,82,68,left,blue,419,0
117,574845,0,0,2856,blue,false,right,88,19,right,blue,587,0
118,577965,1,11,2845,blue,true,right,55,11,right,blue,526,0
119,581019,1,36,2809,blue,true,right,74,36,right,blue,1430,0
120,584976,1,18,2791,blue,false,left,18,64,right,orange,659,0
