Quiz_round,2,RESULT:,NumberGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,236508.77499999478,0,0,5000,blue,true,right,23,10,left,orange,1951,0
2,240980.3050000046,0,0,5000,blue,true,right,45,97,left,orange,543,0
3,244052.51999999746,0,0,5000,blue,true,left,54,62,right,orange,1455,0
4,248041.10999999102,1,99,4901,blue,false,left,99,16,right,orange,1834,0
5,252408.79000001587,0,0,4901,blue,true,left,72,40,right,orange,538,0
6,255466.9200000062,1,88,4813,blue,true,right,98,88,right,blue,2423,0
7,260419.91500000586,0,0,4813,blue,true,left,6,54,right,orange,1566,0
8,264514.8300000001,0,0,4813,blue,true,left,64,55,right,orange,776,0
9,267816.48500001756,0,0,4813,blue,false,right,96,45,right,blue,1249,0
10,271583.8700000022,0,0,4813,blue,true,right,28,19,left,orange,482,0
11,274591.5350000141,0,0,4813,blue,true,right,95,26,left,orange,1660,0
12,278770.10500000324,0,0,4813,blue,true,right,90,29,left,orange,1241,0
13,282540.01500000595,1,53,4760,blue,true,right,20,53,right,blue,504,0
14,285561.86499999603,1,56,4704,blue,true,right,74,56,right,blue,1265,0
15,289350.8750000037,1,42,4662,blue,true,left,18,42,left,blue,1460,0
16,293340.58000001824,1,91,4571,blue,true,left,11,91,left,blue,1063,0
17,296937.24500000826,1,32,4539,blue,false,right,32,31,left,orange,384,0
18,299849.6199999936,1,65,4474,blue,true,left,36,65,left,blue,514,0
19,302884.5900000015,0,0,4474,blue,false,right,40,30,right,blue,804,0
20,306210.2099999902,1,26,4448,blue,true,left,29,26,left,blue,489,0
21,309231.23500001384,1,32,4416,blue,false,right,32,36,left,orange,699,0
22,312452.72000000114,1,81,4335,blue,true,left,72,81,left,blue,918,0
23,315894.1550000163,1,95,4240,blue,false,right,95,54,left,orange,773,0
24,319198.61500000115,0,0,4240,blue,false,left,40,59,left,blue,1068,0
25,322788.35499999695,0,0,4240,blue,false,left,29,24,left,blue,647,0
26,325964.82500000275,0,0,4240,blue,false,left,60,51,left,blue,782,0
27,329272.0900000131,0,0,4240,blue,false,right,83,65,right,blue,1939,0
28,333746.45999999484,1,98,4142,blue,true,left,78,98,left,blue,1305,0
29,337577.88500000606,0,0,4142,blue,false,right,56,51,right,blue,1313,0
30,341424.03500000364,0,0,4142,blue,false,left,5,20,left,blue,1579,0
31,345532.08500001347,0,0,4142,blue,false,right,67,2,right,blue,1054,0
32,349107.9200000095,0,0,4142,blue,false,left,85,84,left,blue,2702,0
33,354339.5850000088,0,0,4142,blue,true,left,7,49,right,orange,1543,0
34,358401.2450000155,1,37,4105,blue,false,left,37,47,right,orange,1416,0
35,362342.30000001844,1,27,4078,blue,false,right,27,91,left,orange,1444,0
36,366309.7199999902,0,0,4078,blue,false,left,44,42,left,blue,1798,0
37,370647.9249999975,1,55,4023,blue,true,left,31,55,left,blue,555,0
38,373733.41499999515,1,97,3926,blue,false,right,97,70,left,orange,1318,0
39,377579.18000000063,0,0,3926,blue,false,left,14,9,left,blue,1792,0
40,381896.26999999746,1,51,3875,blue,true,left,23,51,left,blue,2203,0
41,386639.00500000454,0,0,3875,blue,true,left,89,79,right,orange,587,0
42,389753.5950000165,0,0,3875,blue,true,right,83,86,left,orange,1810,0
43,394092.7800000063,0,0,3875,blue,true,right,40,62,left,orange,574,0
44,397206.69500000076,0,0,3875,blue,true,left,36,23,right,orange,1045,0
45,400769.35000001686,0,0,3875,blue,true,right,65,61,left,orange,1641,0
46,404931.184999994,0,0,3875,blue,true,right,74,67,left,orange,1624,0
47,409084.78500001365,1,41,3834,blue,true,right,73,41,right,blue,1142,0
48,416760.71500001126,0,0,3834,blue,false,left,96,54,left,blue,2809,0
49,422102.54500000156,1,88,3746,blue,true,left,86,88,left,blue,612,0
50,425240.69500001497,0,0,3746,blue,true,right,43,66,left,orange,595,0
51,428350.39500001585,0,0,3746,blue,true,right,72,79,left,orange,613,0
52,431490.7999999996,1,71,3675,blue,false,right,71,13,left,orange,528,0
53,434548.12500000116,0,0,3675,blue,true,right,78,53,left,orange,559,0
