Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,1130989.799999237,1,37,4963,blue,true,left,44,37,left,blue,1839,0
2,1135364.8999996185,1,12,4951,blue,true,left,66,12,left,blue,1352,0
3,1139248.299999237,1,9,4942,blue,true,left,98,9,left,blue,940,0
4,1142737.1999988556,1,20,4922,blue,false,right,20,91,left,orange,1109,0
5,1146375.6999988556,1,8,4914,blue,true,right,28,8,right,blue,2179,0
6,1151098.1999988556,1,33,4881,blue,true,left,30,33,left,blue,760,0
7,1154405,1,24,4857,blue,true,left,27,24,left,blue,1420,0
8,1158366.8999996185,0,0,4857,blue,false,left,58,43,left,blue,774,0
9,1161681.6999988556,1,47,4810,blue,true,left,72,47,left,blue,791,0
10,1165011.5,1,44,4766,blue,false,right,44,44,left,orange,869,0
11,1168411.6999988556,1,26,4740,blue,true,right,69,26,right,blue,920,0
12,1171864.8999996185,0,0,4740,blue,true,left,6,41,right,orange,1023,0
13,1175420.8999996185,1,34,4706,blue,true,left,88,34,left,blue,1007,0
14,1178962.3999996185,0,0,4706,blue,false,right,73,18,right,blue,762,0
15,1182267.799999237,1,25,4681,blue,true,left,60,25,left,blue,714,0
16,1185511.5,1,6,4675,blue,true,right,68,6,right,blue,716,0
17,1188768.1999988556,0,0,4675,blue,false,left,48,39,left,blue,894,0
18,1192196.5,1,76,4599,blue,true,right,35,76,right,blue,1776,0
19,1196507.8999996185,1,85,4514,blue,true,left,23,85,left,blue,1355,0
20,1200411.1999988556,0,0,4514,blue,true,left,54,22,right,orange,1134,0
21,1204072.3999996185,1,66,4448,blue,false,right,66,58,left,orange,840,0
22,1207446.8999996185,0,0,4448,blue,true,left,98,41,right,orange,1330,0
23,1211301.6999988556,1,80,4368,blue,true,right,58,80,right,blue,1676,0
24,1215509.1000003815,1,85,4283,blue,true,left,32,85,left,blue,609,0
25,1218661,1,83,4200,blue,false,right,83,15,left,orange,1086,0
26,1222292.6000003815,0,0,4200,blue,true,left,18,16,right,orange,2227,0
27,1227047.6000003815,0,0,4200,blue,true,left,56,99,right,orange,1091,0
28,1230682,0,0,4200,blue,true,right,23,75,left,orange,780,0
29,1233989.799999237,1,18,4182,blue,true,right,68,18,right,blue,1100,0
30,1237631.6999988556,1,16,4166,blue,true,left,30,16,left,blue,1196,0
31,1241373.299999237,0,0,4166,blue,true,left,86,37,right,orange,552,0
32,1244455.1999988556,1,44,4122,blue,true,right,47,44,right,blue,1145,0
33,1248147.5,1,91,4031,blue,true,left,3,91,left,blue,400,0
34,1251102.299999237,0,0,4031,blue,false,left,60,14,left,blue,825,0
35,1254473.299999237,0,0,4031,blue,true,left,54,84,right,orange,1238,0
36,1258244.6000003815,1,23,4008,blue,true,right,34,23,right,blue,1502,0
37,1262297.3999996185,1,28,3980,blue,true,left,96,28,left,blue,682,0
38,1265505.299999237,1,83,3897,blue,false,left,83,94,right,orange,1048,0
39,1269099.8999996185,1,86,3811,blue,true,left,63,86,left,blue,1464,0
40,1273098.1999988556,1,53,3758,blue,true,right,99,53,right,blue,687,0
41,1276328.6000003815,0,0,3758,blue,true,left,29,91,right,orange,916,0
42,1279778.1999988556,1,64,3694,blue,true,left,88,64,left,blue,1323,0
43,1283628.1000003815,0,0,3694,blue,true,left,84,70,right,orange,706,0
44,1286872.3999996185,1,61,3633,blue,false,right,61,88,left,orange,1076,0
45,1290482.299999237,0,0,3633,blue,true,right,61,43,left,orange,1090,0
46,1294119.6000003815,1,54,3579,blue,true,left,87,54,left,blue,1513,0
47,1298168,1,5,3574,blue,false,right,5,90,left,orange,1260,0
48,1305968.8999996185,1,44,3530,blue,true,right,71,44,right,blue,1107,0
49,1309608.6000003815,0,0,3530,blue,true,left,42,52,right,orange,1047,0
50,1313192.6999988556,0,0,3530,blue,true,left,39,93,right,orange,984,0
51,1316722.6000003815,1,24,3506,blue,true,right,39,24,right,blue,792,0
52,1320048.799999237,0,0,3506,blue,false,left,20,10,left,blue,733,0
53,1323318.3999996185,0,0,3506,blue,false,left,85,43,left,blue,783,0
54,1326655.3999996185,1,77,3429,blue,false,left,77,7,right,orange,1603,0
55,1336344,1,90,3339,blue,true,right,95,90,right,blue,1157,1
56,1340038,1,7,3332,blue,true,left,56,7,left,blue,750,0
57,1343333.8999996185,0,0,3332,blue,true,right,50,69,left,orange,1128,0
58,1346999.5,0,0,3332,blue,true,left,4,83,right,orange,1217,0
59,1350747.1999988556,0,0,3332,blue,false,left,40,8,left,blue,648,0
60,1353919.799999237,0,0,3332,blue,true,left,47,86,right,orange,1028,0
61,1357475.6000003815,0,0,3332,blue,true,right,15,49,left,orange,786,0
62,1360797.1999988556,0,0,3332,blue,true,right,17,39,left,orange,1003,0
63,1364336.3999996185,1,76,3256,blue,false,right,76,97,left,orange,1233,0
64,1368103.799999237,1,14,3242,blue,true,left,73,14,left,blue,1267,0
65,1371911.8999996185,1,29,3213,blue,true,right,67,29,right,blue,969,0
66,1375423.799999237,1,39,3174,blue,true,right,48,39,right,blue,1360,0
67,1379338.3999996185,0,0,3174,blue,true,left,30,99,right,orange,1308,0
68,1383187.3999996185,1,13,3161,blue,false,right,13,20,left,orange,1291,0
69,1387023,0,0,3161,blue,true,left,66,59,right,orange,1204,0
70,1390769.6999988556,0,0,3161,blue,true,right,20,60,left,orange,490,0
71,1393785,1,25,3136,blue,true,left,41,25,left,blue,1240,0
72,1397566.5,0,0,3136,blue,false,right,76,70,right,blue,1121,0
73,1401216.6000003815,0,0,3136,blue,false,right,73,18,right,blue,890,0
74,1404637.6000003815,1,41,3095,blue,false,left,41,80,right,orange,1109,0
75,1408277.1999988556,0,0,3095,blue,true,left,25,76,right,orange,791,0
76,1411597.1000003815,1,34,3061,blue,false,right,34,52,left,orange,812,0
77,1414947.1999988556,1,30,3031,blue,false,left,30,60,right,orange,963,0
78,1418449.6000003815,0,0,3031,blue,false,left,91,36,left,blue,1045,0
79,1422018.6999988556,1,70,2961,blue,false,left,70,59,right,orange,841,0
80,1425395.799999237,1,47,2914,blue,true,right,64,47,right,blue,2174,0
81,1430104.1000003815,1,28,2886,blue,false,left,28,44,right,orange,1178,0
82,1433819.6000003815,1,2,2884,blue,false,left,2,80,right,orange,1024,0
83,1437382.3999996185,1,20,2864,blue,false,right,20,39,left,orange,863,0
84,1440779.8999996185,0,0,2864,blue,false,right,32,61,right,blue,432,0
85,1443749.1000003815,0,0,2864,blue,false,left,90,61,left,blue,1581,0
86,1447881.1999988556,0,0,2864,blue,true,right,62,70,left,orange,2444,0
87,1452858.1999988556,0,0,2864,blue,false,right,17,33,right,blue,764,0
88,1456152.6999988556,0,0,2864,blue,false,left,74,17,left,blue,1022,0
89,1459724.5,1,2,2862,blue,false,left,2,85,right,orange,685,0
