Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,343333.67500000034,1,37,4963,blue,true,right,44,37,right,blue,1379,0
2,347259.30000000016,1,12,4951,blue,true,left,66,12,left,blue,1464,0
3,351267.19,1,9,4942,blue,true,left,98,9,left,blue,1496,0
4,355303.81499999977,1,20,4922,blue,false,right,20,91,left,orange,1826,0
5,359670.53499999974,1,8,4914,blue,true,left,28,8,left,blue,1629,0
6,363841.6849999999,0,0,4914,blue,true,left,30,33,right,orange,1154,0
7,367533.73000000056,0,0,4914,blue,true,left,27,24,right,orange,1292,0
8,371356.11500000005,1,58,4856,blue,false,right,58,43,left,orange,1442,0
9,375343.4149999998,1,47,4809,blue,true,left,72,47,left,blue,1519,0
10,379415.5249999999,0,0,4809,blue,false,right,44,44,right,blue,1498,0
11,383442.37999999995,1,26,4783,blue,true,right,69,26,right,blue,1891,0
12,387898.4599999999,0,0,4783,blue,true,right,6,41,left,orange,1411,0
13,391846.54499999987,0,0,4783,blue,true,left,88,34,right,orange,1836,0
14,396223.4050000002,0,0,4783,blue,false,left,73,18,left,blue,1776,0
15,400538.9650000002,1,25,4758,blue,true,right,60,25,right,blue,1606,0
16,404685.0550000004,1,6,4752,blue,true,right,68,6,right,blue,1141,0
17,408362.0700000006,0,0,4752,blue,false,right,48,39,right,blue,2074,0
18,412974.60000000003,0,0,4752,blue,true,right,35,76,left,orange,1620,0
19,417129.9100000001,0,0,4752,blue,true,right,23,85,left,orange,1362,0
20,421032.52999999997,0,0,4752,blue,true,left,54,22,right,orange,1629,0
21,425202.6600000004,0,0,4752,blue,false,right,66,58,right,blue,1798,0
22,429545.68000000063,1,41,4711,blue,true,left,98,41,left,blue,1448,0
23,433529.4550000003,0,0,4711,blue,true,left,58,80,right,orange,1513,0
24,437572.9299999998,0,0,4711,blue,true,left,32,85,right,orange,1212,0
25,441321.2699999999,0,0,4711,blue,false,right,83,15,right,blue,1350,0
26,445199.3500000003,1,16,4695,blue,true,right,18,16,right,blue,1385,0
27,449128.9499999998,0,0,4695,blue,true,right,56,99,left,orange,2121,0
28,453778.54500000057,0,0,4695,blue,true,left,23,75,right,orange,972,0
29,457292.3999999998,1,18,4677,blue,true,left,68,18,left,blue,1104,0
30,460934.22500000044,0,0,4677,blue,true,left,30,16,right,orange,2028,0
31,465497.5100000006,0,0,4677,blue,true,right,86,37,left,orange,1727,0
32,469758.4700000002,0,0,4677,blue,true,right,47,44,left,orange,1396,0
33,473688.14500000054,0,0,4677,blue,true,left,3,91,right,orange,1453,0
34,477668.67000000045,0,0,4677,blue,false,left,60,14,left,blue,1165,0
35,481425.0900000002,0,0,4677,blue,true,right,54,84,left,orange,1436,0
36,485405.98499999987,1,23,4654,blue,true,right,34,23,right,blue,1316,0
37,489262.8950000003,1,28,4626,blue,true,right,96,28,right,blue,1007,0
38,492813.62500000023,1,83,4543,blue,false,left,83,94,right,orange,2600,0
39,497949.93999999994,0,0,4543,blue,true,left,63,86,right,orange,1402,0
40,501892.94999999995,0,0,4543,blue,true,right,99,53,left,orange,1731,0
41,506160.55000000005,0,0,4543,blue,true,right,29,91,left,orange,1251,0
42,509946.6649999999,0,0,4543,blue,true,left,88,64,right,orange,2528,0
43,515022.4750000002,0,0,4543,blue,true,left,84,70,right,orange,1527,0
44,519094.40000000043,1,61,4482,blue,false,right,61,88,left,orange,2086,0
45,523727.84,0,0,4482,blue,true,left,61,43,right,orange,2080,0
46,528342.1199999998,0,0,4482,blue,true,right,87,54,left,orange,1557,0
47,532447.0750000005,1,5,4477,blue,false,right,5,90,left,orange,1433,0
48,540427.9200000005,1,44,4433,blue,true,right,71,44,right,blue,1709,0
49,544682.6900000001,1,52,4381,blue,true,left,42,52,left,blue,1175,0
50,548391.94,0,0,4381,blue,true,left,39,93,right,orange,1067,0
51,551985.4799999999,1,24,4357,blue,true,right,39,24,right,blue,1340,0
52,555865.4700000002,0,0,4357,blue,false,left,20,10,left,blue,1063,0
53,559469.5000000006,0,0,4357,blue,false,left,85,43,left,blue,1029,0
54,563024.6200000006,0,0,4357,blue,false,right,77,7,right,blue,1438,0
55,567004.3250000003,1,90,4267,blue,true,left,95,90,left,blue,2109,0
56,571651.8799999999,1,7,4260,blue,true,right,56,7,right,blue,799,0
57,574990.3450000007,0,0,4260,blue,true,right,50,69,left,orange,1611,0
58,579131.2549999998,0,0,4260,blue,true,left,4,83,right,orange,1140,0
59,582811.8950000003,0,0,4260,blue,false,left,40,8,left,blue,1788,0
60,587133.4400000001,0,0,4260,blue,true,left,47,86,right,orange,1638,0
61,591312.5700000005,0,0,4260,blue,true,left,15,49,right,orange,1222,0
62,595076.4700000004,0,0,4260,blue,true,right,17,39,left,orange,1019,0
63,598635.2050000001,0,0,4260,blue,false,right,76,97,right,blue,2775,0
64,603933.7550000005,1,14,4246,blue,true,right,73,14,right,blue,2014,0
65,608505.4000000005,1,29,4217,blue,true,left,67,29,left,blue,1466,0
66,612522.2950000002,1,39,4178,blue,true,right,48,39,right,blue,1640,0
67,616702.9299999999,0,0,4178,blue,true,right,30,99,left,orange,1198,0
68,620426.86,1,13,4165,blue,false,left,13,20,right,orange,2093,0
69,625065.0150000006,1,59,4106,blue,true,right,66,59,right,blue,1699,0
70,629313.9700000006,0,0,4106,blue,true,left,20,60,right,orange,1994,0
71,633849.4450000003,1,25,4081,blue,true,right,41,25,right,blue,1408,0
72,637804.85,0,0,4081,blue,false,right,76,70,right,blue,1622,0
