Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,311812.1499999979,1,37,4963,blue,true,right,44,37,right,blue,3308,0
2,317728.0099999989,1,12,4951,blue,true,right,66,12,right,blue,1430,0
3,321771.89499999804,1,9,4942,blue,true,left,98,9,left,blue,2395,0
4,326782.56499999773,1,20,4922,blue,false,left,20,91,right,orange,2042,0
5,331427.1349999981,1,8,4914,blue,true,right,28,8,right,blue,1609,0
6,335641.12499999825,0,0,4914,blue,true,right,30,33,left,orange,2292,0
7,340528.9649999977,0,0,4914,blue,true,right,27,24,left,orange,1899,0
8,345011.48000000103,1,58,4856,blue,false,left,58,43,right,orange,2063,0
9,349672.4499999982,0,0,4856,blue,true,right,72,47,left,orange,2867,0
10,355128.44499999844,1,44,4812,blue,false,right,44,44,left,orange,1303,0
11,359047.0949999981,1,26,4786,blue,true,left,69,26,left,blue,1920,0
12,363573.8949999977,0,0,4786,blue,true,right,6,41,left,orange,1729,0
13,367905.9549999983,1,34,4752,blue,true,left,88,34,left,blue,1402,0
14,371918.3449999982,0,0,4752,blue,false,left,73,18,left,blue,956,0
15,375479.3700000009,1,25,4727,blue,true,right,60,25,right,blue,1140,0
16,379223.53999999905,1,6,4721,blue,true,right,68,6,right,blue,930,0
17,382758.719999998,1,48,4673,blue,false,right,48,39,left,orange,2125,0
18,387491.2750000003,0,0,4673,blue,true,right,35,76,left,orange,953,0
19,391029.4900000008,0,0,4673,blue,true,right,23,85,left,orange,878,0
20,394507.5849999994,1,22,4651,blue,true,right,54,22,right,blue,1352,0
21,398485.17499999795,1,66,4585,blue,false,left,66,58,right,orange,3581,0
22,404671.4549999997,1,41,4544,blue,true,right,98,41,right,blue,1070,0
23,408367.8250000012,0,0,4544,blue,true,left,58,80,right,orange,2940,0
24,413889.5200000006,0,0,4544,blue,true,left,32,85,right,orange,1169,0
25,417649.97999999835,0,0,4544,blue,false,left,83,15,left,blue,1270,0
26,421508.85500000004,0,0,4544,blue,true,left,18,16,right,orange,1533,0
27,425624.3849999992,0,0,4544,blue,true,right,56,99,left,orange,1137,0
28,429356.1999999983,0,0,4544,blue,true,right,23,75,left,orange,1028,0
29,432967.7249999986,1,18,4526,blue,true,left,68,18,left,blue,1484,0
30,437053.41000000044,1,16,4510,blue,true,left,30,16,left,blue,1262,0
31,440923.104999998,1,37,4473,blue,true,left,86,37,left,blue,1081,0
32,444607.3599999981,0,0,4473,blue,true,right,47,44,left,orange,2212,0
33,449408.66000000096,0,0,4473,blue,true,left,3,91,right,orange,979,0
34,452969.83999999793,0,0,4473,blue,false,right,60,14,right,blue,1122,0
35,456668.84500000015,0,0,4473,blue,true,right,54,84,left,orange,1704,0
36,460942.1199999997,0,0,4473,blue,true,right,34,23,left,orange,1425,0
37,464960.6700000004,1,28,4445,blue,true,left,96,28,left,blue,1209,0
38,468790.8399999979,1,83,4362,blue,false,right,83,94,left,orange,1639,0
39,473028.26999999885,0,0,4362,blue,true,right,63,86,left,orange,1217,0
40,476848.75000000105,0,0,4362,blue,true,right,99,53,left,orange,2371,0
41,481808.8299999981,0,0,4362,blue,true,left,29,91,right,orange,1275,0
42,485687.9799999988,0,0,4362,blue,true,left,88,64,right,orange,1606,0
43,489904.2449999979,0,0,4362,blue,true,right,84,70,left,orange,1100,0
44,493591.5099999984,1,61,4301,blue,false,left,61,88,right,orange,1036,0
45,497228.66499999876,0,0,4301,blue,true,right,61,43,left,orange,1230,0
46,501037.7899999985,0,0,4301,blue,true,right,87,54,left,orange,1021,0
47,504660.5649999983,1,5,4296,blue,false,right,5,90,left,orange,884,0
48,512196.219999998,0,0,4296,blue,true,left,71,44,right,orange,2018,0
49,516790.44000000064,0,0,4296,blue,true,left,42,52,right,orange,1003,0
50,520384.6999999987,0,0,4296,blue,true,left,39,93,right,orange,940,0
51,523917.13999999774,0,0,4296,blue,true,left,39,24,right,orange,1898,0
52,528424.4299999991,1,20,4276,blue,false,right,20,10,left,orange,3973,0
53,534990.4449999995,1,85,4191,blue,false,left,85,43,right,orange,3142,0
54,540752.1300000008,0,0,4191,blue,false,left,77,7,left,blue,1257,0
55,544612.1849999982,0,0,4191,blue,true,left,95,90,right,orange,2042,0
56,549247.5400000003,1,7,4184,blue,true,left,56,7,left,blue,3573,0
57,555429.0499999989,0,0,4184,blue,true,right,50,69,left,orange,1357,0
58,559379.3399999995,0,0,4184,blue,true,left,4,83,right,orange,929,0
59,562890.9199999981,0,0,4184,blue,false,left,40,8,left,blue,1639,0
60,567122.704999998,0,0,4184,blue,true,right,47,86,left,orange,1042,0
61,570753.389999998,0,0,4184,blue,true,left,15,49,right,orange,1020,0
62,574357.4499999995,0,0,4184,blue,true,left,17,39,right,orange,910,0
63,577858.7899999984,1,76,4108,blue,false,right,76,97,left,orange,1072,0
64,581535.3699999978,1,14,4094,blue,true,right,73,14,right,blue,3982,0
65,588125.2099999983,0,0,4094,blue,true,left,67,29,right,orange,3670,0
66,594366.1949999987,0,0,4094,blue,true,right,48,39,left,orange,1011,0
67,597953.1449999996,0,0,4094,blue,true,right,30,99,left,orange,941,0
68,601480.7399999991,1,13,4081,blue,false,left,13,20,right,orange,953,0
69,605033.7949999993,0,0,4081,blue,true,right,66,59,left,orange,2717,0
70,610349.9249999986,0,0,4081,blue,true,left,20,60,right,orange,1269,0
71,614210.11,0,0,4081,blue,true,right,41,25,left,orange,1703,0
72,618505.6599999989,1,76,4005,blue,false,left,76,70,right,orange,1135,0
73,622245.6549999989,0,0,4005,blue,false,left,73,18,left,blue,2031,0
74,626875.8500000003,1,41,3964,blue,false,left,41,80,right,orange,987,0
75,630471.4800000002,0,0,3964,blue,true,right,25,76,left,orange,1271,0
76,634355.950000001,1,34,3930,blue,false,right,34,52,left,orange,849,0
77,637802.6900000004,1,30,3900,blue,false,left,30,60,right,orange,945,0
78,641347.3300000005,1,91,3809,blue,false,right,91,36,left,orange,2498,0
79,646439.1099999994,1,70,3739,blue,false,right,70,59,left,orange,1006,0
80,650045.2650000006,0,0,3739,blue,true,left,64,47,right,orange,2893,0
81,655525.7199999979,1,28,3711,blue,false,right,28,44,left,orange,762,0
82,658891.7299999994,1,2,3709,blue,false,left,2,80,right,orange,738,0
83,662233.3949999993,1,20,3689,blue,false,right,20,39,left,orange,1067,0
84,665911.8749999979,1,32,3657,blue,false,right,32,61,left,orange,1226,0
85,669740.5399999989,0,0,3657,blue,false,left,90,61,left,blue,1336,0
86,673672.9549999982,1,70,3587,blue,true,right,62,70,right,blue,1404,0
87,677687.9799999988,0,0,3587,blue,false,left,17,33,left,blue,790,0
88,681066.0299999982,0,0,3587,blue,false,left,74,17,left,blue,825,0
89,684481.9050000005,1,2,3585,blue,false,right,2,85,left,orange,2057,0
90,689137.2200000006,0,0,3585,blue,false,left,39,76,left,blue,2194,0
91,693926.2649999983,0,0,3585,blue,false,left,70,20,left,blue,942,0
92,697456.3899999994,1,69,3516,blue,true,left,24,69,left,blue,1757,0
93,701821.7949999998,1,52,3464,blue,true,left,59,52,left,blue,920,0
94,709358.659999998,1,15,3449,blue,false,right,15,43,left,orange,1626,0
95,719138.1799999981,1,34,3415,blue,true,left,50,34,left,blue,3476,1
96,725227.465,1,43,3372,blue,false,right,43,48,left,orange,1745,0
97,729575.5449999997,0,0,3372,blue,true,right,14,35,left,orange,1099,0
98,733278.3649999984,0,0,3372,blue,true,left,12,42,right,orange,1936,0
99,737799.7749999994,0,0,3372,blue,true,right,40,44,left,orange,924,0
100,741310.9949999999,0,0,3372,blue,true,right,88,50,left,orange,994,0
101,744906.2799999992,0,0,3372,blue,true,right,51,19,left,orange,729,0
102,748203.3599999995,0,0,3372,blue,true,left,44,59,right,orange,944,0
103,751737.4200000013,0,0,3372,blue,true,left,23,9,right,orange,1113,0
104,755435.3999999985,0,0,3372,blue,true,left,23,76,right,orange,882,0
105,758893.8099999977,0,0,3372,blue,true,left,94,47,right,orange,1527,0
106,763020.7000000009,1,67,3305,blue,false,left,67,56,right,orange,919,0
107,766555.7799999987,1,16,3289,blue,true,left,50,16,left,blue,1699,0
108,770878.5449999996,1,7,3282,blue,true,right,83,7,right,blue,1287,0
109,774773.0950000004,0,0,3282,blue,true,left,86,41,right,orange,2267,0
110,779632.0799999994,0,0,3282,blue,true,right,61,37,left,orange,1680,0
111,783901.2550000007,1,82,3200,blue,false,right,82,57,left,orange,837,0
112,787351.8999999978,1,68,3132,blue,false,right,68,28,left,orange,1852,0
113,791798.4749999996,1,65,3067,blue,false,right,65,76,left,orange,1349,0
114,795767.3749999994,0,0,3067,blue,false,right,25,19,right,blue,1182,0
115,799558.6550000007,0,0,3067,blue,false,left,67,68,left,blue,1124,0
116,803278.9000000012,0,0,3067,blue,false,right,82,68,right,blue,1011,0
117,806877.3849999998,0,0,3067,blue,false,right,88,19,right,blue,861,0
118,810327.6850000002,1,11,3056,blue,true,right,55,11,right,blue,1194,0
119,814146.7850000008,1,36,3020,blue,true,right,74,36,right,blue,1033,0
120,817787.2050000005,1,18,3002,blue,false,right,18,64,left,orange,1098,0
121,821503.8999999997,0,0,3002,blue,false,left,15,3,left,blue,1098,0
122,825197.9399999982,0,0,3002,blue,false,left,91,76,left,blue,1134,0
123,828937.4199999984,0,0,3002,blue,false,left,66,92,left,blue,2268,0
124,833802.8799999993,0,0,3002,blue,false,right,67,14,right,blue,3448,0
125,839833.4350000005,0,0,3002,blue,true,right,11,77,left,orange,1362,0
126,843776.170000001,1,36,2966,blue,false,right,36,20,left,orange,1089,0
127,847473.285,1,44,2922,blue,false,right,44,61,left,orange,1065,0
128,851158.0849999991,1,4,2918,blue,false,left,4,34,right,orange,1086,0
129,854844.6999999979,0,0,2918,blue,false,left,86,63,left,blue,3516,0
130,860941.1550000005,0,0,2918,blue,false,right,99,43,right,blue,3622,0
131,867160.5600000003,1,56,2862,blue,true,left,95,56,left,blue,1427,0
132,871189.6249999991,0,0,2862,blue,false,left,89,63,left,blue,1371,0
133,875157.7649999999,1,80,2782,blue,true,right,88,80,right,blue,1130,0
134,878874.8049999995,0,0,2782,blue,false,right,5,10,right,blue,1791,0
135,883258.1449999998,1,80,2702,blue,true,right,35,80,right,blue,1935,0
136,887804.5199999979,0,0,2702,blue,true,right,8,57,left,orange,1052,0
137,891451.8050000006,0,0,2702,blue,true,left,78,47,right,orange,913,0
138,894937.6349999984,0,0,2702,blue,true,right,5,99,left,orange,633,0
139,898161.0399999991,0,0,2702,blue,true,right,62,67,left,orange,693,0
140,901424.4749999999,1,95,2607,blue,false,left,95,27,right,orange,1515,0
