Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,311119.82000013813,1,37,4963,blue,true,right,44,37,right,blue,1537,0
2,315231.2849999871,0,0,4963,blue,true,left,66,12,right,orange,1470,0
3,319233.5050001275,0,0,4963,blue,true,right,98,9,left,orange,1599,0
4,323396.2799999863,1,20,4943,blue,false,right,20,91,left,orange,1352,0
5,327324.980000034,0,0,4943,blue,true,left,28,8,right,orange,1578,0
6,331462.50499994494,0,0,4943,blue,true,left,30,33,right,orange,1453,0
7,335465.62499995343,0,0,4943,blue,true,left,27,24,right,orange,1543,0
8,339555.2000000607,1,58,4885,blue,false,left,58,43,right,orange,2665,0
9,344778.14999991097,0,0,4885,blue,true,right,72,47,left,orange,2249,0
10,349571.10000005923,1,44,4841,blue,false,left,44,44,right,orange,2111,0
11,354237.31500003487,1,26,4815,blue,true,right,69,26,right,blue,2341,0
12,359158.7750001345,0,0,4815,blue,true,left,6,41,right,orange,1870,0
13,363583.2100000698,0,0,4815,blue,true,left,88,34,right,orange,1840,0
14,367977.07000002265,1,73,4742,blue,false,right,73,18,left,orange,1907,0
15,372444.4750000257,1,25,4717,blue,true,left,60,25,left,blue,1495,0
16,376492.659999989,1,6,4711,blue,true,left,68,6,left,blue,1719,0
17,380758.3149999846,1,48,4663,blue,false,right,48,39,left,orange,1378,0
18,384671.51500005275,0,0,4663,blue,true,left,35,76,right,orange,1726,0
19,388927.42999992333,0,0,4663,blue,true,left,23,85,right,orange,1186,0
20,398209.35499994084,0,0,4663,blue,true,right,54,22,left,orange,1870,1
21,402625.77500008047,1,66,4597,blue,false,right,66,58,left,orange,894,0
22,406088.9250000473,0,0,4597,blue,true,left,98,41,right,orange,1044,0
23,409657.93500002474,0,0,4597,blue,true,right,58,80,left,orange,1061,0
24,413234.53500005417,0,0,4597,blue,true,left,32,85,right,orange,1316,0
25,417104.4749999419,0,0,4597,blue,false,left,83,15,left,blue,1789,0
26,421430.3399999626,0,0,4597,blue,true,right,18,16,left,orange,706,0
27,424710.63000010327,0,0,4597,blue,true,right,56,99,left,orange,1486,0
28,428751.5700000804,0,0,4597,blue,true,right,23,75,left,orange,1322,0
29,432610.0500000175,1,18,4579,blue,true,right,68,18,right,blue,2539,0
30,437689.4950000569,1,16,4563,blue,true,left,30,16,left,blue,1067,0
31,441327.1600001026,0,0,4563,blue,true,right,86,37,left,orange,2671,0
32,446552.24499991164,0,0,4563,blue,true,right,47,44,left,orange,1293,0
