Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,336276.2000000002,1,37,4963,blue,true,right,44,37,right,blue,1385,0
2,340219,1,12,4951,blue,true,left,66,12,left,blue,2579,0
3,345360.4000000004,1,9,4942,blue,true,left,98,9,left,blue,1171,0
4,349111.4000000004,1,20,4922,blue,false,right,20,91,left,orange,2246,0
5,353910.5,1,8,4914,blue,true,left,28,8,left,blue,1103,0
6,357587.5,0,0,4914,blue,true,right,30,33,left,orange,2306,0
7,362470.7999999998,0,0,4914,blue,true,left,27,24,right,orange,1786,0
8,366833.2999999998,1,58,4856,blue,false,left,58,43,right,orange,1697,0
9,371081.10000000056,1,47,4809,blue,true,right,72,47,right,blue,2600,0
10,376234.60000000056,1,44,4765,blue,false,right,44,44,left,orange,2780,0
11,381575.2999999998,1,26,4739,blue,true,right,69,26,right,blue,1322,0
12,385468.5,0,0,4739,blue,true,left,6,41,right,orange,769,0
13,394337.2999999998,1,34,4705,blue,true,right,88,34,right,blue,2183,1
14,399079.7000000002,0,0,4705,blue,false,right,73,18,right,blue,1187,0
15,402815.2999999998,1,25,4680,blue,true,left,60,25,left,blue,1293,0
16,406690.4000000004,1,6,4674,blue,true,right,68,6,right,blue,1357,0
17,410616.9000000004,1,48,4626,blue,false,left,48,39,right,orange,1932,0
18,415115.5,0,0,4626,blue,true,left,35,76,right,orange,931,0
19,418589.2999999998,0,0,4626,blue,true,right,23,85,left,orange,928,0
20,422067.2000000002,1,22,4604,blue,true,right,54,22,right,blue,829,0
21,425446.7999999998,0,0,4604,blue,false,left,66,58,left,blue,2989,0
22,430977.7999999998,1,41,4563,blue,true,left,98,41,left,blue,1016,0
23,434531,1,80,4483,blue,true,right,58,80,right,blue,2169,0
24,439252.4000000004,0,0,4483,blue,true,left,32,85,right,orange,1093,0
25,442897.10000000056,0,0,4483,blue,false,left,83,15,left,blue,1213,0
26,446660.5,0,0,4483,blue,true,right,18,16,left,orange,2168,0
27,451388.9000000004,0,0,4483,blue,true,left,56,99,right,orange,1712,0
28,455651,0,0,4483,blue,true,right,23,75,left,orange,1195,0
29,459391,1,18,4465,blue,true,right,68,18,right,blue,2068,0
30,464030.60000000056,0,0,4465,blue,true,left,30,16,right,orange,1324,0
31,467925,1,37,4428,blue,true,right,86,37,right,blue,2570,0
32,473048.9000000004,0,0,4428,blue,true,left,47,44,right,orange,1443,0
33,477060.7999999998,1,91,4337,blue,true,right,3,91,right,blue,874,0
34,480491.60000000056,0,0,4337,blue,false,left,60,14,left,blue,1034,0
35,484075.2999999998,0,0,4337,blue,true,left,54,84,right,orange,2775,0
36,489422.60000000056,0,0,4337,blue,true,right,34,23,left,orange,3440,0
37,495410.7000000002,1,28,4309,blue,true,right,96,28,right,blue,3274,0
38,501235.9000000004,1,83,4226,blue,false,right,83,94,left,orange,2094,0
39,505890,0,0,4226,blue,true,right,63,86,left,orange,1711,0
40,510140.2000000002,1,53,4173,blue,true,right,99,53,right,blue,2209,0
41,514911.7000000002,0,0,4173,blue,true,right,29,91,left,orange,1998,0
42,519450.2000000002,0,0,4173,blue,true,left,88,64,right,orange,1723,0
43,523717.10000000056,0,0,4173,blue,true,right,84,70,left,orange,1159,0
44,527434.9000000004,1,61,4112,blue,false,right,61,88,left,orange,1953,0
45,531950.5,0,0,4112,blue,true,right,61,43,left,orange,1095,0
46,535594,0,0,4112,blue,true,right,87,54,left,orange,828,0
47,538970.2000000002,1,5,4107,blue,false,right,5,90,left,orange,982,0
48,546532.6000000006,0,0,4107,blue,true,right,71,44,left,orange,2372,0
49,551472.2000000002,0,0,4107,blue,true,right,42,52,left,orange,880,0
50,554930.6000000006,0,0,4107,blue,true,right,39,93,left,orange,935,0
51,558431.5,0,0,4107,blue,true,right,39,24,left,orange,685,0
52,561667.5,1,20,4087,blue,false,right,20,10,left,orange,596,0
53,564846.2000000002,1,85,4002,blue,false,left,85,43,right,orange,2305,0
54,569713.9000000004,1,77,3925,blue,false,right,77,7,left,orange,2826,0
55,575105.2000000002,1,90,3835,blue,true,right,95,90,right,blue,2052,0
56,579729,1,7,3828,blue,true,left,56,7,left,blue,901,0
57,583194.2000000002,1,69,3759,blue,true,left,50,69,left,blue,1741,0
58,587493.2000000002,0,0,3759,blue,true,left,4,83,right,orange,940,0
59,590990.9000000004,1,40,3719,blue,false,right,40,8,left,orange,2210,0
60,595773,1,86,3633,blue,true,right,47,86,right,blue,689,0
61,599016.6000000006,0,0,3633,blue,true,left,15,49,right,orange,1318,0
62,602872,0,0,3633,blue,true,left,17,39,right,orange,1975,0
63,607402.5,1,76,3557,blue,false,right,76,97,left,orange,1735,0
64,611704.9000000004,0,0,3557,blue,true,right,73,14,left,orange,2535,0
65,616803.2999999998,0,0,3557,blue,true,left,67,29,right,orange,2467,0
66,621817.4000000004,0,0,3557,blue,true,left,48,39,right,orange,844,0
67,625230.2000000002,0,0,3557,blue,true,left,30,99,right,orange,790,0
68,628569.4000000004,1,13,3544,blue,false,left,13,20,right,orange,633,0
69,631776.9000000004,0,0,3544,blue,true,right,66,59,left,orange,1536,0
70,635879.6000000006,0,0,3544,blue,true,left,20,60,right,orange,862,0
71,639298.9000000004,0,0,3544,blue,true,left,41,25,right,orange,1160,0
72,643017.1000000006,1,76,3468,blue,false,left,76,70,right,orange,902,0
73,646484.1000000006,1,73,3395,blue,false,left,73,18,right,orange,2664,0
74,651739.1000000006,1,41,3354,blue,false,right,41,80,left,orange,1722,0
75,656028.7000000002,0,0,3354,blue,true,right,25,76,left,orange,984,0
76,659554.7999999998,1,34,3320,blue,false,right,34,52,left,orange,792,0
77,662908.7000000002,0,0,3320,blue,false,left,30,60,left,blue,3178,0
78,668640.7000000002,0,0,3320,blue,false,left,91,36,left,blue,901,0
79,672100.1000000006,0,0,3320,blue,false,left,70,59,left,blue,812,0
80,675471.7999999998,0,0,3320,blue,true,right,64,47,left,orange,1159,0
81,679178.1000000006,0,0,3320,blue,false,left,28,44,left,blue,863,0
82,682586.9000000004,0,0,3320,blue,false,left,2,80,left,blue,504,0
83,685650.4000000004,0,0,3320,blue,false,left,20,39,left,blue,583,0
84,688794.5,0,0,3320,blue,false,left,32,61,left,blue,472,0
85,691806.6000000006,1,90,3230,blue,false,right,90,61,left,orange,530,0
86,694905.1000000006,0,0,3230,blue,true,left,62,70,right,orange,3593,0
87,701046.1000000006,0,0,3230,blue,false,right,17,33,right,blue,1006,0
88,704613.2999999998,1,74,3156,blue,false,left,74,17,right,orange,852,0
89,708049.1000000006,1,2,3154,blue,false,right,2,85,left,orange,577,0
90,711202.1000000006,1,39,3115,blue,false,left,39,76,right,orange,967,0
91,714737.7000000002,1,70,3045,blue,false,right,70,20,left,orange,539,0
92,717830.1000000006,0,0,3045,blue,true,right,24,69,left,orange,554,0
93,720942.5,1,52,2993,blue,true,left,59,52,left,blue,808,0
94,728303.1000000006,1,15,2978,blue,false,left,15,43,right,orange,1658,0
95,732521,0,0,2978,blue,true,right,50,34,left,orange,2161,0
96,737224.5,1,43,2935,blue,false,right,43,48,left,orange,733,0
97,740524.7999999998,1,35,2900,blue,true,right,14,35,right,blue,2160,0
98,745251.7000000002,0,0,2900,blue,true,right,12,42,left,orange,849,0
99,748655.2000000002,0,0,2900,blue,true,left,40,44,right,orange,652,0
100,751861.9000000004,0,0,2900,blue,true,left,88,50,right,orange,692,0
101,755110.2000000002,0,0,2900,blue,true,right,51,19,left,orange,756,0
102,758399.5,0,0,2900,blue,true,right,44,59,left,orange,686,0
103,761665.2999999998,0,0,2900,blue,true,left,23,9,right,orange,1452,0
104,765679.7000000002,0,0,2900,blue,true,right,23,76,left,orange,773,0
105,768995.2000000002,0,0,2900,blue,true,right,94,47,left,orange,801,0
106,772346.4000000004,1,67,2833,blue,false,right,67,56,left,orange,714,0
107,775630.4000000004,1,16,2817,blue,true,left,50,16,left,blue,2987,0
108,781197.7000000002,1,7,2810,blue,true,right,83,7,right,blue,500,0
109,784267.9000000004,0,0,2810,blue,true,left,86,41,right,orange,1759,0
110,788599.5,0,0,2810,blue,true,left,61,37,right,orange,649,0
