Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,228621.89999997616,1,10,4990,blue,true,right,23,10,right,blue,1552,0
2,232703,0,0,4990,blue,true,right,45,97,left,orange,1098,0
3,236330.29999995232,0,0,4990,blue,true,right,54,62,left,orange,1383,0
4,240248.69999992847,0,0,4990,blue,false,right,99,16,right,blue,2987,0
5,245781.59999990463,0,0,4990,blue,true,right,72,40,left,orange,3054,0
6,251362.79999995232,0,0,4990,blue,true,right,98,88,left,orange,2165,0
7,256079.69999992847,0,0,4990,blue,true,left,6,54,right,orange,1437,0
8,260044.59999990463,0,0,4990,blue,true,left,64,55,right,orange,1788,0
9,264366.59999990463,1,96,4894,blue,false,right,96,45,left,orange,3604,0
10,270509.1999999285,1,19,4875,blue,true,left,28,19,left,blue,3094,0
11,276150.1999999285,0,0,4875,blue,true,left,95,26,right,orange,3017,0
12,281705.89999997616,0,0,4875,blue,true,left,90,29,right,orange,2070,0
13,286318.7999999523,0,0,4875,blue,true,left,20,53,right,orange,1246,0
14,290118.39999997616,0,0,4875,blue,true,right,74,56,left,orange,1482,0
15,294135.89999997616,0,0,4875,blue,true,left,18,42,right,orange,1045,0
16,297713.39999997616,0,0,4875,blue,true,left,11,91,right,orange,1298,0
17,301548.39999997616,1,32,4843,blue,false,left,32,31,right,orange,1195,0
18,305279,0,0,4843,blue,true,left,36,65,right,orange,1476,0
19,309302,1,40,4803,blue,false,right,40,30,left,orange,1945,0
20,313788,1,26,4777,blue,true,left,29,26,left,blue,1679,0
21,318009.1999999285,0,0,4777,blue,false,right,32,36,right,blue,2571,0
22,323127.2999999523,1,81,4696,blue,true,right,72,81,right,blue,1020,0
23,326674.1999999285,0,0,4696,blue,false,right,95,54,right,blue,1326,0
24,330530.2999999523,0,0,4696,blue,false,left,40,59,left,blue,1428,0
25,334497.2999999523,0,0,4696,blue,false,right,29,24,right,blue,1045,0
26,338076.2999999523,0,0,4696,blue,false,left,60,51,left,blue,711,0
27,341308.2999999523,0,0,4696,blue,false,right,83,65,right,blue,1023,0
28,344883.2999999523,1,98,4598,blue,true,left,78,98,left,blue,786,0
29,348207.89999997616,0,0,4598,blue,false,left,56,51,left,blue,955,0
30,351691.89999997616,0,0,4598,blue,false,right,5,20,right,blue,1670,0
31,355901.1999999285,0,0,4598,blue,false,left,67,2,left,blue,625,0
32,359057.1999999285,0,0,4598,blue,false,right,85,84,right,blue,1171,0
33,362778.5,0,0,4598,blue,true,right,7,49,left,orange,2588,0
34,367928.6999999285,0,0,4598,blue,false,right,37,47,right,blue,1088,0
35,371548.2999999523,0,0,4598,blue,false,right,27,91,right,blue,1995,0
36,376067.89999997616,0,0,4598,blue,false,left,44,42,left,blue,1445,0
37,380041,1,55,4543,blue,true,right,31,55,right,blue,923,0
38,383499.89999997616,0,0,4543,blue,false,left,97,70,left,blue,1444,0
39,387467.6999999285,0,0,4543,blue,false,left,14,9,left,blue,1307,0
40,391333.2999999523,1,51,4492,blue,true,left,23,51,left,blue,981,0
41,394856,0,0,4492,blue,true,right,89,79,left,orange,2901,0
42,400275.7999999523,0,0,4492,blue,true,right,83,86,left,orange,786,0
43,403582.1999999285,0,0,4492,blue,true,left,40,62,right,orange,1059,0
44,407181.59999990463,0,0,4492,blue,true,right,36,23,left,orange,803,0
45,410528.6999999285,0,0,4492,blue,true,right,65,61,left,orange,791,0
46,413851.5,0,0,4492,blue,true,right,74,67,left,orange,619,0
47,417000.09999990463,0,0,4492,blue,true,left,73,41,right,orange,894,0
48,424433.39999997616,1,96,4396,blue,false,left,96,54,right,orange,1910,0
49,428869.7999999523,0,0,4396,blue,true,right,86,88,left,orange,1426,0
50,432829.5,0,0,4396,blue,true,left,43,66,right,orange,1490,0
51,436836.1999999285,0,0,4396,blue,true,left,72,79,right,orange,930,0
52,440308.7999999523,0,0,4396,blue,false,left,71,13,left,blue,1938,0
53,444798.7999999523,0,0,4396,blue,true,left,78,53,right,orange,1072,0
54,448406.59999990463,0,0,4396,blue,true,right,57,90,left,orange,1636,0
55,452579.09999990463,1,3,4393,blue,false,right,3,12,left,orange,1007,0
56,456145.39999997616,0,0,4393,blue,true,left,2,64,right,orange,1719,0
57,460401.2999999523,1,9,4384,blue,true,right,99,9,right,blue,1370,0
58,464309.1999999285,0,0,4384,blue,true,left,21,42,right,orange,1167,0
59,468000.6999999285,0,0,4384,blue,true,left,83,72,right,orange,1004,0
60,471544.89999997616,0,0,4384,blue,true,right,37,11,left,orange,1688,0
61,475767.39999997616,1,67,4317,blue,false,right,67,81,left,orange,1690,0
62,479993.39999997616,0,0,4317,blue,true,left,12,14,right,orange,1224,0
63,483764.6999999285,1,78,4239,blue,false,left,78,90,right,orange,883,0
64,487183.59999990463,1,46,4193,blue,false,right,46,53,left,orange,1443,0
65,491165.7999999523,0,0,4193,blue,false,right,30,42,right,blue,1404,0
66,495108.09999990463,0,0,4193,blue,false,left,36,65,left,blue,705,0
67,498332.6999999285,0,0,4193,blue,false,left,49,49,left,blue,882,0
68,501767.1999999285,1,44,4149,blue,false,left,44,10,right,orange,4000,0
69,508312.2999999523,0,0,4149,blue,false,left,70,64,left,blue,1146,0
70,512009.89999997616,0,0,4149,blue,false,right,68,95,right,blue,1255,0
71,515793.1999999285,0,0,4149,blue,false,left,38,46,left,blue,1196,0
72,519513.5,0,0,4149,blue,false,left,18,24,left,blue,1719,0
73,523771.89999997616,0,0,4149,blue,false,right,82,78,right,blue,1059,0
74,527357,0,0,4149,blue,false,left,59,54,left,blue,970,0
75,530873,0,0,4149,blue,false,right,36,33,right,blue,1183,0
76,534595,1,56,4093,blue,true,left,49,56,left,blue,1287,0
77,538429.2999999523,0,0,4093,blue,false,left,26,83,left,blue,1291,0
78,542253,0,0,4093,blue,false,left,38,81,left,blue,752,0
79,545542.6999999285,0,0,4093,blue,false,left,12,3,left,blue,1780,0
80,549845.7999999523,0,0,4093,blue,false,right,62,38,right,blue,1154,0
81,553527.2999999523,0,0,4093,blue,false,left,43,50,left,blue,727,0
82,556795,0,0,4093,blue,false,right,50,47,right,blue,1242,0
83,560576.8999999762,1,35,4058,blue,true,left,41,35,left,blue,826,0
84,563963.1999999285,1,9,4049,blue,false,left,9,62,right,orange,2887,0
85,569403.1999999285,0,0,4049,blue,false,right,60,58,right,blue,2778,0
86,574729.5,0,0,4049,blue,false,left,88,31,left,blue,926,0
87,578177.1999999285,0,0,4049,blue,false,left,56,44,left,blue,1032,0
88,581733.7999999523,1,15,4034,blue,true,right,31,15,right,blue,1280,0
89,585547.5,0,0,4034,blue,false,right,90,31,right,blue,2010,0
90,590082.8999999762,0,0,4034,blue,false,left,80,76,left,blue,1928,0
91,594541.6999999285,0,0,4034,blue,false,left,78,4,left,blue,939,0
92,598002.7999999523,0,0,4034,blue,false,left,60,28,left,blue,860,0
93,601400,1,99,3935,blue,true,left,56,99,left,blue,770,0
94,608719.0999999046,1,31,3904,blue,false,left,31,45,right,orange,1973,0
95,613212.3999999762,0,0,3904,blue,false,right,55,16,right,blue,964,0
96,616694.7999999523,0,0,3904,blue,true,left,12,89,right,orange,845,0
97,620077.7999999523,0,0,3904,blue,false,right,49,4,right,blue,1699,0
98,624311.3999999762,0,0,3904,blue,false,right,69,12,right,blue,1174,0
99,628010.5,1,26,3878,blue,true,left,49,26,left,blue,1157,0
100,631708.5,0,0,3878,blue,false,left,75,76,left,blue,2246,0
101,636487.3999999762,1,22,3856,blue,false,left,22,90,right,orange,2868,0
102,641892.5,1,23,3833,blue,true,right,26,23,right,blue,1637,0
103,646075.2999999523,1,11,3822,blue,false,left,11,68,right,orange,1153,0
104,649763.5999999046,1,82,3740,blue,true,right,71,82,right,blue,1453,0
105,653765.6999999285,1,86,3654,blue,false,left,86,95,right,orange,1791,0
106,658101.3999999762,0,0,3654,blue,false,right,79,88,right,blue,1508,0
107,662132.7999999523,0,0,3654,blue,false,right,75,40,right,blue,811,0
108,665482.8999999762,0,0,3654,blue,false,left,11,94,left,blue,2564,0
109,670577.2999999523,1,44,3610,blue,true,right,53,44,right,blue,1003,0
110,674101.1999999285,0,0,3610,blue,false,left,85,17,left,blue,1361,0
111,677984.3999999762,1,32,3578,blue,true,right,85,32,right,blue,779,0
112,681294.0999999046,1,38,3540,blue,false,right,38,68,left,orange,1532,0
113,685357.6999999285,1,28,3512,blue,false,left,28,93,right,orange,1363,0
114,689245.1999999285,1,13,3499,blue,false,left,13,95,right,orange,1372,0
115,693146.5,0,0,3499,blue,false,right,69,60,right,blue,1721,0
116,697395.8999999762,1,95,3404,blue,true,right,56,95,right,blue,1562,0
117,701478,1,2,3402,blue,false,left,2,41,right,orange,721,0
118,704726.3999999762,0,0,3402,blue,false,right,42,5,right,blue,1196,0
119,708452.5999999046,0,0,3402,blue,false,left,44,30,left,blue,616,0
120,711595.0999999046,0,0,3402,blue,false,right,79,4,right,blue,933,0
121,715078,0,0,3402,blue,false,right,83,87,right,blue,908,0
122,718511.5999999046,0,0,3402,blue,false,right,59,44,right,blue,919,0
123,721964,1,10,3392,blue,true,right,15,10,right,blue,1343,0
124,725850.5,0,0,3392,blue,false,left,60,15,left,blue,2546,0
