Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,227887.4400000004,1,10,4990,blue,true,left,23,10,left,blue,1257,0
2,231775.82500000062,0,0,4990,blue,true,right,45,97,left,orange,973,0
3,235353.2749999995,0,0,4990,blue,true,left,54,62,right,orange,1062,0
4,239038.60499999975,0,0,4990,blue,false,left,99,16,left,blue,949,0
5,242582.07000000039,1,40,4950,blue,true,left,72,40,left,blue,932,0
6,246173.8549999991,1,88,4862,blue,true,right,98,88,right,blue,1141,0
7,249961.98499999993,0,0,4862,blue,true,right,6,54,left,orange,942,0
8,253514.21499999924,0,0,4862,blue,true,right,64,55,left,orange,1392,0
9,257494.52500000008,1,96,4766,blue,false,right,96,45,left,orange,1830,0
10,261990.26500000036,0,0,4766,blue,true,right,28,19,left,orange,1345,0
11,265952.804999999,1,26,4740,blue,true,right,95,26,right,blue,933,0
12,269544.9100000005,1,29,4711,blue,true,right,90,29,right,blue,881,0
13,273057.76499999955,0,0,4711,blue,true,right,20,53,left,orange,908,0
14,276557.5800000006,1,56,4655,blue,true,left,74,56,left,blue,1050,0
15,280260.409999999,0,0,4655,blue,true,left,18,42,right,orange,826,0
16,283708.6550000004,0,0,4655,blue,true,right,11,91,left,orange,633,0
17,286940.0900000001,1,32,4623,blue,false,left,32,31,right,orange,986,0
18,290563.044999999,0,0,4623,blue,true,right,36,65,left,orange,1197,0
19,294344.3599999992,0,0,4623,blue,false,right,40,30,right,blue,924,0
20,297896.209999999,0,0,4623,blue,true,right,29,26,left,orange,707,0
21,301202.8850000006,1,32,4591,blue,false,right,32,36,left,orange,878,0
22,304727.01500000036,0,0,4591,blue,true,right,72,81,left,orange,1063,0
23,308383.9399999997,0,0,4591,blue,false,right,95,54,right,blue,834,0
24,311817.61000000004,1,40,4551,blue,false,right,40,59,left,orange,769,0
25,315202.659999999,0,0,4551,blue,false,left,29,24,left,blue,1534,0
26,319345.8250000003,1,60,4491,blue,false,left,60,51,right,orange,856,0
27,322820.7849999999,0,0,4491,blue,false,left,83,65,left,blue,992,0
28,326409.384999999,0,0,4491,blue,true,left,78,98,right,orange,917,0
29,329924.219999999,0,0,4491,blue,false,left,56,51,left,blue,813,0
30,333340.0249999995,1,5,4486,blue,false,left,5,20,right,orange,1270,0
31,337247.6999999999,0,0,4486,blue,false,right,67,2,right,blue,671,0
32,340518.31999999925,0,0,4486,blue,false,left,85,84,left,blue,1132,0
33,344236.24500000005,0,0,4486,blue,true,right,7,49,left,orange,789,0
34,347635.22999999986,1,37,4449,blue,false,right,37,47,left,orange,864,0
35,351120.0399999998,1,27,4422,blue,false,left,27,91,right,orange,941,0
36,354687.08999999944,1,44,4378,blue,false,right,44,42,left,orange,752,0
37,358077.65499999915,0,0,4378,blue,true,left,31,55,right,orange,838,0
38,361494.8399999994,0,0,4378,blue,false,left,97,70,left,blue,1019,0
39,365102.08000000054,0,0,4378,blue,false,right,14,9,right,blue,775,0
40,368474.4150000006,0,0,4378,blue,true,right,23,51,left,orange,771,0
41,371839.2899999999,1,79,4299,blue,true,right,89,79,right,blue,894,0
42,375363.2149999994,0,0,4299,blue,true,right,83,86,left,orange,1180,0
43,379140.9899999999,0,0,4299,blue,true,right,40,62,left,orange,718,0
44,382455.0849999996,1,23,4276,blue,true,left,36,23,left,blue,547,0
45,385625.8049999997,1,61,4215,blue,true,right,65,61,right,blue,1138,0
46,389380.1899999998,1,67,4148,blue,true,right,74,67,right,blue,1691,0
47,393686.14499999967,1,41,4107,blue,true,left,73,41,left,blue,767,0
48,401178.33500000054,0,0,4107,blue,false,left,96,54,left,blue,1465,0
49,405257.9050000004,0,0,4107,blue,true,right,86,88,left,orange,1515,0
50,409381.1100000003,0,0,4107,blue,true,right,43,66,left,orange,724,0
51,412701.395,0,0,4107,blue,true,right,72,79,left,orange,736,0
52,416041.7749999997,0,0,4107,blue,false,left,71,13,left,blue,870,0
53,419515.2699999999,0,0,4107,blue,true,left,78,53,right,orange,1362,0
54,423471.4349999995,0,0,4107,blue,true,left,57,90,right,orange,636,0
55,426709.5699999991,1,3,4104,blue,false,right,3,12,left,orange,572,0
56,429884.22999999963,0,0,4104,blue,true,left,2,64,right,orange,579,0
57,433063.73499999975,0,0,4104,blue,true,left,99,9,right,orange,1031,0
58,436709.9899999994,0,0,4104,blue,true,right,21,42,left,orange,840,0
59,440149.3850000006,0,0,4104,blue,true,left,83,72,right,orange,579,0
60,443358.8249999994,1,11,4093,blue,true,left,37,11,left,blue,986,0
61,446985.70999999903,1,67,4026,blue,false,left,67,81,right,orange,893,0
62,450513.97499999986,0,0,4026,blue,true,left,12,14,right,orange,1137,0
63,454220.7849999995,1,78,3948,blue,false,right,78,90,left,orange,1208,0
64,458040.2049999993,1,46,3902,blue,false,left,46,53,right,orange,803,0
65,461461.5849999991,1,30,3872,blue,false,right,30,42,left,orange,856,0
66,464935.11000000034,1,36,3836,blue,false,left,36,65,right,orange,1057,0
67,468622.6900000002,0,0,3836,blue,false,right,49,49,right,blue,968,0
68,472208.1099999996,0,0,3836,blue,false,left,44,10,left,blue,531,0
69,475350.3949999995,0,0,3836,blue,false,right,70,64,right,blue,721,0
70,478688.53499999933,0,0,3836,blue,false,left,68,95,left,blue,1256,0
71,482543.7249999995,0,0,3836,blue,false,left,38,46,left,blue,810,0
72,485952.4799999999,0,0,3836,blue,false,left,18,24,left,blue,483,0
73,489041.1299999996,0,0,3836,blue,false,right,82,78,right,blue,702,0
74,492373.4000000004,0,0,3836,blue,false,right,59,54,right,blue,621,0
75,495598.9599999994,0,0,3836,blue,false,right,36,33,right,blue,923,0
76,499112.89000000036,1,56,3780,blue,true,left,49,56,left,blue,2019,0
77,503728.3549999993,1,26,3754,blue,false,left,26,83,right,orange,769,0
78,507110.7900000006,1,38,3716,blue,false,right,38,81,left,orange,537,0
79,510298.929999999,0,0,3716,blue,false,right,12,3,right,blue,720,0
80,513612.0250000004,0,0,3716,blue,false,right,62,38,right,blue,616,0
81,516818.41499999975,0,0,3716,blue,false,right,43,50,right,blue,1130,0
82,520553.539999999,0,0,3716,blue,false,right,50,47,right,blue,528,0
83,523684.45500000054,0,0,3716,blue,true,left,41,35,right,orange,795,0
84,527080.9050000007,1,9,3707,blue,false,left,9,62,right,orange,631,0
85,530357.3049999996,0,0,3707,blue,false,right,60,58,right,blue,763,0
86,533705.2349999994,0,0,3707,blue,false,left,88,31,left,blue,1794,0
87,538102.5449999997,0,0,3707,blue,false,left,56,44,left,blue,606,0
88,541331.9549999996,1,15,3692,blue,true,left,31,15,left,blue,564,0
89,544523.7249999992,0,0,3692,blue,false,right,90,31,right,blue,903,0
90,548028.7399999998,0,0,3692,blue,false,right,80,76,right,blue,776,0
91,551401.4449999995,0,0,3692,blue,false,left,78,4,left,blue,525,0
92,554535.1300000002,1,60,3632,blue,false,right,60,28,left,orange,669,0
93,557846.8950000006,0,0,3632,blue,true,left,56,99,right,orange,804,0
94,565251.7750000006,1,31,3601,blue,false,right,31,45,left,orange,1154,0
95,569033.7500000005,0,0,3601,blue,false,right,55,16,right,blue,797,0
96,572437.2499999991,0,0,3601,blue,true,left,12,89,right,orange,825,0
97,575853.3900000002,0,0,3601,blue,false,right,49,4,right,blue,732,0
98,579179.7900000002,0,0,3601,blue,false,left,69,12,left,blue,780,0
99,582560.1499999993,1,26,3575,blue,true,right,49,26,right,blue,1978,0
100,587167.7550000004,1,75,3500,blue,false,left,75,76,right,orange,1128,0
101,590928.28,1,22,3478,blue,false,right,22,90,left,orange,644,0
102,594176.449999999,1,23,3455,blue,true,left,26,23,left,blue,1215,0
103,598014.8150000004,1,11,3444,blue,false,right,11,68,left,orange,902,0
104,601535.8300000008,1,82,3362,blue,true,left,71,82,left,blue,1270,0
105,605448.9799999992,1,86,3276,blue,false,right,86,95,left,orange,947,0
106,609027.4100000006,1,79,3197,blue,false,right,79,88,left,orange,808,0
107,612466.2050000007,0,0,3197,blue,false,right,75,40,right,blue,857,0
108,615928.2449999992,0,0,3197,blue,false,right,11,94,right,blue,930,0
109,619463.7149999999,1,44,3153,blue,true,left,53,44,left,blue,717,0
110,622794.8849999993,0,0,3153,blue,false,right,85,17,right,blue,629,0
111,626010.6749999996,1,32,3121,blue,true,right,85,32,right,blue,704,0
112,629324.419999999,0,0,3121,blue,false,left,38,68,left,blue,766,0
113,632685.77,0,0,3121,blue,false,right,28,93,right,blue,654,0
114,635939.2449999995,1,13,3108,blue,false,left,13,95,right,orange,804,0
115,639375.7399999995,0,0,3108,blue,false,right,69,60,right,blue,922,0
116,642899.3900000005,1,95,3013,blue,true,right,56,95,right,blue,1411,0
117,646926.9800000002,1,2,3011,blue,false,right,2,41,left,orange,2283,0
118,651818.5549999998,0,0,3011,blue,false,left,42,5,left,blue,605,0
119,655013.5300000001,0,0,3011,blue,false,right,44,30,right,blue,702,0
120,658311.3749999993,0,0,3011,blue,false,right,79,4,right,blue,612,0
121,661510.1300000006,1,83,2928,blue,false,left,83,87,right,orange,833,0
122,664969.3449999995,0,0,2928,blue,false,right,59,44,right,blue,820,0
123,668394.6699999997,0,0,2928,blue,true,right,15,10,left,orange,612,0
124,671584.8299999998,0,0,2928,blue,false,left,60,15,left,blue,636,0
125,674818.2649999999,0,0,2928,blue,false,right,73,25,right,blue,775,0
126,678180.7349999999,0,0,2928,blue,false,right,43,23,right,blue,728,0
127,681481.7449999992,1,22,2906,blue,false,right,22,87,left,orange,532,0
128,684642.0099999995,0,0,2906,blue,true,right,27,77,left,orange,769,0
129,688013.1600000004,0,0,2906,blue,false,left,99,35,left,blue,814,0
130,691425.4249999995,1,39,2867,blue,true,right,49,39,right,blue,741,0
131,694794.4200000002,0,0,2867,blue,false,left,83,60,left,blue,906,0
132,698295.2750000004,1,54,2813,blue,true,left,61,54,left,blue,751,0
133,701688.2249999999,0,0,2813,blue,false,right,82,34,right,blue,704,0
134,704998.5049999995,0,0,2813,blue,false,right,96,86,right,blue,761,0
135,708356.9900000002,0,0,2813,blue,false,left,65,27,left,blue,640,0
136,711584.1500000006,1,63,2750,blue,false,left,63,93,right,orange,750,0
137,714957.735,0,0,2750,blue,false,right,65,40,right,blue,732,0
138,718299.8349999998,0,0,2750,blue,false,right,7,69,right,blue,1347,0
139,722246.3950000001,1,28,2722,blue,true,left,94,28,left,blue,1419,0
140,726305.3949999994,0,0,2722,blue,false,right,90,4,right,blue,569,0
