Quiz_round,2,RESULT:,NumberGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,203016.6250001639,1,37,4963,blue,true,right,44,37,right,blue,1842,0
2,207434.10000018775,0,0,4963,blue,true,right,66,12,left,orange,1174,0
3,211176.19500029832,0,0,4963,blue,true,right,98,9,left,orange,475,0
4,214202.54000043496,1,20,4943,blue,false,left,20,91,right,orange,500,0
5,217267.0750003308,0,0,4943,blue,true,right,28,8,left,orange,451,0
6,220277.83000003546,0,0,4943,blue,true,right,30,33,left,orange,505,0
7,223324.36000043526,0,0,4943,blue,true,right,27,24,left,orange,824,0
8,226719.95000028983,1,58,4885,blue,false,right,58,43,left,orange,426,0
9,229705.54500026628,0,0,4885,blue,true,left,72,47,right,orange,352,0
10,232627.32000043616,1,44,4841,blue,false,left,44,44,right,orange,391,0
11,235610.80999998376,1,26,4815,blue,true,left,69,26,left,blue,333,0
12,238502.1850001067,0,0,4815,blue,true,right,6,41,left,orange,419,0
13,241478.0200002715,0,0,4815,blue,true,left,88,34,right,orange,798,0
14,244814.13000030443,1,73,4742,blue,false,left,73,18,right,orange,448,0
15,247827.9350004159,0,0,4742,blue,true,left,60,25,right,orange,542,0
16,250922.9100001976,0,0,4742,blue,true,right,68,6,left,orange,447,0
17,253921.32000019774,1,48,4694,blue,false,left,48,39,right,orange,448,0
18,256921.19000013918,1,76,4618,blue,true,left,35,76,left,blue,630,0
19,260113.15500037745,0,0,4618,blue,true,left,23,85,right,orange,299,0
20,262962.5150002539,0,0,4618,blue,true,right,54,22,left,orange,515,0
21,266033.9050004259,1,66,4552,blue,false,right,66,58,left,orange,392,0
22,268986.65000032634,1,41,4511,blue,true,right,98,41,right,blue,353,0
23,271895.8550002426,1,80,4431,blue,true,left,58,80,left,blue,436,0
24,274896.7900001444,0,0,4431,blue,true,left,32,85,right,orange,321,0
25,277762.28500017896,1,83,4348,blue,false,left,83,15,right,orange,346,0
26,280663.86500000954,0,0,4348,blue,true,left,18,16,right,orange,383,0
27,283598.99000031874,0,0,4348,blue,true,right,56,99,left,orange,459,0
28,286604.2650002055,0,0,4348,blue,true,left,23,75,right,orange,483,0
29,289640.1850003749,0,0,4348,blue,true,left,68,18,right,orange,497,0
30,292685.91000000015,0,0,4348,blue,true,right,30,16,left,orange,441,0
31,295691.99500000104,0,0,4348,blue,true,left,86,37,right,orange,362,0
32,298610.96499999985,0,0,4348,blue,true,left,47,44,right,orange,414,0
33,301583.7799999863,0,0,4348,blue,true,right,3,91,left,orange,498,0
34,304625.53500011563,1,60,4288,blue,false,left,60,14,right,orange,434,0
35,307628.1050001271,0,0,4288,blue,true,left,54,84,right,orange,357,0
36,310540.96000036225,0,0,4288,blue,true,left,34,23,right,orange,392,0
37,313483.9800000191,0,0,4288,blue,true,left,96,28,right,orange,330,0
38,316360.15000008047,1,83,4205,blue,false,left,83,94,right,orange,351,0
39,319273.5850000754,0,0,4205,blue,true,right,63,86,left,orange,477,0
