Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,259237.29499988258,1,10,4990,blue,true,right,23,10,right,blue,2307,0
2,264118.2349999435,0,0,4990,blue,true,left,45,97,right,orange,1803,0
3,268473.18500000983,0,0,4990,blue,true,left,54,62,right,orange,2275,0
4,273301.5449999366,0,0,4990,blue,false,left,99,16,left,blue,804,0
5,276652.93999994174,1,40,4950,blue,true,right,72,40,right,blue,1763,0
6,280975.4800000228,0,0,4950,blue,true,right,98,88,left,orange,1936,0
7,285452.8500000015,0,0,4950,blue,true,left,6,54,right,orange,689,0
8,288684.03499992564,0,0,4950,blue,true,right,64,55,left,orange,2125,0
9,293364.5049999468,0,0,4950,blue,false,right,96,45,right,blue,1844,0
10,297755.8249998838,1,19,4931,blue,true,left,28,19,left,blue,606,0
11,300932.1200000122,1,26,4905,blue,true,left,95,26,left,blue,1596,0
12,305106.7599998787,0,0,4905,blue,true,left,90,29,right,orange,749,0
13,308393.13500002027,0,0,4905,blue,true,left,20,53,right,orange,768,0
14,311698.1349999551,0,0,4905,blue,true,left,74,56,right,orange,2061,0
15,316299.9299999792,0,0,4905,blue,true,left,18,42,right,orange,765,0
16,319605.9749999549,0,0,4905,blue,true,left,11,91,right,orange,1013,0
17,323161.7949998472,1,32,4873,blue,false,left,32,31,right,orange,1757,0
18,327476.43499984406,0,0,4873,blue,true,left,36,65,right,orange,2597,0
19,332619.9149999302,1,40,4833,blue,false,right,40,30,left,orange,3476,0
20,338652.054999955,0,0,4833,blue,true,left,29,26,right,orange,1591,0
21,342785.0249998737,1,32,4801,blue,false,left,32,36,right,orange,1948,0
22,347283.9249998797,0,0,4801,blue,true,right,72,81,left,orange,2654,0
23,352486.3249999471,0,0,4801,blue,false,left,95,54,left,blue,1467,0
24,356491.1499998998,1,40,4761,blue,false,left,40,59,right,orange,1369,0
25,360390.70499991067,0,0,4761,blue,false,right,29,24,right,blue,2265,0
26,365196.44499989226,1,60,4701,blue,false,left,60,51,right,orange,1395,0
27,369145.95999987796,0,0,4701,blue,false,left,83,65,left,blue,1306,0
28,372989.26499998197,0,0,4701,blue,true,left,78,98,right,orange,1390,0
29,376914.82499986887,1,56,4645,blue,false,right,56,51,left,orange,1731,0
30,381210.6800000183,1,5,4640,blue,false,right,5,20,left,orange,764,0
31,384528.2900000457,0,0,4640,blue,false,right,67,2,right,blue,793,0
32,387860.26999983005,0,0,4640,blue,false,left,85,84,left,blue,1051,0
33,391446.9800000079,0,0,4640,blue,true,left,7,49,right,orange,1618,0
34,395607.5750000309,0,0,4640,blue,false,right,37,47,right,blue,1414,0
35,399562.3200000264,1,27,4613,blue,false,right,27,91,left,orange,1241,0
36,403358.4949998185,1,44,4569,blue,false,left,44,42,right,orange,2497,0
37,408424.0749999881,0,0,4569,blue,true,right,31,55,left,orange,924,0
38,411892.33499998227,0,0,4569,blue,false,right,97,70,right,blue,1040,0
39,415476.7699998338,0,0,4569,blue,false,left,14,9,left,blue,887,0
40,418916.4849999361,1,51,4518,blue,true,right,23,51,right,blue,1008,0
41,422485.91499985196,0,0,4518,blue,true,left,89,79,right,orange,2150,0
42,427172.20499995165,0,0,4518,blue,true,right,83,86,left,orange,1521,0
43,431236.61000002176,0,0,4518,blue,true,right,40,62,left,orange,1622,0
44,435413.40499999933,0,0,4518,blue,true,left,36,23,right,orange,2065,0
45,440018.1299999822,0,0,4518,blue,true,right,65,61,left,orange,838,0
46,443401.1949999258,0,0,4518,blue,true,right,74,67,left,orange,877,0
47,446831.2299998943,0,0,4518,blue,true,left,73,41,right,orange,2299,0
48,455716.49499982595,1,96,4422,blue,false,left,96,54,right,orange,3041,0
49,461328.29999993555,1,88,4334,blue,true,left,86,88,left,blue,1983,0
50,465862.1349998284,0,0,4334,blue,true,left,43,66,right,orange,1200,0
51,469608.2349999342,0,0,4334,blue,true,left,72,79,right,orange,759,0
52,472908.39500003494,0,0,4334,blue,false,left,71,13,left,blue,1233,0
53,476681.09999992885,0,0,4334,blue,true,left,78,53,right,orange,3991,0
54,483212.18000003137,0,0,4334,blue,true,right,57,90,left,orange,2654,0
55,488404.99499998987,1,3,4331,blue,false,right,3,12,left,orange,868,0
56,491827.61000003666,0,0,4331,blue,true,right,2,64,left,orange,778,0
57,495149.72499990836,1,9,4322,blue,true,right,99,9,right,blue,779,0
58,498497.2599998582,1,42,4280,blue,true,left,21,42,left,blue,2561,0
59,503608.1099999137,0,0,4280,blue,true,left,83,72,right,orange,2590,0
60,508740.4300000053,0,0,4280,blue,true,right,37,11,left,orange,1672,0
61,512953.3799998462,1,67,4213,blue,false,left,67,81,right,orange,1738,0
62,517250.0149998814,0,0,4213,blue,true,right,12,14,left,orange,1950,0
63,521751.5799999237,1,78,4135,blue,false,right,78,90,left,orange,1088,0
64,525388.5099999607,1,46,4089,blue,false,left,46,53,right,orange,1647,0
65,529612.8599999938,1,30,4059,blue,false,right,30,42,left,orange,1607,0
66,533779.1299999226,0,0,4059,blue,false,left,36,65,left,blue,877,0
67,542743.2999999728,1,49,4010,blue,false,left,49,49,right,orange,1198,1
68,546509.6499999054,0,0,4010,blue,false,right,44,10,right,blue,1906,0
69,550972.589999903,1,70,3940,blue,false,right,70,64,left,orange,2404,0
70,555929.1149999481,1,68,3872,blue,false,left,68,95,right,orange,1133,0
71,559620.6649998203,0,0,3872,blue,false,left,38,46,left,blue,664,0
72,562823.1999999844,0,0,3872,blue,false,right,18,24,right,blue,473,0
73,565835.6500000227,0,0,3872,blue,false,left,82,78,left,blue,872,0
74,569244.9699998833,0,0,3872,blue,false,left,59,54,left,blue,1621,0
75,573407.6849999838,0,0,3872,blue,false,right,36,33,right,blue,867,0
76,576821.3599999435,1,56,3816,blue,true,left,49,56,left,blue,1165,0
77,580537.0199999306,0,0,3816,blue,false,right,26,83,right,blue,2640,0
78,585718.3149999473,0,0,3816,blue,false,right,38,81,right,blue,797,0
79,589053.2599999569,0,0,3816,blue,false,right,12,3,right,blue,899,0
80,592501.2149999384,0,0,3816,blue,false,left,62,38,left,blue,1995,0
81,597036.139999982,0,0,3816,blue,false,right,43,50,right,blue,1287,0
82,600866.6699999012,0,0,3816,blue,false,right,50,47,right,blue,1015,0
83,604416.3849998731,1,35,3781,blue,true,right,41,35,right,blue,1022,0
84,607983.5850000381,1,9,3772,blue,false,left,9,62,right,orange,892,0
85,611428.8749999832,0,0,3772,blue,false,left,60,58,left,blue,1584,0
86,615565.4100000393,0,0,3772,blue,false,left,88,31,left,blue,798,0
